Index       V(D)              V(G)              I(VD)      
131     -1.30000000e+00   -7.00000000e-01    2.83242235e-05
132     -1.29000000e+00   -7.00000000e-01    2.82273082e-05
133     -1.28000000e+00   -7.00000000e-01    2.81307267e-05
134     -1.27000000e+00   -7.00000000e-01    2.80344920e-05
135     -1.26000000e+00   -7.00000000e-01    2.79386174e-05
136     -1.25000000e+00   -7.00000000e-01    2.78431171e-05
137     -1.24000000e+00   -7.00000000e-01    2.77480059e-05
138     -1.23000000e+00   -7.00000000e-01    2.76532993e-05
139     -1.22000000e+00   -7.00000000e-01    2.75590136e-05
140     -1.21000000e+00   -7.00000000e-01    2.74651657e-05
141     -1.20000000e+00   -7.00000000e-01    2.73717735e-05
142     -1.19000000e+00   -7.00000000e-01    2.72788556e-05
143     -1.18000000e+00   -7.00000000e-01    2.71864313e-05
144     -1.17000000e+00   -7.00000000e-01    2.70945212e-05
145     -1.16000000e+00   -7.00000000e-01    2.70031463e-05
146     -1.15000000e+00   -7.00000000e-01    2.69123290e-05
147     -1.14000000e+00   -7.00000000e-01    2.68220921e-05
148     -1.13000000e+00   -7.00000000e-01    2.67324600e-05
149     -1.12000000e+00   -7.00000000e-01    2.66434577e-05
150     -1.11000000e+00   -7.00000000e-01    2.65551112e-05
151     -1.10000000e+00   -7.00000000e-01    2.64674477e-05
152     -1.09000000e+00   -7.00000000e-01    2.63804955e-05
153     -1.08000000e+00   -7.00000000e-01    2.62942838e-05
154     -1.07000000e+00   -7.00000000e-01    2.62088428e-05
155     -1.06000000e+00   -7.00000000e-01    2.61242040e-05
156     -1.05000000e+00   -7.00000000e-01    2.60403997e-05
157     -1.04000000e+00   -7.00000000e-01    2.59574634e-05
158     -1.03000000e+00   -7.00000000e-01    2.58754294e-05
159     -1.02000000e+00   -7.00000000e-01    2.57943334e-05
160     -1.01000000e+00   -7.00000000e-01    2.57142115e-05
161     -1.00000000e+00   -7.00000000e-01    2.56351010e-05
162     -9.90000000e-01   -7.00000000e-01    2.55570400e-05
163     -9.80000000e-01   -7.00000000e-01    2.54800673e-05
164     -9.70000000e-01   -7.00000000e-01    2.54042224e-05
165     -9.60000000e-01   -7.00000000e-01    2.53295453e-05
166     -9.50000000e-01   -7.00000000e-01    2.52560763e-05
167     -9.40000000e-01   -7.00000000e-01    2.51838564e-05
168     -9.30000000e-01   -7.00000000e-01    2.51129264e-05
169     -9.20000000e-01   -7.00000000e-01    2.50433273e-05
170     -9.10000000e-01   -7.00000000e-01    2.49750997e-05
171     -9.00000000e-01   -7.00000000e-01    2.49082842e-05
