Index       V(G)              V(B)              I(VD)      
379     -1.20000000e-01   -1.00000000e-01    1.80615692e-07
380     -1.10000000e-01   -1.00000000e-01    1.47628275e-07
381     -1.00000000e-01   -1.00000000e-01    1.19350174e-07
382     -9.00000000e-02   -1.00000000e-01    9.54905441e-08
383     -8.00000000e-02   -1.00000000e-01    7.56686260e-08
384     -7.00000000e-02   -1.00000000e-01    5.94423309e-08
385     -6.00000000e-02   -1.00000000e-01    4.63397970e-08
386     -5.00000000e-02   -1.00000000e-01    3.58892382e-08
387     -4.00000000e-02   -1.00000000e-01    2.76434655e-08
388     -3.00000000e-02   -1.00000000e-01    2.11970699e-08
389     -2.00000000e-02   -1.00000000e-01    1.61959595e-08
390     -1.00000000e-02   -1.00000000e-01    1.23402811e-08
391      0.00000000e+00   -1.00000000e-01    9.38246550e-09
392      1.00000000e-02   -1.00000000e-01    7.12225303e-09
393      2.00000000e-02   -1.00000000e-01    5.40027274e-09
394      3.00000000e-02   -1.00000000e-01    4.09130911e-09
395      4.00000000e-02   -1.00000000e-01    3.09795707e-09
396      5.00000000e-02   -1.00000000e-01    2.34502327e-09
397      6.00000000e-02   -1.00000000e-01    1.77479857e-09
398      7.00000000e-02   -1.00000000e-01    1.34318688e-09
399      8.00000000e-02   -1.00000000e-01    1.01660454e-09
400      9.00000000e-02   -1.00000000e-01    7.69536137e-10
401      1.00000000e-01   -1.00000000e-01    5.82630406e-10
402      1.10000000e-01   -1.00000000e-01    4.41229571e-10
403      1.20000000e-01   -1.00000000e-01    3.34240727e-10
404      1.30000000e-01   -1.00000000e-01    2.53273748e-10
405      1.40000000e-01   -1.00000000e-01    1.91985047e-10
406      1.50000000e-01   -1.00000000e-01    1.45579300e-10
407      1.60000000e-01   -1.00000000e-01    1.10431782e-10
408      1.70000000e-01   -1.00000000e-01    8.38025088e-11
409      1.80000000e-01   -1.00000000e-01    6.36200468e-11
410      1.90000000e-01   -1.00000000e-01    4.83181153e-11
411      2.00000000e-01   -1.00000000e-01    3.67121376e-11
412      2.10000000e-01   -1.00000000e-01    2.79059902e-11
413      2.20000000e-01   -1.00000000e-01    2.12215702e-11
414      2.30000000e-01   -1.00000000e-01    1.61455944e-11
415      2.40000000e-01   -1.00000000e-01    1.22894119e-11
416      2.50000000e-01   -1.00000000e-01    9.35864120e-12
417      2.60000000e-01   -1.00000000e-01    7.13022520e-12
418      2.70000000e-01   -1.00000000e-01    5.43508859e-12
419      2.80000000e-01   -1.00000000e-01    4.14502537e-12
420      2.90000000e-01   -1.00000000e-01    3.16278225e-12
421      3.00000000e-01   -1.00000000e-01    2.41455656e-12
422      3.10000000e-01   -1.00000000e-01    1.84431903e-12
423      3.20000000e-01   -1.00000000e-01    1.40951595e-12
424      3.30000000e-01   -1.00000000e-01    1.07781465e-12
425      3.40000000e-01   -1.00000000e-01    8.24637971e-13
426      3.50000000e-01   -1.00000000e-01    6.31295808e-13
427      3.60000000e-01   -1.00000000e-01    4.83568683e-13
428      3.70000000e-01   -1.00000000e-01    3.70633483e-13
429      3.80000000e-01   -1.00000000e-01    2.84248438e-13
430      3.90000000e-01   -1.00000000e-01    2.18134529e-13
431      4.00000000e-01   -1.00000000e-01    1.67505778e-13
432      4.10000000e-01   -1.00000000e-01    1.28712462e-13
433      4.20000000e-01   -1.00000000e-01    9.89699749e-14
434      4.30000000e-01   -1.00000000e-01    7.61526913e-14
435      4.40000000e-01   -1.00000000e-01    5.86371879e-14
436      4.50000000e-01   -1.00000000e-01    4.51829439e-14
437      4.60000000e-01   -1.00000000e-01    3.48415249e-14
438      4.70000000e-01   -1.00000000e-01    2.68874162e-14
439      4.80000000e-01   -1.00000000e-01    2.07653211e-14
440      4.90000000e-01   -1.00000000e-01    1.60499848e-14
441      5.00000000e-01   -1.00000000e-01    1.24155540e-14
442      5.10000000e-01   -1.00000000e-01    9.61219523e-15
443      5.20000000e-01   -1.00000000e-01    7.44824562e-15
444      5.30000000e-01   -1.00000000e-01    5.77657868e-15
445      5.40000000e-01   -1.00000000e-01    4.48418514e-15
446      5.50000000e-01   -1.00000000e-01    3.48420633e-15
447      5.60000000e-01   -1.00000000e-01    2.70983950e-15
448      5.70000000e-01   -1.00000000e-01    2.10967281e-15
449      5.80000000e-01   -1.00000000e-01    1.64411254e-15
450      5.90000000e-01   -1.00000000e-01    1.28264536e-15
451      6.00000000e-01   -1.00000000e-01    1.00173924e-15
452      6.10000000e-01   -1.00000000e-01    7.83232996e-16
453      6.20000000e-01   -1.00000000e-01    6.13100141e-16
454      6.30000000e-01   -1.00000000e-01    4.80499367e-16
455      6.40000000e-01   -1.00000000e-01    3.77044764e-16
456      6.50000000e-01   -1.00000000e-01    2.96244572e-16
457      6.60000000e-01   -1.00000000e-01    2.33069286e-16
458      6.70000000e-01   -1.00000000e-01    1.83619049e-16
459      6.80000000e-01   -1.00000000e-01    1.44867369e-16
460      6.90000000e-01   -1.00000000e-01    1.14463488e-16
461      7.00000000e-01   -1.00000000e-01    9.05798839e-17
462      7.10000000e-01   -1.00000000e-01    7.17945123e-17
463      7.20000000e-01   -1.00000000e-01    5.69998081e-17
