Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
37      -6.30000000e-02    0.00000000e+00   -6.66797978e-08   -1.97595443e-06   -1.97595414e-06    0.00000000e+00    1.64579202e-01   -1.26000000e-01   -6.29999999e-02   -6.29999999e-02    1.80659525e-01
38      -6.20000000e-02    0.00000000e+00   -6.44259059e-08   -1.91210869e-06   -1.91210846e-06    0.00000000e+00    1.64685028e-01   -1.24000000e-01   -6.19999999e-02   -6.19999999e-02    1.80608510e-01
39      -6.10000000e-02    0.00000000e+00   -6.22414816e-08   -1.85004697e-06   -1.85004675e-06    0.00000000e+00    1.64790854e-01   -1.22000000e-01   -6.09999999e-02   -6.09999999e-02    1.80558778e-01
40      -6.00000000e-02    0.00000000e+00   -6.01243644e-08   -1.78972340e-06   -1.78972313e-06    0.00000000e+00    1.64896681e-01   -1.20000000e-01   -5.99999999e-02   -5.99999999e-02    1.80510298e-01
41      -5.90000000e-02    0.00000000e+00   -5.80724516e-08   -1.73109267e-06   -1.73109242e-06    0.00000000e+00    1.65002512e-01   -1.18000000e-01   -5.89999999e-02   -5.89999999e-02    1.80463042e-01
42      -5.80000000e-02    0.00000000e+00   -5.60836973e-08   -1.67411030e-06   -1.67411010e-06    0.00000000e+00    1.65108349e-01   -1.16000000e-01   -5.79999999e-02   -5.79999999e-02    1.80416980e-01
43      -5.70000000e-02    0.00000000e+00   -5.41561107e-08   -1.61873262e-06   -1.61873240e-06    0.00000000e+00    1.65214194e-01   -1.14000000e-01   -5.69999999e-02   -5.69999999e-02    1.80372087e-01
44      -5.60000000e-02    0.00000000e+00   -5.22877549e-08   -1.56491640e-06   -1.56491620e-06    0.00000000e+00    1.65320051e-01   -1.12000000e-01   -5.59999999e-02   -5.59999999e-02    1.80328333e-01
45      -5.50000000e-02    0.00000000e+00   -5.04767455e-08   -1.51261937e-06   -1.51261914e-06    0.00000000e+00    1.65425922e-01   -1.10000000e-01   -5.49999999e-02   -5.49999999e-02    1.80285694e-01
46      -5.40000000e-02    0.00000000e+00   -4.87212490e-08   -1.46179978e-06   -1.46179955e-06    0.00000000e+00    1.65531809e-01   -1.08000000e-01   -5.40000000e-02   -5.40000000e-02    1.80244142e-01
47      -5.30000000e-02    0.00000000e+00   -4.70194814e-08   -1.41241665e-06   -1.41241644e-06    0.00000000e+00    1.65637716e-01   -1.06000000e-01   -5.30000000e-02   -5.30000000e-02    1.80203653e-01
48      -5.20000000e-02    0.00000000e+00   -4.53697068e-08   -1.36442981e-06   -1.36442957e-06    0.00000000e+00    1.65743644e-01   -1.04000000e-01   -5.20000000e-02   -5.20000000e-02    1.80164202e-01
49      -5.10000000e-02    0.00000000e+00   -4.37702361e-08   -1.31779955e-06   -1.31779937e-06    0.00000000e+00    1.65849598e-01   -1.02000000e-01   -5.10000000e-02   -5.10000000e-02    1.80125766e-01
50      -5.00000000e-02    0.00000000e+00   -4.22194255e-08   -1.27248715e-06   -1.27248696e-06    0.00000000e+00    1.65955580e-01   -9.99999999e-02   -5.00000000e-02   -5.00000000e-02    1.80088321e-01
51      -4.90000000e-02    0.00000000e+00   -4.07156749e-08   -1.22845437e-06   -1.22845417e-06    0.00000000e+00    1.66061593e-01   -9.79999999e-02   -4.90000000e-02   -4.90000000e-02    1.80051844e-01
52      -4.80000000e-02    0.00000000e+00   -3.92574269e-08   -1.18566367e-06   -1.18566350e-06    0.00000000e+00    1.66167641e-01   -9.59999999e-02   -4.80000000e-02   -4.80000000e-02    1.80016314e-01
53      -4.70000000e-02    0.00000000e+00   -3.78431653e-08   -1.14407827e-06   -1.14407810e-06    0.00000000e+00    1.66273726e-01   -9.39999999e-02   -4.70000000e-02   -4.70000000e-02    1.79981709e-01
54      -4.60000000e-02    0.00000000e+00   -3.64714139e-08   -1.10366199e-06   -1.10366183e-06    0.00000000e+00    1.66379852e-01   -9.19999999e-02   -4.60000000e-02   -4.60000000e-02    1.79948009e-01
55      -4.50000000e-02    0.00000000e+00   -3.51407352e-08   -1.06437931e-06   -1.06437916e-06    0.00000000e+00    1.66486024e-01   -8.99999999e-02   -4.50000000e-02   -4.50000000e-02    1.79915193e-01
56      -4.40000000e-02    0.00000000e+00   -3.38497288e-08   -1.02619538e-06   -1.02619523e-06    0.00000000e+00    1.66592243e-01   -8.79999999e-02   -4.40000000e-02   -4.40000000e-02    1.79883243e-01
57      -4.30000000e-02    0.00000000e+00   -3.25970310e-08   -9.89075946e-07   -9.89075809e-07    0.00000000e+00    1.66698515e-01   -8.59999999e-02   -4.30000000e-02   -4.30000000e-02    1.79852140e-01
58      -4.20000000e-02    0.00000000e+00   -3.13813128e-08   -9.52987434e-07   -9.52987287e-07    0.00000000e+00    1.66804842e-01   -8.39999999e-02   -4.20000000e-02   -4.20000000e-02    1.79821865e-01
59      -4.10000000e-02    0.00000000e+00   -3.02012793e-08   -9.17896812e-07   -9.17896673e-07    0.00000000e+00    1.66911228e-01   -8.19999999e-02   -4.10000000e-02   -4.10000000e-02    1.79792401e-01
60      -4.00000000e-02    0.00000000e+00   -2.90556684e-08   -8.83771707e-07   -8.83771577e-07    0.00000000e+00    1.67017679e-01   -7.99999999e-02   -4.00000000e-02   -4.00000000e-02    1.79763731e-01
61      -3.90000000e-02    0.00000000e+00   -2.79432495e-08   -8.50580300e-07   -8.50580202e-07    0.00000000e+00    1.67124197e-01   -7.79999999e-02   -3.90000000e-02   -3.90000000e-02    1.79735839e-01
62      -3.80000000e-02    0.00000000e+00   -2.68628229e-08   -8.18291471e-07   -8.18291331e-07    0.00000000e+00    1.67230787e-01   -7.59999999e-02   -3.80000000e-02   -3.80000000e-02    1.79708709e-01
63      -3.70000000e-02    0.00000000e+00   -2.58132184e-08   -7.86874438e-07   -7.86874316e-07    0.00000000e+00    1.67337453e-01   -7.39999999e-02   -3.70000000e-02   -3.70000000e-02    1.79682327e-01
64      -3.60000000e-02    0.00000000e+00   -2.47932944e-08   -7.56299163e-07   -7.56299069e-07    0.00000000e+00    1.67444199e-01   -7.20000000e-02   -3.60000000e-02   -3.60000000e-02    1.79656677e-01
65      -3.50000000e-02    0.00000000e+00   -2.38019369e-08   -7.26536147e-07   -7.26536042e-07    0.00000000e+00    1.67551030e-01   -7.00000000e-02   -3.50000000e-02   -3.50000000e-02    1.79631746e-01
66      -3.40000000e-02    0.00000000e+00   -2.28380586e-08   -6.97556316e-07   -6.97556225e-07    0.00000000e+00    1.67657951e-01   -6.80000000e-02   -3.40000000e-02   -3.40000000e-02    1.79607520e-01
67      -3.30000000e-02    0.00000000e+00   -2.19005980e-08   -6.69331243e-07   -6.69331126e-07    0.00000000e+00    1.67764966e-01   -6.60000000e-02   -3.30000000e-02   -3.30000000e-02    1.79583987e-01
68      -3.20000000e-02    0.00000000e+00   -2.09885183e-08   -6.41832859e-07   -6.41832764e-07    0.00000000e+00    1.67872079e-01   -6.40000000e-02   -3.20000000e-02   -3.20000000e-02    1.79561134e-01
69      -3.10000000e-02    0.00000000e+00   -2.01008068e-08   -6.15033743e-07   -6.15033656e-07    0.00000000e+00    1.67979296e-01   -6.20000000e-02   -3.10000000e-02   -3.10000000e-02    1.79538949e-01
70      -3.00000000e-02    0.00000000e+00   -1.92364739e-08   -5.88906902e-07   -5.88906804e-07    0.00000000e+00    1.68086621e-01   -6.00000000e-02   -3.00000000e-02   -3.00000000e-02    1.79517422e-01
71      -2.90000000e-02    0.00000000e+00   -1.83945522e-08   -5.63425768e-07   -5.63425683e-07    0.00000000e+00    1.68194059e-01   -5.80000000e-02   -2.90000000e-02   -2.90000000e-02    1.79496541e-01
72      -2.80000000e-02    0.00000000e+00   -1.75740961e-08   -5.38564317e-07   -5.38564235e-07    0.00000000e+00    1.68301616e-01   -5.60000000e-02   -2.80000000e-02   -2.80000000e-02    1.79476297e-01
73      -2.70000000e-02    0.00000000e+00   -1.67741805e-08   -5.14296920e-07   -5.14296851e-07    0.00000000e+00    1.68409295e-01   -5.40000000e-02   -2.70000000e-02   -2.70000000e-02    1.79456678e-01
74      -2.60000000e-02    0.00000000e+00   -1.59939007e-08   -4.90598429e-07   -4.90598363e-07    0.00000000e+00    1.68517103e-01   -5.20000000e-02   -2.60000000e-02   -2.60000000e-02    1.79437677e-01
75      -2.50000000e-02    0.00000000e+00   -1.52323710e-08   -4.67444096e-07   -4.67444032e-07    0.00000000e+00    1.68625044e-01   -5.00000000e-02   -2.50000000e-02   -2.50000000e-02    1.79419283e-01
76      -2.40000000e-02    0.00000000e+00   -1.44887245e-08   -4.44809594e-07   -4.44809532e-07    0.00000000e+00    1.68733123e-01   -4.80000000e-02   -2.40000000e-02   -2.40000000e-02    1.79401489e-01
77      -2.30000000e-02    0.00000000e+00   -1.37621117e-08   -4.22671010e-07   -4.22670938e-07    0.00000000e+00    1.68841345e-01   -4.60000000e-02   -2.30000000e-02   -2.30000000e-02    1.79384286e-01
78      -2.20000000e-02    0.00000000e+00   -1.30517004e-08   -4.01004756e-07   -4.01004708e-07    0.00000000e+00    1.68949715e-01   -4.40000000e-02   -2.20000000e-02   -2.20000000e-02    1.79367666e-01
79      -2.10000000e-02    0.00000000e+00   -1.23566744e-08   -3.79787718e-07   -3.79787669e-07    0.00000000e+00    1.69058239e-01   -4.20000000e-02   -2.10000000e-02   -2.10000000e-02    1.79351621e-01
80      -2.00000000e-02    0.00000000e+00   -1.16762328e-08   -3.58997054e-07   -3.58997000e-07    0.00000000e+00    1.69166920e-01   -4.00000000e-02   -2.00000000e-02   -2.00000000e-02    1.79336146e-01
81      -1.90000000e-02    0.00000000e+00   -1.10095892e-08   -3.38610259e-07   -3.38610213e-07    0.00000000e+00    1.69275765e-01   -3.80000000e-02   -1.90000000e-02   -1.90000000e-02    1.79321232e-01
82      -1.80000000e-02    0.00000000e+00   -1.03559708e-08   -3.18605196e-07   -3.18605140e-07    0.00000000e+00    1.69384778e-01   -3.60000000e-02   -1.80000000e-02   -1.80000000e-02    1.79306873e-01
83      -1.70000000e-02    0.00000000e+00   -9.71461772e-09   -2.98959960e-07   -2.98959911e-07    0.00000000e+00    1.69493963e-01   -3.40000000e-02   -1.70000000e-02   -1.70000000e-02    1.79293062e-01
84      -1.60000000e-02    0.00000000e+00   -9.08478235e-09   -2.79652993e-07   -2.79652944e-07    0.00000000e+00    1.69603326e-01   -3.20000000e-02   -1.60000000e-02   -1.60000000e-02    1.79279794e-01
85      -1.50000000e-02    0.00000000e+00   -8.46572838e-09   -2.60662967e-07   -2.60662925e-07    0.00000000e+00    1.69712870e-01   -3.00000000e-02   -1.50000000e-02   -1.50000000e-02    1.79267063e-01
86      -1.40000000e-02    0.00000000e+00   -7.85673025e-09   -2.41968831e-07   -2.41968796e-07    0.00000000e+00    1.69822601e-01   -2.80000000e-02   -1.40000000e-02   -1.40000000e-02    1.79254862e-01
87      -1.30000000e-02    0.00000000e+00   -7.25707242e-09   -2.23549768e-07   -2.23549735e-07    0.00000000e+00    1.69932522e-01   -2.60000000e-02   -1.30000000e-02   -1.30000000e-02    1.79243186e-01
88      -1.20000000e-02    0.00000000e+00   -6.66604869e-09   -2.05385180e-07   -2.05385148e-07    0.00000000e+00    1.70042637e-01   -2.40000000e-02   -1.20000000e-02   -1.20000000e-02    1.79232029e-01
89      -1.10000000e-02    0.00000000e+00   -6.08296153e-09   -1.87454671e-07   -1.87454646e-07    0.00000000e+00    1.70152951e-01   -2.20000000e-02   -1.10000000e-02   -1.10000000e-02    1.79221387e-01
90      -1.00000000e-02    0.00000000e+00   -5.50712142e-09   -1.69738059e-07   -1.69738034e-07    0.00000000e+00    1.70263466e-01   -2.00000000e-02   -9.99999999e-03   -9.99999999e-03    1.79211253e-01
91      -9.00000000e-03    0.00000000e+00   -4.93784614e-09   -1.52215321e-07   -1.52215295e-07    0.00000000e+00    1.70374186e-01   -1.80000000e-02   -9.00000000e-03   -9.00000000e-03    1.79201622e-01
92      -8.00000000e-03    0.00000000e+00   -4.37446019e-09   -1.34866597e-07   -1.34866576e-07    0.00000000e+00    1.70485114e-01   -1.60000000e-02   -8.00000000e-03   -8.00000000e-03    1.79192490e-01
