Index       V(D)              V(G)            {-I(VD)}     
181      5.00000000e-01    7.00000000e-01    7.15850691e-05
182      5.10000000e-01    7.00000000e-01    7.17519369e-05
183      5.20000000e-01    7.00000000e-01    7.19007646e-05
184      5.30000000e-01    7.00000000e-01    7.20341618e-05
185      5.40000000e-01    7.00000000e-01    7.21544752e-05
186      5.50000000e-01    7.00000000e-01    7.22637842e-05
187      5.60000000e-01    7.00000000e-01    7.23639069e-05
188      5.70000000e-01    7.00000000e-01    7.24564132e-05
189      5.80000000e-01    7.00000000e-01    7.25426437e-05
190      5.90000000e-01    7.00000000e-01    7.26237318e-05
191      6.00000000e-01    7.00000000e-01    7.27006272e-05
192      6.10000000e-01    7.00000000e-01    7.27741192e-05
193      6.20000000e-01    7.00000000e-01    7.28448598e-05
194      6.30000000e-01    7.00000000e-01    7.29133837e-05
195      6.40000000e-01    7.00000000e-01    7.29801276e-05
196      6.50000000e-01    7.00000000e-01    7.30454464e-05
197      6.60000000e-01    7.00000000e-01    7.31096274e-05
198      6.70000000e-01    7.00000000e-01    7.31729023e-05
199      6.80000000e-01    7.00000000e-01    7.32354576e-05
200      6.90000000e-01    7.00000000e-01    7.32974427e-05
201      7.00000000e-01    7.00000000e-01    7.33589772e-05
202      7.10000000e-01    7.00000000e-01    7.34201565e-05
203      7.20000000e-01    7.00000000e-01    7.34810567e-05
204      7.30000000e-01    7.00000000e-01    7.35417380e-05
205      7.40000000e-01    7.00000000e-01    7.36022485e-05
206      7.50000000e-01    7.00000000e-01    7.36626257e-05
207      7.60000000e-01    7.00000000e-01    7.37228996e-05
208      7.70000000e-01    7.00000000e-01    7.37830934e-05
209      7.80000000e-01    7.00000000e-01    7.38432255e-05
210      7.90000000e-01    7.00000000e-01    7.39033101e-05
211      8.00000000e-01    7.00000000e-01    7.39633582e-05
212      8.10000000e-01    7.00000000e-01    7.40233783e-05
213      8.20000000e-01    7.00000000e-01    7.40833767e-05
214      8.30000000e-01    7.00000000e-01    7.41433584e-05
215      8.40000000e-01    7.00000000e-01    7.42033269e-05
216      8.50000000e-01    7.00000000e-01    7.42632848e-05
217      8.60000000e-01    7.00000000e-01    7.43232341e-05
218      8.70000000e-01    7.00000000e-01    7.43831758e-05
219      8.80000000e-01    7.00000000e-01    7.44431110e-05
220      8.90000000e-01    7.00000000e-01    7.45030399e-05
221      9.00000000e-01    7.00000000e-01    7.45629628e-05
222      9.10000000e-01    7.00000000e-01    7.46228797e-05
223      9.20000000e-01    7.00000000e-01    7.46827904e-05
224      9.30000000e-01    7.00000000e-01    7.47426947e-05
225      9.40000000e-01    7.00000000e-01    7.48025921e-05
226      9.50000000e-01    7.00000000e-01    7.48624824e-05
227      9.60000000e-01    7.00000000e-01    7.49223651e-05
228      9.70000000e-01    7.00000000e-01    7.49822398e-05
229      9.80000000e-01    7.00000000e-01    7.50421061e-05
230      9.90000000e-01    7.00000000e-01    7.51019636e-05
231      1.00000000e+00    7.00000000e-01    7.51618118e-05
232      1.01000000e+00    7.00000000e-01    7.52216504e-05
233      1.02000000e+00    7.00000000e-01    7.52814790e-05
234      1.03000000e+00    7.00000000e-01    7.53412973e-05
235      1.04000000e+00    7.00000000e-01    7.54011050e-05
236      1.05000000e+00    7.00000000e-01    7.54609017e-05
237      1.06000000e+00    7.00000000e-01    7.55206872e-05
238      1.07000000e+00    7.00000000e-01    7.55804612e-05
239      1.08000000e+00    7.00000000e-01    7.56402236e-05
240      1.09000000e+00    7.00000000e-01    7.56999741e-05
241      1.10000000e+00    7.00000000e-01    7.57597124e-05
242      1.11000000e+00    7.00000000e-01    7.58194386e-05
243      1.12000000e+00    7.00000000e-01    7.58791524e-05
244      1.13000000e+00    7.00000000e-01    7.59388536e-05
245      1.14000000e+00    7.00000000e-01    7.59985423e-05
246      1.15000000e+00    7.00000000e-01    7.60582182e-05
247      1.16000000e+00    7.00000000e-01    7.61178813e-05
248      1.17000000e+00    7.00000000e-01    7.61775315e-05
249      1.18000000e+00    7.00000000e-01    7.62371688e-05
250      1.19000000e+00    7.00000000e-01    7.62967931e-05
251      1.20000000e+00    7.00000000e-01    7.63564044e-05
252      1.21000000e+00    7.00000000e-01    7.64160027e-05
253      1.22000000e+00    7.00000000e-01    7.64755880e-05
254      1.23000000e+00    7.00000000e-01    7.65351602e-05
255      1.24000000e+00    7.00000000e-01    7.65947193e-05
256      1.25000000e+00    7.00000000e-01    7.66542654e-05
257      1.26000000e+00    7.00000000e-01    7.67137985e-05
258      1.27000000e+00    7.00000000e-01    7.67733186e-05
259      1.28000000e+00    7.00000000e-01    7.68328257e-05
260      1.29000000e+00    7.00000000e-01    7.68923199e-05
261      1.30000000e+00    7.00000000e-01    7.69518012e-05
262      0.00000000e+00    1.00000000e+00   -0.00000000e+00
263      1.00000000e-02    1.00000000e+00    3.56798332e-06
264      2.00000000e-02    1.00000000e+00    7.11091752e-06
265      3.00000000e-02    1.00000000e+00    1.06281113e-05
266      4.00000000e-02    1.00000000e+00    1.41188739e-05
267      5.00000000e-02    1.00000000e+00    1.75825183e-05
268      6.00000000e-02    1.00000000e+00    2.10183626e-05
269      7.00000000e-02    1.00000000e+00    2.44257304e-05
270      8.00000000e-02    1.00000000e+00    2.78039506e-05
271      9.00000000e-02    1.00000000e+00    3.11523557e-05
272      1.00000000e-01    1.00000000e+00    3.44702811e-05
273      1.10000000e-01    1.00000000e+00    3.77570636e-05
274      1.20000000e-01    1.00000000e+00    4.10120405e-05
275      1.30000000e-01    1.00000000e+00    4.42345484e-05
276      1.40000000e-01    1.00000000e+00    4.74239224e-05
277      1.50000000e-01    1.00000000e+00    5.05794956e-05
278      1.60000000e-01    1.00000000e+00    5.37005984e-05
279      1.70000000e-01    1.00000000e+00    5.67865576e-05
280      1.80000000e-01    1.00000000e+00    5.98366963e-05
281      1.90000000e-01    1.00000000e+00    6.28503329e-05
282      2.00000000e-01    1.00000000e+00    6.58267809e-05
283      2.10000000e-01    1.00000000e+00    6.87653481e-05
284      2.20000000e-01    1.00000000e+00    7.16653363e-05
285      2.30000000e-01    1.00000000e+00    7.45260402e-05
286      2.40000000e-01    1.00000000e+00    7.73467476e-05
287      2.50000000e-01    1.00000000e+00    8.01267380e-05
288      2.60000000e-01    1.00000000e+00    8.28652827e-05
289      2.70000000e-01    1.00000000e+00    8.55616441e-05
290      2.80000000e-01    1.00000000e+00    8.82150753e-05
291      2.90000000e-01    1.00000000e+00    9.08248197e-05
292      3.00000000e-01    1.00000000e+00    9.33901109e-05
293      3.10000000e-01    1.00000000e+00    9.59101729e-05
294      3.20000000e-01    1.00000000e+00    9.83842198e-05
295      3.30000000e-01    1.00000000e+00    1.00811457e-04
296      3.40000000e-01    1.00000000e+00    1.03191080e-04
297      3.50000000e-01    1.00000000e+00    1.05522280e-04
298      3.60000000e-01    1.00000000e+00    1.07804240e-04
299      3.70000000e-01    1.00000000e+00    1.10036139e-04
300      3.80000000e-01    1.00000000e+00    1.12217157e-04
301      3.90000000e-01    1.00000000e+00    1.14346472e-04
302      4.00000000e-01    1.00000000e+00    1.16423271e-04
303      4.10000000e-01    1.00000000e+00    1.18446748e-04
304      4.20000000e-01    1.00000000e+00    1.20416115e-04
305      4.30000000e-01    1.00000000e+00    1.22330602e-04
306      4.40000000e-01    1.00000000e+00    1.24189467e-04
307      4.50000000e-01    1.00000000e+00    1.25992003e-04
308      4.60000000e-01    1.00000000e+00    1.27737549e-04
309      4.70000000e-01    1.00000000e+00    1.29425493e-04
310      4.80000000e-01    1.00000000e+00    1.31055286e-04
311      4.90000000e-01    1.00000000e+00    1.32626455e-04
312      5.00000000e-01    1.00000000e+00    1.34138609e-04
313      5.10000000e-01    1.00000000e+00    1.35591452e-04
314      5.20000000e-01    1.00000000e+00    1.36984797e-04
315      5.30000000e-01    1.00000000e+00    1.38318577e-04
316      5.40000000e-01    1.00000000e+00    1.39592854e-04
