Index       V(G)              V(B)            {-I(VD)}     
67      -6.30000000e-01   -3.00000000e-01    1.79065796e-09
68      -6.20000000e-01   -3.00000000e-01    1.72827044e-09
69      -6.10000000e-01   -3.00000000e-01    1.66774214e-09
70      -6.00000000e-01   -3.00000000e-01    1.60902787e-09
71      -5.90000000e-01   -3.00000000e-01    1.55208325e-09
72      -5.80000000e-01   -3.00000000e-01    1.49686472e-09
73      -5.70000000e-01   -3.00000000e-01    1.44332953e-09
74      -5.60000000e-01   -3.00000000e-01    1.39143571e-09
75      -5.50000000e-01   -3.00000000e-01    1.34114206e-09
76      -5.40000000e-01   -3.00000000e-01    1.29240817e-09
77      -5.30000000e-01   -3.00000000e-01    1.24519439e-09
78      -5.20000000e-01   -3.00000000e-01    1.19946184e-09
79      -5.10000000e-01   -3.00000000e-01    1.15517237e-09
80      -5.00000000e-01   -3.00000000e-01    1.11228859e-09
81      -4.90000000e-01   -3.00000000e-01    1.07077382e-09
82      -4.80000000e-01   -3.00000000e-01    1.03059213e-09
83      -4.70000000e-01   -3.00000000e-01    9.91708307e-10
84      -4.60000000e-01   -3.00000000e-01    9.54087833e-10
85      -4.50000000e-01   -3.00000000e-01    9.17696909e-10
86      -4.40000000e-01   -3.00000000e-01    8.82502434e-10
87      -4.30000000e-01   -3.00000000e-01    8.48472001e-10
88      -4.20000000e-01   -3.00000000e-01    8.15573900e-10
89      -4.10000000e-01   -3.00000000e-01    7.83777112e-10
90      -4.00000000e-01   -3.00000000e-01    7.53051316e-10
91      -3.90000000e-01   -3.00000000e-01    7.23366894e-10
92      -3.80000000e-01   -3.00000000e-01    6.94694942e-10
93      -3.70000000e-01   -3.00000000e-01    6.67007294e-10
94      -3.60000000e-01   -3.00000000e-01    6.40276553e-10
95      -3.50000000e-01   -3.00000000e-01    6.14476132e-10
96      -3.40000000e-01   -3.00000000e-01    5.89580325e-10
97      -3.30000000e-01   -3.00000000e-01    5.65564399e-10
98      -3.20000000e-01   -3.00000000e-01    5.42404724e-10
99      -3.10000000e-01   -3.00000000e-01    5.20078955e-10
100     -3.00000000e-01   -3.00000000e-01    4.98566288e-10
101     -2.90000000e-01   -3.00000000e-01    4.77847808e-10
102     -2.80000000e-01   -3.00000000e-01    4.57906973e-10
103     -2.70000000e-01   -3.00000000e-01    4.38730279e-10
104     -2.60000000e-01   -3.00000000e-01    4.20308174e-10
105     -2.50000000e-01   -3.00000000e-01    4.02636321e-10
106     -2.40000000e-01   -3.00000000e-01    3.85717319e-10
107     -2.30000000e-01   -3.00000000e-01    3.69563086e-10
108     -2.20000000e-01   -3.00000000e-01    3.54198114e-10
109     -2.10000000e-01   -3.00000000e-01    3.39663948e-10
110     -2.00000000e-01   -3.00000000e-01    3.26025333e-10
111     -1.90000000e-01   -3.00000000e-01    3.13378655e-10
112     -1.80000000e-01   -3.00000000e-01    3.01863534e-10
113     -1.70000000e-01   -3.00000000e-01    2.91678734e-10
114     -1.60000000e-01   -3.00000000e-01    2.83104029e-10
115     -1.50000000e-01   -3.00000000e-01    2.76530221e-10
116     -1.40000000e-01   -3.00000000e-01    2.72500379e-10
117     -1.30000000e-01   -3.00000000e-01    2.71766490e-10
118     -1.20000000e-01   -3.00000000e-01    2.75367282e-10
119     -1.10000000e-01   -3.00000000e-01    2.84735149e-10
120     -1.00000000e-01   -3.00000000e-01    3.01843039e-10
121     -9.00000000e-02   -3.00000000e-01    3.29406275e-10
122     -8.00000000e-02   -3.00000000e-01    3.71159774e-10
123     -7.00000000e-02   -3.00000000e-01    4.32238810e-10
124     -6.00000000e-02   -3.00000000e-01    5.19701805e-10
125     -5.00000000e-02   -3.00000000e-01    6.43247802e-10
126     -4.00000000e-02   -3.00000000e-01    8.16200426e-10
127     -3.00000000e-02   -3.00000000e-01    1.05685595e-09
128     -2.00000000e-02   -3.00000000e-01    1.39032757e-09
129     -1.00000000e-02   -3.00000000e-01    1.85106326e-09
130      0.00000000e+00   -3.00000000e-01    2.48627371e-09
131      1.00000000e-02   -3.00000000e-01    3.36058027e-09
132      2.00000000e-02   -3.00000000e-01    4.56228251e-09
133      3.00000000e-02   -3.00000000e-01    6.21174409e-09
134      4.00000000e-02   -3.00000000e-01    8.47249204e-09
135      5.00000000e-02   -3.00000000e-01    1.15656860e-08
136      6.00000000e-02   -3.00000000e-01    1.57885808e-08
137      7.00000000e-02   -3.00000000e-01    2.15373742e-08
138      8.00000000e-02   -3.00000000e-01    2.93342483e-08
139      9.00000000e-02   -3.00000000e-01    3.98572776e-08
140      1.00000000e-01   -3.00000000e-01    5.39700358e-08
141      1.10000000e-01   -3.00000000e-01    7.27452086e-08
142      1.20000000e-01   -3.00000000e-01    9.74738301e-08
143      1.30000000e-01   -3.00000000e-01    1.29650076e-07
144      1.40000000e-01   -3.00000000e-01    1.70922585e-07
145      1.50000000e-01   -3.00000000e-01    2.23008417e-07
146      1.60000000e-01   -3.00000000e-01    2.87574693e-07
147      1.70000000e-01   -3.00000000e-01    3.66103155e-07
148      1.80000000e-01   -3.00000000e-01    4.59760634e-07
149      1.90000000e-01   -3.00000000e-01    5.69300571e-07
150      2.00000000e-01   -3.00000000e-01    6.95015214e-07
151      2.10000000e-01   -3.00000000e-01    8.36744483e-07
152      2.20000000e-01   -3.00000000e-01    9.93932188e-07
153      2.30000000e-01   -3.00000000e-01    1.16571216e-06
154      2.40000000e-01   -3.00000000e-01    1.35100582e-06
155      2.50000000e-01   -3.00000000e-01    1.54861421e-06
156      2.60000000e-01   -3.00000000e-01    1.75729305e-06
157      2.70000000e-01   -3.00000000e-01    1.97580817e-06
158      2.80000000e-01   -3.00000000e-01    2.20297440e-06
159      2.90000000e-01   -3.00000000e-01    2.43768047e-06
160      3.00000000e-01   -3.00000000e-01    2.67890210e-06
161      3.10000000e-01   -3.00000000e-01    2.92570555e-06
162      3.20000000e-01   -3.00000000e-01    3.17724527e-06
163      3.30000000e-01   -3.00000000e-01    3.43275821e-06
164      3.40000000e-01   -3.00000000e-01    3.69155671e-06
165      3.50000000e-01   -3.00000000e-01    3.95302114e-06
166      3.60000000e-01   -3.00000000e-01    4.21659271e-06
167      3.70000000e-01   -3.00000000e-01    4.48176693e-06
168      3.80000000e-01   -3.00000000e-01    4.74808760e-06
169      3.90000000e-01   -3.00000000e-01    5.01514151e-06
170      4.00000000e-01   -3.00000000e-01    5.28255375e-06
171      4.10000000e-01   -3.00000000e-01    5.54998358e-06
172      4.20000000e-01   -3.00000000e-01    5.81712080e-06
173      4.30000000e-01   -3.00000000e-01    6.08368264e-06
174      4.40000000e-01   -3.00000000e-01    6.34941091e-06
175      4.50000000e-01   -3.00000000e-01    6.61406967e-06
176      4.60000000e-01   -3.00000000e-01    6.87744303e-06
177      4.70000000e-01   -3.00000000e-01    7.13933334e-06
178      4.80000000e-01   -3.00000000e-01    7.39955955e-06
179      4.90000000e-01   -3.00000000e-01    7.65795571e-06
180      5.00000000e-01   -3.00000000e-01    7.91436979e-06
181      5.10000000e-01   -3.00000000e-01    8.16866243e-06
182      5.20000000e-01   -3.00000000e-01    8.42070605e-06
183      5.30000000e-01   -3.00000000e-01    8.67038386e-06
184      5.40000000e-01   -3.00000000e-01    8.91758910e-06
185      5.50000000e-01   -3.00000000e-01    9.16222430e-06
186      5.60000000e-01   -3.00000000e-01    9.40420062e-06
187      5.70000000e-01   -3.00000000e-01    9.64343730e-06
188      5.80000000e-01   -3.00000000e-01    9.87986104e-06
189      5.90000000e-01   -3.00000000e-01    1.01134056e-05
190      6.00000000e-01   -3.00000000e-01    1.03440113e-05
191      6.10000000e-01   -3.00000000e-01    1.05716247e-05
192      6.20000000e-01   -3.00000000e-01    1.07961980e-05
193      6.30000000e-01   -3.00000000e-01    1.10176889e-05
194      6.40000000e-01   -3.00000000e-01    1.12360602e-05
195      6.50000000e-01   -3.00000000e-01    1.14512796e-05
196      6.60000000e-01   -3.00000000e-01    1.16633192e-05
197      6.70000000e-01   -3.00000000e-01    1.18721554e-05
198      6.80000000e-01   -3.00000000e-01    1.20777687e-05
199      6.90000000e-01   -3.00000000e-01    1.22801433e-05
200      7.00000000e-01   -3.00000000e-01    1.24792671e-05
201      7.10000000e-01   -3.00000000e-01    1.26751312e-05
202      7.20000000e-01   -3.00000000e-01    1.28677300e-05
203      7.30000000e-01   -3.00000000e-01    1.30570608e-05
204      7.40000000e-01   -3.00000000e-01    1.32431239e-05
205      7.50000000e-01   -3.00000000e-01    1.34259222e-05
206      7.60000000e-01   -3.00000000e-01    1.36054609e-05
207      7.70000000e-01   -3.00000000e-01    1.37817479e-05
208      7.80000000e-01   -3.00000000e-01    1.39547930e-05
209      7.90000000e-01   -3.00000000e-01    1.41246083e-05
210      8.00000000e-01   -3.00000000e-01    1.42912079e-05
211      8.10000000e-01   -3.00000000e-01    1.44546076e-05
212      8.20000000e-01   -3.00000000e-01    1.46148248e-05
213      8.30000000e-01   -3.00000000e-01    1.47718789e-05
214      8.40000000e-01   -3.00000000e-01    1.49257906e-05
215      8.50000000e-01   -3.00000000e-01    1.50765818e-05
216      8.60000000e-01   -3.00000000e-01    1.52242761e-05
217      8.70000000e-01   -3.00000000e-01    1.53688981e-05
218      8.80000000e-01   -3.00000000e-01    1.55104736e-05
219      8.90000000e-01   -3.00000000e-01    1.56490293e-05
220      9.00000000e-01   -3.00000000e-01    1.57845932e-05
221      9.10000000e-01   -3.00000000e-01    1.59171938e-05
222      9.20000000e-01   -3.00000000e-01    1.60468607e-05
223      9.30000000e-01   -3.00000000e-01    1.61736243e-05
224      9.40000000e-01   -3.00000000e-01    1.62975153e-05
225      9.50000000e-01   -3.00000000e-01    1.64185655e-05
226      9.60000000e-01   -3.00000000e-01    1.65368070e-05
227      9.70000000e-01   -3.00000000e-01    1.66522724e-05
228      9.80000000e-01   -3.00000000e-01    1.67649949e-05
229      9.90000000e-01   -3.00000000e-01    1.68750079e-05
230      1.00000000e+00   -3.00000000e-01    1.69823454e-05
231      1.01000000e+00   -3.00000000e-01    1.70870414e-05
232      1.02000000e+00   -3.00000000e-01    1.71891304e-05
233      1.03000000e+00   -3.00000000e-01    1.72886471e-05
234      1.04000000e+00   -3.00000000e-01    1.73856263e-05
235      1.05000000e+00   -3.00000000e-01    1.74801029e-05
236      1.06000000e+00   -3.00000000e-01    1.75721119e-05
237      1.07000000e+00   -3.00000000e-01    1.76616886e-05
238      1.08000000e+00   -3.00000000e-01    1.77488680e-05
239      1.09000000e+00   -3.00000000e-01    1.78336854e-05
240      1.10000000e+00   -3.00000000e-01    1.79161758e-05
241      1.11000000e+00   -3.00000000e-01    1.79963743e-05
242      1.12000000e+00   -3.00000000e-01    1.80743160e-05
243      1.13000000e+00   -3.00000000e-01    1.81500357e-05
244      1.14000000e+00   -3.00000000e-01    1.82235683e-05
245      1.15000000e+00   -3.00000000e-01    1.82949482e-05
246      1.16000000e+00   -3.00000000e-01    1.83642101e-05
247      1.17000000e+00   -3.00000000e-01    1.84313882e-05
248      1.18000000e+00   -3.00000000e-01    1.84965165e-05
249      1.19000000e+00   -3.00000000e-01    1.85596289e-05
250      1.20000000e+00   -3.00000000e-01    1.86207589e-05
251      1.21000000e+00   -3.00000000e-01    1.86799400e-05
252      1.22000000e+00   -3.00000000e-01    1.87372053e-05
253      1.23000000e+00   -3.00000000e-01    1.87925875e-05
254      1.24000000e+00   -3.00000000e-01    1.88461193e-05
255      1.25000000e+00   -3.00000000e-01    1.88978327e-05
256      1.26000000e+00   -3.00000000e-01    1.89477598e-05
257      1.27000000e+00   -3.00000000e-01    1.89959321e-05
258      1.28000000e+00   -3.00000000e-01    1.90423809e-05
259      1.29000000e+00   -3.00000000e-01    1.90871372e-05
260      1.30000000e+00   -3.00000000e-01    1.91302316e-05
261     -1.30000000e+00   -2.00000000e-01    1.34238602e-08
262     -1.29000000e+00   -2.00000000e-01    1.30840910e-08
263     -1.28000000e+00   -2.00000000e-01    1.27514655e-08
264     -1.27000000e+00   -2.00000000e-01    1.24258672e-08
265     -1.26000000e+00   -2.00000000e-01    1.21071809e-08
266     -1.25000000e+00   -2.00000000e-01    1.17952928e-08
267     -1.24000000e+00   -2.00000000e-01    1.14900901e-08
268     -1.23000000e+00   -2.00000000e-01    1.11914616e-08
269     -1.22000000e+00   -2.00000000e-01    1.08992969e-08
270     -1.21000000e+00   -2.00000000e-01    1.06134872e-08
271     -1.20000000e+00   -2.00000000e-01    1.03339247e-08
272     -1.19000000e+00   -2.00000000e-01    1.00605029e-08
273     -1.18000000e+00   -2.00000000e-01    9.79311651e-09
274     -1.17000000e+00   -2.00000000e-01    9.53166152e-09
275     -1.16000000e+00   -2.00000000e-01    9.27603504e-09
276     -1.15000000e+00   -2.00000000e-01    9.02613540e-09
277     -1.14000000e+00   -2.00000000e-01    8.78186216e-09
278     -1.13000000e+00   -2.00000000e-01    8.54311605e-09
279     -1.12000000e+00   -2.00000000e-01    8.30979900e-09
280     -1.11000000e+00   -2.00000000e-01    8.08181412e-09
281     -1.10000000e+00   -2.00000000e-01    7.85906570e-09
282     -1.09000000e+00   -2.00000000e-01    7.64145920e-09
283     -1.08000000e+00   -2.00000000e-01    7.42890124e-09
284     -1.07000000e+00   -2.00000000e-01    7.22129962e-09
285     -1.06000000e+00   -2.00000000e-01    7.01856330e-09
286     -1.05000000e+00   -2.00000000e-01    6.82060236e-09
287     -1.04000000e+00   -2.00000000e-01    6.62732805e-09
288     -1.03000000e+00   -2.00000000e-01    6.43865275e-09
289     -1.02000000e+00   -2.00000000e-01    6.25448998e-09
290     -1.01000000e+00   -2.00000000e-01    6.07475439e-09
291     -1.00000000e+00   -2.00000000e-01    5.89936173e-09
292     -9.90000000e-01   -2.00000000e-01    5.72822889e-09
293     -9.80000000e-01   -2.00000000e-01    5.56127384e-09
294     -9.70000000e-01   -2.00000000e-01    5.39841569e-09
295     -9.60000000e-01   -2.00000000e-01    5.23957462e-09
296     -9.50000000e-01   -2.00000000e-01    5.08467190e-09
297     -9.40000000e-01   -2.00000000e-01    4.93362988e-09
298     -9.30000000e-01   -2.00000000e-01    4.78637201e-09
299     -9.20000000e-01   -2.00000000e-01    4.64282278e-09
300     -9.10000000e-01   -2.00000000e-01    4.50290776e-09
301     -9.00000000e-01   -2.00000000e-01    4.36655357e-09
302     -8.90000000e-01   -2.00000000e-01    4.23368788e-09
303     -8.80000000e-01   -2.00000000e-01    4.10423940e-09
304     -8.70000000e-01   -2.00000000e-01    3.97813788e-09
305     -8.60000000e-01   -2.00000000e-01    3.85531409e-09
306     -8.50000000e-01   -2.00000000e-01    3.73569984e-09
307     -8.40000000e-01   -2.00000000e-01    3.61922791e-09
308     -8.30000000e-01   -2.00000000e-01    3.50583214e-09
309     -8.20000000e-01   -2.00000000e-01    3.39544732e-09
310     -8.10000000e-01   -2.00000000e-01    3.28800928e-09
311     -8.00000000e-01   -2.00000000e-01    3.18345479e-09
312     -7.90000000e-01   -2.00000000e-01    3.08172161e-09
313     -7.80000000e-01   -2.00000000e-01    2.98274849e-09
314     -7.70000000e-01   -2.00000000e-01    2.88647511e-09
315     -7.60000000e-01   -2.00000000e-01    2.79284212e-09
316     -7.50000000e-01   -2.00000000e-01    2.70179112e-09
317     -7.40000000e-01   -2.00000000e-01    2.61326463e-09
318     -7.30000000e-01   -2.00000000e-01    2.52720611e-09
319     -7.20000000e-01   -2.00000000e-01    2.44355995e-09
320     -7.10000000e-01   -2.00000000e-01    2.36227144e-09
321     -7.00000000e-01   -2.00000000e-01    2.28328679e-09
322     -6.90000000e-01   -2.00000000e-01    2.20655309e-09
323     -6.80000000e-01   -2.00000000e-01    2.13201834e-09
324     -6.70000000e-01   -2.00000000e-01    2.05963141e-09
325     -6.60000000e-01   -2.00000000e-01    1.98934205e-09
326     -6.50000000e-01   -2.00000000e-01    1.92110087e-09
327     -6.40000000e-01   -2.00000000e-01    1.85485933e-09
328     -6.30000000e-01   -2.00000000e-01    1.79056976e-09
329     -6.20000000e-01   -2.00000000e-01    1.72818532e-09
330     -6.10000000e-01   -2.00000000e-01    1.66766000e-09
331     -6.00000000e-01   -2.00000000e-01    1.60894862e-09
332     -5.90000000e-01   -2.00000000e-01    1.55200681e-09
333     -5.80000000e-01   -2.00000000e-01    1.49679101e-09
334     -5.70000000e-01   -2.00000000e-01    1.44325847e-09
335     -5.60000000e-01   -2.00000000e-01    1.39136721e-09
336     -5.50000000e-01   -2.00000000e-01    1.34107605e-09
337     -5.40000000e-01   -2.00000000e-01    1.29234458e-09
338     -5.30000000e-01   -2.00000000e-01    1.24513315e-09
339     -5.20000000e-01   -2.00000000e-01    1.19940288e-09
340     -5.10000000e-01   -2.00000000e-01    1.15511563e-09
341     -5.00000000e-01   -2.00000000e-01    1.11223401e-09
342     -4.90000000e-01   -2.00000000e-01    1.07072136e-09
343     -4.80000000e-01   -2.00000000e-01    1.03054175e-09
344     -4.70000000e-01   -2.00000000e-01    9.91659973e-10
345     -4.60000000e-01   -2.00000000e-01    9.54041531e-10
346     -4.50000000e-01   -2.00000000e-01    9.17652639e-10
347     -4.40000000e-01   -2.00000000e-01    8.82460221e-10
348     -4.30000000e-01   -2.00000000e-01    8.48431902e-10
349     -4.20000000e-01   -2.00000000e-01    8.15536013e-10
350     -4.10000000e-01   -2.00000000e-01    7.83741589e-10
351     -4.00000000e-01   -2.00000000e-01    7.53018386e-10
352     -3.90000000e-01   -2.00000000e-01    7.23336885e-10
353     -3.80000000e-01   -2.00000000e-01    6.94668319e-10
354     -3.70000000e-01   -2.00000000e-01    6.66984707e-10
355     -3.60000000e-01   -2.00000000e-01    6.40258898e-10
356     -3.50000000e-01   -2.00000000e-01    6.14464644e-10
357     -3.40000000e-01   -2.00000000e-01    5.89576696e-10
358     -3.30000000e-01   -2.00000000e-01    5.65570940e-10
359     -3.20000000e-01   -2.00000000e-01    5.42424586e-10
360     -3.10000000e-01   -2.00000000e-01    5.20116432e-10
361     -3.00000000e-01   -2.00000000e-01    4.98627224e-10
362     -2.90000000e-01   -2.00000000e-01    4.77940154e-10
363     -2.80000000e-01   -2.00000000e-01    4.58041541e-10
364     -2.70000000e-01   -2.00000000e-01    4.38921775e-10
365     -2.60000000e-01   -2.00000000e-01    4.20576596e-10
366     -2.50000000e-01   -2.00000000e-01    4.03008867e-10
367     -2.40000000e-01   -2.00000000e-01    3.86230985e-10
368     -2.30000000e-01   -2.00000000e-01    3.70268200e-10
369     -2.20000000e-01   -2.00000000e-01    3.55163155e-10
370     -2.10000000e-01   -2.00000000e-01    3.40982112e-10
371     -2.00000000e-01   -2.00000000e-01    3.27823480e-10
372     -1.90000000e-01   -2.00000000e-01    3.15829507e-10
373     -1.80000000e-01   -2.00000000e-01    3.05202303e-10
374     -1.70000000e-01   -2.00000000e-01    2.96225808e-10
375     -1.60000000e-01   -2.00000000e-01    2.89295901e-10
376     -1.50000000e-01   -2.00000000e-01    2.84961700e-10
377     -1.40000000e-01   -2.00000000e-01    2.83982174e-10
378     -1.30000000e-01   -2.00000000e-01    2.87403796e-10
379     -1.20000000e-01   -2.00000000e-01    2.96667041e-10
380     -1.10000000e-01   -2.00000000e-01    3.13752436e-10
381     -1.00000000e-01   -2.00000000e-01    3.41380890e-10
382     -9.00000000e-02   -2.00000000e-01    3.83288413e-10
383     -8.00000000e-02   -2.00000000e-01    4.44602805e-10
384     -7.00000000e-02   -2.00000000e-01    5.32360018e-10
385     -6.00000000e-02   -2.00000000e-01    6.56211663e-10
386     -5.00000000e-02   -2.00000000e-01    8.29393746e-10
387     -4.00000000e-02   -2.00000000e-01    1.07005180e-09
388     -3.00000000e-02   -2.00000000e-01    1.40305097e-09
389     -2.00000000e-02   -2.00000000e-01    1.86244351e-09
390     -1.00000000e-02   -2.00000000e-01    2.49482316e-09
391      0.00000000e+00   -2.00000000e-01    3.36386715e-09
392      1.00000000e-02   -2.00000000e-01    4.55645275e-09
393      2.00000000e-02   -2.00000000e-01    6.19083162e-09
394      3.00000000e-02   -2.00000000e-01    8.42743868e-09
395      4.00000000e-02   -2.00000000e-01    1.14829733e-08
396      5.00000000e-02   -2.00000000e-01    1.56483629e-08
397      6.00000000e-02   -2.00000000e-01    2.13110049e-08
398      7.00000000e-02   -2.00000000e-01    2.89811353e-08
399      8.00000000e-02   -2.00000000e-01    3.93211032e-08
400      9.00000000e-02   -2.00000000e-01    5.31745840e-08
401      1.00000000e-01   -2.00000000e-01    7.15903513e-08
402      1.10000000e-01   -2.00000000e-01    9.58326085e-08
403      1.20000000e-01   -2.00000000e-01    1.27368145e-07
404      1.30000000e-01   -2.00000000e-01    1.67821358e-07
405      1.40000000e-01   -2.00000000e-01    2.18892838e-07
406      1.50000000e-01   -2.00000000e-01    2.82245640e-07
407      1.60000000e-01   -2.00000000e-01    3.59373214e-07
408      1.70000000e-01   -2.00000000e-01    4.51470804e-07
409      1.80000000e-01   -2.00000000e-01    5.59334888e-07
410      1.90000000e-01   -2.00000000e-01    6.83310733e-07
411      2.00000000e-01   -2.00000000e-01    8.23295497e-07
412      2.10000000e-01   -2.00000000e-01    9.78788897e-07
413      2.20000000e-01   -2.00000000e-01    1.14897482e-06
414      2.30000000e-01   -2.00000000e-01    1.33281598e-06
415      2.40000000e-01   -2.00000000e-01    1.52914498e-06
416      2.50000000e-01   -2.00000000e-01    1.73673980e-06
417      2.60000000e-01   -2.00000000e-01    1.95438006e-06
418      2.70000000e-01   -2.00000000e-01    2.18088705e-06
419      2.80000000e-01   -2.00000000e-01    2.41515031e-06
420      2.90000000e-01   -2.00000000e-01    2.65614231e-06
421      3.00000000e-01   -2.00000000e-01    2.90292362e-06
422      3.10000000e-01   -2.00000000e-01    3.15464141e-06
423      3.20000000e-01   -2.00000000e-01    3.41052454e-06
424      3.30000000e-01   -2.00000000e-01    3.66987682e-06
425      3.40000000e-01   -2.00000000e-01    3.93206989e-06
426      3.50000000e-01   -2.00000000e-01    4.19653625e-06
427      3.60000000e-01   -2.00000000e-01    4.46276276e-06
428      3.70000000e-01   -2.00000000e-01    4.73028473e-06
429      3.80000000e-01   -2.00000000e-01    4.99868066e-06
430      3.90000000e-01   -2.00000000e-01    5.26756756e-06
431      4.00000000e-01   -2.00000000e-01    5.53659684e-06
432      4.10000000e-01   -2.00000000e-01    5.80545071e-06
433      4.20000000e-01   -2.00000000e-01    6.07383900e-06
434      4.30000000e-01   -2.00000000e-01    6.34149643e-06
435      4.40000000e-01   -2.00000000e-01    6.60818013e-06
436      4.50000000e-01   -2.00000000e-01    6.87366759e-06
437      4.60000000e-01   -2.00000000e-01    7.13775471e-06
438      4.70000000e-01   -2.00000000e-01    7.40025424e-06
439      4.80000000e-01   -2.00000000e-01    7.66099425e-06
440      4.90000000e-01   -2.00000000e-01    7.91981690e-06
441      5.00000000e-01   -2.00000000e-01    8.17657730e-06
442      5.10000000e-01   -2.00000000e-01    8.43114248e-06
443      5.20000000e-01   -2.00000000e-01    8.68339048e-06
444      5.30000000e-01   -2.00000000e-01    8.93320954e-06
445      5.40000000e-01   -2.00000000e-01    9.18049742e-06
446      5.50000000e-01   -2.00000000e-01    9.42516067e-06
447      5.60000000e-01   -2.00000000e-01    9.66711407e-06
448      5.70000000e-01   -2.00000000e-01    9.90628010e-06
449      5.80000000e-01   -2.00000000e-01    1.01425884e-05
450      5.90000000e-01   -2.00000000e-01    1.03759754e-05
451      6.00000000e-01   -2.00000000e-01    1.06063838e-05
452      6.10000000e-01   -2.00000000e-01    1.08337623e-05
453      6.20000000e-01   -2.00000000e-01    1.10580652e-05
454      6.30000000e-01   -2.00000000e-01    1.12792519e-05
455      6.40000000e-01   -2.00000000e-01    1.14972870e-05
