Index       TIME              V(VI)             V(1)              V(2)              V(3)              V(4)              V(VO)      
65       6.62421951e-07    7.38080854e-02    9.59551250e-01    2.53844752e-02    8.45161225e-01    2.92005153e-01    3.44151086e-01
66       6.62460557e-07    7.37446761e-02    9.59604843e-01    2.53837390e-02    8.45377188e-01    2.91752409e-01    3.62532530e-01
67       6.62537769e-07    7.36179328e-02    9.59705171e-01    2.53542015e-02    8.45730000e-01    2.90891654e-01    3.89239540e-01
68       6.62607260e-07    7.35039496e-02    9.59791008e-01    2.53097919e-02    8.45996610e-01    2.89890972e-01    4.06634177e-01
69       6.62676751e-07    7.33900478e-02    9.59874559e-01    2.52566546e-02    8.46237520e-01    2.88778850e-01    4.20516019e-01
70       6.62746242e-07    7.32762273e-02    9.59956738e-01    2.51986342e-02    8.46463287e-01    2.87603259e-01    4.32189733e-01
71       6.62815733e-07    7.31624881e-02    9.60038028e-01    2.51377597e-02    8.46679463e-01    2.86389375e-01    4.42344417e-01
72       6.62954715e-07    7.29352539e-02    9.60199009e-01    2.50119252e-02    8.47095263e-01    2.83901891e-01    4.59628816e-01
73       6.63093697e-07    7.27083454e-02    9.60358773e-01    2.48844868e-02    8.47499644e-01    2.81382801e-01    4.74271234e-01
74       6.63232679e-07    7.24817627e-02    9.60517888e-01    2.47578241e-02    8.47899278e-01    2.78861924e-01    4.87172482e-01
75       6.63371661e-07    7.22555060e-02    9.60676645e-01    2.46331674e-02    8.48297710e-01    2.76354873e-01    4.98840768e-01
76       6.63649626e-07    7.18039713e-02    9.60993590e-01    2.43919798e-02    8.49097674e-01    2.71411098e-01    5.19611501e-01
77       6.63927590e-07    7.13537428e-02    9.61310102e-01    2.41630153e-02    8.49906996e-01    2.66582442e-01    5.38027354e-01
78       6.64205554e-07    7.09048217e-02    9.61626232e-01    2.39464895e-02    8.50727886e-01    2.61876505e-01    5.54814324e-01
79       6.64761482e-07    7.00109075e-02    9.62256353e-01    2.35465333e-02    8.52399975e-01    2.52807061e-01    5.84928920e-01
80       6.65317410e-07    6.91222397e-02    9.62882281e-01    2.31848679e-02    8.54104804e-01    2.44149842e-01    6.11762025e-01
81       6.65873339e-07    6.82388289e-02    9.63502439e-01    2.28545019e-02    8.55831343e-01    2.35845974e-01    6.36170671e-01
82       6.66429267e-07    6.73606862e-02    9.64115376e-01    2.25487999e-02    8.57568224e-01    2.27837654e-01    6.58607777e-01
83       6.67541124e-07    6.56202472e-02    9.65314886e-01    2.19881912e-02    8.61032134e-01    2.12504142e-01    6.98507760e-01
84       6.68652980e-07    6.39010077e-02    9.66476472e-01    2.14784209e-02    8.64457411e-01    1.97925016e-01    7.33025253e-01
85       6.69764837e-07    6.22030516e-02    9.67598967e-01    2.10081835e-02    8.67831810e-01    1.83997853e-01    7.63150083e-01
86       6.70876693e-07    6.05264617e-02    9.68682625e-01    2.05717482e-02    8.71155748e-01    1.70680061e-01    7.89565310e-01
87       6.73100406e-07    5.72377069e-02    9.70738842e-01    1.97906690e-02    8.77693033e-01    1.45891508e-01    8.33381336e-01
88       6.75324120e-07    5.40353854e-02    9.72657020e-01    1.91337506e-02    8.84177948e-01    1.23767121e-01    8.67799199e-01
89       6.77547833e-07    5.09201223e-02    9.74446785e-01    1.85962748e-02    8.90700861e-01    1.04525338e-01    8.95023401e-01
90       6.79771546e-07    4.78925257e-02    9.76113623e-01    1.81551914e-02    8.97289011e-01    8.82036080e-02    9.16644358e-01
91       6.81995259e-07    4.49531867e-02    9.77660090e-01    1.77747842e-02    9.03903667e-01    7.46205011e-02    9.33845166e-01
92       6.84218972e-07    4.21026790e-02    9.79088588e-01    1.74186911e-02    9.10466556e-01    6.34475019e-02    9.47525611e-01
93       6.86442685e-07    3.93415591e-02    9.80403499e-01    1.70597042e-02    9.16891843e-01    5.43103870e-02    9.58388389e-01
94       6.88666398e-07    3.66703660e-02    9.81611667e-01    1.66828920e-02    9.23106051e-01    4.68571028e-02    9.66989043e-01
95       6.93113825e-07    3.15998285e-02    9.83749928e-01    1.58666523e-02    9.34677843e-01    3.56461856e-02    9.79330245e-01
96       6.97561251e-07    2.68950256e-02    9.85574781e-01    1.49975725e-02    9.44976556e-01    2.80615922e-02    9.87052277e-01
97       7.02008677e-07    2.25596308e-02    9.87146023e-01    1.41189767e-02    9.53952554e-01    2.29293200e-02    9.91745454e-01
98       7.06456104e-07    1.85970294e-02    9.88516813e-01    1.32756116e-02    9.61646231e-01    1.93845353e-02    9.94559599e-01
99       7.10903530e-07    1.50103154e-02    9.89730335e-01    1.25033134e-02    9.68161340e-01    1.68614552e-02    9.96252732e-01
100      7.15350956e-07    1.18022893e-02    9.90819278e-01    1.18223369e-02    9.73631103e-01    1.50068729e-02    9.97292927e-01
101      7.24245809e-07    6.53202291e-03    9.92721606e-01    1.07327809e-02    9.82078519e-01    1.24415928e-02    9.98477475e-01
102      7.33140661e-07    2.80268746e-03    9.94341528e-01    9.95393926e-03    9.87943112e-01    1.08439322e-02    9.99051588e-01
103      7.42035514e-07    6.25928369e-04    9.95749956e-01    9.40727040e-03    9.91928512e-01    9.83306006e-03    9.99344244e-01
