Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}           I(L1)             I(L2)      
80       5.07351716e-03   -1.59900516e-01    1.78581945e-01    1.83944907e-01    1.59900516e-01    1.60550935e-05
81       5.20056187e-03   -1.56996224e-01    1.75722620e-01    1.81798301e-01    1.56996224e-01    1.82016988e-05
82       5.32760658e-03   -1.53731873e-01    1.72913218e-01    1.79693077e-01    1.53731873e-01    2.03069234e-05
83       5.45465130e-03   -1.50114937e-01    1.70171510e-01    1.77634647e-01    1.50114937e-01    2.23653534e-05
84       5.58169601e-03   -1.46153723e-01    1.67492818e-01    1.75627424e-01    1.46153723e-01    2.43725763e-05
85       5.70874073e-03   -1.41857304e-01    1.64893907e-01    1.73676059e-01    1.41857304e-01    2.63239406e-05
86       5.83578544e-03   -1.37235546e-01    1.62370443e-01    1.71785226e-01    1.37235546e-01    2.82147742e-05
87       5.96283015e-03   -1.32299038e-01    1.59938197e-01    1.69958833e-01    1.32299038e-01    3.00411669e-05
88       6.08987487e-03   -1.27059112e-01    1.57593060e-01    1.68201712e-01    1.27059112e-01    3.17982883e-05
89       6.21691958e-03   -1.21527774e-01    1.55349815e-01    1.66517048e-01    1.21527774e-01    3.34829520e-05
90       6.34396429e-03   -1.15717722e-01    1.53204473e-01    1.64909739e-01    1.15717722e-01    3.50902614e-05
91       6.47100901e-03   -1.09642270e-01    1.51170830e-01    1.63382259e-01    1.09642270e-01    3.66177406e-05
92       6.59805372e-03   -1.03315362e-01    1.49244920e-01    1.61939490e-01    1.03315362e-01    3.80605098e-05
93       6.72509843e-03   -9.67514991e-02    1.47439556e-01    1.60583208e-01    9.67514991e-02    3.94167919e-05
94       6.85214315e-03   -8.99657440e-02    1.45750705e-01    1.59318201e-01    8.99657440e-02    4.06817995e-05
95       6.97918786e-03   -8.29736516e-02    1.44190202e-01    1.58145556e-01    8.29736516e-02    4.18544436e-05
96       7.10623257e-03   -7.57912657e-02    1.42753867e-01    1.57069904e-01    7.57912657e-02    4.29300960e-05
97       7.23327729e-03   -6.84350513e-02    1.41452559e-01    1.56091654e-01    6.84350513e-02    4.39083465e-05
98       7.36032200e-03   -6.09218871e-02    1.40281884e-01    1.55215215e-01    6.09218871e-02    4.47847848e-05
99       7.48736671e-03   -5.32689971e-02    1.39251727e-01    1.54440330e-01    5.32689971e-02    4.55596699e-05
100      7.61441143e-03   -4.54939398e-02    1.38357420e-01    1.53771140e-01    4.54939398e-02    4.62288604e-05
101      7.74145614e-03   -3.76145403e-02    1.37607884e-01    1.53206726e-01    3.76145403e-02    4.67932741e-05
102      7.86850085e-03   -2.96488764e-02    1.36998122e-01    1.52750918e-01    2.96488764e-02    4.72490820e-05
103      8.12259028e-03   -1.35320445e-02    1.36146140e-01    1.52109488e-01    1.35320445e-02    4.78905124e-05
104      8.21233948e-03   -7.80179263e-03    1.36152575e-01    1.52114407e-01    7.80179263e-03    4.78855928e-05
105      8.30208869e-03   -2.06288028e-03    1.35962030e-01    1.51972925e-01    2.06288028e-03    4.80270745e-05
106      8.39183789e-03    3.67863918e-03    1.36090564e-01    1.52065616e-01   -3.67863918e-03    4.79343843e-05
107      8.48158710e-03    9.41571833e-03    1.36062796e-01    1.52049561e-01   -9.41571833e-03    4.79504394e-05
108      8.57133630e-03    1.51422339e-02    1.36322555e-01    1.52237619e-01   -1.51422339e-02    4.77623810e-05
109      8.66108550e-03    2.08512162e-02    1.36454871e-01    1.52344409e-01   -2.08512162e-02    4.76555908e-05
110      8.84058391e-03    3.21913195e-02    1.37187368e-01    1.52884637e-01   -3.21913195e-02    4.71153633e-05
111      9.02008232e-03    4.33839599e-02    1.38096671e-01    1.53575027e-01   -4.33839599e-02    4.64249728e-05
112      9.19958073e-03    5.43781224e-02    1.39396545e-01    1.54540180e-01   -5.43781224e-02    4.54598196e-05
113      9.37907914e-03    6.51232712e-02    1.40869976e-01    1.55654280e-01   -6.51232712e-02    4.43457203e-05
114      9.55857754e-03    7.55704262e-02    1.42714675e-01    1.57027515e-01   -7.55704262e-02    4.29724854e-05
115      9.73807595e-03    8.56715685e-02    1.44724106e-01    1.58544178e-01   -8.56715685e-02    4.14558222e-05
116      9.91757436e-03    9.53806533e-02    1.47081035e-01    1.60301113e-01   -9.53806533e-02    3.96988869e-05
117      1.00970728e-02    1.04653052e-01    1.49588610e-01    1.62191904e-01   -1.04653052e-01    3.78080961e-05
118      1.02765712e-02    1.13446503e-01    1.52415734e-01    1.64301073e-01   -1.13446503e-01    3.56989268e-05
119      1.04560696e-02    1.21720578e-01    1.55374560e-01    1.66530778e-01   -1.21720578e-01    3.34692217e-05
120      1.06355680e-02    1.29437575e-01    1.58621176e-01    1.68954210e-01   -1.29437575e-01    3.10457898e-05
121      1.08150664e-02    1.36562004e-01    1.61976168e-01    1.71481479e-01   -1.36562004e-01    2.85185213e-05
122      1.09945648e-02    1.43061415e-01    1.65583841e-01    1.74175397e-01   -1.43061415e-01    2.58246034e-05
123      1.11740632e-02    1.48905902e-01    1.69272732e-01    1.76953491e-01   -1.48905902e-01    2.30465090e-05
124      1.13535616e-02    1.54068864e-01    1.73176364e-01    1.79869118e-01   -1.54068864e-01    2.01308822e-05
125      1.15330600e-02    1.58526520e-01    1.77130834e-01    1.82846765e-01   -1.58526520e-01    1.71532351e-05
126      1.17125584e-02    1.62258609e-01    1.81259860e-01    1.85931220e-01   -1.62258609e-01    1.40687804e-05
127      1.18920569e-02    1.65247909e-01    1.85406785e-01    1.89053544e-01   -1.65247909e-01    1.09464561e-05
128      1.20715553e-02    1.67480872e-01    1.89686471e-01    1.92250812e-01   -1.67480872e-01    7.74918779e-06
129      1.22510537e-02    1.68947145e-01    1.93949254e-01    1.95460336e-01   -1.68947145e-01    4.53966385e-06
130      1.24305521e-02    1.69640144e-01    1.98302062e-01    1.98712299e-01   -1.69640144e-01    1.28770131e-06
131      1.26100505e-02    1.69556574e-01    2.02602034e-01    2.01949990e-01   -1.69556574e-01   -1.94999008e-06
132      1.27895489e-02    1.68696937e-01    2.06949045e-01    2.05197489e-01   -1.68696937e-01   -5.19748856e-06
133      1.29690473e-02    1.67065051e-01    2.11206896e-01    2.08403837e-01   -1.67065051e-01   -8.40383721e-06
134      1.31485457e-02    1.64668499e-01    2.15469261e-01    2.11587759e-01   -1.64668499e-01   -1.15877593e-05
135      1.33280441e-02    1.61518141e-01    2.19606488e-01    2.14703862e-01   -1.61518141e-01   -1.47038625e-05
136      1.35075425e-02    1.57628506e-01    2.23706867e-01    2.17766226e-01   -1.57628506e-01   -1.77662258e-05
137      1.36870409e-02    1.53017291e-01    2.27647213e-01    2.20734863e-01   -1.53017291e-01   -2.07348626e-05
138      1.38665393e-02    1.47705708e-01    2.31511192e-01    2.23619878e-01   -1.47705708e-01   -2.36198777e-05
139      1.40460378e-02    1.41717969e-01    2.35182031e-01    2.26386553e-01   -1.41717969e-01   -2.63865534e-05
140      1.42255362e-02    1.35081580e-01    2.38739492e-01    2.29041646e-01   -1.35081580e-01   -2.90416462e-05
141      1.44050346e-02    1.27826823e-01    2.42073158e-01    2.31555586e-01   -1.27826823e-01   -3.15555863e-05
142      1.45845330e-02    1.19986999e-01    2.45259555e-01    2.33932362e-01   -1.19986999e-01   -3.39323624e-05
143      1.47640314e-02    1.11597904e-01    2.48194577e-01    2.36147439e-01   -1.11597904e-01   -3.61474390e-05
144      1.49435298e-02    1.02698025e-01    2.50952126e-01    2.38202570e-01   -1.02698025e-01   -3.82025703e-05
145      1.51230282e-02    9.33280151e-02    2.53434350e-01    2.40078144e-01   -9.33280151e-02   -4.00781440e-05
146      1.53025266e-02    8.35308478e-02    2.55713083e-01    2.41774163e-01   -8.35308478e-02   -4.17741632e-05
147      1.54820250e-02    7.33512873e-02    2.57696661e-01    2.43275824e-01   -7.33512873e-02   -4.32758244e-05
148      1.56615234e-02    6.28360087e-02    2.59455343e-01    2.44581812e-01   -6.28360087e-02   -4.45818119e-05
149      1.58410218e-02    5.20330671e-02    2.60903569e-01    2.45682009e-01   -5.20330671e-02   -4.56820085e-05
150      1.60205202e-02    4.09919873e-02    2.62110454e-01    2.46574160e-01   -4.09919873e-02   -4.65741595e-05
151      1.62000187e-02    2.97632348e-02    2.62996434e-01    2.47252699e-01   -2.97632348e-02   -4.72526991e-05
152      1.63795171e-02    1.83982801e-02    2.63629848e-01    2.47714761e-01   -1.83982801e-02   -4.77147606e-05
153      1.65590155e-02    6.94907439e-03    2.63936992e-01    2.47959178e-01   -6.94907439e-03   -4.79591784e-05
154      1.66082987e-02    3.79775556e-03    2.63943055e-01    2.47957308e-01   -3.79775556e-03   -4.79573081e-05
155      1.66575819e-02    6.45191209e-04    2.63992437e-01    2.47993666e-01   -6.45191209e-04   -4.79936659e-05
156      1.67561484e-02   -5.65960426e-03    2.63937996e-01    2.47954507e-01    5.65960426e-03   -4.79545070e-05
157      1.68547148e-02   -1.19565476e-02    2.63833725e-01    2.47874990e-01    1.19565476e-02   -4.78749897e-05
158      1.69532813e-02   -1.82370198e-02    2.63605149e-01    2.47705669e-01    1.82370198e-02   -4.77056688e-05
159      1.70518478e-02   -2.44922797e-02    2.63322818e-01    2.47492202e-01    2.44922797e-02   -4.74922016e-05
160      1.71504142e-02   -3.07137575e-02    2.62920979e-01    2.47193300e-01    3.07137575e-02   -4.71932999e-05
161      1.73475471e-02   -4.30208828e-02    2.61945790e-01    2.46460032e-01    4.30208828e-02   -4.64600321e-05
162      1.75446800e-02   -5.50906235e-02    2.60515168e-01    2.45390434e-01    5.50906235e-02   -4.53904344e-05
163      1.77418130e-02   -6.68561248e-02    2.58860473e-01    2.44146816e-01    6.68561248e-02   -4.41468163e-05
164      1.79389459e-02   -7.82526517e-02    2.56774173e-01    2.42586096e-01    7.82526517e-02   -4.25860956e-05
165      1.81360788e-02   -8.92170792e-02    2.54477888e-01    2.40860609e-01    8.92170792e-02   -4.08606093e-05
166      1.83332117e-02   -9.96890816e-02    2.51780534e-01    2.38842166e-01    9.96890816e-02   -3.88421663e-05
167      1.85303446e-02   -1.09610650e-01    2.48894637e-01    2.36673836e-01    1.09610650e-01   -3.66738362e-05
168      1.87274775e-02   -1.18927205e-01    2.45644409e-01    2.34241246e-01    1.18927205e-01   -3.42412456e-05
169      1.89246105e-02   -1.27587127e-01    2.42233799e-01    2.31678784e-01    1.27587127e-01   -3.16787844e-05
170      1.91217434e-02   -1.35542789e-01    2.38501149e-01    2.28884828e-01    1.35542789e-01   -2.88848283e-05
171      1.93188763e-02   -1.42750097e-01    2.34642220e-01    2.25985567e-01    1.42750097e-01   -2.59855673e-05
172      1.95160092e-02   -1.49169434e-01    2.30508311e-01    2.22891066e-01    1.49169434e-01   -2.28910661e-05
173      1.97131421e-02   -1.54765194e-01    2.26287271e-01    2.19719697e-01    1.54765194e-01   -1.97196969e-05
174      1.99102750e-02   -1.59506648e-01    2.21842182e-01    2.16392163e-01    1.59506648e-01   -1.63921630e-05
175      2.01074079e-02   -1.63367465e-01    2.17353161e-01    2.13019315e-01    1.63367465e-01   -1.30193153e-05
176      2.03045409e-02   -1.66326481e-01    2.12693898e-01    2.09531460e-01    1.66326481e-01   -9.53146016e-06
177      2.05016738e-02   -1.68367215e-01    2.08036871e-01    2.06032148e-01    1.68367215e-01   -6.03214832e-06
178      2.06988067e-02   -1.69478543e-01    2.03265221e-01    2.02460275e-01    1.69478543e-01   -2.46027458e-06
179      2.08959396e-02   -1.69654192e-01    1.98543811e-01    1.98912248e-01    1.69654192e-01    1.08775199e-06
180      2.10930725e-02   -1.68893327e-01    1.93764097e-01    1.95334563e-01    1.68893327e-01    4.66543697e-06
181      2.12902054e-02   -1.67200016e-01    1.89083294e-01    1.91816595e-01    1.67200016e-01    8.18340477e-06
182      2.14873384e-02   -1.64583736e-01    1.84400066e-01    1.88311483e-01    1.64583736e-01    1.16885172e-05
183      2.16844713e-02   -1.61058806e-01    1.79863915e-01    1.84901638e-01    1.61058806e-01    1.50983621e-05
184      2.18816042e-02   -1.56644805e-01    1.75379644e-01    1.81545926e-01    1.56644805e-01    1.84540736e-05
185      2.20787371e-02   -1.51365985e-01    1.71088953e-01    1.78319841e-01    1.51365985e-01    2.16801592e-05
186      2.22758700e-02   -1.45251601e-01    1.66901769e-01    1.75187106e-01    1.45251601e-01    2.48128942e-05
187      2.24730029e-02   -1.38335296e-01    1.62951888e-01    1.72216324e-01    1.38335296e-01    2.77836762e-05
188      2.26701358e-02   -1.30655361e-01    1.59153413e-01    1.69375263e-01    1.30655361e-01    3.06247375e-05
189      2.28672688e-02   -1.22254087e-01    1.55632138e-01    1.66725661e-01    1.22254087e-01    3.32743391e-05
190      2.30644017e-02   -1.13177957e-01    1.52305458e-01    1.64238575e-01    1.13177957e-01    3.57614252e-05
191      2.32615346e-02   -1.03476975e-01    1.49291094e-01    1.61968913e-01    1.03476975e-01    3.80310867e-05
192      2.34586675e-02   -9.32047939e-02    1.46508931e-01    1.59890331e-01    9.32047939e-02    4.01096685e-05
193      2.36558004e-02   -8.24180263e-02    1.44068571e-01    1.58050959e-01    8.24180263e-02    4.19490408e-05
194      2.38529333e-02   -7.11763130e-02    1.41891672e-01    1.56426434e-01    7.11763130e-02    4.35735664e-05
195      2.40500663e-02   -5.95416247e-02    1.40079717e-01    1.55058181e-01    5.95416247e-02    4.49418188e-05
196      2.42471992e-02   -4.75782782e-02    1.38555515e-01    1.53923280e-01    4.75782782e-02    4.60767200e-05
197      2.44443321e-02   -3.53522326e-02    1.37412478e-01    1.53056561e-01    3.53522326e-02    4.69434386e-05
198      2.46414650e-02   -2.29310648e-02    1.36574042e-01    1.52436082e-01    2.29310648e-02    4.75639176e-05
199      2.48385979e-02   -1.03832656e-02    1.36125656e-01    1.52090226e-01    1.03832656e-02    4.79097738e-05
200      2.50000000e-02   -6.39952409e-05    1.36004759e-01    1.52008031e-01    6.39952409e-05    4.79919690e-05
End of Xyce(TM) Simulation
