Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}           I(L1)             I(L2)      
32       2.11689054e-03   -1.21210598e-01    4.93822285e-01    3.46911142e-01    1.21210598e-01   -1.46911142e-04
33       2.22676852e-03   -1.26041768e-01    4.64340901e-01    3.32170451e-01    1.26041768e-01   -1.32170451e-04
34       2.44652450e-03   -1.35037800e-01    4.13740531e-01    3.06870266e-01    1.35037800e-01   -1.06870266e-04
35       2.66628047e-03   -1.43097386e-01    3.71823137e-01    2.85911568e-01    1.43097386e-01   -8.59115685e-05
36       2.88603645e-03   -1.50167058e-01    3.37057065e-01    2.68528533e-01    1.50167058e-01   -6.85285326e-05
37       3.10579242e-03   -1.56200817e-01    3.07187026e-01    2.53593513e-01    1.56200817e-01   -5.35935129e-05
38       3.32554840e-03   -1.61158362e-01    2.81330104e-01    2.40665052e-01    1.61158362e-01   -4.06650521e-05
39       3.54530437e-03   -1.65007300e-01    2.58048306e-01    2.29024153e-01    1.65007300e-01   -2.90241531e-05
40       3.76506035e-03   -1.67721918e-01    2.36814430e-01    2.18407215e-01    1.67721918e-01   -1.84072150e-05
41       3.98481632e-03   -1.69284754e-01    2.16614103e-01    2.08307051e-01    1.69284754e-01   -8.30705137e-06
42       4.20457230e-03   -1.69683584e-01    1.99089119e-01    1.99544560e-01    1.69683584e-01    4.55440422e-07
43       4.42432827e-03   -1.68903629e-01    1.96403865e-01    1.98201933e-01    1.68903629e-01    1.79806728e-06
44       4.86384022e-03   -1.63882124e-01    1.90213040e-01    1.95106520e-01    1.63882124e-01    4.89348019e-06
45       5.30335217e-03   -1.54373122e-01    1.82872489e-01    1.91436245e-01    1.54373122e-01    8.56375533e-06
46       5.74286412e-03   -1.40637773e-01    1.73894527e-01    1.86947264e-01    1.40637773e-01    1.30527363e-05
47       6.18237607e-03   -1.23079707e-01    1.36123805e-01    1.68061903e-01    1.23079707e-01    3.19380973e-05
48       6.62188802e-03   -1.02215007e-01    3.54438997e-02    1.17721950e-01    1.02215007e-01    8.22780501e-05
49       6.99330498e-03   -8.24014087e-02   -7.27345938e-02    6.36327031e-02    8.24014087e-02    1.36367297e-04
50       7.30370432e-03   -6.46216841e-02   -1.92464209e-01    3.76789526e-03    6.46216841e-02    1.96232105e-04
51       7.58166293e-03   -4.79970133e-02   -3.49610313e-01   -7.48051563e-02    4.79970133e-02    2.74805156e-04
52       7.81404421e-03   -3.37506951e-02   -5.40766017e-01   -1.70383009e-01    3.37506951e-02    3.70383009e-04
53       7.84615863e-03   -3.17661133e-02   -5.73842550e-01   -1.86921275e-01    3.17661133e-02    3.86921275e-04
54       7.87827305e-03   -2.97799542e-02   -6.09884410e-01   -2.04942205e-01    2.97799542e-02    4.04942205e-04
55       7.91038747e-03   -2.77918135e-02   -6.48190979e-01   -2.24095490e-01    2.77918135e-02    4.24095490e-04
56       7.97461630e-03   -2.38116095e-02   -7.32431452e-01   -2.66215726e-01    2.38116095e-02    4.66215726e-04
57       8.03884514e-03   -1.98295944e-02   -8.28274466e-01   -3.14137233e-01    1.98295944e-02    5.14137233e-04
58       8.10307398e-03   -1.58506574e-02   -9.38218243e-01   -3.69109121e-01    1.58506574e-02    5.69109121e-04
59       8.16730282e-03   -1.18800125e-02   -1.06507960e+00   -4.32539799e-01    1.18800125e-02    6.32539799e-04
60       8.23153166e-03   -7.92364744e-03   -1.21244415e+00   -5.06222073e-01    7.92364744e-03    7.06222073e-04
61       8.29576050e-03   -3.98843051e-03   -1.38477415e+00   -5.92387076e-01    3.98843051e-03    7.92387076e-04
62       8.35998934e-03   -8.23740387e-05   -1.58767382e+00   -6.93836909e-01    8.23740387e-05    8.93836909e-04
63       8.41779530e-03    3.45548854e-03   -1.74708560e+00   -7.73542802e-01   -3.45548854e-03    9.73542802e-04
64       8.47560125e-03    7.07334383e-03   -1.82393907e+00   -8.11969537e-01   -7.07334383e-03    1.01196954e-03
65       8.53340721e-03    1.07507859e-02   -1.83688560e+00   -8.18442801e-01   -1.07507859e-02    1.01844280e-03
66       8.59121316e-03    1.44552713e-02   -1.81671608e+00   -8.08358041e-01   -1.44552713e-02    1.00835804e-03
67       8.64901912e-03    1.81753550e-02   -1.77312590e+00   -7.86562952e-01   -1.81753550e-02    9.86562952e-04
68       8.65809363e-03    1.87603669e-02   -1.76443434e+00   -7.82217171e-01   -1.87603669e-02    9.82217171e-04
69       8.66716815e-03    1.93454253e-02   -1.75545376e+00   -7.77726878e-01   -1.93454253e-02    9.77726878e-04
70       8.67624267e-03    1.99306115e-02   -1.74609609e+00   -7.73048043e-01   -1.99306115e-02    9.73048043e-04
71       8.69439170e-03    2.11012541e-02   -1.72633570e+00   -7.63167852e-01   -2.11012541e-02    9.63167852e-04
72       8.71254074e-03    2.22721064e-02   -1.70528764e+00   -7.52643821e-01   -2.22721064e-02    9.52643821e-04
73       8.73068978e-03    2.34429724e-02   -1.68309407e+00   -7.41547034e-01   -2.34429724e-02    9.41547034e-04
74       8.74883881e-03    2.46136638e-02   -1.65988948e+00   -7.29944738e-01   -2.46136638e-02    9.29944738e-04
75       8.76698785e-03    2.57840003e-02   -1.63580052e+00   -7.17900261e-01   -2.57840003e-02    9.17900261e-04
76       8.78513688e-03    2.69538091e-02   -1.61094621e+00   -7.05473105e-01   -2.69538091e-02    9.05473105e-04
77       8.80328592e-03    2.81229254e-02   -1.58543789e+00   -6.92718946e-01   -2.81229254e-02    8.92718946e-04
78       8.82143495e-03    2.92911917e-02   -1.55937941e+00   -6.79689707e-01   -2.92911917e-02    8.79689707e-04
79       8.83958399e-03    3.04584581e-02   -1.53286729e+00   -6.66433645e-01   -3.04584581e-02    8.66433645e-04
80       8.85773302e-03    3.16245818e-02   -1.50599091e+00   -6.52995455e-01   -3.16245818e-02    8.52995455e-04
81       8.89403109e-03    3.39528272e-02   -1.45150604e+00   -6.25753021e-01   -3.39528272e-02    8.25753021e-04
82       8.93032917e-03    3.62749875e-02   -1.39643925e+00   -5.98219627e-01   -3.62749875e-02    7.98219627e-04
83       8.96662724e-03    3.85901297e-02   -1.34129906e+00   -5.70649528e-01   -3.85901297e-02    7.70649528e-04
84       9.00292531e-03    4.08974216e-02   -1.28649465e+00   -5.43247326e-01   -4.08974216e-02    7.43247326e-04
85       9.03922338e-03    4.31961118e-02   -1.23235555e+00   -5.16177774e-01   -4.31961118e-02    7.16177774e-04
86       9.07552145e-03    4.54855172e-02   -1.17914452e+00   -4.89572262e-01   -4.54855172e-02    6.89572262e-04
87       9.11181952e-03    4.77650128e-02   -1.12706783e+00   -4.63533913e-01   -4.77650128e-02    6.63533913e-04
88       9.14811759e-03    5.00340232e-02   -1.07628384e+00   -4.38141920e-01   -5.00340232e-02    6.38141920e-04
89       9.18441566e-03    5.22920150e-02   -1.02691066e+00   -4.13455328e-01   -5.22920150e-02    6.13455328e-04
90       9.22071373e-03    5.45384901e-02   -9.79032668e-01   -3.89516334e-01   -5.45384901e-02    5.89516334e-04
91       9.25701180e-03    5.67729805e-02   -9.32706292e-01   -3.66353146e-01   -5.67729805e-02    5.66353146e-04
92       9.32960795e-03    6.12042322e-02   -8.44846298e-01   -3.22423149e-01   -6.12042322e-02    5.22423149e-04
93       9.40220409e-03    6.55825867e-02   -7.63261067e-01   -2.81630533e-01   -6.55825867e-02    4.81630533e-04
94       9.47480023e-03    6.99048177e-02   -6.87958823e-01   -2.43979411e-01   -6.99048177e-02    4.43979411e-04
95       9.54739637e-03    7.41680444e-02   -6.18639347e-01   -2.09319674e-01   -7.41680444e-02    4.09319674e-04
96       9.61999251e-03    7.83694581e-02   -5.54970493e-01   -1.77485247e-01   -7.83694581e-02    3.77485247e-04
97       9.69258866e-03    8.25063402e-02   -4.96571644e-01   -1.48285822e-01   -8.25063402e-02    3.48285822e-04
98       9.76518480e-03    8.65760271e-02   -4.43051894e-01   -1.21525947e-01   -8.65760271e-02    3.21525947e-04
99       9.83778094e-03    9.05759002e-02   -3.94021738e-01   -9.70108690e-02   -9.05759002e-02    2.97010869e-04
100      9.91037708e-03    9.45033771e-02   -3.49104662e-01   -7.45523311e-02   -9.45033771e-02    2.74552331e-04
101      9.98297322e-03    9.83559076e-02   -3.07942841e-01   -5.39714205e-02   -9.83559076e-02    2.53971420e-04
102      1.01281655e-02    1.05826118e-01   -2.35533737e-01   -1.77668685e-02   -1.05826118e-01    2.17766869e-04
103      1.02733578e-02    1.12966927e-01   -1.74239479e-01    1.28802606e-02   -1.12966927e-01    1.87119739e-04
104      1.04185501e-02    1.19758711e-01   -1.22479804e-01    3.87600979e-02   -1.19758711e-01    1.61239902e-04
105      1.05637424e-02    1.26183296e-01   -7.82392623e-02    6.08803689e-02   -1.26183296e-01    1.39119631e-04
106      1.07089346e-02    1.32222741e-01   -4.03482528e-02    7.98258736e-02   -1.32222741e-01    1.20174126e-04
107      1.08541269e-02    1.37860370e-01   -7.50518916e-03    9.62474054e-02   -1.37860370e-01    1.03752595e-04
108      1.09993192e-02    1.43080207e-01    2.11003303e-02    1.10550165e-01   -1.43080207e-01    8.94498348e-05
109      1.11445115e-02    1.47867556e-01    4.63226440e-02    1.23161322e-01   -1.47867556e-01    7.68386780e-05
110      1.14348961e-02    1.56091252e-01    8.88061699e-02    1.44403085e-01   -1.56091252e-01    5.55969150e-05
111      1.17252806e-02    1.62437671e-01    1.24107074e-01    1.62053537e-01   -1.62437671e-01    3.79464629e-05
112      1.20156652e-02    1.66833268e-01    1.54238476e-01    1.77119238e-01   -1.66833268e-01    2.28807622e-05
113      1.23060498e-02    1.69228517e-01    1.81937322e-01    1.90968661e-01   -1.69228517e-01    9.03133910e-06
114      1.25964343e-02    1.69589952e-01    2.02084295e-01    2.01042147e-01   -1.69589952e-01   -1.04214737e-06
115      1.28868189e-02    1.67904283e-01    2.05473689e-01    2.02736845e-01   -1.67904283e-01   -2.73684455e-06
116      1.31772035e-02    1.64209106e-01    2.09480873e-01    2.04740437e-01   -1.64209106e-01   -4.74043662e-06
117      1.34675880e-02    1.58548758e-01    2.14154201e-01    2.07077101e-01   -1.58548758e-01   -7.07710074e-06
118      1.37579726e-02    1.50990857e-01    2.19290551e-01    2.09645276e-01   -1.50990857e-01   -9.64527565e-06
119      1.40483572e-02    1.41626578e-01    2.25516054e-01    2.12758027e-01   -1.41626578e-01   -1.27580269e-05
120      1.43387417e-02    1.30568193e-01    2.32919163e-01    2.16459582e-01   -1.30568193e-01   -1.64595816e-05
121      1.46291263e-02    1.17995764e-01    2.89077731e-01    2.44538866e-01   -1.17995764e-01   -4.45388657e-05
122      1.49195109e-02    1.04023974e-01    3.57482386e-01    2.78741193e-01   -1.04023974e-01   -7.87411932e-05
123      1.52098954e-02    8.88189071e-02    4.36125578e-01    3.18062789e-01   -8.88189071e-02   -1.18062789e-04
124      1.55002800e-02    7.25750866e-02    5.36549631e-01    3.68274815e-01   -7.25750866e-02   -1.68274815e-04
125      1.57616261e-02    5.72393524e-02    6.55890407e-01    4.27945203e-01   -5.72393524e-02   -2.27945203e-04
126      1.59968376e-02    4.30086155e-02    8.10012833e-01    5.05006417e-01   -4.30086155e-02   -3.05006417e-04
127      1.62023369e-02    3.03547831e-02    1.00057660e+00    6.00288300e-01   -3.03547831e-02   -4.00288300e-04
128      1.63709034e-02    1.99091078e-02    1.22672085e+00    7.13360423e-01   -1.99091078e-02   -5.13360423e-04
129      1.65056688e-02    1.15678384e-02    1.47425904e+00    8.37129522e-01   -1.15678384e-02   -6.37129522e-04
130      1.66133661e-02    4.94814193e-03    1.73844802e+00    9.69224008e-01   -4.94814193e-03   -7.69224008e-04
131      1.67001554e-02   -3.32987664e-04    2.00941163e+00    1.10470582e+00    3.32987664e-04   -9.04705816e-04
132      1.67705224e-02   -4.66116561e-03    2.18134544e+00    1.19067272e+00    4.66116561e-03   -9.90672720e-04
133      1.68338526e-02   -8.65566639e-03    2.23303900e+00    1.21651950e+00    8.65566639e-03   -1.01651950e-03
134      1.68971828e-02   -1.27006691e-02    2.22813820e+00    1.21406910e+00    1.27006691e-02   -1.01406910e-03
135      1.69605131e-02   -1.67699332e-02    2.19058084e+00    1.19529042e+00    1.67699332e-02   -9.95290418e-04
136      1.69715510e-02   -1.74809798e-02    2.18119465e+00    1.19059733e+00    1.74809798e-02   -9.90597325e-04
137      1.69825889e-02   -1.81921417e-02    2.17135610e+00    1.18567805e+00    1.81921417e-02   -9.85678052e-04
138      1.70046646e-02   -1.96152136e-02    2.14987134e+00    1.17493567e+00    1.96152136e-02   -9.74935670e-04
139      1.70267404e-02   -2.10389941e-02    2.12618448e+00    1.16309224e+00    2.10389941e-02   -9.63092239e-04
140      1.70488162e-02   -2.24631095e-02    2.10057196e+00    1.15028598e+00    2.24631095e-02   -9.50285979e-04
141      1.70708920e-02   -2.38872054e-02    2.07329156e+00    1.13664578e+00    2.38872054e-02   -9.36645782e-04
142      1.70929677e-02   -2.53109452e-02    2.04458304e+00    1.12229152e+00    2.53109452e-02   -9.22291521e-04
143      1.71150435e-02   -2.67340102e-02    2.01466854e+00    1.10733427e+00    2.67340102e-02   -9.07334269e-04
144      1.71371193e-02   -2.81560989e-02    1.98375302e+00    1.09187651e+00    2.81560989e-02   -8.91876511e-04
145      1.71591951e-02   -2.95769266e-02    1.95202475e+00    1.07601238e+00    2.95769266e-02   -8.76012377e-04
146      1.71812708e-02   -3.09962250e-02    1.91965586e+00    1.05982793e+00    3.09962250e-02   -8.59827928e-04
147      1.72033466e-02   -3.24137416e-02    1.88680295e+00    1.04340148e+00    3.24137416e-02   -8.43401477e-04
148      1.72254224e-02   -3.38292384e-02    1.85360789e+00    1.02680395e+00    3.38292384e-02   -8.26803947e-04
149      1.72474982e-02   -3.52424919e-02    1.82019854e+00    1.01009927e+00    3.52424919e-02   -8.10099269e-04
150      1.72695739e-02   -3.66532918e-02    1.78668968e+00    9.93344839e-01    3.66532918e-02   -7.93344839e-04
151      1.73137255e-02   -3.94667077e-02    1.71981488e+00    9.59907440e-01    3.94667077e-02   -7.59907440e-04
152      1.73578770e-02   -4.22681322e-02    1.65357652e+00    9.26788261e-01    4.22681322e-02   -7.26788261e-04
153      1.74020286e-02   -4.50562356e-02    1.58854661e+00    8.94273307e-01    4.50562356e-02   -6.94273307e-04
154      1.74461802e-02   -4.78298549e-02    1.52513364e+00    8.62566818e-01    4.78298549e-02   -6.62566818e-04
155      1.74903317e-02   -5.05879453e-02    1.46363168e+00    8.31815840e-01    5.05879453e-02   -6.31815840e-04
156      1.75344833e-02   -5.33295545e-02    1.40424578e+00    8.02122890e-01    5.33295545e-02   -6.02122890e-04
157      1.75786348e-02   -5.60538055e-02    1.34711007e+00    7.73555033e-01    5.60538055e-02   -5.73555033e-04
158      1.76227864e-02   -5.87598815e-02    1.29230237e+00    7.46151187e-01    5.87598815e-02   -5.46151187e-04
159      1.76669379e-02   -6.14470144e-02    1.23985627e+00    7.19928134e-01    6.14470144e-02   -5.19928134e-04
160      1.77110895e-02   -6.41144751e-02    1.18977088e+00    6.94885442e-01    6.41144751e-02   -4.94885442e-04
161      1.77552410e-02   -6.67615658e-02    1.14201895e+00    6.71009476e-01    6.67615658e-02   -4.71009476e-04
162      1.78435441e-02   -7.19919604e-02    1.05331695e+00    6.26658476e-01    7.19919604e-02   -4.26658476e-04
163      1.79318472e-02   -7.71331690e-02    9.73082062e-01    5.86541031e-01    7.71331690e-02   -3.86541031e-04
164      1.80201503e-02   -8.21800175e-02    9.00880286e-01    5.50440143e-01    8.21800175e-02   -3.50440143e-04
165      1.81084534e-02   -8.71277813e-02    8.35923911e-01    5.17961955e-01    8.71277813e-02   -3.17961955e-04
166      1.81967565e-02   -9.19717148e-02    7.77548011e-01    4.88774006e-01    9.19717148e-02   -2.88774006e-04
167      1.82850596e-02   -9.67072016e-02    7.25066130e-01    4.62533065e-01    9.67072016e-02   -2.62533065e-04
168      1.83733627e-02   -1.01329671e-01    6.77859268e-01    4.38929634e-01    1.01329671e-01   -2.38929634e-04
169      1.84616659e-02   -1.05834634e-01    6.35348330e-01    4.17674165e-01    1.05834634e-01   -2.17674165e-04
170      1.85499690e-02   -1.10217664e-01    5.97013100e-01    3.98506550e-01    1.10217664e-01   -1.98506550e-04
171      1.86382721e-02   -1.14474419e-01    5.62382418e-01    3.81191209e-01    1.14474419e-01   -1.81191209e-04
172      1.88148783e-02   -1.22592189e-01    5.02575086e-01    3.51287543e-01    1.22592189e-01   -1.51287543e-04
173      1.89914845e-02   -1.30155262e-01    4.52903599e-01    3.26451799e-01    1.30155262e-01   -1.26451799e-04
174      1.91680907e-02   -1.37132076e-01    4.11636345e-01    3.05818172e-01    1.37132076e-01   -1.05818172e-04
175      1.93446969e-02   -1.43494089e-01    3.76583923e-01    2.88291962e-01    1.43494089e-01   -8.82919616e-05
176      1.95213031e-02   -1.49214337e-01    3.46673418e-01    2.73336709e-01    1.49214337e-01   -7.33367092e-05
177      1.96979093e-02   -1.54268953e-01    3.20557965e-01    2.60278982e-01    1.54268953e-01   -6.02789824e-05
178      1.98745155e-02   -1.58636320e-01    2.97573917e-01    2.48786959e-01    1.58636320e-01   -4.87869586e-05
179      2.00511217e-02   -1.62298053e-01    2.76853076e-01    2.38426538e-01    1.62298053e-01   -3.84265381e-05
180      2.04043341e-02   -1.67445065e-01    2.40412217e-01    2.20206109e-01    1.67445065e-01   -2.02061087e-05
181      2.07575466e-02   -1.69623505e-01    2.07237105e-01    2.03618553e-01    1.69623505e-01   -3.61855257e-06
182      2.11107590e-02   -1.68776867e-01    1.95852268e-01    1.97926134e-01    1.68776867e-01    2.07386599e-06
183      2.14639714e-02   -1.64935415e-01    1.91184966e-01    1.95592483e-01    1.64935415e-01    4.40751721e-06
184      2.18171838e-02   -1.58174890e-01    1.85589012e-01    1.92794506e-01    1.58174890e-01    7.20549425e-06
185      2.21703962e-02   -1.48615040e-01    1.79109479e-01    1.89554739e-01    1.48615040e-01    1.04452606e-05
186      2.25236087e-02   -1.36425947e-01    1.71035888e-01    1.85517944e-01    1.36425947e-01    1.44820559e-05
187      2.28768211e-02   -1.21853552e-01    1.31375194e-01    1.65687597e-01    1.21853552e-01    3.43124031e-05
188      2.32300335e-02   -1.05166571e-01    5.01163259e-02    1.25058163e-01    1.05166571e-01    7.49418371e-05
189      2.35479247e-02   -8.85631348e-02   -3.67359013e-02    8.16320493e-02    8.85631348e-02    1.18367951e-04
190      2.38340267e-02   -7.25500926e-02   -1.35487206e-01    3.22563968e-02    7.25500926e-02    1.67743603e-04
191      2.40915186e-02   -5.74450204e-02   -2.54164181e-01   -2.70820907e-02    5.74450204e-02    2.27082091e-04
192      2.43232612e-02   -4.34303171e-02   -4.03826857e-01   -1.01913429e-01    4.34303171e-02    3.01913429e-04
193      2.45284013e-02   -3.08050147e-02   -5.92995358e-01   -1.96497679e-01    3.08050147e-02    3.96497679e-04
194      2.46978537e-02   -2.03042572e-02   -8.16100364e-01   -3.08050182e-01    2.03042572e-02    5.08050182e-04
195      2.48336196e-02   -1.19003651e-02   -1.06309125e+00   -4.31545623e-01    1.19003651e-02    6.31545623e-04
196      2.49422754e-02   -5.21867347e-03   -1.32600839e+00   -5.63004197e-01    5.21867347e-03    7.63004197e-04
197      2.50000000e-02   -1.69724373e-03   -1.49724373e+00   -6.48621866e-01    1.69724373e-03    8.48621866e-04
End of Xyce(TM) Simulation
