Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
147      3.26472365e-06    2.05114252e-02    4.10228503e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
148      3.37539121e-06    2.12066186e-02    4.24132372e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
149      3.48605876e-06    2.19018018e-02    4.38036036e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
150      3.59672632e-06    2.25969744e-02    4.51939488e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
151      3.70739387e-06    2.32921361e-02    4.65842722e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
152      3.81806143e-06    2.39872865e-02    4.79745730e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
153      3.92872898e-06    2.46824253e-02    4.93648507e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
154      4.03939654e-06    2.53775522e-02    5.07551045e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
155      4.15006409e-06    2.60726668e-02    5.21453337e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
156      4.26073164e-06    2.67677689e-02    5.35355377e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
157      4.37139920e-06    2.74628579e-02    5.49257159e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
158      4.59273431e-06    2.88529959e-02    5.77059918e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
159      4.81406942e-06    3.02430781e-02    6.04861561e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
160      5.03540453e-06    3.16331017e-02    6.32662035e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
161      5.25673963e-06    3.30230642e-02    6.60461284e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
162      5.47807474e-06    3.44129628e-02    6.88259257e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
163      5.69940985e-06    3.58027949e-02    7.16055898e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
164      5.92074496e-06    3.71925577e-02    7.43851155e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
165      6.14208007e-06    3.85822486e-02    7.71644973e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
166      6.36341518e-06    3.99718649e-02    7.99437298e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
167      6.58475029e-06    4.13614039e-02    8.27228078e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
168      6.80608540e-06    4.27508629e-02    8.55017257e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
169      7.02742051e-06    4.41402392e-02    8.82804783e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
170      7.24875562e-06    4.55295301e-02    9.10590602e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
171      7.47009072e-06    4.69187330e-02    9.38374660e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
172      7.69142583e-06    4.83078451e-02    9.66156902e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
173      7.91276094e-06    4.96968638e-02    9.93937276e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
174      8.13409605e-06    5.10857864e-02    1.02171573e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
175      8.35543116e-06    5.24746102e-02    1.04949220e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
176      8.57676627e-06    5.38633325e-02    1.07726665e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
177      8.79810138e-06    5.52519506e-02    1.10503901e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
178      9.24077160e-06    5.80288636e-02    1.16057727e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
179      9.68344181e-06    6.08053277e-02    1.21610655e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
180      1.01261120e-05    6.35813214e-02    1.27162643e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
181      1.05687822e-05    6.63568232e-02    1.32713646e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
182      1.10114525e-05    6.91318117e-02    1.38263623e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
183      1.14541227e-05    7.19062654e-02    1.43812531e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
184      1.18967929e-05    7.46801628e-02    1.49360326e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
185      1.23394631e-05    7.74534825e-02    1.54906965e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
186      1.27821333e-05    8.02262029e-02    1.60452406e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
187      1.32248036e-05    8.29983028e-02    1.65996606e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
188      1.36674738e-05    8.57697606e-02    1.71539521e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
189      1.41101440e-05    8.85405548e-02    1.77081110e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
190      1.45528142e-05    9.13106641e-02    1.82621328e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
191      1.49954844e-05    9.40800670e-02    1.88160134e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
192      1.54381546e-05    9.68487421e-02    1.93697484e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
193      1.58808249e-05    9.96166680e-02    1.99233336e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
194      1.63234951e-05    1.02383823e-01    2.04767646e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
195      1.67661653e-05    1.05150186e-01    2.10300373e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
196      1.72088355e-05    1.07915736e-01    2.15831472e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
197      1.80941760e-05    1.13444310e-01    2.26888619e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
198      1.89795164e-05    1.18969373e-01    2.37938746e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
199      1.98648568e-05    1.24490755e-01    2.48981509e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
200      2.07501973e-05    1.30008284e-01    2.60016568e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
201      2.16355377e-05    1.35521790e-01    2.71043581e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
202      2.25208781e-05    1.41031103e-01    2.82062206e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
203      2.34062186e-05    1.46536052e-01    2.93072104e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
204      2.42915590e-05    1.52036466e-01    3.04072932e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
205      2.51768994e-05    1.57532176e-01    3.15064352e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
206      2.60622399e-05    1.63023011e-01    3.26046022e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
207      2.69475803e-05    1.68508801e-01    3.37017602e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
208      2.78329207e-05    1.73989377e-01    3.47978754e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
209      2.87182612e-05    1.79464569e-01    3.58929138e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
210      2.96036016e-05    1.84934208e-01    3.69868415e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
211      3.04889421e-05    1.90398124e-01    3.80796247e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
212      3.13742825e-05    1.95856148e-01    3.91712296e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
213      3.22596229e-05    2.01308111e-01    4.02616223e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
214      3.31449634e-05    2.06753846e-01    4.13507691e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
215      3.40303038e-05    2.12193182e-01    4.24386364e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
216      3.58009847e-05    2.23051989e-01    4.46103977e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
217      3.75716655e-05    2.33883187e-01    4.67766373e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
218      3.93423464e-05    2.44685435e-01    4.89370871e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
219      4.11130273e-05    2.55457398e-01    5.10914796e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
220      4.28837082e-05    2.66197741e-01    5.32395483e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
221      4.46543890e-05    2.76905136e-01    5.53810272e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
222      4.64250699e-05    2.87578256e-01    5.75156512e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
