Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        I(XKS1:L1)        I(XKS1:L2)    
73       6.94711947e-03   -8.47571980e-02    1.44550899e-01    1.58419152e-01    8.47571980e-02    4.15808480e-05
74       7.14220176e-03   -7.37254806e-02    1.42363659e-01    1.56774145e-01    7.37254806e-02    4.32258551e-05
75       7.33728406e-03   -6.22952041e-02    1.40463122e-01    1.55352318e-01    6.22952041e-02    4.46476816e-05
76       7.53236635e-03   -5.05281153e-02    1.38908698e-01    1.54181797e-01    5.05281153e-02    4.58182030e-05
77       7.72744864e-03   -3.84878786e-02    1.37660955e-01    1.53249624e-01    3.84878786e-02    4.67503760e-05
78       7.92253094e-03   -2.62395409e-02    1.36773219e-01    1.52579014e-01    2.62395409e-02    4.74209861e-05
79       8.11761323e-03   -1.38493661e-02    1.36204921e-01    1.52156486e-01    1.38493661e-02    4.78435138e-05
80       8.31269552e-03   -1.38429537e-03    1.36003330e-01    1.52000402e-01    1.38429537e-03    4.79995976e-05
81       8.41023667e-03    4.85526331e-03    1.36031345e-01    1.52023406e-01   -4.85526331e-03    4.79765942e-05
82       8.49700251e-03    1.04002494e-02    1.36092129e-01    1.52068868e-01   -1.04002494e-02    4.79311325e-05
83       8.58376835e-03    1.59342308e-02    1.36343344e-01    1.52255852e-01   -1.59342308e-02    4.77441481e-05
84       8.75730003e-03    2.69448538e-02    1.36753546e-01    1.52565256e-01   -2.69448538e-02    4.74347443e-05
85       8.93083171e-03    3.78404320e-02    1.37666057e-01    1.53246014e-01   -3.78404320e-02    4.67539864e-05
86       9.10436340e-03    4.85738962e-02    1.38621614e-01    1.53966108e-01   -4.85738962e-02    4.60338917e-05
87       9.27789508e-03    5.90997656e-02    1.40055616e-01    1.55036417e-01   -5.90997656e-02    4.49635826e-05
88       9.45142676e-03    6.93725838e-02    1.41537699e-01    1.56152939e-01   -6.93725838e-02    4.38470611e-05
89       9.62495844e-03    7.93488108e-02    1.43471085e-01    1.57596371e-01   -7.93488108e-02    4.24036294e-05
90       9.79849012e-03    8.89853705e-02    1.45452037e-01    1.59088447e-01   -8.89853705e-02    4.09115526e-05
91       9.97202180e-03    9.82414172e-02    1.47853994e-01    1.60882032e-01   -9.82414172e-02    3.91179679e-05
92       1.01455535e-02    1.07076983e-01    1.50297794e-01    1.62722529e-01   -1.07076983e-01    3.72774714e-05
93       1.03190852e-02    1.15454622e-01    1.53129343e-01    1.64837161e-01   -1.15454622e-01    3.51628388e-05
94       1.04926168e-02    1.23338151e-01    1.55992207e-01    1.66993130e-01   -1.23338151e-01    3.30068703e-05
95       1.06661485e-02    1.30694172e-01    1.59206880e-01    1.69394079e-01   -1.30694172e-01    3.06059211e-05
96       1.08396802e-02    1.37490895e-01    1.62437999e-01    1.71827311e-01   -1.37490895e-01    2.81726890e-05
97       1.10132119e-02    1.43699553e-01    1.65982647e-01    1.74474824e-01   -1.43699553e-01    2.55251759e-05
98       1.11867436e-02    1.49293281e-01    1.69525045e-01    1.77142494e-01   -1.49293281e-01    2.28575063e-05
99       1.13602753e-02    1.54248441e-01    1.73340756e-01    1.79992486e-01   -1.54248441e-01    2.00075141e-05
100      1.15338069e-02    1.58543550e-01    1.77132251e-01    1.82847872e-01   -1.58543550e-01    1.71521284e-05
101      1.17073386e-02    1.62160507e-01    1.81155364e-01    1.85852689e-01   -1.62160507e-01    1.41473109e-05
102      1.18808703e-02    1.65083573e-01    1.85129630e-01    1.88845964e-01   -1.65083573e-01    1.11540361e-05
103      1.20544020e-02    1.67300497e-01    1.89292835e-01    1.91955207e-01   -1.67300497e-01    8.04479307e-06
104      1.22279337e-02    1.68801549e-01    1.93380518e-01    1.95034282e-01   -1.68801549e-01    4.96571814e-06
105      1.24014653e-02    1.69580545e-01    1.97614011e-01    1.98195674e-01   -1.69580545e-01    1.80432563e-06
106      1.25749970e-02    1.69633921e-01    2.01743915e-01    2.01307081e-01   -1.69633921e-01   -1.30708136e-06
107      1.27485287e-02    1.68961674e-01    2.05976603e-01    2.04467372e-01   -1.68961674e-01   -4.46737166e-06
108      1.29220604e-02    1.67566462e-01    2.10076893e-01    2.07557171e-01   -1.67566462e-01   -7.55717055e-06
109      1.30955921e-02    1.65454464e-01    2.14237614e-01    2.10663048e-01   -1.65454464e-01   -1.06630485e-05
110      1.32691238e-02    1.62634512e-01    2.18237043e-01    2.13677743e-01   -1.62634512e-01   -1.36777427e-05
111      1.34426554e-02    1.59118868e-01    2.22255786e-01    2.16676757e-01   -1.59118868e-01   -1.66767570e-05
112      1.36161871e-02    1.54922382e-01    2.26084905e-01    2.19564202e-01   -1.54922382e-01   -1.95642022e-05
113      1.37897188e-02    1.50063192e-01    2.29894018e-01    2.22405663e-01   -1.50063192e-01   -2.24056631e-05
114      1.39632505e-02    1.44561908e-01    2.33486358e-01    2.25115953e-01   -1.44561908e-01   -2.51159529e-05
115      1.41367822e-02    1.38442240e-01    2.37021705e-01    2.27751804e-01   -1.38442240e-01   -2.77518036e-05
116      1.43103138e-02    1.31730199e-01    2.40314906e-01    2.30238118e-01   -1.31730199e-01   -3.02381178e-05
117      1.44838455e-02    1.24454666e-01    2.43516972e-01    2.32623761e-01   -1.24454666e-01   -3.26237609e-05
118      1.46573772e-02    1.16646608e-01    2.46453846e-01    2.34843161e-01   -1.16646608e-01   -3.48431614e-05
119      1.48309089e-02    1.08339585e-01    2.49268756e-01    2.36938226e-01   -1.08339585e-01   -3.69382258e-05
120      1.50044406e-02    9.95689845e-02    2.51798262e-01    2.38852386e-01   -9.95689845e-02   -3.88523858e-05
121      1.51779723e-02    9.03724769e-02    2.54178707e-01    2.40621421e-01   -9.03724769e-02   -4.06214212e-05
122      1.53515039e-02    8.07892638e-02    2.56256818e-01    2.42197277e-01   -8.07892638e-02   -4.21972768e-05
123      1.55250356e-02    7.08604837e-02    2.58162868e-01    2.43610363e-01   -7.08604837e-02   -4.36103630e-05
124      1.56985673e-02    6.06284788e-02    2.59753319e-01    2.44820675e-01   -6.06284788e-02   -4.48206748e-05
125      1.58720990e-02    5.01371559e-02    2.61153110e-01    2.45853937e-01   -5.01371559e-02   -4.58539370e-05
126      1.60456307e-02    3.94312710e-02    2.62228014e-01    2.46677752e-01   -3.94312710e-02   -4.66777522e-05
127      1.62191623e-02    2.85567515e-02    2.63098295e-01    2.47313772e-01   -2.85567515e-02   -4.73137725e-05
128      1.63926940e-02    1.75599993e-02    2.63638619e-01    2.47736780e-01   -1.75599993e-02   -4.77367801e-05
129      1.65662257e-02    6.48817975e-03    2.63965152e-01    2.47964898e-01   -6.48817975e-03   -4.79648977e-05
130      1.66144258e-02    3.40586474e-03    2.63948422e-01    2.47961349e-01   -3.40586474e-03   -4.79613490e-05
131      1.66626258e-02    3.22505303e-04    2.63990682e-01    2.47992416e-01   -3.22505303e-04   -4.79924157e-05
132      1.67293546e-02   -3.94614073e-03    2.63970267e-01    2.47977796e-01    3.94614073e-03   -4.79777963e-05
133      1.67960834e-02   -8.21230232e-03    2.63896703e-01    2.47923148e-01    8.21230232e-03   -4.79231480e-05
