Index       TIME              V(1)              V(2)             X1:L1:L          {X1:L1:L}       {2.0*X1:L1:L}     {X1:L1:L**2}    {(X1:L1:L)*R1:R} 
28       5.67295000e-05    3.48942053e-01    3.48942053e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
29       6.32831000e-05    3.87224604e-01    3.87224604e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
30       6.98367000e-05    4.24850675e-01    4.24850675e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
31       7.63903000e-05    4.61756478e-01    4.61756478e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
32       8.29439000e-05    4.97879444e-01    4.97879444e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
33       8.94975000e-05    5.33158332e-01    5.33158332e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
34       9.60511000e-05    5.67533332e-01    5.67533332e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
35       1.02604700e-04    6.00946168e-01    6.00946168e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
36       1.09158300e-04    6.33340192e-01    6.33340192e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
37       1.15711900e-04    6.64660485e-01    6.64660485e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
38       1.22265500e-04    6.94853949e-01    6.94853949e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
39       1.28819100e-04    7.23869396e-01    7.23869396e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
40       1.35372700e-04    7.51657634e-01    7.51657634e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
41       1.41926300e-04    7.78171553e-01    7.78171553e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
42       1.48479900e-04    8.03366201e-01    8.03366201e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
43       1.55033500e-04    8.27198867e-01    8.27198867e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
44       1.61587100e-04    8.49629145e-01    8.49629145e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
