Index       TIME              I(L1)      
80       2.81847386e-03    1.48097831e-01
81       2.82205092e-03    1.48209570e-01
82       2.82920504e-03    1.48432425e-01
83       2.84351329e-03    1.48874794e-01
84       2.84709035e-03    1.48984632e-01
85       2.85424448e-03    1.49203678e-01
86       2.85603301e-03    1.49258240e-01
87       2.85961007e-03    1.49367207e-01
88       2.86676420e-03    1.49584305e-01
89       2.86855273e-03    1.49638385e-01
90       2.87212979e-03    1.49746391e-01
91       2.87928392e-03    1.49961568e-01
92       2.88107245e-03    1.50015167e-01
93       2.88464951e-03    1.50122213e-01
94       2.89180363e-03    1.50335468e-01
95       2.89359217e-03    1.50388587e-01
96       2.89716923e-03    1.50494671e-01
97       2.90432335e-03    1.50705999e-01
98       2.90611188e-03    1.50758637e-01
99       2.90968895e-03    1.50863756e-01
100      2.91684307e-03    1.51073154e-01
101      2.91863160e-03    1.51125308e-01
102      2.92220866e-03    1.51229461e-01
103      2.92310293e-03    1.51255449e-01
104      2.92489146e-03    1.51307386e-01
105      2.92846852e-03    1.51411050e-01
106      2.93562265e-03    1.51617540e-01
107      2.93741118e-03    1.51668967e-01
108      2.94098824e-03    1.51771665e-01
109      2.94188251e-03    1.51797290e-01
110      2.94367104e-03    1.51848499e-01
111      2.94724810e-03    1.51950707e-01
112      2.94814237e-03    1.51976209e-01
113      2.94993090e-03    1.52027174e-01
114      2.95350796e-03    1.52128894e-01
115      2.95440223e-03    1.52154274e-01
116      2.95619076e-03    1.52204996e-01
117      2.95976782e-03    1.52306229e-01
118      2.96066208e-03    1.52331487e-01
119      2.96245062e-03    1.52381965e-01
120      2.96602768e-03    1.52482710e-01
121      2.96692194e-03    1.52507846e-01
122      2.96871048e-03    1.52558080e-01
123      2.97228754e-03    1.52658337e-01
124      2.97318180e-03    1.52683352e-01
125      2.97497033e-03    1.52733342e-01
126      2.97854740e-03    1.52833110e-01
127      2.97944166e-03    1.52858003e-01
128      2.98123019e-03    1.52907748e-01
129      2.98480726e-03    1.53007028e-01
130      2.98570152e-03    1.53031798e-01
131      2.98749005e-03    1.53081299e-01
132      2.99106712e-03    1.53180089e-01
133      2.99196138e-03    1.53204737e-01
134      2.99374991e-03    1.53253993e-01
135      2.99732697e-03    1.53352293e-01
136      2.99822124e-03    1.53376818e-01
137      3.00000977e-03    1.53425829e-01
138      3.00358683e-03    1.53523639e-01
139      3.00448110e-03    1.53548041e-01
140      3.00626963e-03    1.53596806e-01
141      3.00984669e-03    1.53694125e-01
142      3.01074096e-03    1.53718405e-01
143      3.01252949e-03    1.53766924e-01
144      3.01610655e-03    1.53863752e-01
145      3.01700082e-03    1.53887908e-01
146      3.01878935e-03    1.53936182e-01
147      3.02236641e-03    1.54032517e-01
148      3.02326068e-03    1.54056551e-01
149      3.02504921e-03    1.54104579e-01
150      3.02862627e-03    1.54200421e-01
151      3.02952054e-03    1.54224331e-01
152      3.03130907e-03    1.54272113e-01
153      3.03175620e-03    1.54284045e-01
154      3.03265047e-03    1.54307901e-01
155      3.03443900e-03    1.54355558e-01
156      3.03801606e-03    1.54450660e-01
157      3.03891032e-03    1.54474385e-01
158      3.04069886e-03    1.54521796e-01
159      3.04114599e-03    1.54533636e-01
160      3.04204025e-03    1.54557306e-01
161      3.04382879e-03    1.54604593e-01
162      3.04740585e-03    1.54698954e-01
163      3.04830011e-03    1.54722494e-01
164      3.05008864e-03    1.54769534e-01
165      3.05053578e-03    1.54781281e-01
166      3.05143004e-03    1.54804766e-01
167      3.05321857e-03    1.54851682e-01
168      3.05366571e-03    1.54863399e-01
169      3.05455997e-03    1.54886821e-01
170      3.05634850e-03    1.54933613e-01
171      3.05679564e-03    1.54945298e-01
172      3.05768990e-03    1.54968659e-01
173      3.05947843e-03    1.55015327e-01
174      3.05992557e-03    1.55026981e-01
175      3.06081983e-03    1.55050280e-01
176      3.06260836e-03    1.55096824e-01
177      3.06305550e-03    1.55108447e-01
178      3.06394976e-03    1.55131684e-01
179      3.06573829e-03    1.55178104e-01
180      3.06618542e-03    1.55189696e-01
181      3.06707969e-03    1.55212871e-01
182      3.06886822e-03    1.55259167e-01
183      3.06931535e-03    1.55270728e-01
184      3.07020962e-03    1.55293841e-01
185      3.07199815e-03    1.55340013e-01
186      3.07244528e-03    1.55351543e-01
187      3.07333955e-03    1.55374594e-01
188      3.07512808e-03    1.55420641e-01
189      3.07557521e-03    1.55432141e-01
190      3.07646948e-03    1.55455129e-01
191      3.07825801e-03    1.55501053e-01
192      3.07870514e-03    1.55512521e-01
193      3.07959941e-03    1.55535447e-01
194      3.08138794e-03    1.55581247e-01
195      3.08183507e-03    1.55592684e-01
196      3.08272934e-03    1.55615548e-01
197      3.08451787e-03    1.55661223e-01
198      3.08496500e-03    1.55672629e-01
199      3.08585927e-03    1.55695431e-01
200      3.08764780e-03    1.55740982e-01
201      3.08809493e-03    1.55752357e-01
202      3.08898920e-03    1.55775097e-01
203      3.09077773e-03    1.55820523e-01
204      3.09122486e-03    1.55831867e-01
205      3.09211913e-03    1.55854544e-01
206      3.09390766e-03    1.55899846e-01
207      3.09435479e-03    1.55911159e-01
208      3.09524906e-03    1.55933774e-01
209      3.09703759e-03    1.55978952e-01
210      3.09748472e-03    1.55990233e-01
211      3.09837899e-03    1.56012786e-01
212      3.10016752e-03    1.56057839e-01
213      3.10061465e-03    1.56069089e-01
214      3.10150892e-03    1.56091580e-01
215      3.10329745e-03    1.56136508e-01
216      3.10374458e-03    1.56147727e-01
217      3.10463885e-03    1.56170156e-01
218      3.10642738e-03    1.56214959e-01
219      3.10687451e-03    1.56226147e-01
220      3.10776877e-03    1.56248513e-01
221      3.10955731e-03    1.56293192e-01
222      3.11000444e-03    1.56304348e-01
223      3.11089870e-03    1.56326652e-01
224      3.11268724e-03    1.56371206e-01
225      3.11313437e-03    1.56382331e-01
226      3.11402863e-03    1.56404572e-01
227      3.11581717e-03    1.56449001e-01
228      3.11626430e-03    1.56460096e-01
229      3.11715856e-03    1.56482274e-01
230      3.11894709e-03    1.56526578e-01
231      3.11939423e-03    1.56537641e-01
232      3.12028849e-03    1.56559758e-01
233      3.12207702e-03    1.56603936e-01
234      3.12252416e-03    1.56614968e-01
235      3.12341842e-03    1.56637022e-01
236      3.12520695e-03    1.56681076e-01
237      3.12565409e-03    1.56692076e-01
238      3.12654835e-03    1.56714067e-01
239      3.12833688e-03    1.56757996e-01
240      3.12878402e-03    1.56768965e-01
241      3.12967828e-03    1.56790894e-01
242      3.13146681e-03    1.56834697e-01
243      3.13191395e-03    1.56845635e-01
244      3.13280821e-03    1.56867501e-01
245      3.13459674e-03    1.56911179e-01
246      3.13504388e-03    1.56922086e-01
247      3.13593814e-03    1.56943890e-01
248      3.13772667e-03    1.56987442e-01
249      3.13817381e-03    1.56998318e-01
250      3.13906807e-03    1.57020058e-01
251      3.14085660e-03    1.57063486e-01
252      3.14130373e-03    1.57074330e-01
253      3.14219800e-03    1.57096008e-01
254      3.14398653e-03    1.57139310e-01
255      3.14443366e-03    1.57150123e-01
256      3.14532793e-03    1.57171738e-01
257      3.14711646e-03    1.57214914e-01
258      3.14756359e-03    1.57225696e-01
259      3.14845786e-03    1.57247248e-01
260      3.15024639e-03    1.57290299e-01
261      3.15069352e-03    1.57301049e-01
262      3.15158779e-03    1.57322539e-01
263      3.15337632e-03    1.57365464e-01
264      3.15382345e-03    1.57376183e-01
265      3.15471772e-03    1.57397610e-01
266      3.15650625e-03    1.57440409e-01
267      3.15695338e-03    1.57451096e-01
268      3.15784765e-03    1.57472461e-01
269      3.15963618e-03    1.57515135e-01
270      3.16008331e-03    1.57525790e-01
271      3.16097758e-03    1.57547091e-01
272      3.16120114e-03    1.57552413e-01
273      3.16164828e-03    1.57563055e-01
274      3.16254254e-03    1.57584325e-01
275      3.16433107e-03    1.57626810e-01
276      3.16477821e-03    1.57637418e-01
277      3.16567247e-03    1.57658625e-01
278      3.16589604e-03    1.57663924e-01
279      3.16634317e-03    1.57674518e-01
280      3.16723744e-03    1.57695693e-01
281      3.16902597e-03    1.57737990e-01
282      3.16947310e-03    1.57748551e-01
283      3.17036737e-03    1.57769663e-01
284      3.17059093e-03    1.57774938e-01
285      3.17103807e-03    1.57785486e-01
286      3.17193233e-03    1.57806566e-01
287      3.17372086e-03    1.57848674e-01
288      3.17416800e-03    1.57859188e-01
289      3.17506226e-03    1.57880206e-01
290      3.17528583e-03    1.57885457e-01
291      3.17573296e-03    1.57895957e-01
292      3.17662723e-03    1.57916943e-01
293      3.17841576e-03    1.57958862e-01
294      3.17886289e-03    1.57969328e-01
295      3.17975716e-03    1.57990252e-01
296      3.17998072e-03    1.57995479e-01
297      3.18042785e-03    1.58005932e-01
298      3.18132212e-03    1.58026824e-01
299      3.18311065e-03    1.58068553e-01
300      3.18355778e-03    1.58078972e-01
301      3.18445205e-03    1.58099801e-01
302      3.18467562e-03    1.58105005e-01
303      3.18512275e-03    1.58115410e-01
304      3.18601701e-03    1.58136207e-01
305      3.18624058e-03    1.58141403e-01
306      3.18668771e-03    1.58151793e-01
307      3.18758198e-03    1.58172559e-01
308      3.18780555e-03    1.58177747e-01
309      3.18825268e-03    1.58188120e-01
310      3.18914694e-03    1.58208854e-01
311      3.18937051e-03    1.58214035e-01
312      3.18981764e-03    1.58224392e-01
313      3.19071191e-03    1.58245095e-01
314      3.19093548e-03    1.58250267e-01
315      3.19138261e-03    1.58260609e-01
316      3.19227687e-03    1.58281280e-01
317      3.19250044e-03    1.58286444e-01
318      3.19294757e-03    1.58296771e-01
319      3.19384184e-03    1.58317410e-01
320      3.19406540e-03    1.58322566e-01
321      3.19451254e-03    1.58332877e-01
322      3.19540680e-03    1.58353485e-01
323      3.19563037e-03    1.58358633e-01
324      3.19607750e-03    1.58368928e-01
325      3.19697177e-03    1.58389504e-01
326      3.19719533e-03    1.58394645e-01
327      3.19764247e-03    1.58404923e-01
328      3.19853673e-03    1.58425468e-01
329      3.19876030e-03    1.58430601e-01
330      3.19920743e-03    1.58440864e-01
331      3.20010170e-03    1.58461376e-01
332      3.20032526e-03    1.58466501e-01
333      3.20077240e-03    1.58476749e-01
334      3.20166666e-03    1.58497230e-01
335      3.20189023e-03    1.58502347e-01
336      3.20233736e-03    1.58512578e-01
337      3.20323163e-03    1.58533028e-01
338      3.20345519e-03    1.58538137e-01
339      3.20390233e-03    1.58548353e-01
340      3.20479659e-03    1.58568770e-01
341      3.20502016e-03    1.58573871e-01
342      3.20546729e-03    1.58584071e-01
343      3.20636156e-03    1.58604458e-01
344      3.20658512e-03    1.58609551e-01
345      3.20703226e-03    1.58619735e-01
346      3.20792652e-03    1.58640089e-01
347      3.20815009e-03    1.58645175e-01
348      3.20859722e-03    1.58655343e-01
349      3.20949149e-03    1.58675666e-01
350      3.20971505e-03    1.58680743e-01
351      3.21016219e-03    1.58690896e-01
352      3.21105645e-03    1.58711187e-01
353      3.21128002e-03    1.58716256e-01
354      3.21172715e-03    1.58726393e-01
355      3.21262142e-03    1.58746653e-01
356      3.21284498e-03    1.58751714e-01
357      3.21329211e-03    1.58761835e-01
358      3.21418638e-03    1.58782063e-01
359      3.21440995e-03    1.58787117e-01
360      3.21485708e-03    1.58797221e-01
361      3.21575135e-03    1.58817418e-01
362      3.21597491e-03    1.58822463e-01
363      3.21642204e-03    1.58832552e-01
364      3.21731631e-03    1.58852717e-01
365      3.21753988e-03    1.58857755e-01
366      3.21798701e-03    1.58867828e-01
367      3.21888127e-03    1.58887961e-01
368      3.21910484e-03    1.58892991e-01
369      3.21955197e-03    1.58903048e-01
370      3.22044624e-03    1.58923149e-01
371      3.22066981e-03    1.58928171e-01
372      3.22111694e-03    1.58938213e-01
373      3.22201120e-03    1.58958282e-01
374      3.22223477e-03    1.58963296e-01
375      3.22268190e-03    1.58973322e-01
376      3.22357617e-03    1.58993360e-01
377      3.22379974e-03    1.58998366e-01
378      3.22424687e-03    1.59008376e-01
379      3.22514113e-03    1.59028382e-01
380      3.22536470e-03    1.59033380e-01
381      3.22581183e-03    1.59043374e-01
382      3.22670610e-03    1.59063348e-01
383      3.22692967e-03    1.59068338e-01
384      3.22737680e-03    1.59078316e-01
385      3.22827106e-03    1.59098259e-01
386      3.22849463e-03    1.59103241e-01
387      3.22894176e-03    1.59113203e-01
388      3.22983603e-03    1.59133114e-01
389      3.23005959e-03    1.59138089e-01
390      3.23050673e-03    1.59148035e-01
391      3.23140099e-03    1.59167914e-01
392      3.23162456e-03    1.59172880e-01
393      3.23207169e-03    1.59182811e-01
394      3.23296596e-03    1.59202658e-01
395      3.23318952e-03    1.59207617e-01
396      3.23363666e-03    1.59217531e-01
397      3.23453092e-03    1.59237347e-01
398      3.23475449e-03    1.59242297e-01
399      3.23520162e-03    1.59252196e-01
400      3.23609589e-03    1.59271980e-01
401      3.23631945e-03    1.59276923e-01
402      3.23676659e-03    1.59286805e-01
403      3.23766085e-03    1.59306557e-01
404      3.23788442e-03    1.59311492e-01
405      3.23833155e-03    1.59321359e-01
406      3.23922582e-03    1.59341079e-01
407      3.23944938e-03    1.59346006e-01
408      3.23989652e-03    1.59355857e-01
409      3.24079078e-03    1.59375545e-01
410      3.24101435e-03    1.59380464e-01
411      3.24146148e-03    1.59390299e-01
412      3.24235575e-03    1.59409956e-01
413      3.24257931e-03    1.59414867e-01
414      3.24302645e-03    1.59424686e-01
415      3.24392071e-03    1.59444311e-01
416      3.24414428e-03    1.59449214e-01
417      3.24459141e-03    1.59459017e-01
418      3.24548568e-03    1.59478610e-01
419      3.24570924e-03    1.59483505e-01
420      3.24615638e-03    1.59493293e-01
421      3.24705064e-03    1.59512854e-01
422      3.24727421e-03    1.59517741e-01
423      3.24772134e-03    1.59527512e-01
424      3.24861561e-03    1.59547042e-01
425      3.24883917e-03    1.59551921e-01
426      3.24928631e-03    1.59561677e-01
427      3.25018057e-03    1.59581174e-01
428      3.25040414e-03    1.59586045e-01
429      3.25085127e-03    1.59595785e-01
430      3.25174554e-03    1.59615251e-01
431      3.25196910e-03    1.59620114e-01
432      3.25241623e-03    1.59629838e-01
433      3.25331050e-03    1.59649272e-01
434      3.25353407e-03    1.59654127e-01
435      3.25398120e-03    1.59663835e-01
436      3.25487546e-03    1.59683237e-01
437      3.25509903e-03    1.59688084e-01
438      3.25554616e-03    1.59697776e-01
439      3.25644043e-03    1.59717146e-01
440      3.25666400e-03    1.59721985e-01
441      3.25711113e-03    1.59731661e-01
442      3.25800539e-03    1.59751000e-01
443      3.25822896e-03    1.59755831e-01
444      3.25867609e-03    1.59765491e-01
445      3.25957036e-03    1.59784798e-01
446      3.25979393e-03    1.59789621e-01
447      3.26024106e-03    1.59799265e-01
448      3.26113532e-03    1.59818540e-01
449      3.26135889e-03    1.59823355e-01
450      3.26180602e-03    1.59832983e-01
451      3.26270029e-03    1.59852226e-01
452      3.26292386e-03    1.59857033e-01
453      3.26337099e-03    1.59866646e-01
454      3.26426525e-03    1.59885857e-01
455      3.26448882e-03    1.59890656e-01
456      3.26493595e-03    1.59900252e-01
457      3.26583022e-03    1.59919431e-01
458      3.26605378e-03    1.59924223e-01
459      3.26650092e-03    1.59933803e-01
460      3.26739518e-03    1.59952950e-01
461      3.26761875e-03    1.59957734e-01
462      3.26806588e-03    1.59967298e-01
463      3.26896015e-03    1.59986413e-01
464      3.26918371e-03    1.59991189e-01
465      3.26963085e-03    1.60000737e-01
466      3.27052511e-03    1.60019821e-01
467      3.27074868e-03    1.60024588e-01
468      3.27119581e-03    1.60034121e-01
469      3.27209008e-03    1.60053172e-01
470      3.27231364e-03    1.60057932e-01
471      3.27276078e-03    1.60067448e-01
472      3.27365504e-03    1.60086468e-01
473      3.27387861e-03    1.60091219e-01
474      3.27432574e-03    1.60100720e-01
475      3.27522001e-03    1.60119707e-01
476      3.27544357e-03    1.60124451e-01
477      3.27589071e-03    1.60133936e-01
478      3.27678497e-03    1.60152891e-01
479      3.27700854e-03    1.60157627e-01
480      3.27745567e-03    1.60167095e-01
481      3.27834994e-03    1.60186019e-01
482      3.27857350e-03    1.60190747e-01
483      3.27902064e-03    1.60200199e-01
484      3.27991490e-03    1.60219091e-01
485      3.28013847e-03    1.60223811e-01
486      3.28058560e-03    1.60233248e-01
487      3.28147987e-03    1.60252107e-01
488      3.28170343e-03    1.60256819e-01
489      3.28215057e-03    1.60266240e-01
490      3.28304483e-03    1.60285067e-01
491      3.28326840e-03    1.60289771e-01
492      3.28371553e-03    1.60299176e-01
493      3.28460980e-03    1.60317972e-01
494      3.28483336e-03    1.60322667e-01
495      3.28528050e-03    1.60332056e-01
496      3.28617476e-03    1.60350820e-01
497      3.28639833e-03    1.60355508e-01
498      3.28684546e-03    1.60364881e-01
499      3.28773973e-03    1.60383612e-01
500      3.28796329e-03    1.60388292e-01
501      3.28841042e-03    1.60397649e-01
502      3.28930469e-03    1.60416349e-01
503      3.28952826e-03    1.60421020e-01
504      3.28997539e-03    1.60430361e-01
505      3.29086966e-03    1.60449029e-01
506      3.29109322e-03    1.60453693e-01
507      3.29154035e-03    1.60463018e-01
508      3.29243462e-03    1.60481654e-01
509      3.29265819e-03    1.60486309e-01
510      3.29310532e-03    1.60495618e-01
511      3.29399958e-03    1.60514222e-01
512      3.29422315e-03    1.60518870e-01
513      3.29467028e-03    1.60528163e-01
514      3.29556455e-03    1.60546734e-01
515      3.29578812e-03    1.60551374e-01
516      3.29623525e-03    1.60560651e-01
517      3.29712951e-03    1.60579191e-01
518      3.29735308e-03    1.60583823e-01
519      3.29780021e-03    1.60593083e-01
520      3.29869448e-03    1.60611591e-01
521      3.29891805e-03    1.60616215e-01
522      3.29936518e-03    1.60625460e-01
523      3.30025944e-03    1.60643936e-01
524      3.30048301e-03    1.60648551e-01
525      3.30093014e-03    1.60657780e-01
526      3.30182441e-03    1.60676224e-01
527      3.30204798e-03    1.60680831e-01
528      3.30249511e-03    1.60690044e-01
529      3.30338937e-03    1.60708456e-01
530      3.30361294e-03    1.60713056e-01
531      3.30406007e-03    1.60722252e-01
532      3.30495434e-03    1.60740632e-01
533      3.30517790e-03    1.60745224e-01
534      3.30562504e-03    1.60754404e-01
535      3.30651930e-03    1.60772752e-01
536      3.30674287e-03    1.60777336e-01
537      3.30719000e-03    1.60786500e-01
538      3.30808427e-03    1.60804816e-01
539      3.30830783e-03    1.60809392e-01
540      3.30875497e-03    1.60818540e-01
541      3.30964923e-03    1.60836824e-01
542      3.30987280e-03    1.60841391e-01
543      3.31031993e-03    1.60850524e-01
544      3.31121420e-03    1.60868776e-01
545      3.31143776e-03    1.60873335e-01
546      3.31188490e-03    1.60882452e-01
547      3.31277916e-03    1.60900671e-01
548      3.31300273e-03    1.60905223e-01
549      3.31344986e-03    1.60914323e-01
550      3.31434413e-03    1.60932511e-01
551      3.31456769e-03    1.60937054e-01
552      3.31501483e-03    1.60946139e-01
553      3.31590909e-03    1.60964294e-01
554      3.31613266e-03    1.60968829e-01
555      3.31657979e-03    1.60977898e-01
556      3.31747406e-03    1.60996021e-01
557      3.31769762e-03    1.61000549e-01
558      3.31814476e-03    1.61009601e-01
559      3.31903902e-03    1.61027692e-01
560      3.31926259e-03    1.61032211e-01
561      3.31970972e-03    1.61041248e-01
562      3.32060399e-03    1.61059307e-01
563      3.32082755e-03    1.61063818e-01
564      3.32127469e-03    1.61072839e-01
565      3.32216895e-03    1.61090865e-01
566      3.32239252e-03    1.61095369e-01
567      3.32283965e-03    1.61104373e-01
568      3.32373392e-03    1.61122368e-01
569      3.32395748e-03    1.61126863e-01
570      3.32440461e-03    1.61135851e-01
571      3.32529888e-03    1.61153814e-01
572      3.32552245e-03    1.61158301e-01
573      3.32596958e-03    1.61167273e-01
574      3.32686385e-03    1.61185204e-01
575      3.32708741e-03    1.61189683e-01
576      3.32753454e-03    1.61198639e-01
577      3.32842881e-03    1.61216538e-01
578      3.32865238e-03    1.61221009e-01
579      3.32909951e-03    1.61229949e-01
580      3.32999377e-03    1.61247815e-01
581      3.33021734e-03    1.61252278e-01
582      3.33066447e-03    1.61261202e-01
583      3.33077626e-03    1.61263432e-01
584      3.33099982e-03    1.61267892e-01
585      3.33144696e-03    1.61276808e-01
586      3.33234122e-03    1.61294626e-01
587      3.33256479e-03    1.61299077e-01
588      3.33301192e-03    1.61307977e-01
589      3.33312370e-03    1.61310201e-01
590      3.33334727e-03    1.61314649e-01
591      3.33379440e-03    1.61323540e-01
592      3.33468867e-03    1.61341310e-01
593      3.33491224e-03    1.61345749e-01
594      3.33535937e-03    1.61354625e-01
595      3.33547115e-03    1.61356843e-01
596      3.33569472e-03    1.61361278e-01
597      3.33614185e-03    1.61370146e-01
598      3.33703612e-03    1.61387868e-01
599      3.33725968e-03    1.61392295e-01
600      3.33770682e-03    1.61401146e-01
601      3.33781860e-03    1.61403358e-01
602      3.33804217e-03    1.61407782e-01
603      3.33848930e-03    1.61416625e-01
604      3.33938356e-03    1.61434298e-01
605      3.33960713e-03    1.61438713e-01
606      3.34005426e-03    1.61447541e-01
607      3.34016605e-03    1.61449747e-01
608      3.34038961e-03    1.61454158e-01
609      3.34083675e-03    1.61462978e-01
610      3.34173101e-03    1.61480602e-01
611      3.34195458e-03    1.61485005e-01
612      3.34240171e-03    1.61493809e-01
613      3.34251349e-03    1.61496009e-01
614      3.34273706e-03    1.61500408e-01
615      3.34318419e-03    1.61509203e-01
616      3.34407846e-03    1.61526780e-01
617      3.34430202e-03    1.61531171e-01
618      3.34474916e-03    1.61539950e-01
619      3.34486094e-03    1.61542144e-01
620      3.34508451e-03    1.61546531e-01
621      3.34553164e-03    1.61555302e-01
622      3.34642591e-03    1.61572830e-01
623      3.34664947e-03    1.61577209e-01
624      3.34709660e-03    1.61585964e-01
625      3.34720839e-03    1.61588152e-01
626      3.34743195e-03    1.61592527e-01
627      3.34787909e-03    1.61601274e-01
628      3.34877335e-03    1.61618754e-01
629      3.34899692e-03    1.61623121e-01
630      3.34944405e-03    1.61631852e-01
631      3.34955583e-03    1.61634033e-01
632      3.34977940e-03    1.61638397e-01
633      3.35022653e-03    1.61647119e-01
634      3.35112080e-03    1.61664551e-01
635      3.35134437e-03    1.61668906e-01
636      3.35179150e-03    1.61677612e-01
637      3.35190328e-03    1.61679788e-01
638      3.35212685e-03    1.61684139e-01
639      3.35257398e-03    1.61692838e-01
640      3.35346825e-03    1.61710221e-01
641      3.35369181e-03    1.61714563e-01
642      3.35413895e-03    1.61723246e-01
643      3.35425073e-03    1.61725416e-01
644      3.35447430e-03    1.61729755e-01
645      3.35492143e-03    1.61738429e-01
646      3.35581569e-03    1.61755764e-01
647      3.35603926e-03    1.61760094e-01
648      3.35648639e-03    1.61768753e-01
649      3.35659818e-03    1.61770916e-01
650      3.35682174e-03    1.61775243e-01
651      3.35726888e-03    1.61783894e-01
652      3.35816314e-03    1.61801180e-01
653      3.35838671e-03    1.61805498e-01
654      3.35883384e-03    1.61814133e-01
655      3.35894562e-03    1.61816290e-01
656      3.35916919e-03    1.61820605e-01
657      3.35961632e-03    1.61829231e-01
658      3.36051059e-03    1.61846469e-01
659      3.36073415e-03    1.61850775e-01
660      3.36118129e-03    1.61859385e-01
661      3.36129307e-03    1.61861537e-01
662      3.36151664e-03    1.61865840e-01
663      3.36196377e-03    1.61874442e-01
664      3.36285804e-03    1.61891631e-01
665      3.36308160e-03    1.61895925e-01
666      3.36352873e-03    1.61904511e-01
667      3.36364052e-03    1.61906657e-01
668      3.36386408e-03    1.61910947e-01
669      3.36431122e-03    1.61919525e-01
670      3.36520548e-03    1.61936666e-01
671      3.36542905e-03    1.61940948e-01
672      3.36587618e-03    1.61949510e-01
673      3.36598796e-03    1.61951649e-01
674      3.36621153e-03    1.61955928e-01
675      3.36665866e-03    1.61964481e-01
676      3.36677045e-03    1.61966619e-01
677      3.36699401e-03    1.61970893e-01
678      3.36744115e-03    1.61979439e-01
679      3.36755293e-03    1.61981574e-01
680      3.36777650e-03    1.61985844e-01
681      3.36822363e-03    1.61994382e-01
682      3.36833541e-03    1.61996515e-01
683      3.36855898e-03    1.62000782e-01
684      3.36900611e-03    1.62009311e-01
685      3.36911789e-03    1.62011442e-01
686      3.36934146e-03    1.62015705e-01
687      3.36978859e-03    1.62024226e-01
688      3.36990038e-03    1.62026355e-01
689      3.37012394e-03    1.62030613e-01
690      3.37057108e-03    1.62039126e-01
691      3.37068286e-03    1.62041254e-01
692      3.37090643e-03    1.62045508e-01
693      3.37135356e-03    1.62054013e-01
694      3.37146534e-03    1.62056138e-01
695      3.37168891e-03    1.62060389e-01
696      3.37213604e-03    1.62068885e-01
697      3.37224782e-03    1.62071009e-01
