Index       TIME              V(1)              V(2)            {X1:L1:L}          X1:L1:L     
47       1.94150300e-04    9.39058907e-01    1.17267738e-01    1.00000000e-03    1.00000000e-03
48       2.00703900e-04    9.52413910e-01    1.23877753e-01    1.00000000e-03    1.00000000e-03
49       2.07257500e-04    9.64154243e-01    1.30537753e-01    1.00000000e-03    1.00000000e-03
50       2.13811100e-04    9.74260001e-01    1.37234508e-01    1.00000000e-03    1.00000000e-03
51       2.20364700e-04    9.82714052e-01    1.43954739e-01    1.00000000e-03    1.00000000e-03
52       2.26918300e-04    9.89502062e-01    1.50685141e-01    1.00000000e-03    1.00000000e-03
53       2.33471900e-04    9.94612525e-01    1.57412407e-01    1.00000000e-03    1.00000000e-03
54       2.40025500e-04    9.98036776e-01    1.64123248e-01    1.00000000e-03    1.00000000e-03
55       2.46579100e-04    9.99769010e-01    1.70804420e-01    1.00000000e-03    1.00000000e-03
56       2.53132700e-04    9.99806289e-01    1.77442740e-01    1.00000000e-03    1.00000000e-03
57       2.59686300e-04    9.98148552e-01    1.84025114e-01    1.00000000e-03    1.00000000e-03
58       2.66239900e-04    9.94798608e-01    1.90538553e-01    1.00000000e-03    1.00000000e-03
59       2.72793500e-04    9.89762136e-01    1.96970203e-01    1.00000000e-03    1.00000000e-03
60       2.79347100e-04    9.83047676e-01    2.03307359e-01    1.00000000e-03    1.00000000e-03
61       2.85900700e-04    9.74666610e-01    2.09537491e-01    1.00000000e-03    1.00000000e-03
62       2.92454300e-04    9.64633148e-01    2.15648263e-01    1.00000000e-03    1.00000000e-03
63       2.99007900e-04    9.52964299e-01    2.21627556e-01    1.00000000e-03    1.00000000e-03
64       3.05561500e-04    9.39679846e-01    2.27463485e-01    1.00000000e-03    1.00000000e-03
65       3.12115100e-04    9.24802311e-01    2.33144423e-01    1.00000000e-03    1.00000000e-03
66       3.18668700e-04    9.08356916e-01    2.38659017e-01    1.00000000e-03    1.00000000e-03
67       3.25222300e-04    8.90371543e-01    2.43996211e-01    1.00000000e-03    1.00000000e-03
68       3.31775900e-04    8.70876682e-01    2.49145260e-01    1.00000000e-03    1.00000000e-03
69       3.38329500e-04    8.49905385e-01    2.54095752e-01    1.00000000e-03    1.00000000e-03
70       3.44883100e-04    8.27493204e-01    2.58837624e-01    1.00000000e-03    1.00000000e-03
71       3.51436700e-04    8.03678136e-01    2.63361180e-01    1.00000000e-03    1.00000000e-03
72       3.64543900e-04    7.52003148e-01    2.71712157e-01    1.00000000e-03    1.00000000e-03
73       3.77651100e-04    6.95230702e-01    2.79083851e-01    1.00000000e-03    1.00000000e-03
74       3.90758300e-04    6.33745628e-01    2.85413467e-01    1.00000000e-03    1.00000000e-03
75       4.03865500e-04    5.67964704e-01    2.90645467e-01    1.00000000e-03    1.00000000e-03
76       4.16972700e-04    4.98333827e-01    2.94731940e-01    1.00000000e-03    1.00000000e-03
77       4.30079900e-04    4.25324991e-01    2.97632925e-01    1.00000000e-03    1.00000000e-03
78       4.43187100e-04    3.49433085e-01    2.99316679e-01    1.00000000e-03    1.00000000e-03
79       4.56294300e-04    2.71172545e-01    2.99759890e-01    1.00000000e-03    1.00000000e-03
80       4.69401500e-04    1.91073859e-01    2.98947833e-01    1.00000000e-03    1.00000000e-03
81       4.82508700e-04    1.09679977e-01    2.96874464e-01    1.00000000e-03    1.00000000e-03
82       4.95615900e-04    2.75426292e-02    2.93542461e-01    1.00000000e-03    1.00000000e-03
83       5.08723100e-04   -5.47814168e-02    2.88963204e-01    1.00000000e-03    1.00000000e-03
84       5.21830300e-04   -1.36734127e-01    2.83156693e-01    1.00000000e-03    1.00000000e-03
85       5.34937500e-04   -2.17759983e-01    2.76151412e-01    1.00000000e-03    1.00000000e-03
86       5.48044700e-04   -2.97309752e-01    2.67984133e-01    1.00000000e-03    1.00000000e-03
87       5.61151900e-04   -3.74844204e-01    2.58699661e-01    1.00000000e-03    1.00000000e-03
88       5.74259100e-04   -4.49837771e-01    2.48350534e-01    1.00000000e-03    1.00000000e-03
89       5.87366300e-04   -5.21782110e-01    2.36996660e-01    1.00000000e-03    1.00000000e-03
90       6.00473500e-04   -5.90189544e-01    2.24704910e-01    1.00000000e-03    1.00000000e-03
