Index      TIME           mosfet:gainscale           mosfet:nltermscale           V(VOUT)           V(OUT20)           V(IN)           V(1)
62      0.00000000e+00   1.00000000e+00   8.83663789e-01   1.81630347e+00   3.52176993e-01   2.00000000e+00   2.00000000e+00   
63      0.00000000e+00   1.00000000e+00   8.92477223e-01   1.80953915e+00   3.60426115e-01   2.00000000e+00   2.00000000e+00   
64      0.00000000e+00   1.00000000e+00   9.01303474e-01   1.80273475e+00   3.68645467e-01   2.00000000e+00   2.00000000e+00   
65      0.00000000e+00   1.00000000e+00   9.10142600e-01   1.79589655e+00   3.76835854e-01   2.00000000e+00   2.00000000e+00   
66      0.00000000e+00   1.00000000e+00   9.18994401e-01   1.78903062e+00   3.84997960e-01   2.00000000e+00   2.00000000e+00   
67      0.00000000e+00   1.00000000e+00   9.27858470e-01   1.78214277e+00   3.93132401e-01   2.00000000e+00   2.00000000e+00   
68      0.00000000e+00   1.00000000e+00   9.36734197e-01   1.77523864e+00   4.01239742e-01   2.00000000e+00   2.00000000e+00   
69      0.00000000e+00   1.00000000e+00   9.45620831e-01   1.76832360e+00   4.09320580e-01   2.00000000e+00   2.00000000e+00   
70      0.00000000e+00   1.00000000e+00   9.54517695e-01   1.76140249e+00   4.17375785e-01   2.00000000e+00   2.00000000e+00   
71      0.00000000e+00   1.00000000e+00   9.63423794e-01   1.75448034e+00   4.25406276e-01   2.00000000e+00   2.00000000e+00   
72      0.00000000e+00   1.00000000e+00   9.72338065e-01   1.74756206e+00   4.33413426e-01   2.00000000e+00   2.00000000e+00   
73      0.00000000e+00   1.00000000e+00   9.81259551e-01   1.74065238e+00   4.41399605e-01   2.00000000e+00   2.00000000e+00   
74      0.00000000e+00   1.00000000e+00   9.90187634e-01   1.73375594e+00   4.49369143e-01   2.00000000e+00   2.00000000e+00   
75      0.00000000e+00   1.00000000e+00   9.99122472e-01   1.72687730e+00   4.57330164e-01   2.00000000e+00   2.00000000e+00   
76      0.00000000e+00   1.00000000e+00   1.00009157e+00   1.72613317e+00   4.58193878e-01   2.00000000e+00   2.00000000e+00   
77      0.00000000e+00   1.00000000e+00   1.00000000e+00   1.72620106e+00   4.58109045e-01   2.00000000e+00   2.00000000e+00   
End of Xyce(TM) Homotopy Simulation
