V(g) I(d) I(g) I(s) I(b)
-0.24 -7.5982e-06 -4.18874e-11 7.598e-06 2.490807e-10
-0.25 -9.7407e-06 -4.91552e-11 9.7405e-06 2.490807e-10
-0.26 -1.24233e-05 -5.7955e-11 1.24231e-05 2.490807e-10
-0.27 -1.57483e-05 -6.85272e-11 1.57481e-05 2.490807e-10
-0.28 -1.98225e-05 -8.11051e-11 1.98223e-05 2.490807e-10
-0.29 -2.47517e-05 -9.59014e-11 2.47515e-05 2.490807e-10
-0.3 -3.06339e-05 -1.130972e-10 3.06338e-05 2.490807e-10
-0.31 -3.75527e-05 -1.328327e-10 3.75525e-05 2.490807e-10
-0.32 -4.55707e-05 -1.552035e-10 4.55706e-05 2.490807e-10
-0.33 -5.47252e-05 -1.802596e-10 5.47251e-05 2.490807e-10
-0.34 -6.50259e-05 -2.080087e-10 6.50259e-05 2.490807e-10
-0.35 -7.64552e-05 -2.384214e-10 7.64552e-05 2.490807e-10
-0.36 -8.89704e-05 -2.714388e-10 8.89704e-05 2.490807e-10
-0.37 -0.000102509 -3.069816e-10 0.000102509 2.490807e-10
-0.38 -0.000116993 -3.449598e-10 0.0001169931 2.490807e-10
-0.39 -0.0001323354 -3.852817e-10 0.0001323355 2.490807e-10
-0.4 -0.000148444 -4.278618e-10 0.0001484442 2.490807e-10
-0.41 -0.0001652266 -4.726259e-10 0.0001652268 2.490807e-10
-0.42 -0.000182593 -5.195147e-10 0.0001825933 2.490807e-10
-0.43 -0.0002004581 -5.684855e-10 0.0002004584 2.490807e-10
-0.44 -0.0002187424 -6.195114e-10 0.0002187427 2.490807e-10
-0.45 -0.0002373728 -6.725805e-10 0.0002373733 2.490807e-10
-0.46 -0.0002562834 -7.276943e-10 0.0002562838 2.490807e-10
-0.47 -0.0002754143 -7.848654e-10 0.0002754148 2.490807e-10
-0.48 -0.0002947122 -8.441162e-10 0.0002947128 2.490807e-10
-0.49 -0.0003141295 -9.054764e-10 0.0003141302 2.490807e-10
-0.5 -0.000333624 -9.689823e-10 0.0003336247 2.490807e-10
-0.51 -0.0003531582 -1.0347e-09 0.000353159 2.490807e-10
-0.52 -0.000372699 -1.1026e-09 0.0003726998 2.490807e-10
-0.53 -0.0003922172 -1.1728e-09 0.0003922181 2.490807e-10
-0.54 -0.0004116869 -1.2453e-09 0.0004116879 2.490807e-10
-0.55 -0.0004310856 -1.3202e-09 0.0004310867 2.490807e-10
-0.56 -0.0004503932 -1.3976e-09 0.0004503944 2.490807e-10
-0.57 -0.0004695923 -1.4774e-09 0.0004695935 2.490807e-10
-0.58 -0.0004886674 -1.5598e-09 0.0004886687 2.490807e-10
-0.59 -0.0005076052 -1.6447e-09 0.0005076065 2.490807e-10
-0.6 -0.0005263937 -1.7323e-09 0.0005263952 2.490807e-10
-0.61 -0.0005450228 -1.8226e-09 0.0005450244 2.490807e-10
-0.62 -0.0005634836 -1.9156e-09 0.0005634853 2.490807e-10
-0.63 -0.0005817683 -2.0114e-09 0.0005817701 2.490807e-10
-0.64 -0.0005998704 -2.1101e-09 0.0005998722 2.490807e-10
-0.65 -0.000617784 -2.2116e-09 0.000617786 2.490807e-10
-0.66 -0.0006355044 -2.3161e-09 0.0006355064 2.490807e-10
-0.67 -0.0006530274 -2.4235e-09 0.0006530296 2.490807e-10
-0.68 -0.0006703496 -2.534e-09 0.0006703519 2.490807e-10
-0.69 -0.0006874682 -2.6476e-09 0.0006874706 2.490807e-10
-0.7 -0.000704381 -2.7642e-09 0.0007043835 2.490807e-10
-0.71 -0.000721086 -2.884e-09 0.0007210887 2.490807e-10
-0.72 -0.0007375821 -3.007e-09 0.0007375849 2.490807e-10
-0.73 -0.0007538682 -3.1331e-09 0.000753871 2.490807e-10
-0.74 -0.0007699436 -3.2626e-09 0.0007699466 2.490807e-10
-0.75 -0.0007858081 -3.3953e-09 0.0007858113 2.490807e-10
-0.76 -0.0008014617 -3.5313e-09 0.000801465 2.490807e-10
-0.77 -0.0008169046 -3.6706e-09 0.000816908 2.490807e-10
-0.78 -0.0008321372 -3.8133e-09 0.0008321407 2.490807e-10
-0.79 -0.0008471602 -3.9594e-09 0.0008471639 2.490807e-10
-0.8 -0.0008619744 -4.1089e-09 0.0008619782 2.490807e-10
-0.81 -0.0008765808 -4.2618e-09 0.0008765848 2.490807e-10
-0.82 -0.0008909805 -4.4181e-09 0.0008909847 2.490807e-10
-0.83 -0.0009051749 -4.5778e-09 0.0009051792 2.490807e-10
-0.84 -0.0009191652 -4.741e-09 0.0009191697 2.490807e-10
-0.85 -0.0009329531 -4.9076e-09 0.0009329577 2.490807e-10
-0.86 -0.0009465399 -5.0777e-09 0.0009465448 2.490807e-10
-0.87 -0.0009599275 -5.2512e-09 0.0009599325 2.490807e-10
-0.88 -0.0009731175 -5.4281e-09 0.0009731227 2.490807e-10
-0.89 -0.0009861117 -5.6085e-09 0.000986117 2.490807e-10
-0.9 -0.0009989119 -5.7923e-09 0.0009989174 2.490807e-10
-0.91 -0.0010115 -5.9796e-09 0.0010115 2.490807e-10
-0.92 -0.0010239 -6.1702e-09 0.0010239 2.490807e-10
-0.93 -0.0010362 -6.3642e-09 0.0010362 2.490807e-10
-0.94 -0.0010482 -6.5616e-09 0.0010482 2.490807e-10
-0.95 -0.0010601 -6.7622e-09 0.0010601 2.490807e-10
-0.96 -0.0010717 -6.9662e-09 0.0010718 2.490807e-10
-0.97 -0.0010832 -7.1734e-09 0.0010833 2.490807e-10
-0.98 -0.0010946 -7.3838e-09 0.0010946 2.490807e-10
-0.99 -0.0011057 -7.5974e-09 0.0011057 2.490807e-10
-1.00000 -0.0011167 -7.8142e-09 0.0011167 2.490807e-10
-1.01000 -0.0011275 -8.034e-09 0.0011275 2.490807e-10
-1.02000 -0.0011381 -8.2569e-09 0.0011381 2.490807e-10
-1.03000 -0.0011486 -8.4827e-09 0.0011486 2.490807e-10
-1.04000 -0.0011589 -8.7115e-09 0.0011589 2.490807e-10
-1.05000 -0.001169 -8.9431e-09 0.001169 2.490807e-10
-1.06000 -0.0011789 -9.1775e-09 0.001179 2.490807e-10
-1.07000 -0.0011888 -9.4146e-09 0.0011888 2.490807e-10
-1.08000 -0.0011984 -9.6543e-09 0.0011984 2.490807e-10
-1.09000 -0.0012079 -9.8966e-09 0.0012079 2.490807e-10
-1.10000 -0.0012172 -1.01414e-08 0.0012173 2.490807e-10
-1.11000 -0.0012264 -1.03886e-08 0.0012264 2.490807e-10
-1.12000 -0.0012355 -1.06381e-08 0.0012355 2.490807e-10
-1.13000 -0.0012444 -1.08899e-08 0.0012444 2.490807e-10
-1.14000 -0.0012531 -1.11437e-08 0.0012531 2.490807e-10
-1.15000 -0.0012617 -1.13996e-08 0.0012617 2.490807e-10
-1.16000 -0.0012702 -1.16574e-08 0.0012702 2.490807e-10
-1.17000 -0.0012785 -1.1917e-08 0.0012785 2.490807e-10
