Index    TIME    v(drain)mean    v(drain)meanPlus    v(drain)meanMinus    v(drain)stddev    v(drain)variance    
79   4.67803300e-07   2.50257400e-01   6.21196400e-01   -1.20681700e-01   3.70939100e-01   1.37595800e-01   
80   4.68176900e-07   2.37838100e-01   6.00347000e-01   -1.24670800e-01   3.62508900e-01   1.31412700e-01   
81   4.68550500e-07   2.25496400e-01   5.79185400e-01   -1.28192600e-01   3.53689000e-01   1.25095900e-01   
82   4.68924100e-07   2.13360600e-01   5.57761100e-01   -1.31039900e-01   3.44400500e-01   1.18611700e-01   
83   4.69297700e-07   2.01518200e-01   5.36096400e-01   -1.33060100e-01   3.34578300e-01   1.11942600e-01   
84   4.69671300e-07   1.89959000e-01   5.14167800e-01   -1.34249700e-01   3.24208700e-01   1.05111300e-01   
85   4.70044900e-07   1.78593200e-01   4.91934100e-01   -1.34747600e-01   3.13340900e-01   9.81825000e-02   
86   4.70418600e-07   1.67348100e-01   4.69378900e-01   -1.34682600e-01   3.02030700e-01   9.12225600e-02   
87   4.70792200e-07   1.56227800e-01   4.46529900e-01   -1.34074400e-01   2.90302100e-01   8.42753400e-02   
88   4.71165800e-07   1.45350700e-01   4.23458600e-01   -1.32757200e-01   2.78107900e-01   7.73440000e-02   
89   4.71539400e-07   1.34758500e-01   4.00175300e-01   -1.30658300e-01   2.65416800e-01   7.04461000e-02   
90   4.71913000e-07   1.24421000e-01   3.76677500e-01   -1.27835400e-01   2.52256500e-01   6.36333200e-02   
91   4.72286600e-07   1.14281000e-01   3.52942900e-01   -1.24380800e-01   2.38661900e-01   5.69594900e-02   
92   4.72660200e-07   1.04237400e-01   3.28978900e-01   -1.20504200e-01   2.24741500e-01   5.05087500e-02   
93   4.73033800e-07   9.42983000e-02   3.04870700e-01   -1.16274100e-01   2.10572400e-01   4.43407200e-02   
94   4.73407400e-07   8.45270600e-02   2.80743800e-01   -1.11689700e-01   1.96216700e-01   3.85010100e-02   
95   4.73781100e-07   7.49352900e-02   2.56724500e-01   -1.06853900e-01   1.81789200e-01   3.30473100e-02   
96   4.74154700e-07   6.56512900e-02   2.33046700e-01   -1.01744100e-01   1.67395400e-01   2.80212200e-02   
97   4.74528300e-07   5.69519000e-02   2.09972800e-01   -9.60690200e-02   1.53020900e-01   2.34154000e-02   
98   4.74901900e-07   4.89428900e-02   1.87588800e-01   -8.97029900e-02   1.38645900e-01   1.92226800e-02   
99   4.75275500e-07   4.15201700e-02   1.65894900e-01   -8.28545700e-02   1.24374700e-01   1.54690800e-02   
100   4.75649100e-07   3.47226400e-02   1.45027700e-01   -7.55824000e-02   1.10305000e-01   1.21672000e-02   
101   4.76022700e-07   2.86962000e-02   1.25073500e-01   -6.76811100e-02   9.63773100e-02   9.28858500e-03   
102   4.76396300e-07   2.33241300e-02   1.05890800e-01   -5.92424900e-02   8.25666200e-02   6.81724700e-03   
103   4.76770000e-07   1.84236600e-02   8.74285800e-02   -5.05812600e-02   6.90049200e-02   4.76167900e-03   
104   4.77143600e-07   1.39790800e-02   6.98254900e-02   -4.18673300e-02   5.58464100e-02   3.11882200e-03   
105   4.77517200e-07   1.00191400e-02   5.33263000e-02   -3.32880200e-02   4.33071600e-02   1.87551000e-03   
106   4.77890800e-07   6.65575300e-03   3.84252300e-02   -2.51137300e-02   3.17694800e-02   1.00930000e-03   
107   4.78264400e-07   4.06259500e-03   2.54032700e-02   -1.72780800e-02   2.13406700e-02   4.55424300e-04   
108   4.78638000e-07   2.15866500e-03   1.42706200e-02   -9.95328800e-03   1.21119500e-02   1.46699400e-04   
109   4.79011600e-07   9.17665000e-04   6.09691600e-03   -4.26158600e-03   5.17925100e-03   2.68246400e-05   
110   4.79385200e-07   3.90326900e-04   1.74180200e-03   -9.61148700e-04   1.35147600e-03   1.82648600e-06   
