Index       TIME              V(A)        N(YNEURON!NEURON1_V0) N(YNEURON!NEURON1_V36)       V(B)       
112      5.60000000e-03   -1.36247147e-02   -1.53453087e-02   -6.22436155e-02   -6.22436155e-02
113      5.65000000e-03   -1.34192232e-02   -1.51398172e-02   -6.21715846e-02   -6.21715846e-02
114      5.70000000e-03   -1.32137317e-02   -1.49343257e-02   -6.20995537e-02   -6.20995537e-02
115      5.75000000e-03   -1.30082402e-02   -1.47288342e-02   -6.20275228e-02   -6.20275228e-02
116      5.80000000e-03   -1.28027487e-02   -1.45233426e-02   -6.19554919e-02   -6.19554919e-02
117      5.85000000e-03   -1.25972571e-02   -1.43178511e-02   -6.18834610e-02   -6.18834610e-02
118      5.90000000e-03   -1.23917656e-02   -1.41123596e-02   -6.18114301e-02   -6.18114301e-02
119      5.95000000e-03   -1.21862741e-02   -1.39068681e-02   -6.17393992e-02   -6.17393992e-02
120      6.00000000e-03   -1.19837508e-02   -1.37043448e-02   -6.16655669e-02   -6.16655669e-02
121      6.05000000e-03   -1.17883065e-02   -1.35089005e-02   -6.15874384e-02   -6.15874384e-02
122      6.10000000e-03   -1.15928622e-02   -1.33134562e-02   -6.15093099e-02   -6.15093099e-02
123      6.15000000e-03   -1.13974179e-02   -1.31180119e-02   -6.14311814e-02   -6.14311814e-02
124      6.20000000e-03   -1.12019736e-02   -1.29225676e-02   -6.13530529e-02   -6.13530529e-02
125      6.25000000e-03   -1.10065293e-02   -1.27271233e-02   -6.12749245e-02   -6.12749245e-02
126      6.30000000e-03   -1.08110850e-02   -1.25316790e-02   -6.11967960e-02   -6.11967960e-02
127      6.35000000e-03   -1.06156407e-02   -1.23362347e-02   -6.11186675e-02   -6.11186675e-02
128      6.40000000e-03   -1.04201964e-02   -1.21407904e-02   -6.10405390e-02   -6.10405390e-02
129      6.45000000e-03   -1.02247521e-02   -1.19453461e-02   -6.09624105e-02   -6.09624105e-02
130      6.50000000e-03   -1.00365645e-02   -1.17571585e-02   -6.08799884e-02   -6.08799884e-02
131      6.55000000e-03   -9.85003636e-03   -1.15706303e-02   -6.07965844e-02   -6.07965844e-02
132      6.60000000e-03   -9.66350823e-03   -1.13841022e-02   -6.07131805e-02   -6.07131805e-02
133      6.65000000e-03   -9.47698010e-03   -1.11975741e-02   -6.06297765e-02   -6.06297765e-02
134      6.70000000e-03   -9.29045196e-03   -1.10110459e-02   -6.05463725e-02   -6.05463725e-02
135      6.75000000e-03   -9.10392383e-03   -1.08245178e-02   -6.04629685e-02   -6.04629685e-02
136      6.80000000e-03   -8.91739570e-03   -1.06379897e-02   -6.03795645e-02   -6.03795645e-02
137      6.85000000e-03   -8.73086756e-03   -1.04514615e-02   -6.02961606e-02   -6.02961606e-02
138      6.90000000e-03   -8.54433943e-03   -1.02649334e-02   -6.02127566e-02   -6.02127566e-02
139      6.95000000e-03   -8.36158444e-03   -1.00821784e-02   -6.01272619e-02   -6.01272619e-02
140      7.00000000e-03   -8.18641009e-03   -9.90700408e-03   -6.00375669e-02   -6.00375669e-02
141      7.05000000e-03   -8.01123575e-03   -9.73182973e-03   -5.99478718e-02   -5.99478718e-02
142      7.10000000e-03   -7.83606140e-03   -9.55665538e-03   -5.98581768e-02   -5.98581768e-02
143      7.15000000e-03   -7.66088706e-03   -9.38148104e-03   -5.97684818e-02   -5.97684818e-02
144      7.20000000e-03   -7.48571271e-03   -9.20630669e-03   -5.96787867e-02   -5.96787867e-02
145      7.25000000e-03   -7.31053836e-03   -9.03113235e-03   -5.95890917e-02   -5.95890917e-02
146      7.30000000e-03   -7.13536402e-03   -8.85595800e-03   -5.94993967e-02   -5.94993967e-02
147      7.35000000e-03   -6.96018967e-03   -8.68078365e-03   -5.94097016e-02   -5.94097016e-02
148      7.40000000e-03   -6.78501533e-03   -8.50560931e-03   -5.93200066e-02   -5.93200066e-02
149      7.45000000e-03   -6.60984098e-03   -8.33043496e-03   -5.92303116e-02   -5.92303116e-02
