Index       TIME              V(A)              V(B)       
66       3.30000000e-03   -2.48532297e-02   -6.45552537e-02
67       3.35000000e-03   -2.45551571e-02   -6.45312299e-02
68       3.40000000e-03   -2.42608865e-02   -6.45056441e-02
69       3.45000000e-03   -2.39900653e-02   -6.44704236e-02
70       3.50000000e-03   -2.37192441e-02   -6.44352032e-02
71       3.55000000e-03   -2.34484229e-02   -6.43999827e-02
72       3.60000000e-03   -2.31776017e-02   -6.43647623e-02
73       3.65000000e-03   -2.29067806e-02   -6.43295419e-02
74       3.70000000e-03   -2.26359594e-02   -6.42943214e-02
75       3.75000000e-03   -2.23651382e-02   -6.42591010e-02
76       3.80000000e-03   -2.20943170e-02   -6.42238805e-02
77       3.85000000e-03   -2.18234958e-02   -6.41886601e-02
78       3.90000000e-03   -2.15526746e-02   -6.41534397e-02
79       3.95000000e-03   -2.12850011e-02   -6.41166255e-02
80       4.00000000e-03   -2.10359777e-02   -6.40703685e-02
81       4.05000000e-03   -2.07869543e-02   -6.40241115e-02
82       4.10000000e-03   -2.05379309e-02   -6.39778544e-02
83       4.15000000e-03   -2.02889076e-02   -6.39315974e-02
84       4.20000000e-03   -2.00398842e-02   -6.38853404e-02
85       4.25000000e-03   -1.97908608e-02   -6.38390833e-02
86       4.30000000e-03   -1.95418374e-02   -6.37928263e-02
87       4.35000000e-03   -1.92928141e-02   -6.37465693e-02
88       4.40000000e-03   -1.90437907e-02   -6.37003122e-02
89       4.45000000e-03   -1.87947673e-02   -6.36540552e-02
90       4.50000000e-03   -1.85484276e-02   -6.36062712e-02
91       4.55000000e-03   -1.83173809e-02   -6.35497855e-02
92       4.60000000e-03   -1.80863343e-02   -6.34932997e-02
93       4.65000000e-03   -1.78552876e-02   -6.34368140e-02
94       4.70000000e-03   -1.76242409e-02   -6.33803283e-02
95       4.75000000e-03   -1.73931943e-02   -6.33238426e-02
96       4.80000000e-03   -1.71621476e-02   -6.32673569e-02
97       4.85000000e-03   -1.69311009e-02   -6.32108711e-02
98       4.90000000e-03   -1.67000543e-02   -6.31543854e-02
99       4.95000000e-03   -1.64690076e-02   -6.30978997e-02
100      5.00000000e-03   -1.62379609e-02   -6.30414140e-02
101      5.05000000e-03   -1.60092495e-02   -6.29835218e-02
102      5.10000000e-03   -1.57933506e-02   -6.29179134e-02
103      5.15000000e-03   -1.55774516e-02   -6.28523050e-02
104      5.20000000e-03   -1.53615526e-02   -6.27866965e-02
105      5.25000000e-03   -1.51456536e-02   -6.27210881e-02
106      5.30000000e-03   -1.49297546e-02   -6.26554797e-02
107      5.35000000e-03   -1.47138556e-02   -6.25898712e-02
108      5.40000000e-03   -1.44979566e-02   -6.25242628e-02
109      5.45000000e-03   -1.42820576e-02   -6.24586544e-02
110      5.50000000e-03   -1.40661586e-02   -6.23930459e-02
111      5.55000000e-03   -1.38502596e-02   -6.23274375e-02
112      5.60000000e-03   -1.36364220e-02   -6.22605675e-02
113      5.65000000e-03   -1.34334830e-02   -6.21870269e-02
114      5.70000000e-03   -1.32305441e-02   -6.21134863e-02
115      5.75000000e-03   -1.30276051e-02   -6.20399458e-02
116      5.80000000e-03   -1.28246662e-02   -6.19664052e-02
117      5.85000000e-03   -1.26217272e-02   -6.18928646e-02
118      5.90000000e-03   -1.24187882e-02   -6.18193241e-02
119      5.95000000e-03   -1.22158493e-02   -6.17457835e-02
120      6.00000000e-03   -1.20129103e-02   -6.16722429e-02
121      6.05000000e-03   -1.18099714e-02   -6.15987023e-02
122      6.10000000e-03   -1.16070324e-02   -6.15251618e-02
123      6.15000000e-03   -1.14059322e-02   -6.14505110e-02
124      6.20000000e-03   -1.12142093e-02   -6.13701985e-02
125      6.25000000e-03   -1.10224864e-02   -6.12898860e-02
126      6.30000000e-03   -1.08307635e-02   -6.12095734e-02
127      6.35000000e-03   -1.06390406e-02   -6.11292609e-02
128      6.40000000e-03   -1.04473177e-02   -6.10489484e-02
129      6.45000000e-03   -1.02555948e-02   -6.09686358e-02
130      6.50000000e-03   -1.00638719e-02   -6.08883233e-02
131      6.55000000e-03   -9.87214902e-03   -6.08080107e-02
132      6.60000000e-03   -9.68042613e-03   -6.07276982e-02
133      6.65000000e-03   -9.48870323e-03   -6.06473857e-02
134      6.70000000e-03   -9.29863287e-03   -6.05661112e-02
135      6.75000000e-03   -9.11669873e-03   -6.04801010e-02
136      6.80000000e-03   -8.93476460e-03   -6.03940907e-02
137      6.85000000e-03   -8.75283047e-03   -6.03080804e-02
138      6.90000000e-03   -8.57089633e-03   -6.02220701e-02
139      6.95000000e-03   -8.38896220e-03   -6.01360599e-02
140      7.00000000e-03   -8.20702807e-03   -6.00500496e-02
141      7.05000000e-03   -8.02509393e-03   -5.99640393e-02
142      7.10000000e-03   -7.84315980e-03   -5.98780291e-02
143      7.15000000e-03   -7.66122567e-03   -5.97920188e-02
144      7.20000000e-03   -7.47929153e-03   -5.97060085e-02
145      7.25000000e-03   -7.29885177e-03   -5.96191764e-02
146      7.30000000e-03   -7.12552067e-03   -5.95284346e-02
147      7.35000000e-03   -6.95218958e-03   -5.94376928e-02
148      7.40000000e-03   -6.77885848e-03   -5.93469510e-02
149      7.45000000e-03   -6.60552738e-03   -5.92562092e-02
150      7.50000000e-03   -6.43219628e-03   -5.91654673e-02
151      7.55000000e-03   -6.25886518e-03   -5.90747255e-02
152      7.60000000e-03   -6.08553408e-03   -5.89839837e-02
153      7.65000000e-03   -5.91220299e-03   -5.88932419e-02
154      7.70000000e-03   -5.73887189e-03   -5.88025001e-02
155      7.75000000e-03   -5.56554079e-03   -5.87117583e-02
156      7.80000000e-03   -5.39356739e-03   -5.86203240e-02
157      7.85000000e-03   -5.22783873e-03   -5.85257045e-02
158      7.90000000e-03   -5.06211007e-03   -5.84310851e-02
159      7.95000000e-03   -4.89638141e-03   -5.83364656e-02
160      8.00000000e-03   -4.73065275e-03   -5.82418462e-02
161      8.05000000e-03   -4.56492409e-03   -5.81472267e-02
162      8.10000000e-03   -4.39919544e-03   -5.80526072e-02
163      8.15000000e-03   -4.23346678e-03   -5.79579878e-02
164      8.20000000e-03   -4.06773812e-03   -5.78633683e-02
165      8.25000000e-03   -3.90200946e-03   -5.77687488e-02
166      8.30000000e-03   -3.73628080e-03   -5.76741294e-02
167      8.35000000e-03   -3.57231731e-03   -5.75787315e-02
168      8.40000000e-03   -3.41620965e-03   -5.74798692e-02
169      8.45000000e-03   -3.26010199e-03   -5.73810070e-02
170      8.50000000e-03   -3.10399434e-03   -5.72821447e-02
171      8.55000000e-03   -2.94788668e-03   -5.71832824e-02
172      8.60000000e-03   -2.79177902e-03   -5.70844202e-02
173      8.65000000e-03   -2.63567136e-03   -5.69855579e-02
174      8.70000000e-03   -2.47956370e-03   -5.68866957e-02
175      8.75000000e-03   -2.32345605e-03   -5.67878334e-02
176      8.80000000e-03   -2.16734839e-03   -5.66889712e-02
177      8.85000000e-03   -2.01124073e-03   -5.65901089e-02
178      8.90000000e-03   -1.85513307e-03   -5.64912467e-02
179      8.95000000e-03   -1.69902541e-03   -5.63923844e-02
180      9.00000000e-03   -1.54291775e-03   -5.62935222e-02
181      9.05000000e-03   -1.38681010e-03   -5.61946599e-02
182      9.10000000e-03   -1.23070244e-03   -5.60957976e-02
183      9.15000000e-03   -1.07459478e-03   -5.59969354e-02
184      9.20000000e-03   -9.18487121e-04   -5.58980731e-02
185      9.25000000e-03   -7.62379463e-04   -5.57992109e-02
186      9.30000000e-03   -6.06271805e-04   -5.57003486e-02
187      9.35000000e-03   -4.50164147e-04   -5.56014864e-02
188      9.40000000e-03   -2.94056488e-04   -5.55026241e-02
189      9.45000000e-03   -1.40059513e-04   -5.54029970e-02
190      9.50000000e-03    5.12541566e-06   -5.53001769e-02
191      9.55000000e-03    1.50310344e-04   -5.51973568e-02
192      9.60000000e-03    2.95495273e-04   -5.50945367e-02
193      9.65000000e-03    4.40680201e-04   -5.49917165e-02
194      9.70000000e-03    5.85865130e-04   -5.48888964e-02
195      9.75000000e-03    7.31050058e-04   -5.47860763e-02
196      9.80000000e-03    8.76234987e-04   -5.46832562e-02
197      9.85000000e-03    1.02141992e-03   -5.45804360e-02
198      9.90000000e-03    1.16660484e-03   -5.44776159e-02
199      9.95000000e-03    1.31178977e-03   -5.43747958e-02
200      1.00000000e-02    1.45697470e-03   -5.42719757e-02
201      1.00500000e-02    1.60215963e-03   -5.41691555e-02
202      1.01000000e-02    1.74734456e-03   -5.40663354e-02
203      1.01500000e-02    1.89252949e-03   -5.39635153e-02
204      1.02000000e-02    2.03771441e-03   -5.38606951e-02
205      1.02500000e-02    2.18289934e-03   -5.37578750e-02
206      1.03000000e-02    2.32808427e-03   -5.36550549e-02
207      1.03500000e-02    2.47326920e-03   -5.35522348e-02
208      1.04000000e-02    2.61845413e-03   -5.34494146e-02
209      1.04500000e-02    2.76363906e-03   -5.33465945e-02
210      1.05000000e-02    2.90882399e-03   -5.32437744e-02
211      1.05500000e-02    3.05220700e-03   -5.31405205e-02
212      1.06000000e-02    3.18851571e-03   -5.30355638e-02
213      1.06500000e-02    3.32482443e-03   -5.29306070e-02
214      1.07000000e-02    3.46113315e-03   -5.28256503e-02
215      1.07500000e-02    3.59744187e-03   -5.27206936e-02
216      1.08000000e-02    3.73375058e-03   -5.26157368e-02
217      1.08500000e-02    3.87005930e-03   -5.25107801e-02
218      1.09000000e-02    4.00636802e-03   -5.24058234e-02
219      1.09500000e-02    4.14267673e-03   -5.23008666e-02
220      1.10000000e-02    4.27898545e-03   -5.21959099e-02
221      1.10500000e-02    4.41529417e-03   -5.20909532e-02
222      1.11000000e-02    4.55160288e-03   -5.19859964e-02
223      1.11500000e-02    4.68791160e-03   -5.18810397e-02
224      1.12000000e-02    4.82422032e-03   -5.17760830e-02
225      1.12500000e-02    4.96052903e-03   -5.16711262e-02
226      1.13000000e-02    5.09683775e-03   -5.15661695e-02
227      1.13500000e-02    5.23314647e-03   -5.14612128e-02
228      1.14000000e-02    5.36945519e-03   -5.13562560e-02
229      1.14500000e-02    5.50576390e-03   -5.12512993e-02
230      1.15000000e-02    5.64207262e-03   -5.11463426e-02
231      1.15500000e-02    5.77838134e-03   -5.10413858e-02
232      1.16000000e-02    5.91469005e-03   -5.09364291e-02
233      1.16500000e-02    6.04943536e-03   -5.08313017e-02
234      1.17000000e-02    6.17839629e-03   -5.07255431e-02
235      1.17500000e-02    6.30735721e-03   -5.06197845e-02
236      1.18000000e-02    6.43631814e-03   -5.05140259e-02
237      1.18500000e-02    6.56527906e-03   -5.04082673e-02
238      1.19000000e-02    6.69423999e-03   -5.03025086e-02
239      1.19500000e-02    6.82320092e-03   -5.01967500e-02
240      1.20000000e-02    6.95216184e-03   -5.00909914e-02
241      1.20500000e-02    7.08112277e-03   -4.99852328e-02
242      1.21000000e-02    7.21008369e-03   -4.98794742e-02
243      1.21500000e-02    7.33904462e-03   -4.97737156e-02
244      1.22000000e-02    7.46800554e-03   -4.96679569e-02
245      1.22500000e-02    7.59696647e-03   -4.95621983e-02
246      1.23000000e-02    7.72592740e-03   -4.94564397e-02
247      1.23500000e-02    7.85488832e-03   -4.93506811e-02
248      1.24000000e-02    7.98384925e-03   -4.92449225e-02
249      1.24500000e-02    8.11281017e-03   -4.91391639e-02
250      1.25000000e-02    8.24177110e-03   -4.90334052e-02
251      1.25500000e-02    8.37073202e-03   -4.89276466e-02
252      1.26000000e-02    8.49969295e-03   -4.88218880e-02
253      1.26500000e-02    8.62865388e-03   -4.87161294e-02
254      1.27000000e-02    8.75761480e-03   -4.86103708e-02
255      1.27500000e-02    8.88519626e-03   -4.85046494e-02
256      1.28000000e-02    9.00795847e-03   -4.83990579e-02
257      1.28500000e-02    9.13072067e-03   -4.82934664e-02
258      1.29000000e-02    9.25348288e-03   -4.81878749e-02
259      1.29500000e-02    9.37624508e-03   -4.80822835e-02
260      1.30000000e-02    9.49900729e-03   -4.79766920e-02
261      1.30500000e-02    9.62176950e-03   -4.78711005e-02
262      1.31000000e-02    9.74453170e-03   -4.77655090e-02
263      1.31500000e-02    9.86729391e-03   -4.76599176e-02
264      1.32000000e-02    9.99005611e-03   -4.75543261e-02
265      1.32500000e-02    1.01128183e-02   -4.74487346e-02
266      1.33000000e-02    1.02355805e-02   -4.73431432e-02
267      1.33500000e-02    1.03583427e-02   -4.72375517e-02
268      1.34000000e-02    1.04811049e-02   -4.71319602e-02
269      1.34500000e-02    1.06038671e-02   -4.70263687e-02
270      1.35000000e-02    1.07266293e-02   -4.69207773e-02
271      1.35500000e-02    1.08493915e-02   -4.68151858e-02
272      1.36000000e-02    1.09721538e-02   -4.67095943e-02
273      1.36500000e-02    1.10949160e-02   -4.66040028e-02
274      1.37000000e-02    1.12176782e-02   -4.64984114e-02
275      1.37500000e-02    1.13404404e-02   -4.63928199e-02
276      1.38000000e-02    1.14632026e-02   -4.62872284e-02
277      1.38500000e-02    1.15847271e-02   -4.61818377e-02
278      1.39000000e-02    1.17021617e-02   -4.60771106e-02
279      1.39500000e-02    1.18195963e-02   -4.59723835e-02
280      1.40000000e-02    1.19370309e-02   -4.58676563e-02
281      1.40500000e-02    1.20544654e-02   -4.57629292e-02
282      1.41000000e-02    1.21719000e-02   -4.56582020e-02
283      1.41500000e-02    1.22893346e-02   -4.55534749e-02
284      1.42000000e-02    1.24067692e-02   -4.54487478e-02
285      1.42500000e-02    1.25242038e-02   -4.53440206e-02
286      1.43000000e-02    1.26416383e-02   -4.52392935e-02
287      1.43500000e-02    1.27590729e-02   -4.51345663e-02
288      1.44000000e-02    1.28765075e-02   -4.50298392e-02
289      1.44500000e-02    1.29939421e-02   -4.49251121e-02
290      1.45000000e-02    1.31113767e-02   -4.48203849e-02
291      1.45500000e-02    1.32288112e-02   -4.47156578e-02
292      1.46000000e-02    1.33462458e-02   -4.46109306e-02
293      1.46500000e-02    1.34636804e-02   -4.45062035e-02
294      1.47000000e-02    1.35811150e-02   -4.44014763e-02
295      1.47500000e-02    1.36985495e-02   -4.42967492e-02
296      1.48000000e-02    1.38159841e-02   -4.41920221e-02
297      1.48500000e-02    1.39334187e-02   -4.40872949e-02
298      1.49000000e-02    1.40508533e-02   -4.39825678e-02
299      1.49500000e-02    1.41671589e-02   -4.38781700e-02
300      1.50000000e-02    1.42799296e-02   -4.37748032e-02
301      1.50500000e-02    1.43927003e-02   -4.36714365e-02
302      1.51000000e-02    1.45054710e-02   -4.35680697e-02
303      1.51500000e-02    1.46182417e-02   -4.34647030e-02
304      1.52000000e-02    1.47310125e-02   -4.33613363e-02
305      1.52500000e-02    1.48437832e-02   -4.32579695e-02
306      1.53000000e-02    1.49565539e-02   -4.31546028e-02
307      1.53500000e-02    1.50693246e-02   -4.30512360e-02
308      1.54000000e-02    1.51820953e-02   -4.29478693e-02
309      1.54500000e-02    1.52948661e-02   -4.28445025e-02
310      1.55000000e-02    1.54076368e-02   -4.27411358e-02
311      1.55500000e-02    1.55204075e-02   -4.26377691e-02
312      1.56000000e-02    1.56331782e-02   -4.25344023e-02
313      1.56500000e-02    1.57459489e-02   -4.24310356e-02
314      1.57000000e-02    1.58587197e-02   -4.23276688e-02
315      1.57500000e-02    1.59714904e-02   -4.22243021e-02
316      1.58000000e-02    1.60842611e-02   -4.21209354e-02
317      1.58500000e-02    1.61970318e-02   -4.20175686e-02
318      1.59000000e-02    1.63098025e-02   -4.19142019e-02
319      1.59500000e-02    1.64225733e-02   -4.18108351e-02
320      1.60000000e-02    1.65353440e-02   -4.17074684e-02
321      1.60500000e-02    1.66470690e-02   -4.16045318e-02
322      1.61000000e-02    1.67556873e-02   -4.15028731e-02
323      1.61500000e-02    1.68643056e-02   -4.14012144e-02
324      1.62000000e-02    1.69729240e-02   -4.12995557e-02
325      1.62500000e-02    1.70815423e-02   -4.11978969e-02
326      1.63000000e-02    1.71901607e-02   -4.10962382e-02
327      1.63500000e-02    1.72987790e-02   -4.09945795e-02
328      1.64000000e-02    1.74073974e-02   -4.08929208e-02
329      1.64500000e-02    1.75160157e-02   -4.07912621e-02
330      1.65000000e-02    1.76246340e-02   -4.06896034e-02
331      1.65500000e-02    1.77332524e-02   -4.05879447e-02
332      1.66000000e-02    1.78418707e-02   -4.04862860e-02
333      1.66500000e-02    1.79504891e-02   -4.03846272e-02
334      1.67000000e-02    1.80591074e-02   -4.02829685e-02
335      1.67500000e-02    1.81677258e-02   -4.01813098e-02
336      1.68000000e-02    1.82763441e-02   -4.00796511e-02
337      1.68500000e-02    1.83849625e-02   -3.99779924e-02
338      1.69000000e-02    1.84935808e-02   -3.98763337e-02
339      1.69500000e-02    1.86021991e-02   -3.97746750e-02
340      1.70000000e-02    1.87108175e-02   -3.96730162e-02
341      1.70500000e-02    1.88194358e-02   -3.95713575e-02
342      1.71000000e-02    1.89280542e-02   -3.94696988e-02
343      1.71500000e-02    1.90356900e-02   -3.93685493e-02
344      1.72000000e-02    1.91405527e-02   -3.92688368e-02
345      1.72500000e-02    1.92454155e-02   -3.91691244e-02
346      1.73000000e-02    1.93502782e-02   -3.90694120e-02
347      1.73500000e-02    1.94551409e-02   -3.89696996e-02
348      1.74000000e-02    1.95600036e-02   -3.88699872e-02
349      1.74500000e-02    1.96648663e-02   -3.87702747e-02
350      1.75000000e-02    1.97697291e-02   -3.86705623e-02
351      1.75500000e-02    1.98745918e-02   -3.85708499e-02
352      1.76000000e-02    1.99794545e-02   -3.84711375e-02
353      1.76500000e-02    2.00843172e-02   -3.83714250e-02
354      1.77000000e-02    2.01891800e-02   -3.82717126e-02
355      1.77500000e-02    2.02940427e-02   -3.81720002e-02
356      1.78000000e-02    2.03989054e-02   -3.80722878e-02
357      1.78500000e-02    2.05037681e-02   -3.79725754e-02
358      1.79000000e-02    2.06086308e-02   -3.78728629e-02
359      1.79500000e-02    2.07134936e-02   -3.77731505e-02
360      1.80000000e-02    2.08183563e-02   -3.76734381e-02
361      1.80500000e-02    2.09232190e-02   -3.75737257e-02
362      1.81000000e-02    2.10280817e-02   -3.74740133e-02
363      1.81500000e-02    2.11329445e-02   -3.73743008e-02
364      1.82000000e-02    2.12378072e-02   -3.72745884e-02
365      1.82500000e-02    2.13417356e-02   -3.71754470e-02
366      1.83000000e-02    2.14431556e-02   -3.70778387e-02
367      1.83500000e-02    2.15445756e-02   -3.69802304e-02
368      1.84000000e-02    2.16459956e-02   -3.68826221e-02
369      1.84500000e-02    2.17474155e-02   -3.67850138e-02
370      1.85000000e-02    2.18488355e-02   -3.66874055e-02
371      1.85500000e-02    2.19502555e-02   -3.65897972e-02
372      1.86000000e-02    2.20516755e-02   -3.64921889e-02
373      1.86500000e-02    2.21530955e-02   -3.63945806e-02
374      1.87000000e-02    2.22545154e-02   -3.62969723e-02
375      1.87500000e-02    2.23559354e-02   -3.61993640e-02
376      1.88000000e-02    2.24573554e-02   -3.61017557e-02
377      1.88500000e-02    2.25587754e-02   -3.60041474e-02
378      1.89000000e-02    2.26601954e-02   -3.59065391e-02
379      1.89500000e-02    2.27616153e-02   -3.58089308e-02
380      1.90000000e-02    2.28630353e-02   -3.57113225e-02
381      1.90500000e-02    2.29644553e-02   -3.56137142e-02
382      1.91000000e-02    2.30658753e-02   -3.55161059e-02
383      1.91500000e-02    2.31672953e-02   -3.54184976e-02
384      1.92000000e-02    2.32687152e-02   -3.53208893e-02
385      1.92500000e-02    2.33701352e-02   -3.52232810e-02
386      1.93000000e-02    2.34715552e-02   -3.51256728e-02
387      1.93500000e-02    2.35720772e-02   -3.50286838e-02
388      1.94000000e-02    2.36703032e-02   -3.49332784e-02
389      1.94500000e-02    2.37685293e-02   -3.48378731e-02
390      1.95000000e-02    2.38667553e-02   -3.47424677e-02
391      1.95500000e-02    2.39649813e-02   -3.46470623e-02
392      1.96000000e-02    2.40632073e-02   -3.45516570e-02
393      1.96500000e-02    2.41614334e-02   -3.44562516e-02
394      1.97000000e-02    2.42596594e-02   -3.43608462e-02
395      1.97500000e-02    2.43578854e-02   -3.42654409e-02
396      1.98000000e-02    2.44561114e-02   -3.41700355e-02
397      1.98500000e-02    2.45543374e-02   -3.40746301e-02
398      1.99000000e-02    2.46525635e-02   -3.39792248e-02
399      1.99500000e-02    2.47507895e-02   -3.38838194e-02
400      2.00000000e-02    2.48490155e-02   -3.37884141e-02
401      2.00500000e-02    2.49472415e-02   -3.36930087e-02
402      2.01000000e-02    2.50454675e-02   -3.35976033e-02
403      2.01500000e-02    2.51436936e-02   -3.35021980e-02
404      2.02000000e-02    2.52419196e-02   -3.34067926e-02
405      2.02500000e-02    2.53401456e-02   -3.33113872e-02
406      2.03000000e-02    2.54383716e-02   -3.32159819e-02
407      2.03500000e-02    2.55365977e-02   -3.31205765e-02
408      2.04000000e-02    2.56348237e-02   -3.30251711e-02
409      2.04500000e-02    2.57321794e-02   -3.29304228e-02
410      2.05000000e-02    2.58274139e-02   -3.28372760e-02
411      2.05500000e-02    2.59226483e-02   -3.27441292e-02
412      2.06000000e-02    2.60178827e-02   -3.26509824e-02
413      2.06500000e-02    2.61131172e-02   -3.25578355e-02
414      2.07000000e-02    2.62083516e-02   -3.24646887e-02
415      2.07500000e-02    2.63035861e-02   -3.23715419e-02
416      2.08000000e-02    2.63988205e-02   -3.22783951e-02
417      2.08500000e-02    2.64940549e-02   -3.21852483e-02
418      2.09000000e-02    2.65892894e-02   -3.20921014e-02
419      2.09500000e-02    2.66845238e-02   -3.19989546e-02
420      2.10000000e-02    2.67797583e-02   -3.19058078e-02
421      2.10500000e-02    2.68749927e-02   -3.18126610e-02
422      2.11000000e-02    2.69702271e-02   -3.17195142e-02
423      2.11500000e-02    2.70654616e-02   -3.16263673e-02
424      2.12000000e-02    2.71606960e-02   -3.15332205e-02
425      2.12500000e-02    2.72559305e-02   -3.14400737e-02
426      2.13000000e-02    2.73511649e-02   -3.13469269e-02
427      2.13500000e-02    2.74463994e-02   -3.12537801e-02
428      2.14000000e-02    2.75416338e-02   -3.11606332e-02
429      2.14500000e-02    2.76368682e-02   -3.10674864e-02
430      2.15000000e-02    2.77321027e-02   -3.09743396e-02
431      2.15500000e-02    2.78264875e-02   -3.08818791e-02
432      2.16000000e-02    2.79188965e-02   -3.07910150e-02
433      2.16500000e-02    2.80113054e-02   -3.07001508e-02
434      2.17000000e-02    2.81037143e-02   -3.06092867e-02
435      2.17500000e-02    2.81961232e-02   -3.05184225e-02
436      2.18000000e-02    2.82885321e-02   -3.04275584e-02
437      2.18500000e-02    2.83809410e-02   -3.03366942e-02
438      2.19000000e-02    2.84733499e-02   -3.02458301e-02
439      2.19500000e-02    2.85657589e-02   -3.01549659e-02
440      2.20000000e-02    2.86581678e-02   -3.00641018e-02
441      2.20500000e-02    2.87505767e-02   -2.99732376e-02
442      2.21000000e-02    2.88429856e-02   -2.98823735e-02
443      2.21500000e-02    2.89353945e-02   -2.97915093e-02
444      2.22000000e-02    2.90278034e-02   -2.97006452e-02
445      2.22500000e-02    2.91202124e-02   -2.96097810e-02
446      2.23000000e-02    2.92126213e-02   -2.95189169e-02
447      2.23500000e-02    2.93050302e-02   -2.94280527e-02
448      2.24000000e-02    2.93974391e-02   -2.93371886e-02
449      2.24500000e-02    2.94898480e-02   -2.92463244e-02
450      2.25000000e-02    2.95822569e-02   -2.91554602e-02
451      2.25500000e-02    2.96746658e-02   -2.90645961e-02
452      2.26000000e-02    2.97670748e-02   -2.89737319e-02
453      2.26500000e-02    2.98586500e-02   -2.88835768e-02
454      2.27000000e-02    2.99483736e-02   -2.87949966e-02
455      2.27500000e-02    3.00380972e-02   -2.87064164e-02
456      2.28000000e-02    3.01278208e-02   -2.86178362e-02
457      2.28500000e-02    3.02175444e-02   -2.85292560e-02
458      2.29000000e-02    3.03072680e-02   -2.84406758e-02
