Index       FREQ             SP(1,1)           SP(1,2)           SP(2,1)           SP(2,2)           YP(1,1)           YP(1,2)           YP(2,1)           YP(2,2)           ZP(1,1)           ZP(1,2)           ZP(2,1)           ZP(2,2)     
17       5.01187234e+02   -1.79927222e+02   -8.99564319e+01   -8.99564319e+01   -4.92791309e-03    5.77903337e+01    1.47799375e+02    1.47799375e+02    2.72606696e-03   -5.77968475e+01   -9.00001985e+01   -9.00001985e+01   -9.23984284e-03
18       6.30957344e+02   -1.79942190e+02   -8.99654319e+01   -8.99654319e+01   -3.94970014e-03    5.15852134e+01    1.41592369e+02    1.41592369e+02    2.96862694e-03   -5.15896504e+01   -9.00002499e+01   -9.00002499e+01   -7.40569067e-03
19       7.94328235e+02   -1.79954080e+02   -8.99725910e+01   -8.99725910e+01   -3.18182243e-03    4.50492453e+01    1.35054897e+02    1.35054897e+02    3.09056789e-03   -4.50521206e+01   -9.00003146e+01   -9.00003146e+01   -5.96591851e-03
20       1.00000000e+03   -1.79963524e+02   -8.99782904e+01   -8.99782904e+01   -2.58338801e-03    3.85101193e+01    1.28514567e+02    1.28514567e+02    3.07594323e-03   -3.85118872e+01   -9.00003960e+01   -9.00003960e+01   -4.84385325e-03
21       1.25892541e+03   -1.79971026e+02   -8.99828337e+01   -8.99828337e+01   -2.12252826e-03    3.22962055e+01    1.22299687e+02    1.22299687e+02    2.94572932e-03   -3.22972395e+01   -9.00004985e+01   -9.00004985e+01   -3.97974084e-03
22       1.58489319e+03   -1.79976985e+02   -8.99864629e+01   -8.99864629e+01   -1.77470078e-03    2.66606434e+01    1.16663343e+02    1.16663343e+02    2.74830211e-03   -2.66612227e+01   -9.00006276e+01   -9.00006276e+01   -3.32756414e-03
23       1.99526231e+03   -1.79981719e+02   -8.99893711e+01   -8.99893711e+01   -1.52138255e-03    2.17433880e+01    1.11745451e+02    1.11745451e+02    2.53897313e-03   -2.17437017e+01   -9.00007901e+01   -9.00007901e+01   -2.85259237e-03
24       2.51188643e+03   -1.79985479e+02   -8.99917134e+01   -8.99917134e+01   -1.34908346e-03    1.75782246e+01    1.07579759e+02    1.07579759e+02    2.36396773e-03   -1.75783902e+01   -9.00009947e+01   -9.00009947e+01   -2.52953154e-03
25       3.16227766e+03   -1.79988465e+02   -8.99936143e+01   -8.99936143e+01   -1.24862798e-03    1.41248877e+01    1.04125977e+02    1.04125977e+02    2.25531189e-03   -1.41249736e+01   -9.00012523e+01   -9.00012523e+01   -2.34117748e-03
26       3.98107171e+03   -1.79990838e+02   -8.99951752e+01   -8.99951752e+01   -1.21466649e-03    1.13038046e+01    1.01304506e+02    1.01304506e+02    2.23350062e-03   -1.13038486e+01   -9.00015765e+01   -9.00015765e+01   -2.27749967e-03
27       5.01187234e+03   -1.79992722e+02   -8.99964791e+01   -8.99964791e+01   -1.24539041e-03    9.02196987e+00    9.90223203e+01    9.90223203e+01    2.31274037e-03   -9.02199223e+00   -9.00019847e+01   -9.00019847e+01   -2.33510702e-03
28       6.30957344e+03   -1.79994219e+02   -8.99975956e+01   -8.99975956e+01   -1.34243591e-03    7.18828144e+00    9.71882999e+01    9.71882999e+01    2.50575663e-03   -7.18829275e+00   -9.00024986e+01   -9.00024986e+01   -2.51706733e-03
29       7.94328235e+03   -1.79995408e+02   -8.99985840e+01   -8.99985840e+01   -1.51097102e-03    5.72091757e+00    9.57206051e+01    9.57206051e+01    2.82737040e-03   -5.72092327e+00   -9.00031455e+01   -9.00031455e+01   -2.83307065e-03
30       1.00000000e+04   -1.79996352e+02   -8.99994970e+01   -8.99994970e+01   -1.75997084e-03    4.54986244e+00    9.45492024e+01    9.45492024e+01    3.29707909e-03   -4.54986530e+00   -9.00039600e+01   -9.00039600e+01   -3.29994532e-03
31       1.25892541e+04   -1.79997103e+02   -9.00003832e+01   -9.00003832e+01   -2.10269553e-03    3.61688895e+00    9.36158462e+01    9.36158462e+01    3.94111518e-03   -3.61689038e+00   -9.00049853e+01   -9.00049853e+01   -3.94255411e-03
32       1.58489319e+04   -1.79997699e+02   -9.00012898e+01   -9.00012898e+01   -2.55739642e-03    2.87440592e+00    9.28729249e+01    9.28729249e+01    4.79439679e-03   -2.87440664e+00   -9.00062762e+01   -9.00062762e+01   -4.79511827e-03
33       1.99526231e+04   -1.79998172e+02   -9.00022651e+01   -9.00022651e+01   -3.14828800e-03    2.28392892e+00    9.22819307e+01    9.22819307e+01    5.90267863e-03   -2.28392929e+00   -9.00079012e+01   -9.00079012e+01   -5.90303997e-03
34       2.51188643e+04   -1.79998548e+02   -9.00033610e+01   -9.00033610e+01   -3.90683739e-03    1.81454397e+00    9.18119222e+01    9.18119222e+01    7.32513932e-03   -1.81454415e+00   -9.00099471e+01   -9.00099471e+01   -7.32532005e-03
35       3.16227766e+04   -1.79998847e+02   -9.00046360e+01   -9.00046360e+01   -4.87344012e-03    1.44152139e+00    9.14381365e+01    9.14381365e+01    9.13760988e-03   -1.44152149e+00   -9.00125226e+01   -9.00125226e+01   -9.13770012e-03
36       3.98107171e+04   -1.79999084e+02   -9.00061578e+01   -9.00061578e+01   -6.09957130e-03    1.14513033e+00    9.11408020e+01    9.11408020e+01    1.14366510e-02   -1.14513038e+00   -9.00157650e+01   -9.00157650e+01   -1.14366960e-02
37       5.01187234e+04   -1.79999272e+02   -9.00080075e+01   -9.00080075e+01   -7.65052690e-03    9.09654067e-01    9.09041518e+01    9.09041518e+01    1.43447152e-02   -9.09654089e-01   -9.00198470e+01   -9.00198470e+01   -1.43447375e-02
38       6.30957344e+04   -1.79999422e+02   -9.00102836e+01   -9.00102836e+01   -9.60890094e-03    7.22586321e-01    9.07156171e+01    9.07156171e+01    1.80166774e-02   -7.22586332e-01   -9.00249859e+01   -9.00249859e+01   -1.80166884e-02
39       7.94328235e+04   -1.79999541e+02   -9.00131074e+01   -9.00131074e+01   -1.20789840e-02    5.73981950e-01    9.05651746e+01    9.05651746e+01    2.26480879e-02   -5.73981955e-01   -9.00314554e+01   -9.00314554e+01   -2.26480933e-02
40       1.00000000e+05   -1.79999635e+02   -9.00166292e+01   -9.00166292e+01   -1.51923169e-02    4.55935699e-01    9.04448213e+01    9.04448213e+01    2.84855884e-02   -4.55935702e-01   -9.00396000e+01   -9.00396000e+01   -2.84855909e-02
End of Xyce(TM) Simulation
