Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
64      1.50114806e-06   1.99676255e+00   6.52196654e+00   5.85194265e+00   
65      1.50114841e-06   1.99663603e+00   6.52169935e+00   5.85159176e+00   
66      1.50114872e-06   1.99652210e+00   6.52145898e+00   5.85127596e+00   
67      1.50114904e-06   1.99640816e+00   6.52121869e+00   5.85096016e+00   
68      1.50114936e-06   1.99629423e+00   6.52097848e+00   5.85064436e+00   
69      1.50114999e-06   1.99606643e+00   6.52049820e+00   5.85001276e+00   
70      1.50115052e-06   1.99587326e+00   6.52009076e+00   5.84947666e+00   
71      1.50115106e-06   1.99568025e+00   6.51968344e+00   5.84894055e+00   
72      1.50115160e-06   1.99548740e+00   6.51927620e+00   5.84840445e+00   
73      1.50115267e-06   1.99510207e+00   6.51846188e+00   5.84733224e+00   
74      1.50115374e-06   1.99471761e+00   6.51764780e+00   5.84626004e+00   
75      1.50115481e-06   1.99433371e+00   6.51683376e+00   5.84518783e+00   
76      1.50115696e-06   1.99356799e+00   6.51520554e+00   5.84304342e+00   
77      1.50115910e-06   1.99280427e+00   6.51357696e+00   5.84089901e+00   
78      1.50116339e-06   1.99128430e+00   6.51031756e+00   5.83661018e+00   
79      1.50117197e-06   1.98827306e+00   6.50378806e+00   5.82803253e+00   
80      1.50118055e-06   1.98529022e+00   6.49724744e+00   5.81945488e+00   
81      1.50119770e-06   1.97943382e+00   6.48412086e+00   5.80229959e+00   
82      1.50121486e-06   1.97368497e+00   6.47094927e+00   5.78514429e+00   
83      1.50123201e-06   1.96804090e+00   6.45773279e+00   5.76798899e+00   
84      1.50126632e-06   1.95699147e+00   6.43119623e+00   5.73367839e+00   
85      1.50130063e-06   1.94648335e+00   6.40440696e+00   5.69936780e+00   
86      1.50133494e-06   1.93633477e+00   6.37744331e+00   5.66505720e+00   
87      1.50136925e-06   1.92652788e+00   6.35030719e+00   5.63074660e+00   
88      1.50143787e-06   1.90766633e+00   6.29564072e+00   5.56212541e+00   
89      1.50149963e-06   1.89207708e+00   6.24565071e+00   5.50036634e+00   
90      1.50156139e-06   1.87732796e+00   6.19514602e+00   5.43860727e+00   
91      1.50162315e-06   1.86334795e+00   6.14414182e+00   5.37684819e+00   
92      1.50174667e-06   1.83673864e+00   6.04041842e+00   5.25333005e+00   
93      1.50185693e-06   1.81310379e+00   5.93919844e+00   5.14307494e+00   
94      1.50196718e-06   1.78489265e+00   5.82123395e+00   5.03281984e+00   
95      1.50204725e-06   1.75931707e+00   5.72006924e+00   4.95275074e+00   
96      1.50211700e-06   1.73714336e+00   5.62898122e+00   4.88299653e+00   
97      1.50218676e-06   1.71949351e+00   5.54539836e+00   4.81324233e+00   
98      1.50224095e-06   1.70807526e+00   5.48431232e+00   4.75904773e+00   
99      1.50229515e-06   1.69836510e+00   5.42606828e+00   4.70485313e+00   
100     1.50234934e-06   1.69138480e+00   5.37013707e+00   4.65065853e+00   
101     1.50240354e-06   1.68700849e+00   5.31548052e+00   4.59646393e+00   
102     1.50251193e-06   1.68742554e+00   5.20896097e+00   4.48807473e+00   
