Index        V(2)            I(VMON)          V(2,3)           V(2,1)
35      3.50000000e-01   4.85322249e-13   3.49999996e-01   1.75000000e-01   
36      3.60000000e-01   4.99188599e-13   3.59999996e-01   1.80000000e-01   
37      3.70000000e-01   5.13054949e-13   3.69999996e-01   1.85000000e-01   
38      3.80000000e-01   5.26921299e-13   3.79999996e-01   1.90000000e-01   
39      3.90000000e-01   5.40787649e-13   3.89999996e-01   1.95000000e-01   
40      4.00000000e-01   5.54653999e-13   3.99999996e-01   2.00000000e-01   
41      4.10000000e-01   5.68520349e-13   4.09999996e-01   2.05000000e-01   
42      4.20000000e-01   5.82386699e-13   4.19999996e-01   2.10000000e-01   
43      4.30000000e-01   5.96253049e-13   4.29999996e-01   2.15000000e-01   
44      4.40000000e-01   6.10119399e-13   4.39999995e-01   2.20000000e-01   
45      4.50000000e-01   6.23985749e-13   4.49999995e-01   2.25000000e-01   
46      4.60000000e-01   6.37852099e-13   4.59999995e-01   2.30000000e-01   
47      4.70000000e-01   6.51718449e-13   4.69999995e-01   2.35000000e-01   
48      4.80000000e-01   6.65584799e-13   4.79999995e-01   2.40000000e-01   
49      4.90000000e-01   6.79451149e-13   4.89999995e-01   2.45000000e-01   
50      5.00000000e-01   6.93317499e-13   4.99999995e-01   2.50000000e-01   
51      5.10000000e-01   7.07183849e-13   5.09999995e-01   2.55000000e-01   
52      5.20000000e-01   7.21050198e-13   5.19999995e-01   2.60000000e-01   
53      5.30000000e-01   7.34916548e-13   5.29999994e-01   2.65000000e-01   
54      5.40000000e-01   7.48782898e-13   5.39999994e-01   2.70000000e-01   
55      5.50000000e-01   7.62649248e-13   5.49999994e-01   2.75000000e-01   
56      5.60000000e-01   7.76515598e-13   5.59999994e-01   2.80000000e-01   
57      5.70000000e-01   7.90381948e-13   5.69999994e-01   2.85000000e-01   
58      5.80000000e-01   8.04248298e-13   5.79999994e-01   2.90000000e-01   
59      5.90000000e-01   8.18114648e-13   5.89999994e-01   2.95000000e-01   
60      6.00000000e-01   8.31980998e-13   5.99999994e-01   3.00000000e-01   
61      6.10000000e-01   8.45847348e-13   6.09999994e-01   3.05000000e-01   
62      6.20000000e-01   8.59713698e-13   6.19999994e-01   3.10000000e-01   
63      6.30000000e-01   8.73580048e-13   6.29999993e-01   3.15000000e-01   
64      6.40000000e-01   8.87446398e-13   6.39999993e-01   3.20000000e-01   
65      6.50000000e-01   9.01312748e-13   6.49999993e-01   3.25000000e-01   
66      6.60000000e-01   9.15179098e-13   6.59999993e-01   3.30000000e-01   
67      6.70000000e-01   9.29045448e-13   6.69999993e-01   3.35000000e-01   
68      6.80000000e-01   9.42911798e-13   6.79999993e-01   3.40000000e-01   
69      6.90000000e-01   9.56778148e-13   6.89999993e-01   3.45000000e-01   
70      7.00000000e-01   9.70644498e-13   6.99999993e-01   3.50000000e-01   
71      7.10000000e-01   9.84510848e-13   7.09999993e-01   3.55000000e-01   
72      7.20000000e-01   9.98377198e-13   7.19999993e-01   3.60000000e-01   
73      7.30000000e-01   1.01224355e-12   7.29999992e-01   3.65000000e-01   
74      7.40000000e-01   1.02610990e-12   7.39999992e-01   3.70000000e-01   
75      7.50000000e-01   1.03997625e-12   7.49999992e-01   3.75000000e-01   
76      7.60000000e-01   1.05384260e-12   7.59999992e-01   3.80000000e-01   
77      7.70000000e-01   1.06770895e-12   7.69999992e-01   3.85000000e-01   
78      7.80000000e-01   1.08157530e-12   7.79999992e-01   3.90000000e-01   
79      7.90000000e-01   1.09544165e-12   7.89999992e-01   3.95000000e-01   
80      8.00000000e-01   1.10930800e-12   7.99999992e-01   4.00000000e-01   
81      8.10000000e-01   1.12317435e-12   8.09999992e-01   4.05000000e-01   
82      8.20000000e-01   1.13704070e-12   8.19999991e-01   4.10000000e-01   
83      8.30000000e-01   1.15090705e-12   8.29999991e-01   4.15000000e-01   
84      8.40000000e-01   1.16477340e-12   8.39999991e-01   4.20000000e-01   
85      8.50000000e-01   1.17863975e-12   8.49999991e-01   4.25000000e-01   
86      8.60000000e-01   1.19250610e-12   8.59999991e-01   4.30000000e-01   
87      8.70000000e-01   1.20637245e-12   8.69999991e-01   4.35000000e-01   
88      8.80000000e-01   1.22023880e-12   8.79999991e-01   4.40000000e-01   
89      8.90000000e-01   1.23410515e-12   8.89999991e-01   4.45000000e-01   
90      9.00000000e-01   1.24797150e-12   8.99999991e-01   4.50000000e-01   
91      9.10000000e-01   1.26183785e-12   9.09999991e-01   4.55000000e-01   
92      9.20000000e-01   1.27570420e-12   9.19999990e-01   4.60000000e-01   
93      9.30000000e-01   1.28957055e-12   9.29999990e-01   4.65000000e-01   
94      9.40000000e-01   1.30343690e-12   9.39999990e-01   4.70000000e-01   
95      9.50000000e-01   1.31730325e-12   9.49999990e-01   4.75000000e-01   
96      9.60000000e-01   1.33116960e-12   9.59999990e-01   4.80000000e-01   
97      9.70000000e-01   1.34503595e-12   9.69999990e-01   4.85000000e-01   
98      9.80000000e-01   1.35890230e-12   9.79999990e-01   4.90000000e-01   
99      9.90000000e-01   1.37276865e-12   9.89999990e-01   4.95000000e-01   
100     1.00000000e+00   1.38663500e-12   9.99999990e-01   5.00000000e-01   
101     1.01000000e+00   1.40050135e-12   1.00999999e+00   5.05000000e-01   
102     1.02000000e+00   1.41436770e-12   1.01999999e+00   5.10000000e-01   
103     1.03000000e+00   1.42823405e-12   1.02999999e+00   5.15000000e-01   
104     1.04000000e+00   1.44210040e-12   1.03999999e+00   5.20000000e-01   
105     1.05000000e+00   1.45596675e-12   1.04999999e+00   5.25000000e-01   
106     1.06000000e+00   1.46983310e-12   1.05999999e+00   5.30000000e-01   
107     1.07000000e+00   1.48369945e-12   1.06999999e+00   5.35000000e-01   
108     1.08000000e+00   1.49756580e-12   1.07999999e+00   5.40000000e-01   
109     1.09000000e+00   1.51143215e-12   1.08999999e+00   5.45000000e-01   
110     1.10000000e+00   1.52529850e-12   1.09999999e+00   5.50000000e-01   
111     1.11000000e+00   1.53916485e-12   1.10999999e+00   5.55000000e-01   
112     1.12000000e+00   1.55303120e-12   1.11999999e+00   5.60000000e-01   
113     1.13000000e+00   1.56689755e-12   1.12999999e+00   5.65000000e-01   
114     1.14000000e+00   1.58076390e-12   1.13999999e+00   5.70000000e-01   
115     1.15000000e+00   1.59463025e-12   1.14999999e+00   5.75000000e-01   
116     1.16000000e+00   1.60849660e-12   1.15999999e+00   5.80000000e-01   
117     1.17000000e+00   1.62236295e-12   1.16999999e+00   5.85000000e-01   
118     1.18000000e+00   1.63622930e-12   1.17999999e+00   5.90000000e-01   
119     1.19000000e+00   1.65009565e-12   1.18999999e+00   5.95000000e-01   
120     1.20000000e+00   1.66396200e-12   1.19999999e+00   6.00000000e-01   
121     1.21000000e+00   1.67782835e-12   1.20999999e+00   6.05000000e-01   
122     1.22000000e+00   1.69169470e-12   1.21999999e+00   6.10000000e-01   
123     1.23000000e+00   1.70556105e-12   1.22999999e+00   6.15000000e-01   
124     1.24000000e+00   1.71942740e-12   1.23999999e+00   6.20000000e-01   
125     1.25000000e+00   1.73329375e-12   1.24999999e+00   6.25000000e-01   
126     1.26000000e+00   1.74716010e-12   1.25999999e+00   6.30000000e-01   
127     1.27000000e+00   1.76102645e-12   1.26999999e+00   6.35000000e-01   
128     1.28000000e+00   1.77489280e-12   1.27999999e+00   6.40000000e-01   
129     1.29000000e+00   1.78875915e-12   1.28999999e+00   6.45000000e-01   
130     1.30000000e+00   1.80262550e-12   1.29999999e+00   6.50000000e-01   
131     1.31000000e+00   1.81649185e-12   1.30999999e+00   6.55000000e-01   
132     1.32000000e+00   1.83035820e-12   1.31999999e+00   6.60000000e-01   
133     1.33000000e+00   1.84422455e-12   1.32999999e+00   6.65000000e-01   
134     1.34000000e+00   1.85809090e-12   1.33999999e+00   6.70000000e-01   
135     1.35000000e+00   1.87195725e-12   1.34999999e+00   6.75000000e-01   
136     1.36000000e+00   1.88582360e-12   1.35999999e+00   6.80000000e-01   
137     1.37000000e+00   1.89968995e-12   1.36999999e+00   6.85000000e-01   
138     1.38000000e+00   1.91355630e-12   1.37999999e+00   6.90000000e-01   
139     1.39000000e+00   1.92742265e-12   1.38999999e+00   6.95000000e-01   
140     1.40000000e+00   1.94128900e-12   1.39999999e+00   7.00000000e-01   
141     1.41000000e+00   1.95515535e-12   1.40999999e+00   7.05000000e-01   
142     1.42000000e+00   1.96902170e-12   1.41999999e+00   7.10000000e-01   
143     1.43000000e+00   1.98288805e-12   1.42999999e+00   7.15000000e-01   
144     1.44000000e+00   1.99675440e-12   1.43999999e+00   7.20000000e-01   
145     1.45000000e+00   2.01062075e-12   1.44999998e+00   7.25000000e-01   
146     1.46000000e+00   2.02448710e-12   1.45999998e+00   7.30000000e-01   
147     1.47000000e+00   2.03835345e-12   1.46999998e+00   7.35000000e-01   
148     1.48000000e+00   2.05221980e-12   1.47999998e+00   7.40000000e-01   
149     1.49000000e+00   2.06608615e-12   1.48999998e+00   7.45000000e-01   
150     1.50000000e+00   2.07995250e-12   1.49999998e+00   7.50000000e-01   
151     1.51000000e+00   2.09381885e-12   1.50999998e+00   7.55000000e-01   
152     1.52000000e+00   2.10768520e-12   1.51999998e+00   7.60000000e-01   
153     1.53000000e+00   2.12155155e-12   1.52999998e+00   7.65000000e-01   
154     1.54000000e+00   2.13541790e-12   1.53999998e+00   7.70000000e-01   
155     1.55000000e+00   2.14928425e-12   1.54999998e+00   7.75000000e-01   
156     1.56000000e+00   2.16315060e-12   1.55999998e+00   7.80000000e-01   
157     1.57000000e+00   2.17701695e-12   1.56999998e+00   7.85000000e-01   
158     1.58000000e+00   2.19088330e-12   1.57999998e+00   7.90000000e-01   
159     1.59000000e+00   2.20474965e-12   1.58999998e+00   7.95000000e-01   
160     1.60000000e+00   2.21861600e-12   1.59999998e+00   8.00000000e-01   
161     1.61000000e+00   4.00000219e-06   1.57999998e+00   8.05000000e-01   
162     1.62000000e+00   8.00000216e-06   1.55999998e+00   8.10000000e-01   
163     1.63000000e+00   1.20000021e-05   1.53999998e+00   8.15000000e-01   
164     1.64000000e+00   1.60000021e-05   1.51999998e+00   8.20000000e-01   
165     1.65000000e+00   2.00000021e-05   1.49999998e+00   8.25000000e-01   
166     1.66000000e+00   2.40000021e-05   1.47999998e+00   8.30000000e-01   
167     1.67000000e+00   2.80000020e-05   1.45999998e+00   8.35000000e-01   
168     1.68000000e+00   3.20000020e-05   1.43999999e+00   8.40000000e-01   
169     1.69000000e+00   3.60000020e-05   1.41999999e+00   8.45000000e-01   
170     1.70000000e+00   4.00000019e-05   1.39999999e+00   8.50000000e-01   
171     1.71000000e+00   4.40000019e-05   1.37999999e+00   8.55000000e-01   
172     1.72000000e+00   4.80000019e-05   1.35999999e+00   8.60000000e-01   
173     1.73000000e+00   5.20000019e-05   1.33999999e+00   8.65000000e-01   
174     1.74000000e+00   5.60000018e-05   1.31999999e+00   8.70000000e-01   
175     1.75000000e+00   6.00000018e-05   1.29999999e+00   8.75000000e-01   
176     1.76000000e+00   6.40000018e-05   1.27999999e+00   8.80000000e-01   
177     1.77000000e+00   6.80000017e-05   1.25999999e+00   8.85000000e-01   
178     1.78000000e+00   7.20000017e-05   1.23999999e+00   8.90000000e-01   
179     1.79000000e+00   7.60000017e-05   1.21999999e+00   8.95000000e-01   
180     1.80000000e+00   8.00000017e-05   1.19999999e+00   9.00000000e-01   
181     1.81000000e+00   8.40000016e-05   1.17999999e+00   9.05000000e-01   
182     1.82000000e+00   8.80000016e-05   1.15999999e+00   9.10000000e-01   
183     1.83000000e+00   9.20000016e-05   1.13999999e+00   9.15000000e-01   
184     1.84000000e+00   9.60000016e-05   1.11999999e+00   9.20000000e-01   
185     1.85000000e+00   1.00000002e-04   1.09999999e+00   9.25000000e-01   
186     1.86000000e+00   1.04000001e-04   1.07999999e+00   9.30000000e-01   
187     1.87000000e+00   1.08000001e-04   1.05999999e+00   9.35000000e-01   
188     1.88000000e+00   1.12000001e-04   1.03999999e+00   9.40000000e-01   
189     1.89000000e+00   1.16000001e-04   1.01999999e+00   9.45000000e-01   
190     1.90000000e+00   1.20000001e-04   9.99999990e-01   9.50000000e-01   
191     1.91000000e+00   1.24000001e-04   9.79999990e-01   9.55000000e-01   
192     1.92000000e+00   1.28000001e-04   9.59999990e-01   9.60000000e-01   
193     1.93000000e+00   1.32000001e-04   9.39999990e-01   9.65000000e-01   
194     1.94000000e+00   1.36000001e-04   9.19999990e-01   9.70000000e-01   
195     1.95000000e+00   1.40000001e-04   8.99999991e-01   9.75000000e-01   
196     1.96000000e+00   1.44000001e-04   8.79999991e-01   9.80000000e-01   
197     1.97000000e+00   1.47999990e-04   8.60000072e-01   9.85000000e-01   
198     1.98000000e+00   1.51815241e-04   8.41385693e-01   9.90000000e-01   
199     1.99000000e+00   1.55324815e-04   8.25063885e-01   9.95000000e-01   
200     2.00000000e+00   1.58593118e-04   8.10551612e-01   1.00000000e+00   
201     2.01000000e+00   1.61665884e-04   7.97505867e-01   1.00500000e+00   
202     2.02000000e+00   1.64576359e-04   7.85677307e-01   1.01000000e+00   
203     2.03000000e+00   1.67349726e-04   7.74877056e-01   1.01500000e+00   
204     2.04000000e+00   1.70005582e-04   7.64958136e-01   1.02000000e+00   
205     2.05000000e+00   1.72559515e-04   7.55803638e-01   1.02500000e+00   
206     2.06000000e+00   1.75024153e-04   7.47318853e-01   1.03000000e+00   
207     2.07000000e+00   1.77409885e-04   7.39425864e-01   1.03500000e+00   
208     2.08000000e+00   1.79725371e-04   7.32059718e-01   1.04000000e+00   
209     2.09000000e+00   1.81977914e-04   7.25165645e-01   1.04500000e+00   
210     2.10000000e+00   1.84173734e-04   7.18696998e-01   1.05000000e+00   
211     2.11000000e+00   1.86318174e-04   7.12613697e-01   1.05500000e+00   
212     2.12000000e+00   1.88415862e-04   7.06881033e-01   1.06000000e+00   
213     2.13000000e+00   1.90470835e-04   7.01468738e-01   1.06500000e+00   
214     2.14000000e+00   1.92486634e-04   6.96350248e-01   1.07000000e+00   
215     2.15000000e+00   1.94466384e-04   6.91502117e-01   1.07500000e+00   
216     2.16000000e+00   1.96412861e-04   6.86903545e-01   1.08000000e+00   
217     2.17000000e+00   1.98328535e-04   6.82535989e-01   1.08500000e+00   
218     2.18000000e+00   2.00215620e-04   6.78382847e-01   1.09000000e+00   
219     2.19000000e+00   2.02076107e-04   6.74429196e-01   1.09500000e+00   
220     2.20000000e+00   2.03911791e-04   6.70661570e-01   1.10000000e+00   
221     2.21000000e+00   2.05724296e-04   6.67067780e-01   1.10500000e+00   
222     2.22000000e+00   2.07515099e-04   6.63636754e-01   1.11000000e+00   
223     2.23000000e+00   2.09285546e-04   6.60358405e-01   1.11500000e+00   
224     2.24000000e+00   2.11036864e-04   6.57223521e-01   1.12000000e+00   
225     2.25000000e+00   2.12770178e-04   6.54223661e-01   1.12500000e+00   
226     2.26000000e+00   2.14486523e-04   6.51351080e-01   1.13000000e+00   
227     2.27000000e+00   2.16186847e-04   6.48598648e-01   1.13500000e+00   
228     2.28000000e+00   2.17872028e-04   6.45959789e-01   1.14000000e+00   
229     2.29000000e+00   2.19542876e-04   6.43428427e-01   1.14500000e+00   
230     2.30000000e+00   2.21200142e-04   6.40998936e-01   1.15000000e+00   
231     2.31000000e+00   2.22844520e-04   6.38666097e-01   1.15500000e+00   
232     2.32000000e+00   2.24476659e-04   6.36425060e-01   1.16000000e+00   
233     2.33000000e+00   2.26097159e-04   6.34271311e-01   1.16500000e+00   
234     2.34000000e+00   2.27706581e-04   6.32200642e-01   1.17000000e+00   
235     2.35000000e+00   2.29305450e-04   6.30209124e-01   1.17500000e+00   
236     2.36000000e+00   2.30894256e-04   6.28293082e-01   1.18000000e+00   
237     2.37000000e+00   2.32473456e-04   6.26449078e-01   1.18500000e+00   
238     2.38000000e+00   2.34043482e-04   6.24673886e-01   1.19000000e+00   
239     2.39000000e+00   2.35604736e-04   6.22964480e-01   1.19500000e+00   
240     2.40000000e+00   2.37157598e-04   6.21318014e-01   1.20000000e+00   
241     2.41000000e+00   2.38702425e-04   6.19731811e-01   1.20500000e+00   
242     2.42000000e+00   2.40239553e-04   6.18203351e-01   1.21000000e+00   
243     2.43000000e+00   2.41769299e-04   6.16730255e-01   1.21500000e+00   
244     2.44000000e+00   2.43291963e-04   6.15310280e-01   1.22000000e+00   
245     2.45000000e+00   2.44807826e-04   6.13941304e-01   1.22500000e+00   
246     2.46000000e+00   2.46317157e-04   6.12621323e-01   1.23000000e+00   
247     2.47000000e+00   2.47820208e-04   6.11348437e-01   1.23500000e+00   
248     2.48000000e+00   2.49317220e-04   6.10120849e-01   1.24000000e+00   
249     2.49000000e+00   2.50808420e-04   6.08936852e-01   1.24500000e+00   
250     2.50000000e+00   2.52294023e-04   6.07794828e-01   1.25000000e+00   
251     2.51000000e+00   2.53774235e-04   6.06693240e-01   1.25500000e+00   
252     2.52000000e+00   2.55249250e-04   6.05630625e-01   1.26000000e+00   
253     2.53000000e+00   2.56719254e-04   6.04605595e-01   1.26500000e+00   
254     2.54000000e+00   2.58184423e-04   6.03616824e-01   1.27000000e+00   
255     2.55000000e+00   2.59644926e-04   6.02663054e-01   1.27500000e+00   
256     2.56000000e+00   2.61100922e-04   6.01743081e-01   1.28000000e+00   
257     2.57000000e+00   2.62552565e-04   6.00855761e-01   1.28500000e+00   
258     2.58000000e+00   2.64000000e-04   5.99999998e-01   1.29000000e+00   
259     2.59000000e+00   2.65443367e-04   5.99174748e-01   1.29500000e+00   
260     2.60000000e+00   2.66882798e-04   5.98379013e-01   1.30000000e+00   
261     2.61000000e+00   2.68318422e-04   5.97611836e-01   1.30500000e+00   
262     2.62000000e+00   2.69750359e-04   5.96872306e-01   1.31000000e+00   
263     2.63000000e+00   2.71178727e-04   5.96159547e-01   1.31500000e+00   
264     2.64000000e+00   2.72603637e-04   5.95472721e-01   1.32000000e+00   
265     2.65000000e+00   2.74025196e-04   5.94811026e-01   1.32500000e+00   
266     2.66000000e+00   2.75443508e-04   5.94173693e-01   1.33000000e+00   
267     2.67000000e+00   2.76858669e-04   5.93559982e-01   1.33500000e+00   
268     2.68000000e+00   2.78270775e-04   5.92969186e-01   1.34000000e+00   
269     2.69000000e+00   2.79679917e-04   5.92400624e-01   1.34500000e+00   
270     2.70000000e+00   2.81086181e-04   5.91853642e-01   1.35000000e+00   
271     2.71000000e+00   2.82489652e-04   5.91327613e-01   1.35500000e+00   
272     2.72000000e+00   2.83890409e-04   5.90821932e-01   1.36000000e+00   
273     2.73000000e+00   2.85288531e-04   5.90336018e-01   1.36500000e+00   
274     2.74000000e+00   2.86684092e-04   5.89869313e-01   1.37000000e+00   
275     2.75000000e+00   2.88077163e-04   5.89421278e-01   1.37500000e+00   
276     2.76000000e+00   2.89467814e-04   5.88991395e-01   1.38000000e+00   
277     2.77000000e+00   2.90856111e-04   5.88579164e-01   1.38500000e+00   
278     2.78000000e+00   2.92242119e-04   5.88184105e-01   1.39000000e+00   
279     2.79000000e+00   2.93625900e-04   5.87805752e-01   1.39500000e+00   
280     2.80000000e+00   2.95007512e-04   5.87443660e-01   1.40000000e+00   
281     2.81000000e+00   2.96387014e-04   5.87097395e-01   1.40500000e+00   
282     2.82000000e+00   2.97764461e-04   5.86766541e-01   1.41000000e+00   
283     2.83000000e+00   2.99139907e-04   5.86450696e-01   1.41500000e+00   
284     2.84000000e+00   3.00513404e-04   5.86149470e-01   1.42000000e+00   
285     2.85000000e+00   3.01885002e-04   5.85862488e-01   1.42500000e+00   
286     2.86000000e+00   3.03254748e-04   5.85589388e-01   1.43000000e+00   
287     2.87000000e+00   3.04622691e-04   5.85329817e-01   1.43500000e+00   
288     2.88000000e+00   3.05988875e-04   5.85083437e-01   1.44000000e+00   
289     2.89000000e+00   3.07353344e-04   5.84849920e-01   1.44500000e+00   
290     2.90000000e+00   3.08716140e-04   5.84628947e-01   1.45000000e+00   
291     2.91000000e+00   3.10077305e-04   5.84420211e-01   1.45500000e+00   
292     2.92000000e+00   3.11436878e-04   5.84223415e-01   1.46000000e+00   
293     2.93000000e+00   3.12794897e-04   5.84038270e-01   1.46500000e+00   
294     2.94000000e+00   3.14151401e-04   5.83864496e-01   1.47000000e+00   
295     2.95000000e+00   3.15506424e-04   5.83701823e-01   1.47500000e+00   
296     2.96000000e+00   3.16860002e-04   5.83549989e-01   1.48000000e+00   
297     2.97000000e+00   3.18212168e-04   5.83408738e-01   1.48500000e+00   
298     2.98000000e+00   3.19562957e-04   5.83277825e-01   1.49000000e+00   
299     2.99000000e+00   3.20912399e-04   5.83157010e-01   1.49500000e+00   
300     3.00000000e+00   3.22260525e-04   5.83046061e-01   1.50000000e+00   
301     3.01000000e+00   3.23607366e-04   5.82944752e-01   1.50500000e+00   
302     3.02000000e+00   3.24952951e-04   5.82852865e-01   1.51000000e+00   
303     3.03000000e+00   3.26297308e-04   5.82770187e-01   1.51500000e+00   
304     3.04000000e+00   3.27640465e-04   5.82696513e-01   1.52000000e+00   
305     3.05000000e+00   3.28982448e-04   5.82631641e-01   1.52500000e+00   
306     3.06000000e+00   3.30323283e-04   5.82575377e-01   1.53000000e+00   
307     3.07000000e+00   3.31662996e-04   5.82527532e-01   1.53500000e+00   
308     3.08000000e+00   3.33001610e-04   5.82487922e-01   1.54000000e+00   
309     3.09000000e+00   3.34339151e-04   5.82456368e-01   1.54500000e+00   
310     3.10000000e+00   3.35675640e-04   5.82432696e-01   1.55000000e+00   
311     3.11000000e+00   3.37011102e-04   5.82416738e-01   1.55500000e+00   
312     3.12000000e+00   3.38345556e-04   5.82408328e-01   1.56000000e+00   
313     3.13000000e+00   3.39679026e-04   5.82407308e-01   1.56500000e+00   
314     3.14000000e+00   3.41011531e-04   5.82413520e-01   1.57000000e+00   
315     3.15000000e+00   3.42343092e-04   5.82426813e-01   1.57500000e+00   
316     3.16000000e+00   3.43673728e-04   5.82447040e-01   1.58000000e+00   
317     3.17000000e+00   3.45003459e-04   5.82474057e-01   1.58500000e+00   
318     3.18000000e+00   3.46332303e-04   5.82507725e-01   1.59000000e+00   
319     3.19000000e+00   3.47660279e-04   5.82547905e-01   1.59500000e+00   
320     3.20000000e+00   3.48987404e-04   5.82594467e-01   1.60000000e+00   
321     3.21000000e+00   3.50313696e-04   5.82647280e-01   1.60500000e+00   
322     3.22000000e+00   3.51639171e-04   5.82706219e-01   1.61000000e+00   
323     3.23000000e+00   3.52963845e-04   5.82771159e-01   1.61500000e+00   
324     3.24000000e+00   3.54287736e-04   5.82841983e-01   1.62000000e+00   
325     3.25000000e+00   3.55610857e-04   5.82918571e-01   1.62500000e+00   
326     3.26000000e+00   3.56933225e-04   5.83000811e-01   1.63000000e+00   
327     3.27000000e+00   3.58254854e-04   5.83088592e-01   1.63500000e+00   
328     3.28000000e+00   3.59575759e-04   5.83181804e-01   1.64000000e+00   
329     3.29000000e+00   3.60895954e-04   5.83280343e-01   1.64500000e+00   
330     3.30000000e+00   3.62215453e-04   5.83384104e-01   1.65000000e+00   
331     3.31000000e+00   3.63534268e-04   5.83492987e-01   1.65500000e+00   
332     3.32000000e+00   3.64852414e-04   5.83606894e-01   1.66000000e+00   
333     3.33000000e+00   3.66169903e-04   5.83725728e-01   1.66500000e+00   
334     3.34000000e+00   3.67486747e-04   5.83849396e-01   1.67000000e+00   
335     3.35000000e+00   3.68802959e-04   5.83977805e-01   1.67500000e+00   
336     3.36000000e+00   3.70118551e-04   5.84110868e-01   1.68000000e+00   
337     3.37000000e+00   3.71433534e-04   5.84248496e-01   1.68500000e+00   
338     3.38000000e+00   3.72747920e-04   5.84390604e-01   1.69000000e+00   
339     3.39000000e+00   3.74061719e-04   5.84537108e-01   1.69500000e+00   
340     3.40000000e+00   3.75374943e-04   5.84687927e-01   1.70000000e+00   
341     3.41000000e+00   3.76687602e-04   5.84842981e-01   1.70500000e+00   
342     3.42000000e+00   3.77999708e-04   5.85002193e-01   1.71000000e+00   
343     3.43000000e+00   3.79311268e-04   5.85165486e-01   1.71500000e+00   
344     3.44000000e+00   3.80622295e-04   5.85332786e-01   1.72000000e+00   
345     3.45000000e+00   3.81932797e-04   5.85504020e-01   1.72500000e+00   
346     3.46000000e+00   3.83242784e-04   5.85679117e-01   1.73000000e+00   
347     3.47000000e+00   3.84552266e-04   5.85858008e-01   1.73500000e+00   
348     3.48000000e+00   3.85861250e-04   5.86040623e-01   1.74000000e+00   
349     3.49000000e+00   3.87169747e-04   5.86226897e-01   1.74500000e+00   
350     3.50000000e+00   3.88477765e-04   5.86416764e-01   1.75000000e+00   
351     3.51000000e+00   3.89785312e-04   5.86610161e-01   1.75500000e+00   
352     3.52000000e+00   3.91092397e-04   5.86807026e-01   1.76000000e+00   
353     3.53000000e+00   3.92399027e-04   5.87007296e-01   1.76500000e+00   
354     3.54000000e+00   3.93705212e-04   5.87210912e-01   1.77000000e+00   
355     3.55000000e+00   3.95010958e-04   5.87417817e-01   1.77500000e+00   
356     3.56000000e+00   3.96316273e-04   5.87627951e-01   1.78000000e+00   
