Index        TIME         {V(VOUT)+1.0}     {V(IN)+1.0}         V(1)
34      1.50016983e-06   9.96489554e-01   5.98616756e+00   4.83016641e+00   
35      1.50018835e-06   9.95913987e-01   5.98318380e+00   4.81165030e+00   
36      1.50022538e-06   9.94727906e-01   5.97619948e+00   4.77461808e+00   
37      1.50026241e-06   9.93525771e-01   5.96823433e+00   4.73758586e+00   
38      1.50033648e-06   9.91140259e-01   5.94864022e+00   4.66352143e+00   
39      1.50041054e-06   9.88812854e-01   5.92561916e+00   4.58945699e+00   
40      1.50048461e-06   9.86560577e-01   5.89938981e+00   4.51539255e+00   
41      1.50055867e-06   9.84388177e-01   5.87015522e+00   4.44132811e+00   
42      1.50063274e-06   9.82293830e-01   5.83810468e+00   4.36726367e+00   
43      1.50070680e-06   9.80272350e-01   5.80341506e+00   4.29319924e+00   
44      1.50078087e-06   9.78316953e-01   5.76625183e+00   4.21913480e+00   
45      1.50085493e-06   9.76420225e-01   5.72676992e+00   4.14507036e+00   
46      1.50092899e-06   9.74574629e-01   5.68511449e+00   4.07100592e+00   
47      1.50107712e-06   9.71060993e-01   5.59413734e+00   3.92287705e+00   
48      1.50122525e-06   9.67657565e-01   5.49639448e+00   3.77474817e+00   
49      1.50137338e-06   9.64310218e-01   5.39268129e+00   3.62661930e+00   
50      1.50152151e-06   9.60969987e-01   5.28369948e+00   3.47849042e+00   
51      1.50166964e-06   9.57589891e-01   5.17006778e+00   3.33036155e+00   
52      1.50181777e-06   9.54122706e-01   5.05233143e+00   3.18223267e+00   
53      1.50190418e-06   9.51323840e-01   4.97969678e+00   3.09581842e+00   
54      1.50196161e-06   9.48476304e-01   4.92739722e+00   3.03839403e+00   
55      1.50201228e-06   9.45321432e-01   4.87806255e+00   2.98772187e+00   
56      1.50206295e-06   9.41551298e-01   4.82529150e+00   2.93704971e+00   
57      1.50211362e-06   9.37059694e-01   4.76848692e+00   2.88637756e+00   
58      1.50216429e-06   9.32037113e-01   4.70796436e+00   2.83570540e+00   
59      1.50221497e-06   9.27722426e-01   4.64742444e+00   2.78503325e+00   
60      1.50225467e-06   9.25285255e-01   4.60176692e+00   2.74532564e+00   
61      1.50229438e-06   9.23491341e-01   4.55750042e+00   2.70561803e+00   
62      1.50233409e-06   9.22151251e-01   4.51443039e+00   2.66591042e+00   
63      1.50237380e-06   9.21129585e-01   4.47240716e+00   2.62620281e+00   
64      1.50245321e-06   9.19530424e-01   4.39100444e+00   2.54678759e+00   
65      1.50253263e-06   9.18425969e-01   4.31120782e+00   2.46737238e+00   
66      1.50261204e-06   9.18179640e-01   4.23171874e+00   2.38795716e+00   
67      1.50269146e-06   9.19463075e-01   4.15249646e+00   2.30854194e+00   
68      1.50277087e-06   9.22862369e-01   4.07362464e+00   2.22912672e+00   
69      1.50283276e-06   9.27122032e-01   4.01241841e+00   2.16723947e+00   
70      1.50289465e-06   9.33214483e-01   3.95149538e+00   2.10535222e+00   
71      1.50294447e-06   9.39466934e-01   3.90265390e+00   2.05553230e+00   
72      1.50299429e-06   9.47184979e-01   3.85402596e+00   2.00571237e+00   
73      1.50303471e-06   9.54508999e-01   3.81471786e+00   1.96528597e+00   
74      1.50307514e-06   9.62965326e-01   3.77556716e+00   1.92485957e+00   
75      1.50310601e-06   9.70138731e-01   3.74577287e+00   1.89399331e+00   
76      1.50313273e-06   9.76916262e-01   3.72005584e+00   1.86727171e+00   
77      1.50314249e-06   9.79475469e-01   3.71067188e+00   1.85750973e+00   
78      1.50314812e-06   9.80980087e-01   3.70526059e+00   1.85187657e+00   
79      1.50315376e-06   9.82512310e-01   3.69985305e+00   1.84624341e+00   
80      1.50315939e-06   9.84072341e-01   3.69444925e+00   1.84061025e+00   
81      1.50317066e-06   9.87302684e-01   3.68365649e+00   1.82934393e+00   
82      1.50318192e-06   9.90646808e-01   3.67287873e+00   1.81807761e+00   
83      1.50319319e-06   9.94107117e-01   3.66211614e+00   1.80681129e+00   
84      1.50320446e-06   9.97686047e-01   3.65136891e+00   1.79554497e+00   
85      1.50321572e-06   1.00138614e+00   3.64063721e+00   1.78427864e+00   
86      1.50322422e-06   1.00424687e+00   3.63255549e+00   1.77578485e+00   
87      1.50323053e-06   1.00641505e+00   3.62654866e+00   1.76946644e+00   
88      1.50323685e-06   1.00862339e+00   3.62054691e+00   1.76314803e+00   
89      1.50324317e-06   1.01087229e+00   3.61455025e+00   1.75682961e+00   
90      1.50324949e-06   1.01316222e+00   3.60855871e+00   1.75051120e+00   
91      1.50326213e-06   1.01790428e+00   3.59659577e+00   1.73787437e+00   
92      1.50327476e-06   1.02281559e+00   3.58465333e+00   1.72523755e+00   
93      1.50328740e-06   1.02790068e+00   3.57273164e+00   1.71260072e+00   
94      1.50330004e-06   1.03316412e+00   3.56083099e+00   1.69996390e+00   
95      1.50331267e-06   1.03861075e+00   3.54895164e+00   1.68732707e+00   
96      1.50332531e-06   1.04424565e+00   3.53709389e+00   1.67469024e+00   
97      1.50335058e-06   1.05626666e+00   3.51346309e+00   1.64941659e+00   
98      1.50337586e-06   1.06910701e+00   3.48991991e+00   1.62414294e+00   
99      1.50340113e-06   1.08282203e+00   3.46646695e+00   1.59886928e+00   
100     1.50342640e-06   1.09747369e+00   3.44310647e+00   1.57359563e+00   
101     1.50345168e-06   1.11313275e+00   3.41984032e+00   1.54832198e+00   
102     1.50347695e-06   1.12988096e+00   3.39666964e+00   1.52304833e+00   
103     1.50350223e-06   1.14781410e+00   3.37359443e+00   1.49777467e+00   
104     1.50352750e-06   1.16704625e+00   3.35061283e+00   1.47250102e+00   
105     1.50355277e-06   1.18771610e+00   3.32772005e+00   1.44722737e+00   
106     1.50357805e-06   1.20999657e+00   3.30490650e+00   1.42195372e+00   
107     1.50360332e-06   1.23411037e+00   3.28215462e+00   1.39668006e+00   
108     1.50362859e-06   1.26035643e+00   3.25943303e+00   1.37140641e+00   
109     1.50365119e-06   1.28589337e+00   3.23909186e+00   1.34881018e+00   
110     1.50367001e-06   1.30892766e+00   3.22207654e+00   1.32999128e+00   
111     1.50368647e-06   1.33071079e+00   3.20708054e+00   1.31352879e+00   
112     1.50370293e-06   1.35446916e+00   3.19190167e+00   1.29706630e+00   
113     1.50371769e-06   1.37788563e+00   3.17801970e+00   1.28231448e+00   
114     1.50372933e-06   1.39825018e+00   3.16673245e+00   1.27066511e+00   
115     1.50373885e-06   1.41660614e+00   3.15715982e+00   1.26114828e+00   
116     1.50374723e-06   1.43462037e+00   3.14830250e+00   1.25277311e+00   
117     1.50375431e-06   1.45191753e+00   3.14025425e+00   1.24568679e+00   
118     1.50375963e-06   1.46652818e+00   3.13374689e+00   1.24037085e+00   
119     1.50376495e-06   1.48207420e+00   3.12715107e+00   1.23505491e+00   
120     1.50376919e-06   1.49467379e+00   3.12196415e+00   1.23080797e+00   
121     1.50377344e-06   1.50742795e+00   3.11679438e+00   1.22656102e+00   
122     1.50378193e-06   1.53357144e+00   3.10648105e+00   1.21806713e+00   
123     1.50379043e-06   1.56038381e+00   3.09619004e+00   1.20957324e+00   
124     1.50380741e-06   1.61660053e+00   3.07569342e+00   1.19258546e+00   
125     1.50382440e-06   1.67547615e+00   3.05528026e+00   1.17559768e+00   
126     1.50385838e-06   1.80330316e+00   3.01477186e+00   1.14162212e+00   
127     1.50389235e-06   1.94134279e+00   2.97456795e+00   1.10764656e+00   
128     1.50392633e-06   2.08931253e+00   2.93465486e+00   1.07367100e+00   
129     1.50396030e-06   2.24688540e+00   2.89501945e+00   1.03969544e+00   
130     1.50399428e-06   2.41368874e+00   2.85564910e+00   1.00571988e+00   
131     1.50402826e-06   2.58930502e+00   2.81653171e+00   9.71744318e-01   
132     1.50406223e-06   2.77327329e+00   2.77765566e+00   9.37768758e-01   
133     1.50409621e-06   2.96509031e+00   2.73900979e+00   9.03793197e-01   
134     1.50413018e-06   3.16421110e+00   2.70058340e+00   8.69817636e-01   
135     1.50416416e-06   3.37007404e+00   2.66232517e+00   8.35842075e-01   
136     1.50419813e-06   3.58232282e+00   2.62408158e+00   8.01866515e-01   
137     1.50422438e-06   3.74995925e+00   2.59444273e+00   7.75617476e-01   
138     1.50425063e-06   3.92105515e+00   2.56470904e+00   7.49368436e-01   
139     1.50427076e-06   4.05042056e+00   2.54315350e+00   7.29239448e-01   
140     1.50427670e-06   4.08685364e+00   2.53778852e+00   7.23300817e-01   
141     1.50428264e-06   4.12103839e+00   2.53314834e+00   7.17362186e-01   
142     1.50428858e-06   4.15314007e+00   2.52899889e+00   7.11423554e-01   
143     1.50429356e-06   4.17872057e+00   2.52583009e+00   7.06442335e-01   
144     1.50429854e-06   4.20313825e+00   2.52289339e+00   7.01461115e-01   
145     1.50430352e-06   4.22654290e+00   2.52015784e+00   6.96479895e-01   
146     1.50430850e-06   4.24905677e+00   2.51759379e+00   6.91498676e-01   
147     1.50431348e-06   4.27078003e+00   2.51517577e+00   6.86517456e-01   
148     1.50431846e-06   4.29179526e+00   2.51288216e+00   6.81536237e-01   
149     1.50432344e-06   4.31217102e+00   2.51069456e+00   6.76555017e-01   
150     1.50432843e-06   4.33196470e+00   2.50859722e+00   6.71573797e-01   
151     1.50433341e-06   4.35122471e+00   2.50657657e+00   6.66592578e-01   
152     1.50434337e-06   4.38805064e+00   2.50269423e+00   6.56630138e-01   
153     1.50435133e-06   4.41639365e+00   2.49973298e+00   6.48672025e-01   
154     1.50436125e-06   4.45027135e+00   2.49614233e+00   6.38752676e-01   
155     1.50437117e-06   4.48281000e+00   2.49263219e+00   6.28833327e-01   
156     1.50438109e-06   4.51411530e+00   2.48916380e+00   6.18913979e-01   
157     1.50439101e-06   4.54428140e+00   2.48570603e+00   6.08994630e-01   
158     1.50440092e-06   4.57338969e+00   2.48223297e+00   5.99075281e-01   
159     1.50442076e-06   4.62814827e+00   2.47500406e+00   5.79236584e-01   
160     1.50443752e-06   4.67192407e+00   2.46872389e+00   5.62482441e-01   
161     1.50445427e-06   4.71342959e+00   2.46218935e+00   5.45728298e-01   
162     1.50448778e-06   4.78909441e+00   2.44776622e+00   5.12220012e-01   
163     1.50452129e-06   4.85780141e+00   2.43198740e+00   4.78711726e-01   
164     1.50454791e-06   4.90823538e+00   2.41854870e+00   4.52089605e-01   
165     1.50457453e-06   4.95495789e+00   2.40415479e+00   4.25467484e-01   
166     1.50460115e-06   4.99829670e+00   2.38879760e+00   3.98845364e-01   
167     1.50462778e-06   5.03852580e+00   2.37248435e+00   3.72223243e-01   
168     1.50463756e-06   5.05285923e+00   2.36635783e+00   3.62442040e-01   
169     1.50464318e-06   5.06095567e+00   2.36279177e+00   3.56818338e-01   
170     1.50464881e-06   5.06891475e+00   2.35918297e+00   3.51194636e-01   
171     1.50465443e-06   5.07674204e+00   2.35553134e+00   3.45570935e-01   
172     1.50465842e-06   5.08223682e+00   2.35291715e+00   3.41576103e-01   
173     1.50466120e-06   5.08602510e+00   2.35109293e+00   3.38799461e-01   
174     1.50466398e-06   5.08978336e+00   2.34926207e+00   3.36022819e-01   
175     1.50466640e-06   5.09303467e+00   2.34766219e+00   3.33604210e-01   
176     1.50466881e-06   5.09626405e+00   2.34605686e+00   3.31185600e-01   
177     1.50467365e-06   5.10263844e+00   2.34282200e+00   3.26348381e-01   
178     1.50468333e-06   5.11506855e+00   2.33625931e+00   3.16673944e-01   
179     1.50470267e-06   5.13874647e+00   2.32278398e+00   2.97325069e-01   
180     1.50474137e-06   5.18188824e+00   2.29460589e+00   2.58627318e-01   
181     1.50481877e-06   5.25444181e+00   2.23450287e+00   1.81231817e-01   
182     1.50489616e-06   5.31551898e+00   2.17213647e+00   1.03836316e-01   
183     1.50500000e-06   5.38166551e+00   2.08548123e+00   4.79616347e-14   
184     1.50507740e-06   5.42591545e+00   2.02630101e+00   0.00000000e+00   
185     1.50515479e-06   5.46506264e+00   1.97037208e+00   0.00000000e+00   
186     1.50523219e-06   5.49924311e+00   1.91674138e+00   0.00000000e+00   
187     1.50538698e-06   5.55288206e+00   1.81882124e+00   0.00000000e+00   
188     1.50554177e-06   5.59493218e+00   1.72986615e+00   0.00000000e+00   
189     1.50569656e-06   5.62820529e+00   1.64947465e+00   0.00000000e+00   
190     1.50585135e-06   5.65484364e+00   1.57714614e+00   0.00000000e+00   
191     1.50600614e-06   5.67643396e+00   1.51230983e+00   0.00000000e+00   
192     1.50616093e-06   5.69414148e+00   1.45435927e+00   0.00000000e+00   
193     1.50631572e-06   5.70882233e+00   1.40268222e+00   0.00000000e+00   
194     1.50647051e-06   5.72111003e+00   1.35668249e+00   0.00000000e+00   
195     1.50662531e-06   5.73147874e+00   1.31579413e+00   0.00000000e+00   
196     1.50678010e-06   5.74028845e+00   1.27948958e+00   0.00000000e+00   
197     1.50693489e-06   5.74781670e+00   1.24728340e+00   0.00000000e+00   
198     1.50708968e-06   5.75428083e+00   1.21873314e+00   0.00000000e+00   
199     1.50724447e-06   5.75985353e+00   1.19343828e+00   0.00000000e+00   
200     1.50739926e-06   5.76467391e+00   1.17103811e+00   0.00000000e+00   
201     1.50755405e-06   5.76885533e+00   1.15120903e+00   0.00000000e+00   
202     1.50770884e-06   5.77249121e+00   1.13366158e+00   0.00000000e+00   
203     1.50786363e-06   5.77565916e+00   1.11813742e+00   0.00000000e+00   
204     1.50801842e-06   5.77842423e+00   1.10440638e+00   0.00000000e+00   
205     1.50817322e-06   5.78084128e+00   1.09226371e+00   0.00000000e+00   
206     1.50832801e-06   5.78295685e+00   1.08152746e+00   0.00000000e+00   
207     1.50848280e-06   5.78481062e+00   1.07203607e+00   0.00000000e+00   
208     1.50863759e-06   5.78643656e+00   1.06364624e+00   0.00000000e+00   
209     1.50879238e-06   5.78786388e+00   1.05623090e+00   0.00000000e+00   
210     1.50894717e-06   5.78911778e+00   1.04967748e+00   0.00000000e+00   
211     1.50910196e-06   5.79022003e+00   1.04388626e+00   0.00000000e+00   
212     1.50925675e-06   5.79118952e+00   1.03876893e+00   0.00000000e+00   
213     1.50941154e-06   5.79204267e+00   1.03424736e+00   0.00000000e+00   
214     1.50956633e-06   5.79279376e+00   1.03025241e+00   0.00000000e+00   
215     1.50972113e-06   5.79345525e+00   1.02672290e+00   0.00000000e+00   
216     1.50987592e-06   5.79403802e+00   1.02360473e+00   0.00000000e+00   
217     1.51003071e-06   5.79455160e+00   1.02085007e+00   0.00000000e+00   
218     1.51018550e-06   5.79500432e+00   1.01841660e+00   0.00000000e+00   
219     1.51034029e-06   5.79540348e+00   1.01626695e+00   0.00000000e+00   
220     1.51049508e-06   5.79575548e+00   1.01436805e+00   0.00000000e+00   
221     1.51064987e-06   5.79606596e+00   1.01269069e+00   0.00000000e+00   
222     1.51080466e-06   5.79633985e+00   1.01120905e+00   0.00000000e+00   
223     1.51095945e-06   5.79658150e+00   1.00990032e+00   0.00000000e+00   
224     1.51111424e-06   5.79679473e+00   1.00874433e+00   0.00000000e+00   
225     1.51126904e-06   5.79698291e+00   1.00772327e+00   0.00000000e+00   
226     1.51142383e-06   5.79714898e+00   1.00682141e+00   0.00000000e+00   
227     1.51157862e-06   5.79729556e+00   1.00602483e+00   0.00000000e+00   
228     1.51173341e-06   5.79742496e+00   1.00532124e+00   0.00000000e+00   
229     1.51188820e-06   5.79753918e+00   1.00469981e+00   0.00000000e+00   
230     1.51204299e-06   5.79764001e+00   1.00415094e+00   0.00000000e+00   
231     1.51219778e-06   5.79772904e+00   1.00366615e+00   0.00000000e+00   
232     1.51235257e-06   5.79780764e+00   1.00323798e+00   0.00000000e+00   
233     1.51250736e-06   5.79787703e+00   1.00285981e+00   0.00000000e+00   
234     1.51266215e-06   5.79793831e+00   1.00252580e+00   0.00000000e+00   
235     1.51281695e-06   5.79799242e+00   1.00223079e+00   0.00000000e+00   
236     1.51297174e-06   5.79804019e+00   1.00197024e+00   0.00000000e+00   
237     1.51312653e-06   5.79808238e+00   1.00174012e+00   0.00000000e+00   
238     1.51328132e-06   5.79811963e+00   1.00153688e+00   0.00000000e+00   
239     1.51343611e-06   5.79815253e+00   1.00135737e+00   0.00000000e+00   
240     1.51359090e-06   5.79818158e+00   1.00119883e+00   0.00000000e+00   
241     1.51374569e-06   5.79820724e+00   1.00105880e+00   0.00000000e+00   
242     1.51390048e-06   5.79822989e+00   1.00093513e+00   0.00000000e+00   
243     1.51405527e-06   5.79824990e+00   1.00082590e+00   0.00000000e+00   
244     1.51421006e-06   5.79826757e+00   1.00072943e+00   0.00000000e+00   
245     1.51436486e-06   5.79828318e+00   1.00064423e+00   0.00000000e+00   
246     1.51451965e-06   5.79829696e+00   1.00056898e+00   0.00000000e+00   
247     1.51467444e-06   5.79830913e+00   1.00050252e+00   0.00000000e+00   
248     1.51482923e-06   5.79831988e+00   1.00044383e+00   0.00000000e+00   
249     1.51498402e-06   5.79832937e+00   1.00039199e+00   0.00000000e+00   
250     1.51513881e-06   5.79833775e+00   1.00034620e+00   0.00000000e+00   
251     1.51529360e-06   5.79834516e+00   1.00030576e+00   0.00000000e+00   
252     1.51544839e-06   5.79835170e+00   1.00027005e+00   0.00000000e+00   
253     1.51560318e-06   5.79835747e+00   1.00023850e+00   0.00000000e+00   
254     1.51575797e-06   5.79836257e+00   1.00021064e+00   0.00000000e+00   
255     1.51591277e-06   5.79836708e+00   1.00018604e+00   0.00000000e+00   
256     1.51606756e-06   5.79837106e+00   1.00016431e+00   0.00000000e+00   
257     1.51622235e-06   5.79837457e+00   1.00014512e+00   0.00000000e+00   
258     1.51637714e-06   5.79837767e+00   1.00012817e+00   0.00000000e+00   
259     1.51653193e-06   5.79838041e+00   1.00011320e+00   0.00000000e+00   
260     1.51668672e-06   5.79838283e+00   1.00009997e+00   0.00000000e+00   
261     1.51684151e-06   5.79838497e+00   1.00008830e+00   0.00000000e+00   
262     1.51715109e-06   5.79838835e+00   1.00006983e+00   0.00000000e+00   
263     1.51746068e-06   5.79839103e+00   1.00005522e+00   0.00000000e+00   
264     1.51777026e-06   5.79839314e+00   1.00004367e+00   0.00000000e+00   
265     1.51807984e-06   5.79839481e+00   1.00003453e+00   0.00000000e+00   
266     1.51838942e-06   5.79839614e+00   1.00002731e+00   0.00000000e+00   
267     1.51869900e-06   5.79839718e+00   1.00002160e+00   0.00000000e+00   
268     1.51900859e-06   5.79839801e+00   1.00001708e+00   0.00000000e+00   
269     1.51931817e-06   5.79839866e+00   1.00001351e+00   0.00000000e+00   
270     1.51962775e-06   5.79839918e+00   1.00001068e+00   0.00000000e+00   
271     1.52024691e-06   5.79839986e+00   1.00000699e+00   0.00000000e+00   
272     1.52086608e-06   5.79840030e+00   1.00000457e+00   0.00000000e+00   
273     1.52148524e-06   5.79840059e+00   1.00000299e+00   0.00000000e+00   
274     1.52210441e-06   5.79840078e+00   1.00000195e+00   0.00000000e+00   
275     1.52334273e-06   5.79840096e+00   1.00000095e+00   0.00000000e+00   
276     1.52458106e-06   5.79840105e+00   1.00000046e+00   0.00000000e+00   
277     1.52705772e-06   5.79840111e+00   1.00000015e+00   0.00000000e+00   
278     1.52953437e-06   5.79840113e+00   1.00000005e+00   0.00000000e+00   
279     1.53448769e-06   5.79840113e+00   1.00000001e+00   0.00000000e+00   
280     1.54439431e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
281     1.56420756e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
282     1.60383406e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
283     1.68308705e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
284     1.84159303e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
285     2.14159303e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
286     2.44159303e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
287     2.74159303e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
288     3.00500000e-06   5.79840113e+00   1.00000000e+00   0.00000000e+00   
289     3.00502500e-06   5.79868503e+00   1.00072220e+00   2.50000000e-02   
290     3.00503105e-06   5.79877190e+00   1.00093673e+00   3.10455772e-02   
291     3.00503709e-06   5.79887751e+00   1.00119011e+00   3.70911543e-02   
292     3.00504314e-06   5.79900178e+00   1.00148161e+00   4.31367315e-02   
293     3.00504918e-06   5.79914430e+00   1.00181061e+00   4.91823086e-02   
294     3.00505523e-06   5.79930447e+00   1.00217659e+00   5.52278858e-02   
295     3.00506127e-06   5.79948159e+00   1.00257901e+00   6.12734629e-02   
296     3.00506732e-06   5.79967493e+00   1.00301739e+00   6.73190401e-02   
297     3.00507336e-06   5.79988375e+00   1.00349126e+00   7.33646172e-02   
298     3.00507941e-06   5.80010730e+00   1.00400018e+00   7.94101944e-02   
299     3.00508546e-06   5.80034484e+00   1.00454371e+00   8.54557715e-02   
300     3.00509150e-06   5.80059568e+00   1.00512142e+00   9.15013487e-02   
301     3.00510359e-06   5.80114522e+00   1.00641042e+00   1.03592503e-01   
302     3.00511568e-06   5.80173776e+00   1.00782998e+00   1.15683657e-01   
303     3.00512777e-06   5.80236878e+00   1.00937727e+00   1.27774812e-01   
304     3.00513987e-06   5.80303414e+00   1.01104957e+00   1.39865966e-01   
305     3.00515196e-06   5.80373002e+00   1.01284434e+00   1.51957120e-01   
306     3.00516405e-06   5.80445292e+00   1.01475914e+00   1.64048275e-01   
307     3.00517614e-06   5.80519961e+00   1.01679164e+00   1.76139429e-01   
308     3.00518823e-06   5.80596715e+00   1.01893964e+00   1.88230583e-01   
309     3.00521241e-06   5.80756544e+00   1.02368139e+00   2.12412892e-01   
310     3.00523660e-06   5.80920999e+00   1.02885407e+00   2.36595200e-01   
311     3.00526078e-06   5.81088652e+00   1.03444397e+00   2.60777509e-01   
312     3.00528496e-06   5.81258301e+00   1.04043841e+00   2.84959818e-01   
313     3.00530914e-06   5.81428941e+00   1.04682556e+00   3.09142126e-01   
314     3.00533332e-06   5.81599728e+00   1.05359439e+00   3.33324435e-01   
315     3.00535751e-06   5.81769961e+00   1.06073451e+00   3.57506743e-01   
316     3.00540587e-06   5.82104094e+00   1.07642482e+00   4.05871361e-01   
317     3.00545424e-06   5.82429211e+00   1.09345803e+00   4.54235978e-01   
318     3.00550260e-06   5.82743533e+00   1.11177236e+00   5.02600595e-01   
319     3.00555097e-06   5.83045940e+00   1.13131066e+00   5.50965212e-01   
320     3.00559933e-06   5.83335791e+00   1.15201962e+00   5.99329830e-01   
321     3.00564769e-06   5.83612786e+00   1.17384920e+00   6.47694447e-01   
322     3.00569606e-06   5.83876866e+00   1.19675222e+00   6.96059064e-01   
323     3.00579279e-06   5.84353691e+00   1.24650639e+00   7.92788299e-01   
324     3.00588952e-06   5.84782300e+00   1.29990075e+00   8.89517533e-01   
325     3.00598625e-06   5.85165954e+00   1.35665177e+00   9.86246767e-01   
326     3.00608298e-06   5.85507820e+00   1.41649839e+00   1.08297600e+00   
327     3.00617971e-06   5.85810828e+00   1.47919988e+00   1.17970524e+00   
328     3.00627643e-06   5.86077616e+00   1.54453403e+00   1.27643447e+00   
329     3.00637316e-06   5.86310511e+00   1.61229556e+00   1.37316371e+00   
330     3.00646989e-06   5.86511528e+00   1.68229481e+00   1.46989294e+00   
331     3.00656662e-06   5.86682380e+00   1.75435648e+00   1.56662217e+00   
332     3.00666335e-06   5.86824493e+00   1.82831854e+00   1.66335141e+00   
333     3.00676008e-06   5.86939016e+00   1.90403117e+00   1.76008064e+00   
334     3.00695354e-06   5.87103177e+00   2.06259913e+00   1.95353911e+00   
335     3.00708480e-06   5.87313862e+00   2.17659618e+00   2.08479750e+00   
336     3.00719716e-06   5.87646149e+00   2.28112853e+00   2.19715562e+00   
337     3.00722208e-06   5.87755224e+00   2.30533943e+00   2.22207785e+00   
338     3.00724700e-06   5.87875481e+00   2.32985137e+00   2.24700008e+00   
339     3.00727192e-06   5.88001541e+00   2.35469741e+00   2.27192231e+00   
340     3.00727556e-06   5.88020509e+00   2.35835620e+00   2.27555734e+00   
341     3.00727753e-06   5.88030872e+00   2.36033872e+00   2.27753289e+00   
342     3.00727951e-06   5.88041232e+00   2.36231812e+00   2.27950845e+00   
343     3.00728346e-06   5.88061707e+00   2.36627004e+00   2.28345956e+00   
344     3.00728639e-06   5.88076656e+00   2.36919247e+00   2.28638563e+00   
345     3.00728931e-06   5.88091344e+00   2.37211146e+00   2.28931170e+00   
346     3.00729516e-06   5.88119502e+00   2.37793877e+00   2.29516383e+00   
347     3.00729935e-06   5.88138948e+00   2.38209969e+00   2.29934979e+00   
348     3.00730354e-06   5.88157670e+00   2.38625447e+00   2.30353575e+00   
349     3.00730772e-06   5.88175656e+00   2.39040327e+00   2.30772171e+00   
350     3.00731609e-06   5.88208800e+00   2.39868186e+00   2.31609363e+00   
351     3.00732254e-06   5.88232625e+00   2.40504633e+00   2.32254451e+00   
352     3.00732900e-06   5.88254772e+00   2.41139787e+00   2.32899540e+00   
353     3.00734190e-06   5.88292998e+00   2.42406075e+00   2.34189717e+00   
354     3.00735117e-06   5.88317320e+00   2.43313746e+00   2.35117278e+00   
355     3.00736045e-06   5.88338614e+00   2.44219039e+00   2.36044840e+00   
356     3.00736972e-06   5.88357028e+00   2.45122083e+00   2.36972401e+00   
