Index      TIME           V(1)           V(8)           V(9)           I(V2)           V(10)           V(11)           I(V3)
72      1.00199996e-06   1.99173208e-04   5.00000000e+00   9.76418403e-02   -9.76418403e-04  5.00000000e+00   9.76418403e-02   -9.76418403e-04  
73      1.00199999e-06   7.48954099e-05   5.00000000e+00   3.71693238e-02   -3.71693238e-04  5.00000000e+00   3.71693238e-02   -3.71693238e-04  
74      1.00200000e-06   -3.75699472e-13  5.00000000e+00   -1.87829126e-10  1.87829126e-12   5.00000000e+00   -1.87829126e-10  1.87829126e-12   
75      1.00200002e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
76      1.00200005e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
77      1.00200010e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
78      1.00200020e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
79      1.00200040e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
80      1.00200080e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
81      1.00200159e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
82      1.00200318e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
83      1.00200636e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
84      1.00201273e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
85      1.00202545e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
86      1.00205090e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
87      1.00210181e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
88      1.00220362e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
89      1.00240723e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
90      1.00281447e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
91      1.00362893e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
92      1.00525787e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
93      1.00851574e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
94      1.01503147e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
95      1.02806294e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
96      1.05412589e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
97      1.10625177e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
98      1.21050355e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
99      1.41900710e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
100     1.83601419e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
101     2.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
102     3.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
103     4.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
104     5.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
105     6.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
106     7.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
107     8.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
108     9.67002838e-06   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
109     1.00000000e-05   0.00000000e+00   5.00000000e+00   7.05678120e-21   -7.05672304e-23  5.00000000e+00   7.05672950e-21   -7.05672304e-23  
End of Xyce(TM) Simulation
