TIME,V(1),V(2),V(3)
7.50584870e-01,-4.99996624e+02,-1.67155517e+02,-1.46992637e+00
7.51106196e-01,-4.99987923e+02,-1.67589336e+02,-2.78008378e+00
7.52148847e-01,-4.99954427e+02,-1.68451471e+02,-5.39998442e+00
7.54234148e-01,-4.99823068e+02,-1.70153208e+02,-1.06365551e+01
7.58404752e-01,-4.99302975e+02,-1.73462390e+02,-2.10841952e+01
7.66745959e-01,-4.97234848e+02,-1.79670698e+02,-4.17772453e+01
7.75087166e-01,-4.93801258e+02,-1.85270990e+02,-6.20117106e+01
7.83428372e-01,-4.89011636e+02,-1.90192372e+02,-8.15654794e+01
7.91769579e-01,-4.82879134e+02,-1.94367682e+02,-1.00223912e+02
8.00110786e-01,-4.75420591e+02,-1.97734262e+02,-1.17782196e+02
8.08451993e-01,-4.66656491e+02,-2.00234696e+02,-1.34047596e+02
8.12500000e-01,-4.61939766e+02,-2.01120374e+02,-1.41421356e+02
8.13034790e-01,-4.61294216e+02,-2.01220925e+02,-1.42368560e+02
8.13516102e-01,-4.60708767e+02,-2.01308105e+02,-1.43215547e+02
8.14478725e-01,-4.59525234e+02,-2.01473002e+02,-1.44893773e+02
8.16403970e-01,-4.57107780e+02,-2.01764719e+02,-1.48186377e+02
8.20254461e-01,-4.52072574e+02,-2.02194029e+02,-1.54509512e+02
8.27955444e-01,-4.41211484e+02,-2.02422759e+02,-1.66056793e+02
8.35656426e-01,-4.29317599e+02,-2.01789250e+02,-1.76050151e+02
8.43357408e-01,-4.16418761e+02,-2.00271610e+02,-1.84396069e+02
8.51058390e-01,-4.02545163e+02,-1.97853871e+02,-1.91016449e+02
8.58759373e-01,-3.87729281e+02,-1.94526206e+02,-1.95849338e+02
8.66460355e-01,-3.72005796e+02,-1.90285102e+02,-1.98849511e+02
8.74161337e-01,-3.55411514e+02,-1.85133469e+02,-1.99988893e+02
8.75000000e-01,-3.53553391e+02,-1.84517797e+02,-2.00000000e+02
8.75460425e-01,-3.52529105e+02,-1.84175253e+02,-1.99996652e+02
8.75872061e-01,-3.51610860e+02,-1.83866284e+02,-1.99987991e+02
8.76695333e-01,-3.49767320e+02,-1.83240645e+02,-1.99954615e+02
8.78341878e-01,-3.46052212e+02,-1.81958626e+02,-1.99823666e+02
8.81634967e-01,-3.38511285e+02,-1.79272169e+02,-1.99305223e+02
8.88221145e-01,-3.22997964e+02,-1.73414666e+02,-1.97246034e+02
8.94807323e-01,-3.06931593e+02,-1.66922695e+02,-1.93836492e+02
9.01393501e-01,-2.90339682e+02,-1.59813208e+02,-1.89099941e+02
9.07979679e-01,-2.73250640e+02,-1.52106482e+02,-1.83068806e+02
9.14565857e-01,-2.55693726e+02,-1.43826034e+02,-1.75784377e+02
9.21152035e-01,-2.37699004e+02,-1.34998509e+02,-1.67296522e+02
9.27738213e-01,-2.19297284e+02,-1.25653545e+02,-1.57663351e+02
9.34324391e-01,-2.00520074e+02,-1.15823629e+02,-1.46950812e+02
9.37500000e-01,-1.91341716e+02,-1.10921024e+02,-1.41421356e+02
9.37765767e-01,-1.90570074e+02,-1.10506111e+02,-1.40948260e+02
9.37988496e-01,-1.89922980e+02,-1.10157848e+02,-1.40550565e+02
9.38433954e-01,-1.88627679e+02,-1.09459851e+02,-1.39751875e+02
9.39324871e-01,-1.86032652e+02,-1.08058011e+02,-1.38141382e+02
9.41106704e-01,-1.80825192e+02,-1.05231283e+02,-1.34868656e+02
9.44670371e-01,-1.70342934e+02,-9.94883223e+01,-1.28122032e+02
9.48234038e-01,-1.59775276e+02,-9.36312615e+01,-1.21118508e+02
9.51797705e-01,-1.49127516e+02,-8.76665473e+01,-1.13872126e+02
9.55361371e-01,-1.38404991e+02,-8.16008026e+01,-1.06397417e+02
9.58925038e-01,-1.27613078e+02,-7.54408149e+01,-9.87093672e+01
9.62488705e-01,-1.16757186e+02,-6.91935264e+01,-9.08233930e+01
9.66052371e-01,-1.05842760e+02,-6.28660221e+01,-8.27553066e+01
9.69616038e-01,-9.48752691e+01,-5.64655182e+01,-7.45212856e+01
9.73179705e-01,-8.38602135e+01,-4.99993512e+01,-6.61378401e+01
9.76743372e-01,-7.28031152e+01,-4.34749650e+01,-5.76217799e+01
9.80307038e-01,-6.17095174e+01,-3.68998995e+01,-4.89901810e+01
9.83870705e-01,-5.05849820e+01,-3.02817775e+01,-4.02603507e+01
9.90998039e-01,-2.82654196e+01,-1.69471983e+01,-2.25761752e+01
9.98125372e-01,-5.88918147e+00,-3.53339994e+00,-4.71101836e+00
1.00000000e+00,-1.22464755e-13,-1.00716310e-13,-9.79719778e-14
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-10,3.76991118e-07,2.09439510e-07,2.51327412e-07
3.00000000e-10,1.13097336e-06,6.28318531e-07,7.53982237e-07
7.00000000e-10,2.63893783e-06,1.46607657e-06,1.75929189e-06
1.50000000e-09,5.65486678e-06,3.14159265e-06,3.76991118e-06
3.10000000e-09,1.16867247e-05,6.49262482e-06,7.79114978e-06
6.30000000e-09,2.37504405e-05,1.31946891e-05,1.58336270e-05
1.27000000e-08,4.78778720e-05,2.65988178e-05,3.19185814e-05
2.55000000e-08,9.61327352e-05,5.34070751e-05,6.40884901e-05
5.11000000e-08,1.92642462e-04,1.07023590e-04,1.28428308e-04
1.02300000e-07,3.85661914e-04,2.14256619e-04,2.57107943e-04
2.04700000e-07,7.71700819e-04,4.28722677e-04,5.14467213e-04
4.09500000e-07,1.54377863e-03,8.57654794e-04,1.02918575e-03
8.19100000e-07,3.08793425e-03,1.71551903e-03,2.05862283e-03
1.63830000e-06,6.17624549e-03,3.43124750e-03,4.11749700e-03
3.27670000e-06,1.23528680e-02,6.86270443e-03,8.23524532e-03
6.55350000e-06,2.47061129e-02,1.37256183e-02,1.64707419e-02
1.31071000e-05,4.94126028e-02,2.74514460e-02,3.29417351e-02
2.62143000e-05,9.88255823e-02,5.49031010e-02,6.58837206e-02
5.24287000e-05,1.97651539e-01,1.09806408e-01,1.31767685e-01
1.04857500e-04,3.95303433e-01,2.19612999e-01,2.63535565e-01
2.09715100e-04,7.90607072e-01,4.39225999e-01,5.27070924e-01
4.19430300e-04,1.58121315e+00,8.78450529e-01,1.05413844e+00
8.38860700e-04,3.16241569e+00,1.75688785e+00,2.10824784e+00
1.67772150e-03,6.32474391e+00,3.51366853e+00,4.21626167e+00
3.35544310e-03,1.26487854e+01,7.02647832e+00,8.43064958e+00
