Index        TIME             V(2A)        {V(2A)/V(2B)}    {I(R1)/I(R2)}        V(2C)        {V(2C)/V(2D)}    {I(R3)/I(R4)}
68      5.01001058e-05   -6.73909220e-02  1.00000000e+00   1.00000000e+00   -1.44844410e-01  1.00000000e+00   1.00000000e+00   
69      5.01003173e-05   -7.68088003e-02  1.00000000e+00   1.00000000e+00   -1.51785577e-01  1.00000000e+00   1.00000000e+00   
70      5.01007404e-05   -9.53969699e-02  1.00000000e+00   1.00000000e+00   -1.65536836e-01  1.00000000e+00   1.00000000e+00   
71      5.01011634e-05   -1.13776536e-01  1.00000000e+00   1.00000000e+00   -1.79184772e-01  1.00000000e+00   1.00000000e+00   
72      5.01015865e-05   -1.31941617e-01  1.00000000e+00   1.00000000e+00   -1.92725188e-01  1.00000000e+00   1.00000000e+00   
73      5.01020095e-05   -1.49886785e-01  1.00000000e+00   1.00000000e+00   -2.06154106e-01  1.00000000e+00   1.00000000e+00   
74      5.01024326e-05   -1.67607095e-01  1.00000000e+00   1.00000000e+00   -2.19467776e-01  1.00000000e+00   1.00000000e+00   
75      5.01028556e-05   -1.85098062e-01  1.00000000e+00   1.00000000e+00   -2.32662668e-01  1.00000000e+00   1.00000000e+00   
76      5.01032787e-05   -2.02355631e-01  1.00000000e+00   1.00000000e+00   -2.45735466e-01  1.00000000e+00   1.00000000e+00   
77      5.01041248e-05   -2.35802255e-01  1.00000000e+00   1.00000000e+00   -2.71283926e-01  1.00000000e+00   1.00000000e+00   
78      5.01049709e-05   -2.68293283e-01  1.00000000e+00   1.00000000e+00   -2.96315594e-01  1.00000000e+00   1.00000000e+00   
79      5.01058171e-05   -2.99811987e-01  1.00000000e+00   1.00000000e+00   -3.20812070e-01  1.00000000e+00   1.00000000e+00   
80      5.01066632e-05   -3.30347071e-01  1.00000000e+00   1.00000000e+00   -3.44757875e-01  1.00000000e+00   1.00000000e+00   
81      5.01075093e-05   -3.59892215e-01  1.00000000e+00   1.00000000e+00   -3.68140286e-01  1.00000000e+00   1.00000000e+00   
82      5.01083554e-05   -3.88445445e-01  1.00000000e+00   1.00000000e+00   -3.90949094e-01  1.00000000e+00   1.00000000e+00   
83      5.01092015e-05   -4.16009251e-01  1.00000000e+00   1.00000000e+00   -4.13176683e-01  1.00000000e+00   1.00000000e+00   
84      5.01108938e-05   -4.67066839e-01  1.00000000e+00   1.00000000e+00   -4.55109409e-01  1.00000000e+00   1.00000000e+00   
85      5.01125860e-05   -5.14429821e-01  1.00000000e+00   1.00000000e+00   -4.94751159e-01  1.00000000e+00   1.00000000e+00   
86      5.01142782e-05   -5.58219818e-01  1.00000000e+00   1.00000000e+00   -5.32113408e-01  1.00000000e+00   1.00000000e+00   
87      5.01159705e-05   -5.98585630e-01  1.00000000e+00   1.00000000e+00   -5.67229612e-01  1.00000000e+00   1.00000000e+00   
88      5.01176627e-05   -6.35695235e-01  1.00000000e+00   1.00000000e+00   -6.00151157e-01  1.00000000e+00   1.00000000e+00   
89      5.01193549e-05   -6.69729038e-01  1.00000000e+00   1.00000000e+00   -6.30943707e-01  1.00000000e+00   1.00000000e+00   
90      5.01210472e-05   -7.00874295e-01  1.00000000e+00   1.00000000e+00   -6.59683948e-01  1.00000000e+00   1.00000000e+00   
91      5.01227394e-05   -7.29320598e-01  1.00000000e+00   1.00000000e+00   -6.86456729e-01  1.00000000e+00   1.00000000e+00   
92      5.01244316e-05   -7.55256286e-01  1.00000000e+00   1.00000000e+00   -7.11352588e-01  1.00000000e+00   1.00000000e+00   
