Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
  5 2.500000e-01 7.50000000e-01  1.284386e-04 7.021122e-04 -6.53589e-04
  6 3.000000e-01 7.50000000e-01  1.292377e-04 7.019778e-04 -6.53501e-04
  7 3.500000e-01 7.50000000e-01  1.299954e-04 7.018505e-04 -6.53417e-04
  8 4.000000e-01 7.50000000e-01  1.307242e-04 7.017280e-04 -6.53336e-04
  9 4.500000e-01 7.50000000e-01  1.314298e-04 7.016095e-04 -6.53258e-04
 10 5.000000e-01 7.50000000e-01  1.321160e-04 7.014943e-04 -6.53181e-04
 11 5.500000e-01 7.50000000e-01  1.327854e-04 7.013819e-04 -6.53107e-04
 12 6.000000e-01 7.50000000e-01  1.334402e-04 7.012719e-04 -6.53035e-04
 13 6.500000e-01 7.50000000e-01  1.340822e-04 7.011641e-04 -6.52964e-04
 14 7.000000e-01 7.50000000e-01  1.347129e-04 7.010583e-04 -6.52894e-04
 15 7.500000e-01 7.50000000e-01  1.353334e-04 7.009542e-04 -6.52825e-04
 16 8.000000e-01 7.50000000e-01  1.359447e-04 7.008516e-04 -6.52757e-04
 17 8.500000e-01 7.50000000e-01  1.365477e-04 7.007505e-04 -6.52690e-04
 18 9.000000e-01 7.50000000e-01  1.371431e-04 7.006506e-04 -6.52624e-04
 19 9.500000e-01 7.50000000e-01  1.377317e-04 7.005519e-04 -6.52559e-04
 20 1.000000e+00 7.50000000e-01  1.383138e-04 7.004543e-04 -6.52495e-04
 21 1.050000e+00 7.50000000e-01  1.388902e-04 7.003577e-04 -6.52431e-04
 22 1.100000e+00 7.50000000e-01  1.394611e-04 7.002620e-04 -6.52367e-04
 23 1.150000e+00 7.50000000e-01  1.400270e-04 7.001672e-04 -6.52305e-04
 24 1.200000e+00 7.50000000e-01  1.405883e-04 7.000732e-04 -6.52242e-04
 25 1.250000e+00 7.50000000e-01  1.411452e-04 6.999799e-04 -6.52181e-04
 26 1.300000e+00 7.50000000e-01  1.416981e-04 6.998873e-04 -6.52119e-04
 27 1.350000e+00 7.50000000e-01  1.422473e-04 6.997953e-04 -6.52059e-04
 28 1.400000e+00 7.50000000e-01  1.427929e-04 6.997039e-04 -6.51998e-04
 29 1.450000e+00 7.50000000e-01  1.433351e-04 6.996132e-04 -6.51938e-04
 30 1.500000e+00 7.50000000e-01  1.438743e-04 6.995229e-04 -6.51878e-04
 31 1.550000e+00 7.50000000e-01  1.444105e-04 6.994332e-04 -6.51819e-04
 32 1.600000e+00 7.50000000e-01  1.449440e-04 6.993439e-04 -6.51760e-04
 33 1.650000e+00 7.50000000e-01  1.454749e-04 6.992551e-04 -6.51701e-04
 34 1.700000e+00 7.50000000e-01  1.460033e-04 6.991667e-04 -6.51642e-04
 35 1.750000e+00 7.50000000e-01  1.465294e-04 6.990787e-04 -6.51584e-04
 36 1.800000e+00 7.50000000e-01  1.470533e-04 6.989911e-04 -6.51526e-04
 37 1.850000e+00 7.50000000e-01  1.475751e-04 6.989038e-04 -6.51468e-04
 38 1.900000e+00 7.50000000e-01  1.480950e-04 6.988169e-04 -6.51411e-04
 39 1.950000e+00 7.50000000e-01  1.486131e-04 6.987303e-04 -6.51353e-04
 40 2.000000e+00 7.50000000e-01  1.491293e-04 6.986440e-04 -6.51296e-04
 41 2.050000e+00 7.50000000e-01  1.496439e-04 6.985580e-04 -6.51239e-04
 42 2.100000e+00 7.50000000e-01  1.501570e-04 6.984723e-04 -6.51182e-04
 43 2.150000e+00 7.50000000e-01  1.506685e-04 6.983868e-04 -6.51126e-04
 44 2.200000e+00 7.50000000e-01  1.511786e-04 6.983016e-04 -6.51069e-04
 45 2.250000e+00 7.50000000e-01  1.516874e-04 6.982166e-04 -6.51013e-04
 46 2.300000e+00 7.50000000e-01  1.521948e-04 6.981319e-04 -6.50957e-04
 47 2.350000e+00 7.50000000e-01  1.527011e-04 6.980474e-04 -6.50900e-04
 48 2.400000e+00 7.50000000e-01  1.532062e-04 6.979630e-04 -6.50845e-04
 49 2.450000e+00 7.50000000e-01  1.537102e-04 6.978789e-04 -6.50789e-04
 50 2.500000e+00 7.50000000e-01  1.542132e-04 6.977950e-04 -6.50733e-04
 51 2.550000e+00 7.50000000e-01  1.547151e-04 6.977112e-04 -6.50677e-04
 52 2.600000e+00 7.50000000e-01  1.552162e-04 6.976276e-04 -6.50622e-04
 53 2.650000e+00 7.50000000e-01  1.557163e-04 6.975442e-04 -6.50567e-04
 54 2.700000e+00 7.50000000e-01  1.562156e-04 6.974609e-04 -6.50511e-04
 55 2.750000e+00 7.50000000e-01  1.567141e-04 6.973777e-04 -6.50456e-04
 56 2.800000e+00 7.50000000e-01  1.572118e-04 6.972947e-04 -6.50401e-04
 57 2.850000e+00 7.50000000e-01  1.577088e-04 6.972119e-04 -6.50346e-04
 58 2.900000e+00 7.50000000e-01  1.582052e-04 6.971291e-04 -6.50291e-04
 59 2.950000e+00 7.50000000e-01  1.587009e-04 6.970465e-04 -6.50236e-04
 60 3.000000e+00 7.50000000e-01  1.591959e-04 6.969640e-04 -6.50181e-04
 61 3.050000e+00 7.50000000e-01  1.596904e-04 6.968816e-04 -6.50126e-04
 62 3.100000e+00 7.50000000e-01  1.601844e-04 6.967993e-04 -6.50072e-04
 63 3.150000e+00 7.50000000e-01  1.606778e-04 6.967171e-04 -6.50017e-04
 64 3.200000e+00 7.50000000e-01  1.611707e-04 6.966350e-04 -6.49962e-04
 65 3.250000e+00 7.50000000e-01  1.616632e-04 6.965530e-04 -6.49908e-04
 66 3.300000e+00 7.50000000e-01  1.621553e-04 6.964710e-04 -6.49853e-04
 67 3.350000e+00 7.50000000e-01  1.626469e-04 6.963892e-04 -6.49799e-04
 68 3.400000e+00 7.50000000e-01  1.631382e-04 6.963074e-04 -6.49745e-04
 69 3.450000e+00 7.50000000e-01  1.636291e-04 6.962257e-04 -6.49690e-04
 70 3.500000e+00 7.50000000e-01  1.641197e-04 6.961440e-04 -6.49636e-04
 71 3.550000e+00 7.50000000e-01  1.646099e-04 6.960624e-04 -6.49582e-04
 72 3.600000e+00 7.50000000e-01  1.650999e-04 6.959809e-04 -6.49527e-04
 73 3.650000e+00 7.50000000e-01  1.655896e-04 6.958994e-04 -6.49473e-04
 74 3.700000e+00 7.50000000e-01  1.660791e-04 6.958180e-04 -6.49419e-04
 75 3.750000e+00 7.50000000e-01  1.665683e-04 6.957367e-04 -6.49365e-04
 76 3.800000e+00 7.50000000e-01  1.670573e-04 6.956553e-04 -6.49311e-04
 77 3.850000e+00 7.50000000e-01  1.675462e-04 6.955741e-04 -6.49257e-04
 78 3.900000e+00 7.50000000e-01  1.680348e-04 6.954928e-04 -6.49203e-04
 79 3.950000e+00 7.50000000e-01  1.685233e-04 6.954116e-04 -6.49148e-04
 80 4.000000e+00 7.50000000e-01  1.690117e-04 6.953305e-04 -6.49094e-04
 81 4.050000e+00 7.50000000e-01  1.694999e-04 6.952493e-04 -6.49040e-04
 82 4.100000e+00 7.50000000e-01  1.699881e-04 6.951682e-04 -6.48986e-04
 83 4.150000e+00 7.50000000e-01  1.704761e-04 6.950872e-04 -6.48932e-04
 84 4.200000e+00 7.50000000e-01  1.709640e-04 6.950061e-04 -6.48878e-04
 85 4.250000e+00 7.50000000e-01  1.714519e-04 6.949251e-04 -6.48824e-04
 86 4.300000e+00 7.50000000e-01  1.719398e-04 6.948441e-04 -6.48770e-04
 87 4.350000e+00 7.50000000e-01  1.724276e-04 6.947631e-04 -6.48716e-04
 88 4.400000e+00 7.50000000e-01  1.729153e-04 6.946821e-04 -6.48662e-04
 89 4.450000e+00 7.50000000e-01  1.734031e-04 6.946011e-04 -6.48608e-04
 90 4.500000e+00 7.50000000e-01  1.738908e-04 6.945202e-04 -6.48554e-04
 91 4.550000e+00 7.50000000e-01  1.743786e-04 6.944392e-04 -6.48500e-04
 92 4.600000e+00 7.50000000e-01  1.748664e-04 6.943583e-04 -6.48446e-04
 93 4.650000e+00 7.50000000e-01  1.753542e-04 6.942774e-04 -6.48392e-04
 94 4.700000e+00 7.50000000e-01  1.758420e-04 6.941965e-04 -6.48338e-04
 95 4.750000e+00 7.50000000e-01  1.763299e-04 6.941155e-04 -6.48284e-04
 96 4.800000e+00 7.50000000e-01  1.768179e-04 6.940346e-04 -6.48230e-04
 97 4.850000e+00 7.50000000e-01  1.773059e-04 6.939537e-04 -6.48176e-04
 98 4.900000e+00 7.50000000e-01  1.777940e-04 6.938728e-04 -6.48122e-04
 99 4.950000e+00 7.50000000e-01  1.782822e-04 6.937918e-04 -6.48068e-04
100 5.000000e+00 7.50000000e-01  1.787705e-04 6.937109e-04 -6.48014e-04
  0 0.000000e+00 8.00000000e-01  -5.37228e-05 1.740943e-03 -1.50907e-03
  1 5.000000e-02 8.00000000e-01  2.527790e-04 1.648446e-03 -1.45583e-03
  2 1.000000e-01 8.00000000e-01  3.072598e-04 1.632317e-03 -1.44637e-03
  3 1.500000e-01 8.00000000e-01  3.166793e-04 1.629519e-03 -1.44475e-03
  4 2.000000e-01 8.00000000e-01  3.191507e-04 1.628769e-03 -1.44434e-03
  5 2.500000e-01 8.00000000e-01  3.205154e-04 1.628347e-03 -1.44412e-03
  6 3.000000e-01 8.00000000e-01  3.216538e-04 1.627993e-03 -1.44394e-03
  7 3.500000e-01 8.00000000e-01  3.227093e-04 1.627664e-03 -1.44377e-03
  8 4.000000e-01 8.00000000e-01  3.237128e-04 1.627352e-03 -1.44361e-03
  9 4.500000e-01 8.00000000e-01  3.246759e-04 1.627052e-03 -1.44345e-03
 10 5.000000e-01 8.00000000e-01  3.256053e-04 1.626763e-03 -1.44330e-03
 11 5.500000e-01 8.00000000e-01  3.265059e-04 1.626483e-03 -1.44316e-03
 12 6.000000e-01 8.00000000e-01  3.273816e-04 1.626210e-03 -1.44302e-03
 13 6.500000e-01 8.00000000e-01  3.282354e-04 1.625945e-03 -1.44289e-03
 14 7.000000e-01 8.00000000e-01  3.290696e-04 1.625685e-03 -1.44275e-03
 15 7.500000e-01 8.00000000e-01  3.298863e-04 1.625431e-03 -1.44262e-03
 16 8.000000e-01 8.00000000e-01  3.306871e-04 1.625182e-03 -1.44249e-03
 17 8.500000e-01 8.00000000e-01  3.314735e-04 1.624938e-03 -1.44237e-03
 18 9.000000e-01 8.00000000e-01  3.322468e-04 1.624698e-03 -1.44224e-03
 19 9.500000e-01 8.00000000e-01  3.330078e-04 1.624461e-03 -1.44212e-03
 20 1.000000e+00 8.00000000e-01  3.337577e-04 1.624228e-03 -1.44200e-03
 21 1.050000e+00 8.00000000e-01  3.344972e-04 1.623998e-03 -1.44188e-03
 22 1.100000e+00 8.00000000e-01  3.352269e-04 1.623772e-03 -1.44177e-03
 23 1.150000e+00 8.00000000e-01  3.359476e-04 1.623548e-03 -1.44165e-03
 24 1.200000e+00 8.00000000e-01  3.366599e-04 1.623326e-03 -1.44154e-03
 25 1.250000e+00 8.00000000e-01  3.373641e-04 1.623108e-03 -1.44143e-03
 26 1.300000e+00 8.00000000e-01  3.380609e-04 1.622891e-03 -1.44132e-03
 27 1.350000e+00 8.00000000e-01  3.387506e-04 1.622677e-03 -1.44120e-03
 28 1.400000e+00 8.00000000e-01  3.394336e-04 1.622465e-03 -1.44110e-03
 29 1.450000e+00 8.00000000e-01  3.401102e-04 1.622255e-03 -1.44099e-03
 30 1.500000e+00 8.00000000e-01  3.407808e-04 1.622047e-03 -1.44088e-03
 31 1.550000e+00 8.00000000e-01  3.414457e-04 1.621841e-03 -1.44077e-03
 32 1.600000e+00 8.00000000e-01  3.421052e-04 1.621636e-03 -1.44067e-03
 33 1.650000e+00 8.00000000e-01  3.427594e-04 1.621433e-03 -1.44056e-03
 34 1.700000e+00 8.00000000e-01  3.434087e-04 1.621232e-03 -1.44046e-03
 35 1.750000e+00 8.00000000e-01  3.440532e-04 1.621032e-03 -1.44036e-03
 36 1.800000e+00 8.00000000e-01  3.446932e-04 1.620833e-03 -1.44025e-03
 37 1.850000e+00 8.00000000e-01  3.453288e-04 1.620636e-03 -1.44015e-03
 38 1.900000e+00 8.00000000e-01  3.459602e-04 1.620441e-03 -1.44005e-03
 39 1.950000e+00 8.00000000e-01  3.465876e-04 1.620246e-03 -1.43995e-03
 40 2.000000e+00 8.00000000e-01  3.472112e-04 1.620053e-03 -1.43985e-03
 41 2.050000e+00 8.00000000e-01  3.478310e-04 1.619861e-03 -1.43975e-03
 42 2.100000e+00 8.00000000e-01  3.484472e-04 1.619670e-03 -1.43965e-03
 43 2.150000e+00 8.00000000e-01  3.490600e-04 1.619480e-03 -1.43955e-03
 44 2.200000e+00 8.00000000e-01  3.496695e-04 1.619291e-03 -1.43946e-03
 45 2.250000e+00 8.00000000e-01  3.502758e-04 1.619103e-03 -1.43936e-03
 46 2.300000e+00 8.00000000e-01  3.508789e-04 1.618916e-03 -1.43926e-03
 47 2.350000e+00 8.00000000e-01  3.514791e-04 1.618730e-03 -1.43917e-03
 48 2.400000e+00 8.00000000e-01  3.520763e-04 1.618545e-03 -1.43907e-03
 49 2.450000e+00 8.00000000e-01  3.526708e-04 1.618361e-03 -1.43898e-03
 50 2.500000e+00 8.00000000e-01  3.532625e-04 1.618178e-03 -1.43888e-03
 51 2.550000e+00 8.00000000e-01  3.538516e-04 1.617996e-03 -1.43879e-03
 52 2.600000e+00 8.00000000e-01  3.544381e-04 1.617814e-03 -1.43869e-03
 53 2.650000e+00 8.00000000e-01  3.550222e-04 1.617633e-03 -1.43860e-03
 54 2.700000e+00 8.00000000e-01  3.556038e-04 1.617453e-03 -1.43851e-03
 55 2.750000e+00 8.00000000e-01  3.561831e-04 1.617274e-03 -1.43841e-03
 56 2.800000e+00 8.00000000e-01  3.567601e-04 1.617095e-03 -1.43832e-03
 57 2.850000e+00 8.00000000e-01  3.573350e-04 1.616917e-03 -1.43823e-03
 58 2.900000e+00 8.00000000e-01  3.579076e-04 1.616740e-03 -1.43814e-03
 59 2.950000e+00 8.00000000e-01  3.584782e-04 1.616564e-03 -1.43805e-03
 60 3.000000e+00 8.00000000e-01  3.590468e-04 1.616388e-03 -1.43795e-03
 61 3.050000e+00 8.00000000e-01  3.596134e-04 1.616212e-03 -1.43786e-03
 62 3.100000e+00 8.00000000e-01  3.601780e-04 1.616038e-03 -1.43777e-03
 63 3.150000e+00 8.00000000e-01  3.607408e-04 1.615864e-03 -1.43768e-03
 64 3.200000e+00 8.00000000e-01  3.613018e-04 1.615690e-03 -1.43759e-03
 65 3.250000e+00 8.00000000e-01  3.618610e-04 1.615517e-03 -1.43750e-03
 66 3.300000e+00 8.00000000e-01  3.624184e-04 1.615345e-03 -1.43741e-03
 67 3.350000e+00 8.00000000e-01  3.629741e-04 1.615173e-03 -1.43732e-03
 68 3.400000e+00 8.00000000e-01  3.635282e-04 1.615002e-03 -1.43724e-03
 69 3.450000e+00 8.00000000e-01  3.640807e-04 1.614831e-03 -1.43715e-03
 70 3.500000e+00 8.00000000e-01  3.646316e-04 1.614661e-03 -1.43706e-03
