Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
 11 5.500000e-01 1.00000000e+00  1.475984e-03 9.934402e-03 -7.39280e-03
 12 6.000000e-01 1.00000000e+00  1.477105e-03 9.933893e-03 -7.39313e-03
 13 6.500000e-01 1.00000000e+00  1.478188e-03 9.933401e-03 -7.39345e-03
 14 7.000000e-01 1.00000000e+00  1.479237e-03 9.932924e-03 -7.39376e-03
 15 7.500000e-01 1.00000000e+00  1.480257e-03 9.932461e-03 -7.39406e-03
 16 8.000000e-01 1.00000000e+00  1.481250e-03 9.932010e-03 -7.39435e-03
 17 8.500000e-01 1.00000000e+00  1.482219e-03 9.931569e-03 -7.39463e-03
 18 9.000000e-01 1.00000000e+00  1.483166e-03 9.931139e-03 -7.39491e-03
 19 9.500000e-01 1.00000000e+00  1.484094e-03 9.930717e-03 -7.39519e-03
 20 1.000000e+00 1.00000000e+00  1.485004e-03 9.930304e-03 -7.39545e-03
 21 1.050000e+00 1.00000000e+00  1.485897e-03 9.929898e-03 -7.39572e-03
 22 1.100000e+00 1.00000000e+00  1.486775e-03 9.929499e-03 -7.39598e-03
 23 1.150000e+00 1.00000000e+00  1.487639e-03 9.929106e-03 -7.39623e-03
 24 1.200000e+00 1.00000000e+00  1.488489e-03 9.928720e-03 -7.39648e-03
 25 1.250000e+00 1.00000000e+00  1.489326e-03 9.928339e-03 -7.39673e-03
 26 1.300000e+00 1.00000000e+00  1.490152e-03 9.927964e-03 -7.39697e-03
 27 1.350000e+00 1.00000000e+00  1.490967e-03 9.927594e-03 -7.39721e-03
 28 1.400000e+00 1.00000000e+00  1.491771e-03 9.927228e-03 -7.39744e-03
 29 1.450000e+00 1.00000000e+00  1.492565e-03 9.926868e-03 -7.39768e-03
 30 1.500000e+00 1.00000000e+00  1.493350e-03 9.926511e-03 -7.39791e-03
 31 1.550000e+00 1.00000000e+00  1.494125e-03 9.926158e-03 -7.39813e-03
 32 1.600000e+00 1.00000000e+00  1.494893e-03 9.925810e-03 -7.39836e-03
 33 1.650000e+00 1.00000000e+00  1.495652e-03 9.925464e-03 -7.39858e-03
 34 1.700000e+00 1.00000000e+00  1.496403e-03 9.925123e-03 -7.39880e-03
 35 1.750000e+00 1.00000000e+00  1.497147e-03 9.924785e-03 -7.39902e-03
 36 1.800000e+00 1.00000000e+00  1.497884e-03 9.924450e-03 -7.39924e-03
 37 1.850000e+00 1.00000000e+00  1.498613e-03 9.924118e-03 -7.39945e-03
 38 1.900000e+00 1.00000000e+00  1.499337e-03 9.923789e-03 -7.39966e-03
 39 1.950000e+00 1.00000000e+00  1.500054e-03 9.923463e-03 -7.39987e-03
 40 2.000000e+00 1.00000000e+00  1.500765e-03 9.923140e-03 -7.40008e-03
 41 2.050000e+00 1.00000000e+00  1.501470e-03 9.922820e-03 -7.40029e-03
 42 2.100000e+00 1.00000000e+00  1.502169e-03 9.922502e-03 -7.40049e-03
 43 2.150000e+00 1.00000000e+00  1.502863e-03 9.922186e-03 -7.40070e-03
 44 2.200000e+00 1.00000000e+00  1.503552e-03 9.921873e-03 -7.40090e-03
 45 2.250000e+00 1.00000000e+00  1.504235e-03 9.921562e-03 -7.40110e-03
 46 2.300000e+00 1.00000000e+00  1.504914e-03 9.921254e-03 -7.40130e-03
 47 2.350000e+00 1.00000000e+00  1.505588e-03 9.920948e-03 -7.40149e-03
 48 2.400000e+00 1.00000000e+00  1.506257e-03 9.920643e-03 -7.40169e-03
 49 2.450000e+00 1.00000000e+00  1.506922e-03 9.920341e-03 -7.40188e-03
 50 2.500000e+00 1.00000000e+00  1.507582e-03 9.920041e-03 -7.40207e-03
 51 2.550000e+00 1.00000000e+00  1.508238e-03 9.919743e-03 -7.40227e-03
 52 2.600000e+00 1.00000000e+00  1.508890e-03 9.919446e-03 -7.40246e-03
 53 2.650000e+00 1.00000000e+00  1.509538e-03 9.919152e-03 -7.40265e-03
 54 2.700000e+00 1.00000000e+00  1.510182e-03 9.918859e-03 -7.40283e-03
 55 2.750000e+00 1.00000000e+00  1.510822e-03 9.918568e-03 -7.40302e-03
 56 2.800000e+00 1.00000000e+00  1.511459e-03 9.918278e-03 -7.40321e-03
 57 2.850000e+00 1.00000000e+00  1.512092e-03 9.917990e-03 -7.40339e-03
 58 2.900000e+00 1.00000000e+00  1.512721e-03 9.917704e-03 -7.40358e-03
 59 2.950000e+00 1.00000000e+00  1.513347e-03 9.917419e-03 -7.40376e-03
 60 3.000000e+00 1.00000000e+00  1.513970e-03 9.917136e-03 -7.40394e-03
 61 3.050000e+00 1.00000000e+00  1.514589e-03 9.916855e-03 -7.40412e-03
 62 3.100000e+00 1.00000000e+00  1.515206e-03 9.916574e-03 -7.40430e-03
 63 3.150000e+00 1.00000000e+00  1.515819e-03 9.916296e-03 -7.40448e-03
 64 3.200000e+00 1.00000000e+00  1.516429e-03 9.916018e-03 -7.40466e-03
 65 3.250000e+00 1.00000000e+00  1.517036e-03 9.915742e-03 -7.40483e-03
 66 3.300000e+00 1.00000000e+00  1.517640e-03 9.915467e-03 -7.40501e-03
 67 3.350000e+00 1.00000000e+00  1.518241e-03 9.915194e-03 -7.40518e-03
 68 3.400000e+00 1.00000000e+00  1.518840e-03 9.914922e-03 -7.40536e-03
 69 3.450000e+00 1.00000000e+00  1.519436e-03 9.914651e-03 -7.40553e-03
 70 3.500000e+00 1.00000000e+00  1.520029e-03 9.914381e-03 -7.40570e-03
 71 3.550000e+00 1.00000000e+00  1.520619e-03 9.914112e-03 -7.40588e-03
 72 3.600000e+00 1.00000000e+00  1.521207e-03 9.913845e-03 -7.40605e-03
 73 3.650000e+00 1.00000000e+00  1.521793e-03 9.913579e-03 -7.40622e-03
 74 3.700000e+00 1.00000000e+00  1.522376e-03 9.913313e-03 -7.40639e-03
 75 3.750000e+00 1.00000000e+00  1.522956e-03 9.913049e-03 -7.40655e-03
 76 3.800000e+00 1.00000000e+00  1.523534e-03 9.912786e-03 -7.40672e-03
 77 3.850000e+00 1.00000000e+00  1.524110e-03 9.912524e-03 -7.40689e-03
 78 3.900000e+00 1.00000000e+00  1.524684e-03 9.912264e-03 -7.40706e-03
 79 3.950000e+00 1.00000000e+00  1.525255e-03 9.912004e-03 -7.40722e-03
 80 4.000000e+00 1.00000000e+00  1.525824e-03 9.911745e-03 -7.40739e-03
 81 4.050000e+00 1.00000000e+00  1.526391e-03 9.911487e-03 -7.40755e-03
 82 4.100000e+00 1.00000000e+00  1.526956e-03 9.911230e-03 -7.40772e-03
 83 4.150000e+00 1.00000000e+00  1.527519e-03 9.910974e-03 -7.40788e-03
 84 4.200000e+00 1.00000000e+00  1.528080e-03 9.910719e-03 -7.40804e-03
 85 4.250000e+00 1.00000000e+00  1.528638e-03 9.910465e-03 -7.40820e-03
 86 4.300000e+00 1.00000000e+00  1.529195e-03 9.910212e-03 -7.40837e-03
 87 4.350000e+00 1.00000000e+00  1.529750e-03 9.909959e-03 -7.40853e-03
 88 4.400000e+00 1.00000000e+00  1.530302e-03 9.909708e-03 -7.40869e-03
 89 4.450000e+00 1.00000000e+00  1.530853e-03 9.909457e-03 -7.40885e-03
 90 4.500000e+00 1.00000000e+00  1.531402e-03 9.909207e-03 -7.40901e-03
 91 4.550000e+00 1.00000000e+00  1.531950e-03 9.908958e-03 -7.40917e-03
 92 4.600000e+00 1.00000000e+00  1.532495e-03 9.908710e-03 -7.40932e-03
 93 4.650000e+00 1.00000000e+00  1.533039e-03 9.908463e-03 -7.40948e-03
 94 4.700000e+00 1.00000000e+00  1.533581e-03 9.908216e-03 -7.40964e-03
 95 4.750000e+00 1.00000000e+00  1.534121e-03 9.907971e-03 -7.40979e-03
 96 4.800000e+00 1.00000000e+00  1.534659e-03 9.907726e-03 -7.40995e-03
 97 4.850000e+00 1.00000000e+00  1.535196e-03 9.907481e-03 -7.41011e-03
 98 4.900000e+00 1.00000000e+00  1.535731e-03 9.907238e-03 -7.41026e-03
 99 4.950000e+00 1.00000000e+00  1.536265e-03 9.906995e-03 -7.41041e-03
100 5.000000e+00 1.00000000e+00  1.536797e-03 9.906753e-03 -7.41057e-03
End of Xyce(TM) Parameter Sweep
