Index       V(B)              TEMP             I(V_C)            I(V_B)      
14       3.40000000e-01    5.00000000e+01    4.99301206e-10    1.71184984e-11
15       3.50000000e-01    5.00000000e+01    7.12999045e-10    2.17757788e-11
16       3.60000000e-01    5.00000000e+01    1.01813981e-09    2.79043495e-11
17       3.70000000e-01    5.00000000e+01    1.45384376e-09    3.60334974e-11
18       3.80000000e-01    5.00000000e+01    2.07596278e-09    4.69002631e-11
19       3.90000000e-01    5.00000000e+01    2.96423422e-09    6.15350856e-11
20       4.00000000e-01    5.00000000e+01    4.23249227e-09    8.13836388e-11
21       4.10000000e-01    5.00000000e+01    6.04324300e-09    1.08480339e-10
22       4.20000000e-01    5.00000000e+01    8.62846692e-09    1.45695657e-10
23       4.30000000e-01    5.00000000e+01    1.23193082e-08    1.97088890e-10
24       4.40000000e-01    5.00000000e+01    1.75884445e-08    2.68411685e-10
25       4.50000000e-01    5.00000000e+01    2.51105486e-08    3.67827118e-10
26       4.60000000e-01    5.00000000e+01    3.58485616e-08    5.06937053e-10
27       4.70000000e-01    5.00000000e+01    5.11767835e-08    7.02250504e-10
28       4.80000000e-01    5.00000000e+01    7.30564731e-08    9.77282928e-10
29       4.90000000e-01    5.00000000e+01    1.04286323e-07    1.36555833e-09
30       5.00000000e-01    5.00000000e+01    1.48859673e-07    1.91490328e-09
31       5.10000000e-01    5.00000000e+01    2.12473825e-07    2.69358985e-09
32       5.20000000e-01    5.00000000e+01    3.03256024e-07    3.79912458e-09
33       5.30000000e-01    5.00000000e+01    4.32797847e-07    5.37082427e-09
34       5.40000000e-01    5.00000000e+01    6.17628258e-07    7.60781083e-09
35       5.50000000e-01    5.00000000e+01    8.81309862e-07    1.07947603e-08
36       5.60000000e-01    5.00000000e+01    1.25741907e-06    1.53387447e-08
37       5.70000000e-01    5.00000000e+01    1.79377719e-06    2.18219381e-08
38       5.80000000e-01    5.00000000e+01    2.55844628e-06    3.10770014e-08
39       5.90000000e-01    5.00000000e+01    3.64820350e-06    4.42948629e-08
40       6.00000000e-01    5.00000000e+01    5.20047472e-06    6.31787351e-08
41       6.10000000e-01    5.00000000e+01    7.41005252e-06    9.01640278e-08
42       6.20000000e-01    5.00000000e+01    1.05523458e-05    1.28731997e-07
43       6.30000000e-01    5.00000000e+01    1.50153779e-05    1.83856373e-07
44       6.40000000e-01    5.00000000e+01    2.13431762e-05    2.62637925e-07
45       6.50000000e-01    5.00000000e+01    3.02934023e-05    3.75203270e-07
46       6.60000000e-01    5.00000000e+01    4.29124387e-05    5.35972579e-07
47       6.70000000e-01    5.00000000e+01    6.06286786e-05    7.65437436e-07
48       6.80000000e-01    5.00000000e+01    8.53608224e-05    1.09263566e-06
49       6.90000000e-01    5.00000000e+01    1.19632835e-04    1.55856364e-06
50       7.00000000e-01    5.00000000e+01    1.66677334e-04    2.22082639e-06
51       7.10000000e-01    5.00000000e+01    2.30500384e-04    3.15988658e-06
52       7.20000000e-01    5.00000000e+01    3.15877834e-04    4.48732931e-06
53       7.30000000e-01    5.00000000e+01    4.28264002e-04    6.35659720e-06
54       7.40000000e-01    5.00000000e+01    5.73619269e-04    8.97664772e-06
55       7.50000000e-01    5.00000000e+01    7.58192624e-04    1.26288949e-05
56       7.60000000e-01    5.00000000e+01    9.88307852e-04    1.76875502e-05
57       7.70000000e-01    5.00000000e+01    1.27018579e-03    2.46429909e-05
58       7.80000000e-01    5.00000000e+01    1.60980073e-03    3.41269949e-05
59       7.90000000e-01    5.00000000e+01    2.01274082e-03    4.69375976e-05
60       8.00000000e-01    5.00000000e+01    2.48403719e-03    6.40600546e-05
