Index        TIME             V(1)             V(2)             V(3)
241     5.81702685e-04   3.89374612e+02   6.73195715e+01   1.08858552e+01   
242     5.87997734e-04   3.89151519e+02   6.81493164e+01   1.11758587e+01   
243     5.94292783e-04   3.88926305e+02   6.89822415e+01   1.14708142e+01   
244     6.00587832e-04   3.88698979e+02   6.98183624e+01   1.17707464e+01   
245     6.06882881e-04   3.88469547e+02   7.06576946e+01   1.20756794e+01   
246     6.13177929e-04   3.88238015e+02   7.15002524e+01   1.23856367e+01   
247     6.19472978e-04   3.88004392e+02   7.23460495e+01   1.27006408e+01   
248     6.25768027e-04   3.87768684e+02   7.31950990e+01   1.30207138e+01   
249     6.32063076e-04   3.87530898e+02   7.40474132e+01   1.33458769e+01   
250     6.38358125e-04   3.87291042e+02   7.49030037e+01   1.36761507e+01   
251     6.44653174e-04   3.87049123e+02   7.57618813e+01   1.40115550e+01   
252     6.50948223e-04   3.86805148e+02   7.66240562e+01   1.43521091e+01   
253     6.57243272e-04   3.86559124e+02   7.74895378e+01   1.46978311e+01   
254     6.63538321e-04   3.86311059e+02   7.83583349e+01   1.50487390e+01   
255     6.69833369e-04   3.86060960e+02   7.92304553e+01   1.54048496e+01   
256     6.76128418e-04   3.85808835e+02   8.01059063e+01   1.57661792e+01   
257     6.82423467e-04   3.85554691e+02   8.09846945e+01   1.61327432e+01   
258     6.88718516e-04   3.85298535e+02   8.18668257e+01   1.65045566e+01   
259     6.95013565e-04   3.85040375e+02   8.27523050e+01   1.68816334e+01   
260     7.01308614e-04   3.84780218e+02   8.36411367e+01   1.72639868e+01   
261     7.07603663e-04   3.84518073e+02   8.45333244e+01   1.76516296e+01   
262     7.13898712e-04   3.84253947e+02   8.54288710e+01   1.80445736e+01   
263     7.20193760e-04   3.83987846e+02   8.63277789e+01   1.84428299e+01   
264     7.26488809e-04   3.83719780e+02   8.72300493e+01   1.88464089e+01   
265     7.32783858e-04   3.83449756e+02   8.81356830e+01   1.92553204e+01   
