Index       TIME           {V(1)+6.0}     {NINT(V(1)+6.0)} 
90       6.00294612e-04    3.05359091e+00    3.00000000e+00
91       6.07652580e-04    2.87004721e+00    3.00000000e+00
92       6.15010547e-04    2.69319213e+00    3.00000000e+00
93       6.22368515e-04    2.52340358e+00    3.00000000e+00
94       6.29726483e-04    2.36104442e+00    2.00000000e+00
95       6.37084450e-04    2.20646158e+00    2.00000000e+00
96       6.44442418e-04    2.05998542e+00    2.00000000e+00
97       6.51800386e-04    1.92192895e+00    2.00000000e+00
98       6.59158353e-04    1.79258719e+00    2.00000000e+00
99       6.66516321e-04    1.67223654e+00    2.00000000e+00
100      6.73874289e-04    1.56113418e+00    2.00000000e+00
101      6.81232256e-04    1.45951753e+00    1.00000000e+00
102      6.88590224e-04    1.36760376e+00    1.00000000e+00
103      6.95948192e-04    1.28558927e+00    1.00000000e+00
104      7.03306159e-04    1.21364933e+00    1.00000000e+00
105      7.10664127e-04    1.15193767e+00    1.00000000e+00
106      7.18022095e-04    1.10058616e+00    1.00000000e+00
107      7.25380062e-04    1.05970455e+00    1.00000000e+00
108      7.32738030e-04    1.02938019e+00    1.00000000e+00
109      7.40095998e-04    1.00967790e+00    1.00000000e+00
110      7.47453966e-04    1.00063976e+00    1.00000000e+00
111      7.54811933e-04    1.00228510e+00    1.00000000e+00
112      7.62169901e-04    1.01461040e+00    1.00000000e+00
113      7.69527869e-04    1.03758932e+00    1.00000000e+00
114      7.76885836e-04    1.07117276e+00    1.00000000e+00
115      7.84243804e-04    1.11528895e+00    1.00000000e+00
116      7.91601772e-04    1.16984361e+00    1.00000000e+00
117      7.98959739e-04    1.23472016e+00    1.00000000e+00
118      8.06317707e-04    1.30977996e+00    1.00000000e+00
119      8.13675675e-04    1.39486262e+00    1.00000000e+00
120      8.21033642e-04    1.48978631e+00    1.00000000e+00
121      8.28391610e-04    1.59434819e+00    2.00000000e+00
122      8.35749578e-04    1.70832480e+00    2.00000000e+00
123      8.43107545e-04    1.83147259e+00    2.00000000e+00
124      8.50465513e-04    1.96352840e+00    2.00000000e+00
125      8.57823481e-04    2.10421001e+00    2.00000000e+00
126      8.65181448e-04    2.25321681e+00    2.00000000e+00
127      8.72539416e-04    2.41023036e+00    2.00000000e+00
128      8.79897384e-04    2.57491514e+00    3.00000000e+00
129      8.87255351e-04    2.74691922e+00    3.00000000e+00
130      8.94613319e-04    2.92587503e+00    3.00000000e+00
131      9.01971287e-04    3.11140015e+00    3.00000000e+00
132      9.09329254e-04    3.30309811e+00    3.00000000e+00
133      9.16687222e-04    3.50055927e+00    4.00000000e+00
134      9.24045190e-04    3.70336165e+00    4.00000000e+00
135      9.31403157e-04    3.91107188e+00    4.00000000e+00
136      9.38761125e-04    4.12324609e+00    4.00000000e+00
137      9.46119093e-04    4.33943085e+00    4.00000000e+00
138      9.53477060e-04    4.55916421e+00    5.00000000e+00
139      9.60835028e-04    4.78197658e+00    5.00000000e+00
140      9.68192996e-04    5.00739183e+00    5.00000000e+00
141      9.75550963e-04    5.23492825e+00    5.00000000e+00
142      9.82908931e-04    5.46409961e+00    5.00000000e+00
143      9.90266899e-04    5.69441616e+00    6.00000000e+00
144      9.97624866e-04    5.92538575e+00    6.00000000e+00
145      1.00290473e-03    6.09124969e+00    6.00000000e+00
146      1.00762141e-03    6.23934219e+00    6.00000000e+00
147      1.01233809e-03    6.38722449e+00    6.00000000e+00
148      1.01705477e-03    6.53476673e+00    7.00000000e+00
149      1.02177146e-03    6.68183933e+00    7.00000000e+00
150      1.02648814e-03    6.82831312e+00    7.00000000e+00
151      1.03120482e-03    6.97405948e+00    7.00000000e+00
152      1.03592150e-03    7.11895040e+00    7.00000000e+00
153      1.04063818e-03    7.26285864e+00    7.00000000e+00
154      1.04535487e-03    7.40565783e+00    7.00000000e+00
155      1.05007155e-03    7.54722254e+00    8.00000000e+00
156      1.05478823e-03    7.68742845e+00    8.00000000e+00
157      1.05950491e-03    7.82615244e+00    8.00000000e+00
158      1.06422159e-03    7.96327268e+00    8.00000000e+00
159      1.06893828e-03    8.09866874e+00    8.00000000e+00
160      1.07365496e-03    8.23222171e+00    8.00000000e+00
161      1.07837164e-03    8.36381432e+00    8.00000000e+00
162      1.08308832e-03    8.49333098e+00    8.00000000e+00
163      1.08780500e-03    8.62065796e+00    9.00000000e+00
164      1.09252168e-03    8.74568344e+00    9.00000000e+00
165      1.09723837e-03    8.86829762e+00    9.00000000e+00
166      1.10195505e-03    8.98839282e+00    9.00000000e+00
167      1.10667173e-03    9.10586356e+00    9.00000000e+00
168      1.11138841e-03    9.22060668e+00    9.00000000e+00
169      1.11610509e-03    9.33252142e+00    9.00000000e+00
170      1.12082178e-03    9.44150948e+00    9.00000000e+00
171      1.12553846e-03    9.54747516e+00    1.00000000e+01
172      1.13025514e-03    9.65032539e+00    1.00000000e+01
173      1.13497182e-03    9.74996985e+00    1.00000000e+01
174      1.13968850e-03    9.84632103e+00    1.00000000e+01
175      1.14440518e-03    9.93929430e+00    1.00000000e+01
176      1.14912187e-03    1.00288080e+01    1.00000000e+01
177      1.15383855e-03    1.01147836e+01    1.00000000e+01
178      1.15855523e-03    1.01971455e+01    1.00000000e+01
179      1.16327191e-03    1.02758214e+01    1.00000000e+01
180      1.16798859e-03    1.03507422e+01    1.00000000e+01
181      1.17270528e-03    1.04218421e+01    1.00000000e+01
182      1.17742196e-03    1.04890587e+01    1.00000000e+01
183      1.18213864e-03    1.05523329e+01    1.10000000e+01
184      1.18685532e-03    1.06116092e+01    1.10000000e+01
185      1.19157200e-03    1.06668355e+01    1.10000000e+01
186      1.19628869e-03    1.07179634e+01    1.10000000e+01
187      1.20100537e-03    1.07649478e+01    1.10000000e+01
188      1.20572205e-03    1.08077476e+01    1.10000000e+01
189      1.21043873e-03    1.08463251e+01    1.10000000e+01
190      1.21515541e-03    1.08806466e+01    1.10000000e+01
191      1.21987209e-03    1.09106817e+01    1.10000000e+01
192      1.22458878e-03    1.09364042e+01    1.10000000e+01
193      1.22930546e-03    1.09577915e+01    1.10000000e+01
194      1.23402214e-03    1.09748248e+01    1.10000000e+01
195      1.23873882e-03    1.09874892e+01    1.10000000e+01
196      1.24345550e-03    1.09957734e+01    1.10000000e+01
197      1.24817219e-03    1.09996703e+01    1.10000000e+01
198      1.25288887e-03    1.09991763e+01    1.10000000e+01
199      1.25760555e-03    1.09942921e+01    1.10000000e+01
200      1.26232223e-03    1.09850217e+01    1.10000000e+01
201      1.26703891e-03    1.09713735e+01    1.10000000e+01
202      1.27175559e-03    1.09533593e+01    1.10000000e+01
203      1.27647228e-03    1.09309950e+01    1.10000000e+01
204      1.28118896e-03    1.09043002e+01    1.10000000e+01
205      1.28590564e-03    1.08732983e+01    1.10000000e+01
206      1.29062232e-03    1.08380167e+01    1.10000000e+01
207      1.29533900e-03    1.07984862e+01    1.10000000e+01
208      1.30005569e-03    1.07547417e+01    1.10000000e+01
209      1.30477237e-03    1.07068214e+01    1.10000000e+01
210      1.30948905e-03    1.06547676e+01    1.10000000e+01
211      1.31420573e-03    1.05986259e+01    1.10000000e+01
212      1.31892241e-03    1.05384455e+01    1.10000000e+01
213      1.32363910e-03    1.04742795e+01    1.00000000e+01
214      1.32835578e-03    1.04061840e+01    1.00000000e+01
215      1.33307246e-03    1.03342190e+01    1.00000000e+01
216      1.33778914e-03    1.02584476e+01    1.00000000e+01
