Index        TIME        {20.0 + V(30)}
192     2.82081983e-04   3.21869536e+00   
193     2.83837785e-04   4.11675208e+00   
194     2.86337785e-04   5.74016935e+00   
195     2.88837785e-04   7.75192125e+00   
196     2.91337785e-04   1.01035299e+01   
197     2.93837785e-04   1.27341888e+01   
198     2.95964750e-04   1.51551563e+01   
199     2.98091715e-04   1.76888267e+01   
200     3.00218681e-04   2.02824995e+01   
201     3.02345646e-04   2.28778612e+01   
202     3.02700127e-04   2.33112065e+01   
203     3.03054608e-04   2.37432823e+01   
204     3.03409089e-04   2.41738229e+01   
205     3.03763570e-04   2.46025600e+01   
206     3.04472533e-04   2.54550378e+01   
207     3.05181495e-04   2.62984207e+01   
208     3.05890457e-04   2.71307978e+01   
209     3.06599419e-04   2.79502380e+01   
210     3.08017343e-04   2.95450506e+01   
211     3.09435267e-04   3.10687153e+01   
212     3.10853191e-04   3.25076195e+01   
213     3.12271116e-04   3.38483393e+01   
214     3.13547247e-04   3.49642973e+01   
215     3.14823379e-04   3.59846054e+01   
216     3.16099511e-04   3.69015812e+01   
217     3.17375643e-04   3.77079408e+01   
218     3.18651774e-04   3.84014594e+01   
219     3.19927906e-04   3.89750990e+01   
220     3.21204038e-04   3.94242496e+01   
221     3.22480170e-04   3.97449029e+01   
222     3.23756302e-04   3.99382697e+01   
223     3.25032433e-04   4.00009220e+01   
224     3.26308565e-04   3.99320509e+01   
225     3.27584697e-04   3.97316324e+01   
226     3.28860829e-04   3.94031064e+01   
227     3.30136960e-04   3.89476754e+01   
228     3.31413092e-04   3.83684945e+01   
229     3.32689224e-04   3.76696136e+01   
230     3.33965356e-04   3.68559608e+01   
231     3.35241488e-04   3.59333778e+01   
232     3.36517619e-04   3.49085938e+01   
233     3.37793751e-04   3.37892324e+01   
234     3.40293751e-04   3.13457997e+01   
235     3.42793751e-04   2.86308981e+01   
236     3.45293751e-04   2.57219194e+01   
237     3.47793751e-04   2.27072854e+01   
238     3.49186410e-04   2.09944945e+01   
239     3.50579068e-04   1.92841137e+01   
240     3.51971727e-04   1.75921989e+01   
241     3.53364385e-04   1.59354864e+01   
242     3.54757043e-04   1.43113734e+01   
243     3.56149702e-04   1.27427417e+01   
244     3.57542360e-04   1.12438835e+01   
245     3.58935019e-04   9.82927263e+00   
246     3.60327677e-04   8.49750156e+00   
247     3.61720336e-04   7.26611573e+00   
248     3.63112994e-04   6.14574333e+00   
249     3.64505653e-04   5.14666519e+00   
250     3.65898311e-04   4.26742955e+00   
251     3.67290970e-04   3.51908207e+00   
252     3.68683628e-04   2.90735827e+00   
253     3.70076287e-04   2.43717917e+00   
254     3.71468945e-04   2.10607763e+00   
255     3.72861604e-04   1.91818851e+00   
256     3.74254262e-04   1.87396673e+00   
257     3.75646921e-04   1.97278306e+00   
258     3.77039579e-04   2.21025075e+00   
259     3.78432238e-04   2.58391496e+00   
260     3.79824896e-04   3.08907140e+00   
261     3.81217555e-04   3.71982192e+00   
262     3.83217555e-04   4.83384552e+00   
263     3.85217555e-04   6.17117150e+00   
264     3.87217555e-04   7.70434042e+00   
265     3.89217555e-04   9.40177189e+00   
266     3.91217555e-04   1.12278910e+01   
267     3.92584860e-04   1.25416601e+01   
268     3.93952165e-04   1.38915305e+01   
269     3.95319469e-04   1.52658206e+01   
270     3.96686774e-04   1.66525712e+01   
271     3.98054079e-04   1.80396038e+01   
272     3.99421384e-04   1.94211701e+01   
273     4.00788689e-04   2.07833540e+01   
274     4.02155994e-04   2.21155052e+01   
275     4.03523299e-04   2.34073277e+01   
276     4.04890604e-04   2.46489646e+01   
277     4.06121178e-04   2.57172898e+01   
278     4.07351753e-04   2.67320885e+01   
279     4.08582327e-04   2.76877874e+01   
280     4.09812902e-04   2.85793752e+01   
281     4.11043476e-04   2.94024569e+01   
282     4.12274051e-04   3.01514247e+01   
283     4.13504625e-04   3.08236765e+01   
284     4.14735199e-04   3.14164535e+01   
285     4.15965774e-04   3.19277325e+01   
286     4.17196348e-04   3.23562722e+01   
287     4.18426923e-04   3.26980751e+01   
288     4.19657497e-04   3.29542461e+01   
289     4.20888072e-04   3.31250477e+01   
290     4.22118646e-04   3.32114929e+01   
291     4.23349220e-04   3.32153744e+01   
292     4.24579795e-04   3.31352230e+01   
293     4.25810369e-04   3.29751705e+01   
294     4.27040944e-04   3.27382151e+01   
295     4.28271518e-04   3.24279917e+01   
296     4.29502093e-04   3.20487795e+01   
297     4.30732667e-04   3.16015868e+01   
298     4.31963242e-04   3.10926589e+01   
299     4.33193816e-04   3.05269807e+01   
300     4.34424390e-04   2.99099582e+01   
301     4.35654965e-04   2.92474043e+01   
302     4.36885539e-04   2.85423900e+01   
303     4.38116114e-04   2.78020247e+01   
304     4.39346688e-04   2.70322438e+01   
305     4.40577263e-04   2.62391321e+01   
306     4.41807837e-04   2.54288939e+01   
307     4.43038411e-04   2.46059363e+01   
308     4.44268986e-04   2.37769246e+01   
309     4.45499560e-04   2.29476252e+01   
310     4.46730135e-04   2.21236796e+01   
311     4.47960709e-04   2.13105634e+01   
312     4.49191284e-04   2.05131771e+01   
313     4.50421858e-04   1.97366043e+01   
314     4.51652433e-04   1.89854594e+01   
315     4.52883007e-04   1.82640048e+01   
316     4.54113581e-04   1.75761076e+01   
317     4.55344156e-04   1.69263064e+01   
318     4.56574730e-04   1.63173657e+01   
319     4.57805305e-04   1.57520716e+01   
320     4.59035879e-04   1.52327171e+01   
321     4.60266454e-04   1.47610644e+01   
322     4.61497028e-04   1.43405748e+01   
323     4.62727602e-04   1.39714625e+01   
324     4.63958177e-04   1.36544150e+01   
325     4.65188751e-04   1.33895897e+01   
326     4.66419326e-04   1.31765901e+01   
327     4.67649900e-04   1.30173395e+01   
328     4.68880475e-04   1.29097768e+01   
329     4.70111049e-04   1.28526375e+01   
330     4.71341624e-04   1.28441940e+01   
331     4.72572198e-04   1.28822461e+01   
332     4.73802772e-04   1.29670335e+01   
333     4.75033347e-04   1.30948990e+01   
334     4.76263921e-04   1.32631217e+01   
335     4.77494496e-04   1.34686637e+01   
336     4.78725070e-04   1.37081766e+01   
337     4.79955645e-04   1.39803820e+01   
338     4.81186219e-04   1.42809366e+01   
339     4.82416793e-04   1.46063742e+01   
340     4.83647368e-04   1.49531009e+01   
341     4.84877942e-04   1.53174149e+01   
342     4.86108517e-04   1.56969341e+01   
343     4.87339091e-04   1.60875660e+01   
344     4.88569666e-04   1.64858619e+01   
345     4.89800240e-04   1.68884364e+01   
346     4.91030815e-04   1.72919946e+01   
347     4.92261389e-04   1.76936129e+01   
348     4.93491963e-04   1.80902189e+01   
349     4.94722538e-04   1.84790377e+01   
350     4.95953112e-04   1.88575121e+01   
351     4.97183687e-04   1.92233310e+01   
352     4.98414261e-04   1.95736168e+01   
353     4.99644836e-04   1.99067785e+01   
354     5.00875410e-04   2.02211442e+01   
355     5.02105984e-04   2.05153499e+01   
356     5.03336559e-04   2.07883630e+01   
357     5.04567133e-04   2.10378526e+01   
358     5.05797708e-04   2.12637986e+01   
359     5.07028282e-04   2.14657728e+01   
360     5.08258857e-04   2.16436689e+01   
361     5.09489431e-04   2.17977175e+01   
362     5.10720006e-04   2.19264638e+01   
363     5.11950580e-04   2.20311987e+01   
364     5.13181154e-04   2.21125954e+01   
365     5.14411729e-04   2.21715934e+01   
366     5.15642303e-04   2.22094030e+01   
367     5.16872878e-04   2.22255608e+01   
368     5.18103452e-04   2.22221568e+01   
369     5.19334027e-04   2.22006075e+01   
370     5.20564601e-04   2.21624910e+01   
371     5.21795175e-04   2.21095414e+01   
372     5.23025750e-04   2.20421953e+01   
373     5.24256324e-04   2.19627205e+01   
374     5.25486899e-04   2.18728112e+01   
375     5.26717473e-04   2.17741987e+01   
376     5.27948048e-04   2.16686373e+01   
377     5.29178622e-04   2.15572130e+01   
378     5.30409197e-04   2.14417970e+01   
379     5.31639771e-04   2.13239090e+01   
380     5.32870345e-04   2.12049918e+01   
381     5.34100920e-04   2.10863933e+01   
382     5.35331494e-04   2.09695129e+01   
383     5.36562069e-04   2.08554293e+01   
384     5.37792643e-04   2.07451540e+01   
385     5.39023218e-04   2.06395441e+01   
386     5.40253792e-04   2.05392849e+01   
387     5.41484366e-04   2.04457508e+01   
388     5.42714941e-04   2.03590881e+01   
389     5.43945515e-04   2.02796522e+01   
390     5.45176090e-04   2.02076170e+01   
391     5.46406664e-04   2.01429630e+01   
392     5.47432379e-04   2.00955496e+01   
393     5.48458093e-04   2.00535566e+01   
394     5.49483808e-04   2.00168554e+01   
395     5.50509522e-04   1.99852416e+01   
396     5.51535237e-04   1.99584324e+01   
397     5.51746355e-04   1.99535810e+01   
398     5.51957473e-04   1.99489309e+01   
399     5.52168591e-04   1.99444797e+01   
400     5.52379709e-04   1.99402248e+01   
401     5.52590828e-04   1.99361636e+01   
402     5.53013064e-04   1.99286259e+01   
403     5.53435300e-04   1.99218417e+01   
404     5.53857537e-04   1.99157902e+01   
405     5.54279773e-04   1.99104494e+01   
406     5.54702009e-04   1.99057965e+01   
407     5.55546482e-04   1.98984717e+01   
408     5.56390954e-04   1.98936215e+01   
409     5.57235427e-04   1.98910439e+01   
410     5.58079900e-04   1.98905280e+01   
411     5.58924372e-04   1.98918557e+01   
412     5.59684398e-04   1.98944578e+01   
413     5.60444423e-04   1.98982204e+01   
414     5.61204448e-04   1.99029820e+01   
415     5.61964474e-04   1.99085818e+01   
416     5.62724499e-04   1.99148603e+01   
417     5.63484525e-04   1.99216657e+01   
418     5.64244550e-04   1.99288442e+01   
419     5.65004575e-04   1.99362492e+01   
420     5.65764601e-04   1.99437401e+01   
421     5.66524626e-04   1.99511835e+01   
422     5.67284651e-04   1.99584442e+01   
423     5.68044677e-04   1.99654080e+01   
424     5.68804702e-04   1.99719662e+01   
425     5.69564728e-04   1.99780208e+01   
426     5.70324753e-04   1.99834857e+01   
427     5.71084778e-04   1.99882574e+01   
428     5.71844804e-04   1.99922816e+01   
429     5.72604829e-04   1.99955039e+01   
430     5.73364854e-04   1.99978839e+01   
