Index   TIME           V(IN)           V(OUT)           
140     1.22209771e-09   5.00000000e+00   3.12182777e-01   
141     1.22655977e-09   5.00000000e+00   3.12151899e-01   
142     1.23087616e-09   5.00000000e+00   3.12072320e-01   
143     1.23512085e-09   5.00000000e+00   3.11877979e-01   
144     1.23923949e-09   5.00000000e+00   3.11504494e-01   
145     1.24327507e-09   5.00000000e+00   3.10877545e-01   
146     1.24720775e-09   5.00000000e+00   3.09922077e-01   
147     1.25106221e-09   5.00000000e+00   3.08545605e-01   
148     1.25482702e-09   5.00000000e+00   3.06656205e-01   
149     1.25851229e-09   5.00000000e+00   3.04149384e-01   
150     1.26211481e-09   5.00000000e+00   3.00933526e-01   
151     1.26565772e-09   5.00000000e+00   2.96915430e-01   
152     1.26919025e-09   5.00000000e+00   2.91999554e-01   
153     1.27280678e-09   5.00000000e+00   2.86063589e-01   
154     1.27645135e-09   5.00000000e+00   2.79346366e-01   
155     1.27918477e-09   5.00000000e+00   2.74019714e-01   
156     1.28201407e-09   5.00000000e+00   2.68456623e-01   
157     1.28484337e-09   5.00000000e+00   2.63036930e-01   
158     1.28767267e-09   5.00000000e+00   2.57936134e-01   
159     1.28979465e-09   5.00000000e+00   2.54409308e-01   
160     1.29190549e-09   5.00000000e+00   2.51210962e-01   
161     1.29251785e-09   5.00000000e+00   2.50347585e-01   
162     1.29279355e-09   5.00000000e+00   2.49966830e-01   
163     1.29280301e-09   5.00000000e+00   2.49953501e-01   
164     1.29281248e-09   5.00000000e+00   2.49940178e-01   
165     1.29282194e-09   5.00000000e+00   2.49926860e-01   
166     1.29283141e-09   5.00000000e+00   2.49913548e-01   
167     1.29284087e-09   5.00000000e+00   2.49900241e-01   
168     1.29285034e-09   5.00000000e+00   2.49886941e-01   
169     1.29285980e-09   5.00000000e+00   2.49873646e-01   
170     1.29286927e-09   5.00000000e+00   2.49860356e-01   
171     1.29287873e-09   5.00000000e+00   2.49847073e-01   
172     1.29289767e-09   5.00000000e+00   2.49820523e-01   
173     1.29293553e-09   5.00000000e+00   2.49767492e-01   
174     1.29301125e-09   5.00000000e+00   2.49661707e-01   
175     1.29316270e-09   5.00000000e+00   2.49451256e-01   
176     1.29346559e-09   5.00000000e+00   2.49034915e-01   
177     1.29407138e-09   5.00000000e+00   2.48221121e-01   
178     1.29528295e-09   5.00000000e+00   2.46673985e-01   
179     1.29697816e-09   5.00000000e+00   2.44705389e-01   
180     1.29923642e-09   5.00000000e+00   2.42477444e-01   
181     1.30149467e-09   5.00000000e+00   2.40749143e-01   
182     1.30399180e-09   5.00000000e+00   2.39483094e-01   
183     1.30736973e-09   5.00000000e+00   2.38978289e-01   
184     1.31074766e-09   5.00000000e+00   2.40067203e-01   
185     1.31406728e-09   5.00000000e+00   2.42987022e-01   
186     1.31735723e-09   5.00000000e+00   2.48125049e-01   
187     1.32056597e-09   5.00000000e+00   2.55943529e-01   
188     1.32377470e-09   5.00000000e+00   2.67588679e-01   
189     1.32618125e-09   5.00000000e+00   2.79815717e-01   
190     1.32861535e-09   5.00000000e+00   2.96343483e-01   
191     1.33104945e-09   5.00000000e+00   3.18172699e-01   
192     1.33348354e-09   5.00000000e+00   3.46018313e-01   
193     1.33652697e-09   5.00000000e+00   3.89030019e-01   
194     1.33880954e-09   5.00000000e+00   4.26303663e-01   
195     1.34193318e-09   5.00000000e+00   4.82898797e-01   
196     1.34505682e-09   5.00000000e+00   5.44815607e-01   
197     1.34899327e-09   5.00000000e+00   6.29187137e-01   
198     1.35292972e-09   5.00000000e+00   7.19725726e-01   
199     1.35686618e-09   5.00000000e+00   8.15681985e-01   
200     1.36080263e-09   5.00000000e+00   9.16425100e-01   
201     1.36473909e-09   5.00000000e+00   1.02138313e+00   
202     1.36867554e-09   5.00000000e+00   1.13001467e+00   
203     1.37239278e-09   5.00000000e+00   1.23552206e+00   
204     1.37613103e-09   5.00000000e+00   1.34412512e+00   
205     1.37963970e-09   5.00000000e+00   1.44835440e+00   
206     1.38227120e-09   5.00000000e+00   1.52852502e+00   
207     1.38424483e-09   5.00000000e+00   1.59052831e+00   
208     1.38572505e-09   5.00000000e+00   1.63873908e+00   
209     1.38715955e-09   5.00000000e+00   1.68749421e+00   
210     1.38859406e-09   5.00000000e+00   1.73876284e+00   
