Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
20    1.0000000000E+00    7.0000000000E-01    5.7737141300E-05    5.8222089990E-07
21    1.0500000000E+00    7.0000000000E-01    5.7745251600E-05    5.8236477450E-07
22    1.1000000000E+00    7.0000000000E-01    5.7753365100E-05    5.8250872230E-07
23    1.1500000000E+00    7.0000000000E-01    5.7761481800E-05    5.8265274340E-07
24    1.2000000000E+00    7.0000000000E-01    5.7769601800E-05    5.8279683800E-07
25    1.2500000000E+00    7.0000000000E-01    5.7777725100E-05    5.8294100600E-07
26    1.3000000000E+00    7.0000000000E-01    5.7785851600E-05    5.8308524760E-07
27    1.3500000000E+00    7.0000000000E-01    5.7793981400E-05    5.8322956270E-07
28    1.4000000000E+00    7.0000000000E-01    5.7802114500E-05    5.8337395140E-07
29    1.4500000000E+00    7.0000000000E-01    5.7810250800E-05    5.8351841390E-07
30    1.5000000000E+00    7.0000000000E-01    5.7818390400E-05    5.8366295010E-07
31    1.5500000000E+00    7.0000000000E-01    5.7826533300E-05    5.8380756020E-07
32    1.6000000000E+00    7.0000000000E-01    5.7834679500E-05    5.8395224410E-07
33    1.6500000000E+00    7.0000000000E-01    5.7842829000E-05    5.8409700200E-07
34    1.7000000000E+00    7.0000000000E-01    5.7850981700E-05    5.8424183380E-07
35    1.7500000000E+00    7.0000000000E-01    5.7859137800E-05    5.8438673980E-07
36    1.8000000000E+00    7.0000000000E-01    5.7867297100E-05    5.8453171980E-07
37    1.8500000000E+00    7.0000000000E-01    5.7875459800E-05    5.8467677410E-07
38    1.9000000000E+00    7.0000000000E-01    5.7883625700E-05    5.8482190250E-07
39    1.9500000000E+00    7.0000000000E-01    5.7891795000E-05    5.8496710530E-07
40    2.0000000000E+00    7.0000000000E-01    5.7899967600E-05    5.8511238240E-07
0    0.0000000000E+00    7.5000000000E-01    -8.8065944000E-08    4.0136384000E-06
1    5.0000000000E-02    7.5000000000E-01    3.3183899220E-04    3.9416707000E-06
2    1.0000000000E-01    7.5000000000E-01    3.8200473360E-04    3.9367791000E-06
3    1.5000000000E-01    7.5000000000E-01    3.8958444010E-04    3.9412838000E-06
4    2.0000000000E-01    7.5000000000E-01    3.9095096780E-04    3.9470786000E-06
5    2.5000000000E-01    7.5000000000E-01    3.9141620740E-04    3.9530622000E-06
6    3.0000000000E-01    7.5000000000E-01    3.9175129410E-04    3.9590866000E-06
7    3.5000000000E-01    7.5000000000E-01    3.9206810350E-04    3.9651321000E-06
8    4.0000000000E-01    7.5000000000E-01    3.9238287120E-04    3.9711962000E-06
9    4.5000000000E-01    7.5000000000E-01    3.9269795590E-04    3.9772785000E-06
10    5.0000000000E-01    7.5000000000E-01    3.9301370270E-04    3.9833791000E-06
11    5.5000000000E-01    7.5000000000E-01    3.9333016410E-04    3.9894981000E-06
12    6.0000000000E-01    7.5000000000E-01    3.9364735040E-04    3.9956356000E-06
13    6.5000000000E-01    7.5000000000E-01    3.9396526560E-04    4.0017916000E-06
14    7.0000000000E-01    7.5000000000E-01    3.9428391280E-04    4.0079663000E-06
15    7.5000000000E-01    7.5000000000E-01    3.9460329500E-04    4.0141598000E-06
16    8.0000000000E-01    7.5000000000E-01    3.9492341520E-04    4.0203720000E-06
17    8.5000000000E-01    7.5000000000E-01    3.9524427650E-04    4.0266032000E-06
18    9.0000000000E-01    7.5000000000E-01    3.9556588180E-04    4.0328534000E-06
19    9.5000000000E-01    7.5000000000E-01    3.9588823430E-04    4.0391227000E-06
20    1.0000000000E+00    7.5000000000E-01    3.9621133690E-04    4.0454111000E-06
21    1.0500000000E+00    7.5000000000E-01    3.9653519290E-04    4.0517189000E-06
22    1.1000000000E+00    7.5000000000E-01    3.9685980520E-04    4.0580460000E-06
23    1.1500000000E+00    7.5000000000E-01    3.9718517690E-04    4.0643926000E-06
24    1.2000000000E+00    7.5000000000E-01    3.9751131130E-04    4.0707587000E-06
25    1.2500000000E+00    7.5000000000E-01    3.9783821150E-04    4.0771445000E-06
26    1.3000000000E+00    7.5000000000E-01    3.9816588060E-04    4.0835500000E-06
