Index       TIME              V(IN)          V(AWL1_OUT)       V(LPF1_OUT)       V(LIM1_OUT)       V(AWL2_OUT)       V(LPF2_OUT)       V(LIM2_OUT)   
62       2.11316829e+00    8.55933020e-01    5.01246244e-01    7.46558096e-01    5.00000000e-01    5.00845223e-01    5.16690330e-01    5.00000000e-01
63       2.14754700e+00    8.37644460e-01    5.01204124e-01    7.49945666e-01    5.00000000e-01    5.00816656e-01    5.22316157e-01    5.00000000e-01
64       2.21630443e+00    7.98117400e-01    5.01124083e-01    7.54461472e-01    5.00000000e-01    5.00762371e-01    5.32305581e-01    5.00000000e-01
65       2.28506186e+00    7.54814834e-01    5.01049363e-01    7.55924169e-01    5.00000000e-01    5.00711695e-01    5.40557658e-01    5.00000000e-01
66       2.35381928e+00    7.07941606e-01    5.00979609e-01    7.54292546e-01    5.00000000e-01    5.00664387e-01    5.47006964e-01    5.00000000e-01
67       2.42257671e+00    6.57719449e-01    5.00914492e-01    7.49542309e-01    5.00000000e-01    5.00620224e-01    5.51597495e-01    5.00000000e-01
68       2.49133413e+00    6.04385941e-01    5.00853704e-01    7.41666044e-01    5.00000000e-01    5.00578996e-01    5.54282902e-01    5.00000000e-01
69       2.56009156e+00    5.48193377e-01    5.00796956e-01    7.30673112e-01    5.00000000e-01    5.00540509e-01    5.55026681e-01    5.00000000e-01
70       2.62884898e+00    4.89407576e-01    5.00391930e-01    7.16589473e-01    5.00000000e-01    5.00334107e-01    5.53802317e-01    5.00000000e-01
71       2.69760641e+00    4.28306625e-01    4.97631019e-01    6.99457436e-01    5.00000000e-01    4.98932277e-01    5.50593382e-01    5.00000000e-01
72       2.76636383e+00    3.65179564e-01    4.90924777e-01    6.79335348e-01    5.00000000e-01    4.95478513e-01    5.45393588e-01    5.00000000e-01
73       2.83512126e+00    3.00325015e-01    4.80410704e-01    6.56297211e-01    5.00000000e-01    4.89978732e-01    5.38206791e-01    5.00000000e-01
74       2.90387868e+00    2.34049774e-01    4.66237282e-01    6.30432227e-01    5.00000000e-01    4.82448886e-01    5.29046945e-01    5.00000000e-01
75       2.97263611e+00    1.66667358e-01    4.48563740e-01    6.01844286e-01    5.00000000e-01    4.72914868e-01    5.17938017e-01    5.00000000e-01
