Index        TIME            I(VMON)           V(3)
256     2.58671617e-05   -1.44630341e-01  1.44630341e-01   
257     2.60074363e-05   -1.39007366e-01  1.39007366e-01   
258     2.61477109e-05   -1.33603004e-01  1.33603004e-01   
259     2.62879855e-05   -1.28408753e-01  1.28408753e-01   
260     2.64282601e-05   -1.23416446e-01  1.23416446e-01   
261     2.65685347e-05   -1.18618230e-01  1.18618230e-01   
262     2.67088093e-05   -1.14006561e-01  1.14006561e-01   
263     2.68490838e-05   -1.09574186e-01  1.09574186e-01   
264     2.69893584e-05   -1.05314134e-01  1.05314134e-01   
265     2.71296330e-05   -1.01219705e-01  1.01219705e-01   
266     2.72699076e-05   -9.72844598e-02  9.72844598e-02   
267     2.74101822e-05   -9.35022105e-02  9.35022105e-02   
268     2.75504568e-05   -8.98670084e-02  8.98670084e-02   
269     2.76907314e-05   -8.63731365e-02  8.63731365e-02   
270     2.78310060e-05   -8.30151003e-02  8.30151003e-02   
271     2.79712805e-05   -7.97876186e-02  7.97876186e-02   
272     2.81115551e-05   -7.66856158e-02  7.66856158e-02   
273     2.82518297e-05   -7.37042134e-02  7.37042134e-02   
274     2.83921043e-05   -7.08387227e-02  7.08387227e-02   
275     2.85323789e-05   -6.80846373e-02  6.80846373e-02   
276     2.86726535e-05   -6.54376259e-02  6.54376259e-02   
277     2.88129281e-05   -6.28935256e-02  6.28935256e-02   
278     2.89532027e-05   -6.04483355e-02  6.04483355e-02   
279     2.90934772e-05   -5.80982102e-02  5.80982102e-02   
280     2.92337518e-05   -5.58394535e-02  5.58394535e-02   
281     2.93740264e-05   -5.36685134e-02  5.36685134e-02   
282     2.95143010e-05   -5.15819756e-02  5.15819756e-02   
283     2.96545756e-05   -4.95765588e-02  4.95765588e-02   
284     2.97948502e-05   -4.76491091e-02  4.76491091e-02   
285     2.99351248e-05   -4.57965952e-02  4.57965952e-02   
286     3.00753994e-05   -4.40161038e-02  4.40161038e-02   
287     3.02156739e-05   -4.23048348e-02  4.23048348e-02   
288     3.03559485e-05   -4.06600969e-02  4.06600969e-02   
289     3.04962231e-05   -3.90793036e-02  3.90793036e-02   
290     3.06364977e-05   -3.75599687e-02  3.75599687e-02   
291     3.07767723e-05   -3.60997030e-02  3.60997030e-02   
292     3.09170469e-05   -3.46962098e-02  3.46962098e-02   
293     3.10573215e-05   -3.33472819e-02  3.33472819e-02   
294     3.11975961e-05   -3.20507980e-02  3.20507980e-02   
295     3.13378706e-05   -3.08047191e-02  3.08047191e-02   
296     3.14781452e-05   -2.96070856e-02  2.96070856e-02   
297     3.16184198e-05   -2.84560140e-02  2.84560140e-02   
298     3.17586944e-05   -2.73496940e-02  2.73496940e-02   
299     3.18989690e-05   -2.62863859e-02  2.62863859e-02   
300     3.20392436e-05   -2.52644172e-02  2.52644172e-02   
301     3.21795182e-05   -2.42821809e-02  2.42821809e-02   
302     3.23197928e-05   -2.33381323e-02  2.33381323e-02   
303     3.24600673e-05   -2.24307866e-02  2.24307866e-02   
304     3.26003419e-05   -2.15587169e-02  2.15587169e-02   
305     3.27406165e-05   -2.07205518e-02  2.07205518e-02   
306     3.28808911e-05   -1.99149730e-02  1.99149730e-02   
307     3.30211657e-05   -1.91407138e-02  1.91407138e-02   
308     3.31614403e-05   -1.83965563e-02  1.83965563e-02   
309     3.33017149e-05   -1.76813305e-02  1.76813305e-02   
310     3.34419895e-05   -1.69939113e-02  1.69939113e-02   
311     3.35822640e-05   -1.63332178e-02  1.63332178e-02   
312     3.37225386e-05   -1.56982109e-02  1.56982109e-02   
313     3.38628132e-05   -1.50878920e-02  1.50878920e-02   
314     3.40030878e-05   -1.45013012e-02  1.45013012e-02   
315     3.41433624e-05   -1.39375160e-02  1.39375160e-02   
316     3.42836370e-05   -1.33956498e-02  1.33956498e-02   
317     3.44239116e-05   -1.28748504e-02  1.28748504e-02   
318     3.45641862e-05   -1.23742988e-02  1.23742988e-02   
319     3.47044607e-05   -1.18932077e-02  1.18932077e-02   
320     3.48447353e-05   -1.14308206e-02  1.14308206e-02   
321     3.49850099e-05   -1.09864104e-02  1.09864104e-02   
