Index       TIME             V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
31       7.07547982e-01    8.30660986e-01    1.50000000e+00    3.40928992e-03    9.95604876e-06
32       7.13303333e-01    8.34977500e-01    1.50000000e+00    3.90252451e-03    1.19344141e-05
33       7.19058685e-01    8.39294014e-01    1.50000000e+00    4.45368730e-03    1.43419294e-05
34       7.24814036e-01    8.43610527e-01    1.50000000e+00    5.06644217e-03    1.72776288e-05
35       7.30569388e-01    8.47927041e-01    1.50000000e+00    5.74409301e-03    2.08639649e-05
36       7.36324740e-01    8.52243555e-01    1.50000000e+00    6.48949285e-03    2.52522464e-05
37       7.42080091e-01    8.56560068e-01    1.50000000e+00    7.30496190e-03    3.06292482e-05
38       7.47835443e-01    8.60876582e-01    1.50000000e+00    8.19221599e-03    3.72251897e-05
39       7.53590794e-01    8.65193096e-01    1.50000000e+00    9.15230544e-03    4.53232780e-05
40       7.59346146e-01    8.69509609e-01    1.50000000e+00    1.01855631e-02    5.52709834e-05
41       7.65101497e-01    8.73826123e-01    1.50000000e+00    1.12915590e-02    6.74931490e-05
42       7.70856849e-01    8.78142637e-01    1.50000000e+00    1.24690600e-02    8.25069119e-05
43       7.76612201e-01    8.82459151e-01    1.50000000e+00    1.37159907e-02    1.00938207e-04
44       7.82367552e-01    8.86775664e-01    1.50000000e+00    1.50293969e-02    1.23539318e-04
45       7.88122904e-01    8.91092178e-01    1.50000000e+00    1.64054111e-02    1.51206505e-04
46       7.93878255e-01    8.95408692e-01    1.50000000e+00    1.78392245e-02    1.84996209e-04
47       7.99633607e-01    8.99725205e-01    1.50000000e+00    1.93250722e-02    2.26137707e-04
48       8.11144310e-01    9.08358233e-01    1.50000000e+00    2.24251122e-02    3.36286181e-04
49       8.22655013e-01    9.16991260e-01    1.50000000e+00    2.56415578e-02    4.94925760e-04
50       8.34165717e-01    9.25624287e-01    1.50000000e+00    2.89002495e-02    7.17288916e-04
51       8.57187123e-01    9.42890342e-01    1.50000000e+00    3.52441217e-02    1.41336531e-03
52       8.80208529e-01    9.60156397e-01    1.50000000e+00    4.09747271e-02    2.51499968e-03
53       9.00927795e-01    9.75695846e-01    1.50000000e+00    4.54378034e-02    3.87311773e-03
54       9.21647061e-01    9.91235296e-01    1.50000000e+00    4.92602980e-02    5.55592580e-03
55       9.42366327e-01    1.00677474e+00    1.50000000e+00    5.25313615e-02    7.52451910e-03
56       9.63085592e-01    1.02231419e+00    1.50000000e+00    5.53517438e-02    9.73762012e-03
57       9.83804858e-01    1.03785364e+00    1.50000000e+00    5.78106319e-02    1.21576530e-02
58       1.00000000e+00    1.05000000e+00    1.50000000e+00    5.95281865e-02    1.41724325e-02
End of Xyce(TM) Parameter Sweep
