Index      V(COLL)           V(BASE)          I(V_COLL)         I(V_BASE)    
2        1.00000000e-01    7.50000000e-01    1.93959260e-04    9.24839655e-07
3        1.50000000e-01    7.50000000e-01    1.97911400e-04    6.93936215e-07
4        2.00000000e-01    7.50000000e-01    1.98631009e-04    6.34836565e-07
5        2.50000000e-01    7.50000000e-01    1.98865999e-04    6.19446203e-07
6        3.00000000e-01    7.50000000e-01    1.99022943e-04    6.15412899e-07
7        3.50000000e-01    7.50000000e-01    1.99163620e-04    6.14470013e-07
8        4.00000000e-01    7.50000000e-01    1.99298356e-04    6.14425135e-07
9        4.50000000e-01    7.50000000e-01    1.99429472e-04    6.14662463e-07
10       5.00000000e-01    7.50000000e-01    1.99557862e-04    6.14996333e-07
11       5.50000000e-01    7.50000000e-01    1.99684056e-04    6.15366283e-07
12       6.00000000e-01    7.50000000e-01    1.99808435e-04    6.15751034e-07
13       6.50000000e-01    7.50000000e-01    1.99931284e-04    6.16142503e-07
14       7.00000000e-01    7.50000000e-01    2.00052831e-04    6.16537370e-07
15       7.50000000e-01    7.50000000e-01    2.00173254e-04    6.16934286e-07
16       8.00000000e-01    7.50000000e-01    2.00292907e-04    6.17138488e-07
17       8.50000000e-01    7.50000000e-01    2.00411709e-04    6.17338815e-07
18       9.00000000e-01    7.50000000e-01    2.00529922e-04    6.17382713e-07
19       9.50000000e-01    7.50000000e-01    2.00647729e-04    6.17177865e-07
20       1.00000000e+00    7.50000000e-01    2.00765339e-04    6.16594650e-07
21       1.05000000e+00    7.50000000e-01    2.00883002e-04    6.15457089e-07
22       1.10000000e+00    7.50000000e-01    2.01001018e-04    6.13532929e-07
23       1.15000000e+00    7.50000000e-01    2.01119753e-04    6.10522555e-07
24       1.20000000e+00    7.50000000e-01    2.01239654e-04    6.06046101e-07
25       1.25000000e+00    7.50000000e-01    2.01361266e-04    5.99627606e-07
26       1.30000000e+00    7.50000000e-01    2.01485255e-04    5.90674542e-07
27       1.35000000e+00    7.50000000e-01    2.01612441e-04    5.78450509e-07
28       1.40000000e+00    7.50000000e-01    2.01743833e-04    5.62038780e-07
29       1.45000000e+00    7.50000000e-01    2.01880686e-04    5.40294939e-07
30       1.50000000e+00    7.50000000e-01    2.02024557e-04    5.11788630e-07
31       1.55000000e+00    7.50000000e-01    2.02177384e-04    4.74737539e-07
32       1.60000000e+00    7.50000000e-01    2.02341553e-04    4.26940688e-07
33       1.65000000e+00    7.50000000e-01    2.02519961e-04    3.65721508e-07
34       1.70000000e+00    7.50000000e-01    2.02716052e-04    2.87891622e-07
35       1.75000000e+00    7.50000000e-01    2.02933833e-04    1.89742181e-07
36       1.80000000e+00    7.50000000e-01    2.03177850e-04    6.70611858e-08
37       1.85000000e+00    7.50000000e-01    2.03453158e-04   -8.48336625e-08
38       1.90000000e+00    7.50000000e-01    2.03765284e-04   -2.71061714e-07
39       1.95000000e+00    7.50000000e-01    2.04120207e-04   -4.97158363e-07
40       2.00000000e+00    7.50000000e-01    2.04524354e-04   -7.69071126e-07
0        0.00000000e+00    8.00000000e-01   -2.07126625e-05    2.99747683e-05
1        5.00000000e-02    8.00000000e-01    9.49197072e-04    1.06481086e-05
2        1.00000000e-01    8.00000000e-01    1.11599766e-03    5.20770637e-06
3        1.50000000e-01    8.00000000e-01    1.14508106e-03    3.67951496e-06
4        2.00000000e-01    8.00000000e-01    1.15250273e-03    3.27027394e-06
5        2.50000000e-01    8.00000000e-01    1.15631410e-03    3.16537059e-06
6        3.00000000e-01    8.00000000e-01    1.15937427e-03    3.14339496e-06
7        3.50000000e-01    8.00000000e-01    1.16219118e-03    3.14482132e-06
8        4.00000000e-01    8.00000000e-01    1.16488527e-03    3.15327698e-06
