Index       TIME            V(OUT25)          V(OUT50)     
242      3.40041587e-09    3.80305465e-06    1.49999298e+00
243      3.40259379e-09    3.79963243e-06    1.49999316e+00
244      3.40694964e-09    3.79340434e-06    1.49999352e+00
245      3.41130548e-09    3.78876708e-06    1.49999385e+00
246      3.41566133e-09    3.78610072e-06    1.49999415e+00
247      3.42001718e-09    3.77910866e-06    1.49999444e+00
248      3.42437303e-09    3.77224258e-06    1.49999471e+00
249      3.42872887e-09    3.76718907e-06    1.49999496e+00
250      3.43308472e-09    3.77147827e-06    1.49999520e+00
251      3.43744057e-09    3.75524283e-06    1.49999542e+00
252      3.43815087e-09    3.74617322e-06    1.49999546e+00
253      3.43886117e-09    3.73295886e-06    1.49999549e+00
254      3.44028178e-09    3.70858710e-06    1.49999556e+00
255      3.44170238e-09    3.70962030e-06    1.49999563e+00
256      3.44312298e-09    3.73111451e-06    1.49999569e+00
257      3.44596419e-09    3.78130469e-06    1.49999582e+00
258      3.45164660e-09    3.80818308e-06    1.49999605e+00
259      3.45732901e-09    3.77487171e-06    1.49999627e+00
260      3.46244319e-09    3.73479631e-06    1.49999646e+00
261      3.46755736e-09    3.69781361e-06    1.49999663e+00
262      3.47267153e-09    3.72743815e-06    1.49999679e+00
263      3.47778570e-09    3.67685159e-06    1.49999693e+00
264      3.48289987e-09    3.60177650e-06    1.49999707e+00
265      3.48801404e-09    3.59593351e-06    1.49999720e+00
266      3.49312822e-09    3.74260337e-06    1.49999732e+00
267      3.49389235e-09    3.59556684e-06    1.49999734e+00
268      3.49542062e-09    3.16610784e-06    1.49999737e+00
269      3.49694888e-09    2.53251929e-06    1.49999741e+00
270      3.49847715e-09    2.29204934e-06    1.49999744e+00
271      3.50000542e-09    2.53977316e-06    1.49999747e+00
272      3.50306195e-09    3.55963027e-06    1.49999753e+00
273      3.50611848e-09    4.51354061e-06    1.49999759e+00
274      3.51223155e-09    5.22430030e-06    1.49999771e+00
275      3.51834462e-09    5.75088152e-06    1.49999781e+00
276      3.52330217e-09    4.98033083e-06    1.49999789e+00
277      3.52825972e-09    5.29222873e-06    1.49999796e+00
278      3.53321727e-09    5.44669635e-06    1.49999803e+00
279      3.53817482e-09    3.12017296e-06    1.49999809e+00
280      3.54313237e-09    1.15017244e-07    1.49999815e+00
281      3.54808992e-09    3.45706654e-06    1.49999821e+00
282      3.55304747e-09   -1.40644465e-05    1.49999826e+00
283      3.55729780e-09   -4.27623085e-05    1.49999831e+00
284      3.56070701e-09   -2.89422544e-05    1.49999834e+00
285      3.56411622e-09   -7.90052523e-06    1.49999837e+00
286      3.57093463e-09    3.49985156e-05    1.49999843e+00
287      3.57656844e-09    7.52651699e-05    1.49999847e+00
288      3.58163887e-09    1.01788506e-04    1.49999851e+00
289      3.58670930e-09    1.59595859e-04    1.49999854e+00
290      3.59127269e-09    1.81265304e-04    1.49999857e+00
291      3.59583607e-09    1.65071437e-04    1.49999860e+00
292      3.60039946e-09    1.02404680e-04    1.49999863e+00
293      3.60496284e-09    1.48937612e-04    1.49999865e+00
294      3.60952623e-09   -2.59108353e-04    1.49999867e+00
295      3.61357703e-09   -1.24883251e-03    1.49999869e+00
296      3.61686157e-09   -1.57747096e-03    1.49999871e+00
297      3.62014611e-09   -1.61002407e-03    1.49999872e+00
298      3.62671519e-09   -1.07064391e-03    1.49999875e+00
299      3.63262737e-09    5.16831995e-04    1.49999877e+00
300      3.63779599e-09    2.43603633e-03    1.49999879e+00
301      3.64296462e-09    5.82196196e-03    1.49999881e+00
302      3.64813324e-09    9.92353024e-03    1.49999882e+00
303      3.65330186e-09    1.36073273e-02    1.49999884e+00
304      3.65847049e-09    1.64709739e-02    1.49999885e+00
305      3.66363911e-09    1.99754367e-02    1.49999887e+00
306      3.66439488e-09    1.91615313e-02    1.49999887e+00
307      3.66590641e-09    1.53442538e-02    1.49999887e+00
308      3.66741795e-09    6.69411873e-03    1.49999888e+00
309      3.66892948e-09   -3.65412850e-03    1.49999888e+00
310      3.67044102e-09   -1.40669064e-02    1.49999888e+00
311      3.67346409e-09   -3.41689302e-02    1.49999889e+00
312      3.67648716e-09   -5.32163309e-02    1.49999890e+00
313      3.68253330e-09   -8.51285690e-02    1.49999891e+00
314      3.68857944e-09   -8.05759767e-02    1.49999892e+00
315      3.69349557e-09   -4.15436888e-02    1.49999893e+00
316      3.69841170e-09    5.72396242e-02    1.49999894e+00
317      3.70332784e-09    2.36002832e-01    1.49999894e+00
318      3.70775236e-09    4.37044402e-01    1.49999895e+00
319      3.71217688e-09    6.41484839e-01    1.49999896e+00
320      3.71660140e-09    8.57923455e-01    1.49999896e+00
321      3.72102592e-09    1.06808021e+00    1.49999897e+00
322      3.72174425e-09    1.09557309e+00    1.49999897e+00
323      3.72246258e-09    1.12278529e+00    1.49999897e+00
324      3.72389925e-09    1.17587880e+00    1.49999897e+00
325      3.72533591e-09    1.22053358e+00    1.49999897e+00
326      3.72677258e-09    1.25562205e+00    1.49999897e+00
327      3.72964591e-09    1.30735773e+00    1.49999898e+00
328      3.73251924e-09    1.34324522e+00    1.49999898e+00
329      3.73826590e-09    1.39051521e+00    1.49999899e+00
330      3.74401257e-09    1.42472102e+00    1.49999899e+00
331      3.74865049e-09    1.44253974e+00    1.49999899e+00
332      3.75328840e-09    1.45493182e+00    1.49999900e+00
333      3.75792632e-09    1.46278968e+00    1.49999900e+00
334      3.76210045e-09    1.46810542e+00    1.49999901e+00
335      3.76627458e-09    1.47270097e+00    1.49999901e+00
336      3.77044871e-09    1.47640322e+00    1.49999901e+00
337      3.77462283e-09    1.47988445e+00    1.49999901e+00
338      3.77879696e-09    1.48284709e+00    1.49999902e+00
339      3.77950080e-09    1.48333335e+00    1.49999902e+00
340      3.78020464e-09    1.48389767e+00    1.49999902e+00
341      3.78161233e-09    1.48499151e+00    1.49999902e+00
342      3.78302001e-09    1.48587102e+00    1.49999902e+00
343      3.78442770e-09    1.48655143e+00    1.49999902e+00
344      3.78724307e-09    1.48751829e+00    1.49999902e+00
345      3.79287381e-09    1.48873367e+00    1.49999902e+00
346      3.79850455e-09    1.48990015e+00    1.49999903e+00
347      3.80357222e-09    1.49099270e+00    1.49999903e+00
348      3.80863988e-09    1.49200971e+00    1.49999903e+00
349      3.81370755e-09    1.49298246e+00    1.49999903e+00
350      3.81826845e-09    1.49383901e+00    1.49999904e+00
351      3.82282935e-09    1.49468803e+00    1.49999904e+00
352      3.82739025e-09    1.49545618e+00    1.49999904e+00
353      3.83195114e-09    1.49615687e+00    1.49999904e+00
354      3.83651204e-09    1.49675777e+00    1.49999904e+00
355      3.84060433e-09    1.49723845e+00    1.49999904e+00
356      3.84388256e-09    1.49752710e+00    1.49999905e+00
357      3.84716079e-09    1.49778410e+00    1.49999905e+00
358      3.85371725e-09    1.49825587e+00    1.49999905e+00
359      3.85961807e-09    1.49862705e+00    1.49999905e+00
360      3.86472942e-09    1.49888400e+00    1.49999905e+00
361      3.86984077e-09    1.49909561e+00    1.49999905e+00
362      3.87495212e-09    1.49926781e+00    1.49999905e+00
363      3.88006346e-09    1.49940834e+00    1.49999906e+00
364      3.88517481e-09    1.49951837e+00    1.49999906e+00
365      3.89028616e-09    1.49960582e+00    1.49999906e+00
366      3.89106600e-09    1.49961699e+00    1.49999906e+00
367      3.89262568e-09    1.49963876e+00    1.49999906e+00
368      3.89418536e-09    1.49965962e+00    1.49999906e+00
369      3.89574504e-09    1.49967875e+00    1.49999906e+00
370      3.89730473e-09    1.49969586e+00    1.49999906e+00
371      3.89886441e-09    1.49971160e+00    1.49999906e+00
372      3.90198377e-09    1.49974064e+00    1.49999906e+00
373      3.90822249e-09    1.49979171e+00    1.49999906e+00
374      3.90929337e-09    1.49979957e+00    1.49999906e+00
375      3.91036425e-09    1.49980734e+00    1.49999906e+00
376      3.91250601e-09    1.49982180e+00    1.49999906e+00
377      3.91678953e-09    1.49984690e+00    1.49999906e+00
378      3.92107305e-09    1.49986792e+00    1.49999906e+00
379      3.92535657e-09    1.49988574e+00    1.49999907e+00
380      3.92964009e-09    1.49990083e+00    1.49999907e+00
381      3.93392361e-09    1.49991386e+00    1.49999907e+00
382      3.93820712e-09    1.49992494e+00    1.49999907e+00
383      3.94249064e-09    1.49993442e+00    1.49999907e+00
384      3.94677416e-09    1.49994265e+00    1.49999907e+00
385      3.95105768e-09    1.49994976e+00    1.49999907e+00
386      3.95457415e-09    1.49995492e+00    1.49999907e+00
387      3.95773897e-09    1.49995901e+00    1.49999907e+00
388      3.96090379e-09    1.49996279e+00    1.49999907e+00
389      3.96723343e-09    1.49996939e+00    1.49999907e+00
390      3.97293011e-09    1.49997420e+00    1.49999907e+00
391      3.97791932e-09    1.49997759e+00    1.49999907e+00
392      3.98290853e-09    1.49998044e+00    1.49999908e+00
393      3.98789774e-09    1.49998284e+00    1.49999908e+00
394      3.99288694e-09    1.49998486e+00    1.49999908e+00
395      3.99787615e-09    1.49998654e+00    1.49999908e+00
396      4.00286536e-09    1.49998796e+00    1.49999908e+00
397      4.00785457e-09    1.49998914e+00    1.49999908e+00
398      4.01183382e-09    1.49998995e+00    1.49999908e+00
399      4.01529774e-09    1.49999056e+00    1.49999908e+00
400      4.01876166e-09    1.49999111e+00    1.49999908e+00
401      4.02568950e-09    1.49999203e+00    1.49999908e+00
402      4.03123907e-09    1.49999260e+00    1.49999908e+00
403      4.03678864e-09    1.49999308e+00    1.49999908e+00
404      4.04233820e-09    1.49999348e+00    1.49999908e+00
405      4.04733281e-09    1.49999378e+00    1.49999908e+00
406      4.05232742e-09    1.49999404e+00    1.49999909e+00
407      4.05732203e-09    1.49999426e+00    1.49999909e+00
408      4.06231664e-09    1.49999446e+00    1.49999909e+00
409      4.06303490e-09    1.49999448e+00    1.49999909e+00
410      4.06375317e-09    1.49999451e+00    1.49999909e+00
411      4.06518969e-09    1.49999455e+00    1.49999909e+00
412      4.06662622e-09    1.49999460e+00    1.49999909e+00
413      4.06806275e-09    1.49999464e+00    1.49999909e+00
414      4.07093580e-09    1.49999473e+00    1.49999909e+00
415      4.07668190e-09    1.49999488e+00    1.49999909e+00
416      4.08242801e-09    1.49999501e+00    1.49999909e+00
417      4.08759950e-09    1.49999511e+00    1.49999909e+00
418      4.09277100e-09    1.49999520e+00    1.49999909e+00
419      4.09794249e-09    1.49999528e+00    1.49999909e+00
420      4.10259684e-09    1.49999534e+00    1.49999909e+00
421      4.10725118e-09    1.49999540e+00    1.49999909e+00
422      4.11190553e-09    1.49999546e+00    1.49999909e+00
423      4.11655987e-09    1.49999551e+00    1.49999910e+00
424      4.12121422e-09    1.49999556e+00    1.49999909e+00
425      4.12504658e-09    1.49999560e+00    1.49999909e+00
426      4.12839397e-09    1.49999563e+00    1.49999911e+00
427      4.13174136e-09    1.49999566e+00    1.49999911e+00
428      4.13843615e-09    1.49999571e+00    1.49999910e+00
429      4.14433189e-09    1.49999576e+00    1.49999909e+00
430      4.14963806e-09    1.49999579e+00    1.49999908e+00
431      4.15494423e-09    1.49999583e+00    1.49999910e+00
432      4.15971978e-09    1.49999586e+00    1.49999908e+00
433      4.16449533e-09    1.49999589e+00    1.49999908e+00
434      4.16927088e-09    1.49999592e+00    1.49999909e+00
435      4.17404643e-09    1.49999595e+00    1.49999913e+00
436      4.17484160e-09    1.49999595e+00    1.49999910e+00
437      4.17643193e-09    1.49999596e+00    1.49999900e+00
438      4.17802226e-09    1.49999597e+00    1.49999885e+00
439      4.17961259e-09    1.49999598e+00    1.49999877e+00
440      4.18120292e-09    1.49999599e+00    1.49999887e+00
441      4.18279325e-09    1.49999600e+00    1.49999905e+00
442      4.18597392e-09    1.49999602e+00    1.49999936e+00
443      4.19233524e-09    1.49999605e+00    1.49999947e+00
444      4.19341476e-09    1.49999606e+00    1.49999947e+00
445      4.19449428e-09    1.49999606e+00    1.49999950e+00
446      4.19665331e-09    1.49999607e+00    1.49999947e+00
447      4.20097138e-09    1.49999610e+00    1.49999926e+00
448      4.20528944e-09    1.49999612e+00    1.49999911e+00
449      4.20960751e-09    1.49999614e+00    1.49999919e+00
450      4.21392558e-09    1.49999616e+00    1.49999925e+00
451      4.21824364e-09    1.49999618e+00    1.49999869e+00
452      4.22256171e-09    1.49999620e+00    1.49999833e+00
453      4.22687977e-09    1.49999622e+00    1.49999862e+00
454      4.23119784e-09    1.49999624e+00    1.49999899e+00
455      4.23551591e-09    1.49999626e+00    1.49999257e+00
456      4.23895440e-09    1.49999627e+00    1.49999019e+00
457      4.24239290e-09    1.49999629e+00    1.49999649e+00
458      4.24583139e-09    1.49999630e+00    1.50000270e+00
459      4.25270838e-09    1.49999633e+00    1.50001008e+00
460      4.25841927e-09    1.49999635e+00    1.50001425e+00
461      4.26355906e-09    1.49999637e+00    1.50001397e+00
462      4.26869886e-09    1.49999639e+00    1.50002221e+00
463      4.27332467e-09    1.49999641e+00    1.50001710e+00
464      4.27795049e-09    1.49999643e+00    1.50000556e+00
465      4.28257630e-09    1.49999645e+00    1.49999020e+00
466      4.28720212e-09    1.49999646e+00    1.50000517e+00
467      4.29182793e-09    1.49999648e+00    1.49986775e+00
468      4.29559523e-09    1.49999649e+00    1.49968908e+00
469      4.29894626e-09    1.49999650e+00    1.49970935e+00
470      4.30229729e-09    1.49999652e+00    1.49979757e+00
471      4.30899934e-09    1.49999654e+00    1.50004287e+00
472      4.31493302e-09    1.49999656e+00    1.50039516e+00
473      4.32025509e-09    1.49999658e+00    1.50069915e+00
474      4.32557716e-09    1.49999659e+00    1.50127777e+00
475      4.33036702e-09    1.49999661e+00    1.50165227e+00
476      4.33515689e-09    1.49999662e+00    1.50180489e+00
477      4.33994675e-09    1.49999664e+00    1.50174683e+00
478      4.34473661e-09    1.49999665e+00    1.50205635e+00
