FREQ,VR(B),VI(B),VP(B),VM(B),R1:R,R2:R,C1:C,VR(B),VI(B),VM(B),VP(B),d_VR(B)/d_R1:R_dir,d_VI(B)/d_R1:R_dir,d_VM(B)/d_R1:R_dir,d_VP(B)/d_R1:R_dir,d_VR(B)/d_C1:C_dir,d_VI(B)/d_C1:C_dir,d_VM(B)/d_C1:C_dir,d_VP(B)/d_C1:C_dir,d_VR(B)/d_R1:R_adj,d_VI(B)/d_R1:R_adj,d_VM(B)/d_R1:R_adj,d_VP(B)/d_R1:R_adj,d_VR(B)/d_C1:C_adj,d_VI(B)/d_C1:C_adj,d_VM(B)/d_C1:C_adj,d_VP(B)/d_C1:C_adj
1.00000000e+06,9.93707275e-01,7.90767124e-02,7.94101302e-02,9.96848672e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,9.93707275e-01,7.90767124e-02,9.96848672e-01,7.94101302e-02,-6.25312645e-03,3.90407482e-02,-3.13644720e-03,3.95383562e-02,-1.25062529e+04,7.80814964e+04,-6.27289439e+03,7.90767124e+04,-6.25312645e-03,3.90407482e-02,-3.13644720e-03,3.95383562e-02,-1.25062529e+04,7.80814964e+04,-6.27289439e+03,7.90767124e+04
1.00000000e+02,3.94768591e-05,6.28293727e-03,1.56451322e+00,6.28306129e-03,1.00000000e+00,1.00000000e+00,5.00000000e-06,3.94768591e-05,6.28293727e-03,6.28306129e-03,1.56451322e+00,-3.94753007e-05,-3.14122060e-03,-3.14140663e-03,3.14146863e-03,-1.57901203e+01,-1.25648824e+03,-1.25656265e+03,1.25658745e+03,-3.94753007e-05,-3.14122060e-03,-3.14140663e-03,3.14146863e-03,-1.57901203e+01,-1.25648824e+03,-1.25656265e+03,1.25658745e+03
1.58489319e+02,9.91554687e-05,9.95719021e-03,1.56083848e+00,9.95768390e-03,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.91554687e-05,9.95719021e-03,9.95768390e-03,1.56083848e+00,-9.91456369e-05,-4.97760780e-03,-4.97834827e-03,4.97859511e-03,-3.96582548e+01,-1.99104312e+03,-1.99133931e+03,1.99143804e+03,-9.91456369e-05,-4.97760780e-03,-4.97834827e-03,4.97859511e-03,-3.96582548e+01,-1.99104312e+03,-1.99133931e+03,1.99143804e+03
2.51188643e+02,2.49029944e-04,1.57787176e-02,1.55501499e+00,1.57806826e-02,1.00000000e+00,1.00000000e+00,5.00000000e-06,2.49029944e-04,1.57787176e-02,1.57806826e-02,1.55501499e+00,-2.48967928e-04,-7.88542941e-03,-7.88837638e-03,7.88935878e-03,-9.95871712e+01,-3.15417176e+03,-3.15535055e+03,3.15574351e+03,-2.48967928e-04,-7.88542941e-03,-7.88837638e-03,7.88935878e-03,-9.95871712e+01,-3.15417176e+03,-3.15535055e+03,3.15574351e+03
3.98107171e+02,6.25299509e-04,2.49981701e-02,1.54578773e+00,2.50059895e-02,1.00000000e+00,1.00000000e+00,5.00000000e-06,6.25299509e-04,2.49981701e-02,2.50059895e-02,1.54578773e+00,-6.24908510e-04,-1.24834537e-02,-1.24951766e-02,1.24990851e-02,-2.49963404e+02,-4.99338149e+03,-4.99807065e+03,4.99963402e+03,-6.24908510e-04,-1.24834537e-02,-1.24951766e-02,1.24990851e-02,-2.49963404e+02,-4.99338149e+03,-4.99807065e+03,4.99963402e+03
6.30957344e+02,1.56919786e-03,3.95820095e-02,1.53117286e+00,3.96131021e-02,1.00000000e+00,1.00000000e+00,5.00000000e-06,1.56919786e-03,3.95820095e-02,3.96131021e-02,1.53117286e+00,-1.56673548e-03,-1.97288928e-02,-1.97754707e-02,1.97910048e-02,-6.26694192e+02,-7.89155711e+03,-7.91018827e+03,7.91640191e+03,-1.56673548e-03,-1.97288928e-02,-1.97754707e-02,1.97910048e-02,-6.26694192e+02,-7.89155711e+03,-7.91018827e+03,7.91640191e+03
1.00000000e+03,3.93231759e-03,6.25847783e-02,1.50804696e+00,6.27081940e-02,1.00000000e+00,1.00000000e+00,5.00000000e-06,3.93231759e-03,6.25847783e-02,6.27081940e-02,1.50804696e+00,-3.91685447e-03,-3.10462859e-02,-3.12308027e-02,3.12923891e-02,-1.56674179e+03,-1.24185144e+04,-1.24923211e+04,1.25169557e+04,-3.91685447e-03,-3.10462859e-02,-3.12308027e-02,3.12923891e-02,-1.56674179e+03,-1.24185144e+04,-1.24923211e+04,1.25169557e+04
1.58489319e+03,9.81915817e-03,9.86039670e-02,1.47154177e+00,9.90916655e-02,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.81915817e-03,9.86039670e-02,9.90916655e-02,1.47154177e+00,-9.72274231e-03,-4.83337755e-02,-4.90593344e-02,4.93019835e-02,-3.88909692e+03,-1.93335102e+04,-1.96237338e+04,1.97207934e+04,-9.72274231e-03,-4.83337755e-02,-4.90593344e-02,4.93019835e-02,-3.88909692e+03,-1.93335102e+04,-1.96237338e+04,1.97207934e+04
2.51188643e+03,2.43038092e-02,1.53990695e-01,1.41426105e+00,1.55896790e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,2.43038092e-02,1.53990695e-01,1.55896790e-01,1.41426105e+00,-2.37131340e-02,-7.32527868e-02,-7.60539521e-02,7.69953473e-02,-9.48525361e+03,-2.93011147e+04,-3.04215808e+04,3.07981389e+04,-2.37131340e-02,-7.32527868e-02,-7.60539521e-02,7.69953473e-02,-9.48525361e+03,-2.93011147e+04,-3.04215808e+04,3.07981389e+04
3.98107171e+03,5.88847133e-02,2.35408801e-01,1.32568768e+00,2.42661726e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,5.88847133e-02,2.35408801e-01,2.42661726e-01,1.32568768e+00,-5.54173038e-02,-1.03842421e-01,-1.14186330e-01,1.17704401e-01,-2.21669215e+04,-4.15369684e+04,-4.56745320e+04,4.70817603e+04,-5.54173038e-02,-1.03842421e-01,-1.14186330e-01,1.17704401e-01,-2.21669215e+04,-4.15369684e+04,-4.56745320e+04,4.70817603e+04
6.30957344e+03,1.35820060e-01,3.42597389e-01,1.19336078e+00,3.68537732e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,1.35820060e-01,3.42597389e-01,3.68537732e-01,1.19336078e+00,-1.17372971e-01,-1.24767097e-01,-1.59241458e-01,1.71298695e-01,-4.69491885e+04,-4.99068387e+04,-6.36965830e+04,6.85194779e+04,-1.17372971e-01,-1.24767097e-01,-1.59241458e-01,1.71298695e-01,-4.69491885e+04,-4.99068387e+04,-6.36965830e+04,6.85194779e+04
1.00000000e+04,2.83043200e-01,4.50477243e-01,1.00981421e+00,5.32018045e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,2.83043200e-01,4.50477243e-01,5.32018045e-01,1.00981421e+00,-2.02929747e-01,-9.77341013e-02,-1.90716977e-01,2.25238622e-01,-8.11718987e+04,-3.90936405e+04,-7.62867910e+04,9.00954487e+04,-2.02929747e-01,-9.77341013e-02,-1.90716977e-01,2.25238622e-01,-8.11718987e+04,-3.90936405e+04,-7.62867910e+04,9.00954487e+04
1.58489319e+04,4.97904508e-01,4.99995609e-01,7.87493661e-01,7.05623489e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,4.97904508e-01,4.99995609e-01,7.05623489e-01,7.87493661e-01,-2.49995609e-01,-1.04773666e-03,-1.77145186e-01,2.49997804e-01,-9.99982436e+04,-4.19094664e+02,-7.08580745e+04,9.99991218e+04,-2.49995609e-01,-1.04773666e-03,-1.77145186e-01,2.49997804e-01,-9.99982436e+04,-4.19094664e+02,-7.08580745e+04,9.99991218e+04
2.51188643e+04,7.13542542e-01,4.52105721e-01,5.64764862e-01,8.44714473e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,7.13542542e-01,4.52105721e-01,8.44714473e-01,5.64764862e-01,-2.04399583e-01,9.65438047e-02,-1.20987381e-01,2.26052860e-01,-8.17598332e+04,3.86175219e+04,-4.83949522e+04,9.04211442e+04,-2.04399583e-01,9.65438047e-02,-1.20987381e-01,2.26052860e-01,-8.17598332e+04,3.86175219e+04,-4.83949522e+04,9.04211442e+04
3.98107171e+04,8.62200256e-01,3.44689679e-01,3.80315968e-01,9.28547390e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,8.62200256e-01,3.44689679e-01,9.28547390e-01,3.80315968e-01,-1.18810975e-01,1.24846690e-01,-6.39767963e-02,1.72344839e-01,-4.75243898e+04,4.99386759e+04,-2.55907185e+04,6.89379357e+04,-1.18810975e-01,1.24846690e-01,-6.39767963e-02,1.72344839e-01,-4.75243898e+04,4.99386759e+04,-2.55907185e+04,6.89379357e+04
6.30957344e+04,9.40179370e-01,2.37154216e-01,2.47089156e-01,9.69628470e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.40179370e-01,2.37154216e-01,9.69628470e-01,2.47089156e-01,-5.62421220e-02,1.04390393e-01,-2.90018929e-02,1.18577108e-01,-2.24968488e+04,4.17561573e+04,-1.16007571e+04,4.74308431e+04,-5.62421220e-02,1.04390393e-01,-2.90018929e-02,1.18577108e-01,-2.24968488e+04,4.17561573e+04,-1.16007571e+04,4.74308431e+04
1.00000000e+05,9.75295477e-01,1.55223096e-01,1.57831190e-01,9.87570492e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.75295477e-01,1.55223096e-01,9.87570492e-01,1.57831190e-01,-2.40942096e-02,7.37768355e-02,-1.21987290e-02,7.76115481e-02,-9.63768383e+03,2.95107342e+04,-4.87949159e+03,3.10446192e+04,-2.40942096e-02,7.37768355e-02,-1.21987290e-02,7.76115481e-02,-9.63768383e+03,2.95107342e+04,-4.87949159e+03,3.10446192e+04
1.58489319e+05,9.90016503e-01,9.94174377e-02,1.00084457e-01,9.94995730e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.90016503e-01,9.94174377e-02,9.94995730e-01,1.00084457e-01,-9.88382691e-03,4.87161851e-02,-4.96676851e-03,4.97087188e-02,-3.95353077e+03,1.94864741e+04,-1.98670740e+03,1.98834875e+04,-9.88382691e-03,4.87161851e-02,-4.96676851e-03,4.97087188e-02,-3.95353077e+03,1.94864741e+04,-1.98670740e+03,1.98834875e+04
2.51188643e+05,9.96001471e-01,6.31073744e-02,6.32761388e-02,9.97998733e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.96001471e-01,6.31073744e-02,9.97998733e-01,6.32761388e-02,-3.98254070e-03,3.13013505e-02,-1.99526341e-03,3.15536872e-02,-1.59301628e+03,1.25205402e+04,-7.98105362e+02,1.26214749e+04,-3.98254070e-03,3.13013505e-02,-1.99526341e-03,3.15536872e-02,-1.59301628e+03,1.25205402e+04,-7.98105362e+02,1.26214749e+04
3.98107171e+05,9.98404317e-01,3.99141221e-02,3.99566366e-02,9.99201840e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.98404317e-01,3.99141221e-02,9.99201840e-01,3.99566366e-02,-1.59313714e-03,1.98933708e-02,-7.97204869e-04,1.99570611e-02,-6.37254858e+02,7.95734830e+03,-3.18881948e+02,7.98282442e+03,-1.59313714e-03,1.98933708e-02,-7.97204869e-04,1.99570611e-02,-6.37254858e+02,7.95734830e+03,-3.18881948e+02,7.98282442e+03
6.30957344e+05,9.99364136e-01,2.52083193e-02,2.52190108e-02,9.99682018e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.99364136e-01,2.52083193e-02,9.99682018e-01,2.52190108e-02,-6.35459364e-04,1.25881306e-02,-3.17830746e-04,1.26041597e-02,-2.54183745e+02,5.03525224e+03,-1.27132299e+02,5.04166387e+03,-6.35459364e-04,1.25881306e-02,-3.17830746e-04,1.26041597e-02,-2.54183745e+02,5.03525224e+03,-1.27132299e+02,5.04166387e+03
1.00000000e+06,9.99746761e-01,1.59114639e-02,1.59141507e-02,9.99873373e-01,1.00000000e+00,1.00000000e+00,5.00000000e-06,9.99746761e-01,1.59114639e-02,9.99873373e-01,1.59141507e-02,-2.53174683e-04,7.95170254e-03,-1.26603373e-04,7.95573194e-03,-1.01269873e+02,3.18068102e+03,-5.06413492e+01,3.18229278e+03,-2.53174683e-04,7.95170254e-03,-1.26603373e-04,7.95573194e-03,-1.01269873e+02,3.18068102e+03,-5.06413492e+01,3.18229278e+03
