Index        TIME        {V(2)+11000.0}     {V(3)+1.0}
135     2.28032684e-09   1.12198614e+03   1.18355533e+00   
136     2.29101247e-09   1.12294534e+03   1.18466893e+00   
137     2.30169810e-09   1.12390799e+03   1.18578478e+00   
138     2.31248147e-09   1.12488597e+03   1.18691510e+00   
139     2.32326484e-09   1.12586848e+03   1.18804837e+00   
140     2.33404821e-09   1.12685552e+03   1.18918460e+00   
141     2.34483158e-09   1.12784608e+03   1.19032312e+00   
142     2.35561495e-09   1.12884016e+03   1.19146394e+00   
143     2.36649830e-09   1.12985010e+03   1.19261967e+00   
144     2.37738166e-09   1.13086465e+03   1.19377841e+00   
145     2.38826502e-09   1.13188381e+03   1.19494016e+00   
146     2.39914838e-09   1.13290656e+03   1.19610424e+00   
147     2.41003174e-09   1.13393289e+03   1.19727066e+00   
148     2.42101736e-09   1.13497563e+03   1.19845245e+00   
149     2.43200299e-09   1.13602306e+03   1.19963731e+00   
150     2.44298862e-09   1.13707518e+03   1.20082522e+00   
151     2.45397425e-09   1.13813096e+03   1.20201552e+00   
152     2.46495988e-09   1.13919039e+03   1.20320819e+00   
153     2.47605009e-09   1.14026679e+03   1.20441671e+00   
154     2.48714030e-09   1.14134797e+03   1.20562835e+00   
155     2.49823051e-09   1.14243394e+03   1.20684311e+00   
156     2.50932072e-09   1.14352362e+03   1.20806029e+00   
157     2.52041093e-09   1.14461703e+03   1.20927989e+00   
158     2.53160807e-09   1.14572799e+03   1.21051583e+00   
159     2.54280521e-09   1.14684382e+03   1.21175495e+00   
160     2.55400235e-09   1.14796453e+03   1.21299724e+00   
161     2.56519949e-09   1.14908902e+03   1.21424200e+00   
162     2.57639663e-09   1.15021730e+03   1.21548922e+00   
163     2.58770307e-09   1.15136375e+03   1.21675329e+00   
164     2.59900952e-09   1.15251517e+03   1.21802059e+00   
165     2.61031596e-09   1.15367154e+03   1.21929112e+00   
166     2.62162241e-09   1.15483178e+03   1.22056417e+00   
167     2.63292885e-09   1.15599588e+03   1.22183973e+00   
168     2.64434702e-09   1.15717876e+03   1.22313265e+00   
169     2.65576518e-09   1.15836671e+03   1.22442887e+00   
170     2.66718334e-09   1.15955972e+03   1.22572838e+00   
171     2.67860151e-09   1.16075667e+03   1.22703045e+00   
172     2.69001967e-09   1.16195754e+03   1.22833509e+00   
173     2.70155200e-09   1.16317786e+03   1.22965761e+00   
174     2.71308432e-09   1.16440333e+03   1.23098349e+00   
175     2.72461665e-09   1.16563396e+03   1.23231273e+00   
176     2.73614898e-09   1.16686861e+03   1.23364459e+00   
177     2.74768130e-09   1.16810726e+03   1.23497905e+00   
178     2.75933027e-09   1.16936602e+03   1.23633195e+00   
179     2.77097924e-09   1.17063004e+03   1.23768828e+00   
180     2.78262821e-09   1.17189932e+03   1.23904803e+00   
181     2.79427718e-09   1.17317269e+03   1.24041044e+00   
182     2.80592614e-09   1.17445015e+03   1.24177551e+00   
183     2.81769427e-09   1.17574840e+03   1.24315958e+00   
184     2.82946239e-09   1.17705202e+03   1.24454715e+00   
185     2.84123052e-09   1.17836100e+03   1.24593820e+00   
186     2.85299864e-09   1.17967415e+03   1.24733197e+00   
187     2.86476676e-09   1.18099148e+03   1.24872846e+00   
188     2.87665659e-09   1.18233031e+03   1.25014452e+00   
189     2.88854642e-09   1.18367462e+03   1.25156414e+00   
190     2.90043625e-09   1.18502439e+03   1.25298732e+00   
191     2.91232607e-09   1.18637842e+03   1.25441328e+00   
192     2.92421590e-09   1.18773671e+03   1.25584200e+00   
193     2.93623002e-09   1.18911724e+03   1.25729089e+00   
194     2.94824414e-09   1.19050335e+03   1.25874341e+00   
195     2.96025825e-09   1.19189504e+03   1.26019957e+00   
196     2.97227237e-09   1.19329108e+03   1.26165855e+00   
197     2.98428649e-09   1.19469146e+03   1.26312036e+00   
198     2.99642751e-09   1.19611483e+03   1.26460295e+00   
199     3.00856854e-09   1.19754391e+03   1.26608925e+00   
200     3.02070956e-09   1.19897868e+03   1.26757925e+00   
201     3.03285059e-09   1.20041789e+03   1.26907213e+00   
202     3.04499162e-09   1.20186152e+03   1.27056790e+00   
203     3.05726221e-09   1.20332894e+03   1.27208508e+00   
204     3.06953280e-09   1.20480217e+03   1.27360604e+00   
205     3.08180340e-09   1.20628122e+03   1.27513078e+00   
206     3.09407399e-09   1.20776479e+03   1.27665847e+00   
207     3.10634459e-09   1.20925289e+03   1.27818909e+00   
208     3.11874744e-09   1.21076557e+03   1.27974178e+00   
209     3.13115030e-09   1.21228419e+03   1.28129832e+00   
210     3.14355316e-09   1.21380875e+03   1.28285873e+00   
211     3.15595601e-09   1.21533793e+03   1.28442214e+00   
212     3.16835887e-09   1.21687172e+03   1.28598854e+00   
213     3.18089673e-09   1.21843094e+03   1.28757768e+00   
214     3.19343458e-09   1.21999622e+03   1.28917076e+00   
215     3.20597243e-09   1.22156757e+03   1.29076777e+00   
216     3.21851029e-09   1.22314363e+03   1.29236786e+00   
217     3.23104814e-09   1.22472440e+03   1.29397100e+00   
218     3.24372377e-09   1.22633146e+03   1.29559756e+00   
219     3.25639939e-09   1.22794471e+03   1.29722814e+00   
220     3.26907502e-09   1.22956415e+03   1.29886274e+00   
221     3.28175065e-09   1.23118841e+03   1.30050048e+00   
222     3.29442627e-09   1.23281748e+03   1.30214134e+00   
223     3.30724248e-09   1.23447372e+03   1.30380632e+00   
224     3.32005869e-09   1.23613629e+03   1.30547540e+00   
225     3.33287490e-09   1.23780519e+03   1.30714860e+00   
226     3.34569111e-09   1.23947900e+03   1.30882499e+00   
227     3.35850732e-09   1.24115773e+03   1.31050458e+00   
228     3.37146698e-09   1.24286455e+03   1.31220900e+00   
229     3.38442663e-09   1.24457784e+03   1.31391763e+00   
230     3.39738628e-09   1.24629758e+03   1.31563045e+00   
231     3.41034593e-09   1.24802235e+03   1.31734654e+00   
232     3.42330558e-09   1.24975214e+03   1.31906588e+00   
233     3.43641157e-09   1.25151097e+03   1.32081082e+00   
234     3.44951756e-09   1.25327641e+03   1.32256004e+00   
235     3.46262355e-09   1.25504844e+03   1.32431355e+00   
236     3.47572954e-09   1.25682561e+03   1.32607039e+00   
237     3.48883552e-09   1.25860791e+03   1.32783057e+00   
238     3.50209079e-09   1.26042023e+03   1.32961710e+00   
239     3.51534606e-09   1.26223929e+03   1.33140801e+00   
240     3.52860133e-09   1.26406510e+03   1.33320330e+00   
241     3.54185659e-09   1.26589616e+03   1.33500200e+00   
242     3.55511186e-09   1.26773246e+03   1.33680410e+00   
243     3.56851939e-09   1.26959979e+03   1.33863335e+00   
244     3.58192692e-09   1.27147402e+03   1.34046708e+00   
245     3.59533445e-09   1.27335514e+03   1.34230528e+00   
246     3.60874198e-09   1.27524162e+03   1.34414696e+00   
247     3.62214951e-09   1.27713346e+03   1.34599212e+00   
248     3.63571234e-09   1.27905737e+03   1.34786523e+00   
249     3.64927516e-09   1.28098833e+03   1.34974293e+00   
250     3.66283799e-09   1.28292633e+03   1.35162519e+00   
251     3.67640081e-09   1.28486982e+03   1.35351102e+00   
252     3.68996364e-09   1.28681879e+03   1.35540039e+00   
253     3.70368483e-09   1.28880090e+03   1.35731857e+00   
254     3.71740603e-09   1.29079022e+03   1.35924142e+00   
255     3.73112723e-09   1.29278674e+03   1.36116894e+00   
256     3.74484842e-09   1.29478887e+03   1.36310010e+00   
257     3.75856962e-09   1.29679660e+03   1.36503490e+00   
258     3.77245231e-09   1.29883858e+03   1.36699934e+00   
259     3.78633500e-09   1.30088793e+03   1.36896858e+00   
260     3.80021769e-09   1.30294465e+03   1.37094258e+00   
261     3.81410039e-09   1.30500710e+03   1.37292031e+00   
262     3.82798308e-09   1.30707529e+03   1.37490175e+00   
263     3.84203044e-09   1.30917886e+03   1.37691373e+00   
264     3.85607781e-09   1.31128997e+03   1.37893060e+00   
265     3.87012517e-09   1.31340861e+03   1.38095236e+00   
266     3.88417253e-09   1.31553312e+03   1.38297791e+00   
267     3.89821990e-09   1.31766349e+03   1.38500727e+00   
