Index        TIME           V(VINP)
2.940000e+02  1.074493e-04  1.774596e-01
2.950000e+02  1.078029e-04  1.943619e-01
2.960000e+02  1.081566e-04  2.119829e-01
2.970000e+02  1.085102e-04  2.303139e-01
2.980000e+02  1.088638e-04  2.493458e-01
2.990000e+02  1.092175e-04  2.690691e-01
3.000000e+02  1.095711e-04  2.894742e-01
3.010000e+02  1.099247e-04  3.105510e-01
3.020000e+02  1.102784e-04  3.322891e-01
3.030000e+02  1.106320e-04  3.546777e-01
3.040000e+02  1.109857e-04  3.777058e-01
3.050000e+02  1.113393e-04  4.013620e-01
3.060000e+02  1.116929e-04  4.256347e-01
3.070000e+02  1.120466e-04  4.505119e-01
3.080000e+02  1.124002e-04  4.759812e-01
3.090000e+02  1.127538e-04  5.020301e-01
3.100000e+02  1.131075e-04  5.286458e-01
3.110000e+02  1.134611e-04  5.558151e-01
3.120000e+02  1.138148e-04  5.835246e-01
3.130000e+02  1.141684e-04  6.117606e-01
3.140000e+02  1.145220e-04  6.405091e-01
3.150000e+02  1.148757e-04  6.697560e-01
3.160000e+02  1.152293e-04  6.994869e-01
3.170000e+02  1.155829e-04  7.296871e-01
3.180000e+02  1.159366e-04  7.603416e-01
3.190000e+02  1.162902e-04  7.914354e-01
3.200000e+02  1.166439e-04  8.229529e-01
3.210000e+02  1.169975e-04  8.548788e-01
3.220000e+02  1.173511e-04  8.871973e-01
3.230000e+02  1.177048e-04  9.198923e-01
3.240000e+02  1.180584e-04  9.529478e-01
3.250000e+02  1.184120e-04  9.863474e-01
3.260000e+02  1.187657e-04  1.020075e+00
3.270000e+02  1.191193e-04  1.054113e+00
3.280000e+02  1.194730e-04  1.088445e+00
3.290000e+02  1.198266e-04  1.123055e+00
3.300000e+02  1.201802e-04  1.157925e+00
3.310000e+02  1.205339e-04  1.193038e+00
3.320000e+02  1.208875e-04  1.228376e+00
3.330000e+02  1.212411e-04  1.263923e+00
3.340000e+02  1.215948e-04  1.299660e+00
3.350000e+02  1.219484e-04  1.335570e+00
3.360000e+02  1.223021e-04  1.371635e+00
3.370000e+02  1.226557e-04  1.407838e+00
3.380000e+02  1.230093e-04  1.444160e+00
3.390000e+02  1.233630e-04  1.480584e+00
3.400000e+02  1.237166e-04  1.517092e+00
3.410000e+02  1.240702e-04  1.553665e+00
3.420000e+02  1.244239e-04  1.590286e+00
3.430000e+02  1.247775e-04  1.626936e+00
3.440000e+02  1.251312e-04  1.663597e+00
3.450000e+02  1.254848e-04  1.700252e+00
3.460000e+02  1.258384e-04  1.736882e+00
3.470000e+02  1.261921e-04  1.773469e+00
3.480000e+02  1.265457e-04  1.809996e+00
3.490000e+02  1.268993e-04  1.846443e+00
3.500000e+02  1.272530e-04  1.882793e+00
3.510000e+02  1.276066e-04  1.919029e+00
3.520000e+02  1.279603e-04  1.955131e+00
3.530000e+02  1.283139e-04  1.991083e+00
3.540000e+02  1.286675e-04  2.026866e+00
