Index        TIME            I(VMON)         I(VMONA)
72      5.00000000e+00   1.00000000e+00   1.00000000e+00   
73      5.00050000e+00   1.02000000e+00   1.02000000e+00   
74      5.00150000e+00   1.06000000e+00   1.06000000e+00   
75      5.00350000e+00   1.14000000e+00   1.14000000e+00   
76      5.00750000e+00   1.30000000e+00   1.30000000e+00   
77      5.01550000e+00   1.62000000e+00   1.62000000e+00   
78      5.03150000e+00   2.26000000e+00   2.26000000e+00   
79      5.06350000e+00   3.54000000e+00   3.54000000e+00   
80      5.10000000e+00   5.00000000e+00   5.00000000e+00   
81      5.10250000e+00   5.00000000e+00   5.00000000e+00   
82      5.10750000e+00   5.00000000e+00   5.00000000e+00   
83      5.11750000e+00   5.00000000e+00   5.00000000e+00   
84      5.13750000e+00   5.00000000e+00   5.00000000e+00   
85      5.17750000e+00   5.00000000e+00   5.00000000e+00   
86      5.25750000e+00   5.00000000e+00   5.00000000e+00   
87      5.41750000e+00   5.00000000e+00   5.00000000e+00   
88      5.60000000e+00   5.00000000e+00   5.00000000e+00   
89      5.60200000e+00   4.98000000e+00   4.98000000e+00   
90      5.60600000e+00   4.94000000e+00   4.94000000e+00   
91      5.61400000e+00   4.86000000e+00   4.86000000e+00   
92      5.63000000e+00   4.70000000e+00   4.70000000e+00   
93      5.66200000e+00   4.38000000e+00   4.38000000e+00   
94      5.72600000e+00   3.74000000e+00   3.74000000e+00   
95      5.85400000e+00   2.46000000e+00   2.46000000e+00   
96      6.00000000e+00   1.00000000e+00   1.00000000e+00   
97      6.00500000e+00   1.00000000e+00   1.00000000e+00   
98      6.01500000e+00   1.00000000e+00   1.00000000e+00   
99      6.03500000e+00   1.00000000e+00   1.00000000e+00   
100     6.07500000e+00   1.00000000e+00   1.00000000e+00   
101     6.15500000e+00   1.00000000e+00   1.00000000e+00   
102     6.31500000e+00   1.00000000e+00   1.00000000e+00   
103     6.63500000e+00   1.00000000e+00   1.00000000e+00   
104     7.00000000e+00   1.00000000e+00   1.00000000e+00   
End of Xyce(TM) Simulation
