Index      TIME           V(1)           V(11)           V(22)           V(33)           V(44)
143     2.53903435e-01   2.54455402e-02   2.01667868e-02   -2.01585241e-02  1.96975982e-02   -1.97019464e-02  
144     2.54678669e-01   2.35474411e-02   1.86624540e-02   -1.86548077e-02  1.82282643e-02   -1.82322882e-02  
145     2.55453902e-01   2.17909299e-02   1.72703363e-02   -1.72632603e-02  1.68685348e-02   -1.68722586e-02  
146     2.56229135e-01   2.01654448e-02   1.59820630e-02   -1.59755149e-02  1.56102337e-02   -1.56136797e-02  
147     2.57004369e-01   1.86612122e-02   1.47898879e-02   -1.47838282e-02  1.44457950e-02   -1.44489840e-02  
148     2.57779602e-01   1.72691871e-02   1.36866426e-02   -1.36810349e-02  1.33682172e-02   -1.33711683e-02  
149     2.58554835e-01   1.59809995e-02   1.26656934e-02   -1.26605040e-02  1.23710208e-02   -1.23737517e-02  
150     2.59330069e-01   1.47889038e-02   1.17209015e-02   -1.17160992e-02  1.14482098e-02   -1.14507370e-02  
151     2.60105302e-01   1.36857318e-02   1.08465859e-02   -1.08421418e-02  1.05942356e-02   -1.05965743e-02  
152     2.60880535e-01   1.26648506e-02   1.00374895e-02   -1.00333769e-02  9.80396312e-03   -9.80612736e-03  
153     2.61655769e-01   1.17201215e-02   9.28874727e-03   -9.28494149e-03  9.07264071e-03   -9.07464352e-03  
154     2.63206235e-01   1.00368214e-02   7.95465307e-03   -7.95139390e-03  7.76958476e-03   -7.77129990e-03  
155     2.64756702e-01   8.59528503e-03   6.81216770e-03   -6.80937663e-03  6.65367979e-03   -6.65514860e-03  
156     2.66307169e-01   7.36078904e-03   5.83377156e-03   -5.83138135e-03  5.69804644e-03   -5.69930429e-03  
157     2.67857635e-01   6.30359727e-03   4.99589735e-03   -4.99385044e-03  4.87966573e-03   -4.88074292e-03  
158     2.69408102e-01   5.39824445e-03   4.27836265e-03   -4.27660973e-03  4.17882477e-03   -4.17974725e-03  
159     2.70958569e-01   4.62292273e-03   3.66388372e-03   -3.66238256e-03  3.57864195e-03   -3.57943194e-03  
160     2.72509035e-01   3.95895643e-03   3.13765920e-03   -3.13637364e-03  3.06466026e-03   -3.06533678e-03  
161     2.74059502e-01   3.39035215e-03   2.68701356e-03   -2.68591264e-03  2.62449908e-03   -2.62507844e-03  
162     2.75609969e-01   2.90341354e-03   2.30109181e-03   -2.30014901e-03  2.24755595e-03   -2.24805210e-03  
163     2.77160435e-01   2.48641139e-03   1.97059798e-03   -1.96979059e-03  1.92475120e-03   -1.92517609e-03  
164     2.78710902e-01   2.12930108e-03   1.68757127e-03   -1.68687984e-03  1.64830922e-03   -1.64867309e-03  
165     2.80261369e-01   1.82348066e-03   1.44519420e-03   -1.44460208e-03  1.41157116e-03   -1.41188276e-03  
166     2.81811835e-01   1.56158364e-03   1.23762849e-03   -1.23712141e-03  1.20883455e-03   -1.20910140e-03  
167     2.84912769e-01   1.14523183e-03   9.07650168e-04   -9.07278288e-04  8.86533308e-04   -8.86729009e-04  
168     2.88013702e-01   8.39888405e-04   6.65651121e-04   -6.65378393e-04  6.50164471e-04   -6.50307994e-04  
169     2.91114635e-01   6.15956101e-04   4.88174223e-04   -4.87974210e-04  4.76816646e-04   -4.76921903e-04  
170     2.94215569e-01   4.51728964e-04   3.58016481e-04   -3.57869795e-04  3.49687078e-04   -3.49764271e-04  
171     2.97316502e-01   3.31288311e-04   2.62561591e-04   -2.62454015e-04  2.56452986e-04   -2.56509598e-04  
172     3.00000000e-01   2.53316388e-04   2.00765165e-04   -2.00682908e-04  1.96094280e-04   -1.96137568e-04  
End of Xyce(TM) Simulation
