Index       TIME              V(3)              V(1)       
114      8.12419135e-08    4.27575626e+00    1.51035049e+00
115      8.19656956e-08    4.15111564e+00    1.53441755e+00
116      8.26894777e-08    4.04839141e+00    1.53929216e+00
117      8.34132597e-08    3.99161016e+00    1.52398345e+00
118      8.41370418e-08    3.99496068e+00    1.49160325e+00
119      8.48608239e-08    4.05815879e+00    1.44873355e+00
120      8.55846060e-08    4.16614184e+00    1.40408856e+00
121      8.63083881e-08    4.29350181e+00    1.36674337e+00
122      8.70321702e-08    4.41216419e+00    1.34428920e+00
123      8.77559523e-08    4.49909597e+00    1.34129036e+00
124      8.84797344e-08    4.54052296e+00    1.35835644e+00
125      8.92035165e-08    4.53145510e+00    1.39201837e+00
126      8.99272986e-08    4.47351503e+00    1.43543362e+00
127      9.06510807e-08    4.37500939e+00    1.47977710e+00
128      9.13748628e-08    4.25245387e+00    1.51603500e+00
129      9.20986449e-08    4.12981114e+00    1.53683711e+00
130      9.28224270e-08    4.03392811e+00    1.53795494e+00
131      9.35462090e-08    3.98751608e+00    1.51916127e+00
132      9.42699911e-08    4.00234309e+00    1.48427632e+00
133      9.49937732e-08    4.07528815e+00    1.44039124e+00
134      9.57175553e-08    4.18892810e+00    1.39642663e+00
135      9.64413374e-08    4.31673777e+00    1.36131926e+00
136      9.71651195e-08    4.43105217e+00    1.34220550e+00
137      9.78889016e-08    4.51036839e+00    1.34297062e+00
138      9.86126837e-08    4.54267540e+00    1.36345911e+00
139      9.93364658e-08    4.52433014e+00    1.39950622e+00
140      1.00000000e-07    4.46510919e+00    1.44000000e+00
End of Xyce(TM) Simulation
