Index       TIME              V(1)             V(4,5)            {V(6)}      
68       2.88568115e-01    9.70781344e-01    1.61796891e-01    1.61796891e-01
69       2.95279002e-01    9.59803134e-01    1.59967189e-01    1.59967189e-01
70       3.01989888e-01    9.47118695e-01    1.57853116e-01    1.57853116e-01
71       3.08700774e-01    9.32750575e-01    1.55458429e-01    1.55458429e-01
72       3.15411661e-01    9.16724318e-01    1.52787386e-01    1.52787386e-01
73       3.22122547e-01    8.99068412e-01    1.49844735e-01    1.49844735e-01
74       3.28833434e-01    8.79814244e-01    1.46635707e-01    1.46635707e-01
75       3.35544320e-01    8.58996043e-01    1.43166007e-01    1.43166007e-01
76       3.42255206e-01    8.36650816e-01    1.39441803e-01    1.39441803e-01
77       3.48966093e-01    8.12818286e-01    1.35469714e-01    1.35469714e-01
78       3.55676979e-01    7.87540820e-01    1.31256803e-01    1.31256803e-01
79       3.62387866e-01    7.60863353e-01    1.26810559e-01    1.26810559e-01
80       3.69098752e-01    7.32833310e-01    1.22138885e-01    1.22138885e-01
81       3.75809638e-01    7.03500519e-01    1.17250087e-01    1.17250087e-01
82       3.82520525e-01    6.72917125e-01    1.12152854e-01    1.12152854e-01
83       3.89231411e-01    6.41137495e-01    1.06856249e-01    1.06856249e-01
84       3.95942298e-01    6.08218123e-01    1.01369687e-01    1.01369687e-01
85       4.02653184e-01    5.74217531e-01    9.57029218e-02    9.57029218e-02
86       4.09364070e-01    5.39196160e-01    8.98660266e-02    8.98660266e-02
87       4.16074957e-01    5.03216267e-01    8.38693778e-02    8.38693778e-02
88       4.22785843e-01    4.66341813e-01    7.77236355e-02    7.77236355e-02
89       4.29496730e-01    4.28638350e-01    7.14397249e-02    7.14397249e-02
90       4.36207616e-01    3.90172902e-01    6.50288169e-02    6.50288169e-02
91       4.42918502e-01    3.51013849e-01    5.85023081e-02    5.85023081e-02
92       4.49629389e-01    3.11230803e-01    5.18718005e-02    5.18718005e-02
93       4.56340275e-01    2.70894487e-01    4.51490812e-02    4.51490812e-02
94       4.63051162e-01    2.30076605e-01    3.83461009e-02    3.83461009e-02
95       4.69762048e-01    1.88849719e-01    3.14749532e-02    3.14749532e-02
96       4.76472934e-01    1.47287118e-01    2.45478530e-02    2.45478530e-02
97       4.83183821e-01    1.05462686e-01    1.75771144e-02    1.75771144e-02
98       4.89894707e-01    6.34507751e-02    1.05751292e-02    1.05751292e-02
99       5.03316480e-01   -2.08365497e-02   -3.47275829e-03   -3.47275829e-03
100      5.11670341e-01   -7.32612209e-02   -1.22102035e-02   -1.22102035e-02
101      5.20024202e-01   -1.25484098e-01   -2.09140163e-02   -2.09140163e-02
102      5.28378063e-01   -1.77361336e-01   -2.95602226e-02   -2.95602226e-02
103      5.36731924e-01   -2.28750041e-01   -3.81250068e-02   -3.81250068e-02
104      5.45085785e-01   -2.79508666e-01   -4.65847776e-02   -4.65847776e-02
105      5.53439646e-01   -3.29497399e-01   -5.49162331e-02   -5.49162331e-02
106      5.61793507e-01   -3.78578549e-01   -6.30964248e-02   -6.30964248e-02
107      5.70147368e-01   -4.26616924e-01   -7.11028206e-02   -7.11028206e-02
108      5.78501229e-01   -4.73480205e-01   -7.89133675e-02   -7.89133675e-02
109      5.86855090e-01   -5.19039310e-01   -8.65065516e-02   -8.65065516e-02
110      5.95208951e-01   -5.63168748e-01   -9.38614579e-02   -9.38614579e-02
111      6.03562812e-01   -6.05746967e-01   -1.00957828e-01   -1.00957828e-01
112      6.11916673e-01   -6.46656688e-01   -1.07776115e-01   -1.07776115e-01
113      6.20270534e-01   -6.85785227e-01   -1.14297538e-01   -1.14297538e-01
114      6.28624395e-01   -7.23024807e-01   -1.20504134e-01   -1.20504134e-01
115      6.36978256e-01   -7.58272852e-01   -1.26378809e-01   -1.26378809e-01
116      6.45332117e-01   -7.91432275e-01   -1.31905379e-01   -1.31905379e-01
117      6.53685978e-01   -8.22411739e-01   -1.37068623e-01   -1.37068623e-01
118      6.62039839e-01   -8.51125914e-01   -1.41854319e-01   -1.41854319e-01
119      6.70393700e-01   -8.77495706e-01   -1.46249284e-01   -1.46249284e-01
120      6.78747561e-01   -9.01448482e-01   -1.50241414e-01   -1.50241414e-01
121      6.87101422e-01   -9.22918266e-01   -1.53819711e-01   -1.53819711e-01
122      6.95455283e-01   -9.41845920e-01   -1.56974320e-01   -1.56974320e-01
123      7.03809144e-01   -9.58179309e-01   -1.59696551e-01   -1.59696551e-01
124      7.12163005e-01   -9.71873443e-01   -1.61978907e-01   -1.61978907e-01
125      7.20516866e-01   -9.82890602e-01   -1.63815100e-01   -1.63815100e-01
126      7.28870727e-01   -9.91200441e-01   -1.65200074e-01   -1.65200074e-01
127      7.37224588e-01   -9.96780070e-01   -1.66130012e-01   -1.66130012e-01
128      7.45578449e-01   -9.99614121e-01   -1.66602353e-01   -1.66602353e-01
129      7.53932310e-01   -9.99694787e-01   -1.66615798e-01   -1.66615798e-01
130      7.62286171e-01   -9.97021846e-01   -1.66170308e-01   -1.66170308e-01
131      7.70640031e-01   -9.91602661e-01   -1.65267110e-01   -1.65267110e-01
132      7.78993892e-01   -9.83452158e-01   -1.63908693e-01   -1.63908693e-01
133      7.87347753e-01   -9.72592788e-01   -1.62098798e-01   -1.62098798e-01
134      7.95701614e-01   -9.59054462e-01   -1.59842410e-01   -1.59842410e-01
135      8.04055475e-01   -9.42874470e-01   -1.57145745e-01   -1.57145745e-01
136      8.12409336e-01   -9.24097381e-01   -1.54016230e-01   -1.54016230e-01
137      8.20763197e-01   -9.02774913e-01   -1.50462486e-01   -1.50462486e-01
138      8.29117058e-01   -8.78965799e-01   -1.46494300e-01   -1.46494300e-01
139      8.37470919e-01   -8.52735620e-01   -1.42122603e-01   -1.42122603e-01
140      8.45824780e-01   -8.24156626e-01   -1.37359438e-01   -1.37359438e-01
141      8.54178641e-01   -7.93307535e-01   -1.32217923e-01   -1.32217923e-01
142      8.62532502e-01   -7.60273321e-01   -1.26712220e-01   -1.26712220e-01
143      8.70886363e-01   -7.25144973e-01   -1.20857495e-01   -1.20857495e-01
144      8.79240224e-01   -6.88019251e-01   -1.14669875e-01   -1.14669875e-01
145      8.87594085e-01   -6.48998417e-01   -1.08166403e-01   -1.08166403e-01
146      8.95947946e-01   -6.08189950e-01   -1.01364992e-01   -1.01364992e-01
147      9.04301807e-01   -5.65706256e-01   -9.42843760e-02   -9.42843760e-02
148      9.12655668e-01   -5.21664354e-01   -8.69440590e-02   -8.69440590e-02
149      9.21009529e-01   -4.76185555e-01   -7.93642591e-02   -7.93642591e-02
150      9.29363390e-01   -4.29395127e-01   -7.15658545e-02   -7.15658545e-02
151      9.37717251e-01   -3.81421953e-01   -6.35703255e-02   -6.35703255e-02
152      9.46071112e-01   -3.32398173e-01   -5.53996954e-02   -5.53996954e-02
153      9.54424973e-01   -2.82458819e-01   -4.70764698e-02   -4.70764698e-02
154      9.62778834e-01   -2.31741447e-01   -3.86235744e-02   -3.86235744e-02
155      9.71132695e-01   -1.80385755e-01   -3.00642925e-02   -3.00642925e-02
156      9.79486556e-01   -1.28533200e-01   -2.14222000e-02   -2.14222000e-02
157      9.87840417e-01   -7.63266074e-02   -1.27211012e-02   -1.27211012e-02
158      9.96194278e-01   -2.39097770e-02   -3.98496283e-03   -3.98496283e-03
159      1.00000000e+00   -2.44929741e-16   -2.26437741e-16   -2.09090295e-16
End of Xyce(TM) Simulation
