Index   TIME           V(1)           V(2)           V(3)           V(4)           
91      2.99976832e+00   2.41673680e+01   6.48936984e+00   1.38322936e+00   8.12202526e-01   
92      2.99980789e+00   2.02105522e+01   6.48947747e+00   1.30557818e+00   8.12209729e-01   
93      2.99984746e+00   1.62537365e+01   6.48958509e+00   1.21095321e+00   8.12216931e-01   
94      2.99986972e+00   1.40280276e+01   6.48964563e+00   1.14699661e+00   8.12220983e-01   
95      2.99989198e+00   1.18023187e+01   6.48970617e+00   1.07196734e+00   8.12225034e-01   
96      2.99990867e+00   1.01330371e+01   6.48975158e+00   1.00573963e+00   8.12228073e-01   
97      2.99992536e+00   8.46375540e+00   6.48979698e+00   9.27563104e-01   8.12231111e-01   
98      2.99993475e+00   7.52478446e+00   6.48982252e+00   8.76494065e-01   8.12232820e-01   
99      2.99994414e+00   6.58581353e+00   6.48984806e+00   8.18609430e-01   8.12234530e-01   
100     2.99995353e+00   5.64684260e+00   6.48987360e+00   7.51805682e-01   8.12236239e-01   
101     2.99996292e+00   4.70787167e+00   6.48989914e+00   6.72824616e-01   8.12237948e-01   
102     2.99996820e+00   4.17970052e+00   6.48991351e+00   6.21145165e-01   8.12238909e-01   
103     2.99997348e+00   3.65152937e+00   6.48992788e+00   5.62474798e-01   8.12239871e-01   
104     2.99997745e+00   3.25540100e+00   6.48993865e+00   5.12604493e-01   8.12240592e-01   
105     2.99998141e+00   2.85927264e+00   6.48994943e+00   4.56255569e-01   8.12241313e-01   
106     2.99998438e+00   2.56217637e+00   6.48995751e+00   4.08609022e-01   8.12241853e-01   
107     2.99998735e+00   2.26508010e+00   6.48996559e+00   3.55083564e-01   8.12242394e-01   
108     2.99998958e+00   2.04225790e+00   6.48997165e+00   3.10110584e-01   8.12242800e-01   
109     2.99999181e+00   1.81943569e+00   6.48997771e+00   2.59936710e-01   8.12243205e-01   
110     2.99999306e+00   1.69409820e+00   6.48998112e+00   2.28938581e-01   8.12243433e-01   
111     2.99999431e+00   1.56876071e+00   6.48998453e+00   1.95556704e-01   8.12243662e-01   
