Index        TIME            V(OBJ)
141     2.14418920e-04   8.65591204e-01   
142     2.14582760e-04   8.64172625e-01   
143     2.14746600e-04   8.62756372e-01   
144     2.14910440e-04   8.61342439e-01   
145     2.15074280e-04   8.59930824e-01   
146     2.15238120e-04   8.58521523e-01   
147     2.15401960e-04   8.57114530e-01   
148     2.15565800e-04   8.55709844e-01   
149     2.15729640e-04   8.54307460e-01   
150     2.15893480e-04   8.52907374e-01   
151     2.16057320e-04   8.51509583e-01   
152     2.16221160e-04   8.50114082e-01   
153     2.16385000e-04   8.48720869e-01   
154     2.16548840e-04   8.47329938e-01   
155     2.16712680e-04   8.45941288e-01   
156     2.16876520e-04   8.44554913e-01   
157     2.17040360e-04   8.43170810e-01   
158     2.17204200e-04   8.41788975e-01   
159     2.17368040e-04   8.40409406e-01   
160     2.17531880e-04   8.39032097e-01   
161     2.17695720e-04   8.37657045e-01   
162     2.17859560e-04   8.36284247e-01   
163     2.18023400e-04   8.34913698e-01   
164     2.18187240e-04   8.33545396e-01   
165     2.18351080e-04   8.32179336e-01   
166     2.18514920e-04   8.30815515e-01   
167     2.18678760e-04   8.29453929e-01   
168     2.18842600e-04   8.28094574e-01   
169     2.19006440e-04   8.26737448e-01   
170     2.19170280e-04   8.25382545e-01   
171     2.19334120e-04   8.24029863e-01   
172     2.19497960e-04   8.22679397e-01   
173     2.19661800e-04   8.21331145e-01   
174     2.19825640e-04   8.19985103e-01   
175     2.19989480e-04   8.18641266e-01   
176     2.20153320e-04   8.17299632e-01   
177     2.20317160e-04   8.15960197e-01   
178     2.20481000e-04   8.14622957e-01   
179     2.20644840e-04   8.13287908e-01   
180     2.20808680e-04   8.11955047e-01   
181     2.20972520e-04   8.10624371e-01   
182     2.21136360e-04   8.09295875e-01   
183     2.21300200e-04   8.07969557e-01   
184     2.21464040e-04   8.06645412e-01   
185     2.21627880e-04   8.05323437e-01   
186     2.21791720e-04   8.04003629e-01   
187     2.21955560e-04   8.02685984e-01   
188     2.22119400e-04   8.01370498e-01   
189     2.22283240e-04   8.00057168e-01   
190     2.22447080e-04   7.98745991e-01   
191     2.22610920e-04   7.97436962e-01   
192     2.22774760e-04   7.96130078e-01   
193     2.22938600e-04   7.94825337e-01   
194     2.23102440e-04   7.93522734e-01   
195     2.23266280e-04   7.92222265e-01   
196     2.23430120e-04   7.90923928e-01   
197     2.23593960e-04   7.89627718e-01   
198     2.23757800e-04   7.88333633e-01   
199     2.23921640e-04   7.87041669e-01   
200     2.24085480e-04   7.85751822e-01   
201     2.24249320e-04   7.84464089e-01   
202     2.24413160e-04   7.83178466e-01   
203     2.24577000e-04   7.81894950e-01   
204     2.24740840e-04   7.80613538e-01   
205     2.24904680e-04   7.79334226e-01   
206     2.25068520e-04   7.78057010e-01   
207     2.25232360e-04   7.76781888e-01   
208     2.25396200e-04   7.75508855e-01   
209     2.25560040e-04   7.74237908e-01   
210     2.25723880e-04   7.72969045e-01   
211     2.25887720e-04   7.71702261e-01   
212     2.26051560e-04   7.70437553e-01   
213     2.26215400e-04   7.69174918e-01   
214     2.26379240e-04   7.67914352e-01   
215     2.26543080e-04   7.66655852e-01   
216     2.26706920e-04   7.65399414e-01   
217     2.26870760e-04   7.64145035e-01   
218     2.27034600e-04   7.62892713e-01   
219     2.27198440e-04   7.61642442e-01   
220     2.27362280e-04   7.60394221e-01   
221     2.27526120e-04   7.59148045e-01   
222     2.27689960e-04   7.57903912e-01   
223     2.27853800e-04   7.56661817e-01   
224     2.28017640e-04   7.55421759e-01   
225     2.28181480e-04   7.54183732e-01   
226     2.28345320e-04   7.52947734e-01   
227     2.28509160e-04   7.51713762e-01   
228     2.28673000e-04   7.50481813e-01   
229     2.28836840e-04   7.49251882e-01   
230     2.29000680e-04   7.48023967e-01   
231     2.29164520e-04   7.46798064e-01   
232     2.29328360e-04   7.45574171e-01   
233     2.29492200e-04   7.44352283e-01   
234     2.29656040e-04   7.43132398e-01   
235     2.29819880e-04   7.41914511e-01   
236     2.29983720e-04   7.40698621e-01   
237     2.30147560e-04   7.39484724e-01   
238     2.30311400e-04   7.38272816e-01   
239     2.30475240e-04   7.37062894e-01   
240     2.30639080e-04   7.35854955e-01   
241     2.30802920e-04   7.34648995e-01   
242     2.30966760e-04   7.33445012e-01   
243     2.31130600e-04   7.32243002e-01   
244     2.31294440e-04   7.31042962e-01   
245     2.31458280e-04   7.29844889e-01   
246     2.31622120e-04   7.28648779e-01   
247     2.31785960e-04   7.27454630e-01   
248     2.31949800e-04   7.26262437e-01   
249     2.32113640e-04   7.25072199e-01   
250     2.32277480e-04   7.23883911e-01   
251     2.32441320e-04   7.22697570e-01   
252     2.32605160e-04   7.21513174e-01   
253     2.32769000e-04   7.20330718e-01   
254     2.32932840e-04   7.19150201e-01   
255     2.33096680e-04   7.17971618e-01   
256     2.33260520e-04   7.16794967e-01   
257     2.33424360e-04   7.15620244e-01   
258     2.33588200e-04   7.14447446e-01   
259     2.33752040e-04   7.13276571e-01   
260     2.33915880e-04   7.12107614e-01   
261     2.34079720e-04   7.10940573e-01   
262     2.34243560e-04   7.09775445e-01   
263     2.34407400e-04   7.08612226e-01   
264     2.34571240e-04   7.07450913e-01   
265     2.34735080e-04   7.06291504e-01   
266     2.34898920e-04   7.05133995e-01   
267     2.35062760e-04   7.03978383e-01   
268     2.35226600e-04   7.02824664e-01   
269     2.35390440e-04   7.01672837e-01   
270     2.35554280e-04   7.00522897e-01   
271     2.35718120e-04   6.99374841e-01   
272     2.35881960e-04   6.98228668e-01   
273     2.36045800e-04   6.97084372e-01   
274     2.36209640e-04   6.95941952e-01   
275     2.36373480e-04   6.94801404e-01   
276     2.36537320e-04   6.93662726e-01   
277     2.36701160e-04   6.92525913e-01   
278     2.36865000e-04   6.91390964e-01   
279     2.37028840e-04   6.90257874e-01   
280     2.37192680e-04   6.89126642e-01   
281     2.37356520e-04   6.87997264e-01   
282     2.37520360e-04   6.86869736e-01   
283     2.37684200e-04   6.85744056e-01   
284     2.37848040e-04   6.84620221e-01   
285     2.38011880e-04   6.83498228e-01   
286     2.38175720e-04   6.82378074e-01   
287     2.38339560e-04   6.81259755e-01   
288     2.38503400e-04   6.80143269e-01   
289     2.38667240e-04   6.79028613e-01   
290     2.38831080e-04   6.77915784e-01   
291     2.38994920e-04   6.76804779e-01   
292     2.39158760e-04   6.75695594e-01   
293     2.39322600e-04   6.74588227e-01   
294     2.39486440e-04   6.73482675e-01   
295     2.39650280e-04   6.72378934e-01   
296     2.39814120e-04   6.71277003e-01   
297     2.39977960e-04   6.70176877e-01   
298     2.40141800e-04   6.69078555e-01   
299     2.40305640e-04   6.67982032e-01   
300     2.40469480e-04   6.66887307e-01   
301     2.40633320e-04   6.65794375e-01   
302     2.40797160e-04   6.64703235e-01   
303     2.40961000e-04   6.63613883e-01   
304     2.41124840e-04   6.62526316e-01   
305     2.41288680e-04   6.61440532e-01   
306     2.41452520e-04   6.60356527e-01   
307     2.41616360e-04   6.59274298e-01   
308     2.41780200e-04   6.58193843e-01   
309     2.41944040e-04   6.57115159e-01   
310     2.42107880e-04   6.56038243e-01   
311     2.42271720e-04   6.54963091e-01   
312     2.42435560e-04   6.53889702e-01   
313     2.42599400e-04   6.52818072e-01   
314     2.42763240e-04   6.51748198e-01   
315     2.42927080e-04   6.50680077e-01   
316     2.43090920e-04   6.49613707e-01   
317     2.43254760e-04   6.48549084e-01   
318     2.43418600e-04   6.47486207e-01   
319     2.43582440e-04   6.46425071e-01   
320     2.43746280e-04   6.45365674e-01   
321     2.43910120e-04   6.44308013e-01   
322     2.44073960e-04   6.43252086e-01   
323     2.44237800e-04   6.42197889e-01   
324     2.44401640e-04   6.41145420e-01   
325     2.44565480e-04   6.40094676e-01   
326     2.44729320e-04   6.39045654e-01   
327     2.44893160e-04   6.37998351e-01   
328     2.45057000e-04   6.36952764e-01   
329     2.45220840e-04   6.35908891e-01   
330     2.45384680e-04   6.34866729e-01   
331     2.45548520e-04   6.33826274e-01   
332     2.45712360e-04   6.32787525e-01   
333     2.45876200e-04   6.31750478e-01   
334     2.46040040e-04   6.30715131e-01   
335     2.46203880e-04   6.29681480e-01   
336     2.46367720e-04   6.28649524e-01   
337     2.46531560e-04   6.27619259e-01   
338     2.46695400e-04   6.26590682e-01   
339     2.46859240e-04   6.25563791e-01   
340     2.47023080e-04   6.24538582e-01   
341     2.47186920e-04   6.23515054e-01   
342     2.47350760e-04   6.22493204e-01   
343     2.47514600e-04   6.21473028e-01   
344     2.47678440e-04   6.20454524e-01   
345     2.47842280e-04   6.19437689e-01   
346     2.48006120e-04   6.18422520e-01   
347     2.48169960e-04   6.17409016e-01   
348     2.48333800e-04   6.16397172e-01   
349     2.48497640e-04   6.15386986e-01   
350     2.48661480e-04   6.14378457e-01   
351     2.48825320e-04   6.13371579e-01   
352     2.48989160e-04   6.12366353e-01   
353     2.49153000e-04   6.11362773e-01   
354     2.49316840e-04   6.10360838e-01   
355     2.49480680e-04   6.09360545e-01   
356     2.49644520e-04   6.08361892e-01   
357     2.49808360e-04   6.07364875e-01   
