Index        TIME          {V(A)+1.0}
153     3.15205870e-09   1.22903720e+00   
154     3.15488477e-09   1.22839177e+00   
155     3.15771084e-09   1.22774815e+00   
156     3.16336298e-09   1.22646815e+00   
157     3.16901511e-09   1.22519534e+00   
158     3.17466725e-09   1.22392968e+00   
159     3.18031939e-09   1.22267114e+00   
160     3.18597152e-09   1.22141968e+00   
161     3.19162366e-09   1.22017524e+00   
162     3.19727580e-09   1.21893780e+00   
163     3.20292793e-09   1.21770732e+00   
164     3.20858007e-09   1.21648375e+00   
165     3.21423220e-09   1.21526705e+00   
166     3.21988434e-09   1.21405720e+00   
167     3.22553648e-09   1.21285414e+00   
168     3.23118861e-09   1.21165785e+00   
169     3.23684075e-09   1.21046828e+00   
170     3.24249289e-09   1.20928539e+00   
171     3.24814502e-09   1.20810916e+00   
172     3.25098631e-09   1.20751955e+00   
173     3.25339410e-09   1.20702109e+00   
174     3.25820970e-09   1.20602896e+00   
175     3.26302529e-09   1.20504159e+00   
176     3.27265647e-09   1.20308567e+00   
177     3.28228766e-09   1.20114841e+00   
178     3.30155003e-09   1.19734712e+00   
179     3.31540194e-09   1.19465089e+00   
180     3.32925385e-09   1.19199150e+00   
181     3.34310575e-09   1.18936844e+00   
182     3.37080957e-09   1.18426374e+00   
183     3.39851339e-09   1.17929664e+00   
184     3.42621720e-09   1.17446344e+00   
185     3.45392102e-09   1.16976052e+00   
186     3.48162483e-09   1.16518438e+00   
187     3.50932865e-09   1.16073160e+00   
188     3.53703246e-09   1.15639884e+00   
189     3.59244010e-09   1.14818826e+00   
190     3.64784773e-09   1.14040871e+00   
191     3.70325536e-09   1.13303756e+00   
192     3.75866299e-09   1.12605339e+00   
193     3.81407062e-09   1.11943587e+00   
194     3.83217312e-09   1.11731227e+00   
195     3.84186949e-09   1.11618572e+00   
196     3.85156586e-09   1.11506998e+00   
197     3.85904316e-09   1.11421597e+00   
198     3.86652047e-09   1.11336830e+00   
199     3.87399777e-09   1.11252692e+00   
200     3.88147507e-09   1.11169178e+00   
201     3.88895237e-09   1.11086284e+00   
202     3.89642967e-09   1.11004006e+00   
203     3.90390698e-09   1.10922338e+00   
204     3.91138428e-09   1.10841276e+00   
205     3.92633888e-09   1.10681541e+00   
206     3.94129349e-09   1.10524160e+00   
