Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
261      5.05372130e-05    1.36915425e+00    1.36915425e+00    0.00000000e+00    0.00000000e+00    1.36915425e+00    1.36915425e+00    0.00000000e+00    0.00000000e+00    2.72904756e+00    2.72904756e+00   -1.36905553e-03   -1.36905553e-03    0.00000000e+00    0.00000000e+00    1.36905553e-03    1.36905553e-03    1.80000000e+02    1.80000000e+02   -5.72715787e+01   -5.72715787e+01
262      5.06259939e-05    1.36040280e+00    1.36040280e+00    0.00000000e+00    0.00000000e+00    1.36040280e+00    1.36040280e+00    0.00000000e+00    0.00000000e+00    2.67335032e+00    2.67335032e+00   -1.36030422e-03   -1.36030422e-03    0.00000000e+00    0.00000000e+00    1.36030422e-03    1.36030422e-03    1.80000000e+02    1.80000000e+02   -5.73272791e+01   -5.73272791e+01
263      5.07147749e-05    1.35166300e+00    1.35166300e+00    0.00000000e+00    0.00000000e+00    1.35166300e+00    1.35166300e+00    0.00000000e+00    0.00000000e+00    2.61736853e+00    2.61736853e+00   -1.35156456e-03   -1.35156456e-03    0.00000000e+00    0.00000000e+00    1.35156456e-03    1.35156456e-03    1.80000000e+02    1.80000000e+02   -5.73832641e+01   -5.73832641e+01
264      5.08035558e-05    1.34293384e+00    1.34293384e+00    0.00000000e+00    0.00000000e+00    1.34293384e+00    1.34293384e+00    0.00000000e+00    0.00000000e+00    2.56109233e+00    2.56109233e+00   -1.34283551e-03   -1.34283551e-03    0.00000000e+00    0.00000000e+00    1.34283551e-03    1.34283551e-03    1.80000000e+02    1.80000000e+02   -5.74395436e+01   -5.74395436e+01
265      5.08923367e-05    1.33421438e+00    1.33421438e+00    0.00000000e+00    0.00000000e+00    1.33421438e+00    1.33421438e+00    0.00000000e+00    0.00000000e+00    2.50451236e+00    2.50451236e+00   -1.33411617e-03   -1.33411617e-03    0.00000000e+00    0.00000000e+00    1.33411617e-03    1.33411617e-03    1.80000000e+02    1.80000000e+02   -5.74961270e+01   -5.74961270e+01
266      5.10698986e-05    1.31680746e+00    1.31680746e+00    0.00000000e+00    0.00000000e+00    1.31680746e+00    1.31680746e+00    0.00000000e+00    0.00000000e+00    2.39044560e+00    2.39044560e+00   -1.31670943e-03   -1.31670943e-03    0.00000000e+00    0.00000000e+00    1.31670943e-03    1.31670943e-03    1.80000000e+02    1.80000000e+02   -5.76102011e+01   -5.76102011e+01
267      5.12297043e-05    1.30116433e+00    1.30116433e+00    0.00000000e+00    0.00000000e+00    1.30116433e+00    1.30116433e+00    0.00000000e+00    0.00000000e+00    2.28664299e+00    2.28664299e+00   -1.30106644e-03   -1.30106644e-03    0.00000000e+00    0.00000000e+00    1.30106644e-03    1.30106644e-03    1.80000000e+02    1.80000000e+02   -5.77140105e+01   -5.77140105e+01
268      5.13895100e-05    1.28554122e+00    1.28554122e+00    0.00000000e+00    0.00000000e+00    1.28554122e+00    1.28554122e+00    0.00000000e+00    0.00000000e+00    2.18172015e+00    2.18172015e+00   -1.28544346e-03   -1.28544346e-03    0.00000000e+00    0.00000000e+00    1.28544346e-03    1.28544346e-03    1.80000000e+02    1.80000000e+02   -5.78189404e+01   -5.78189404e+01
269      5.15493156e-05    1.26993573e+00    1.26993573e+00    0.00000000e+00    0.00000000e+00    1.26993573e+00    1.26993573e+00    0.00000000e+00    0.00000000e+00    2.07563488e+00    2.07563488e+00   -1.26983808e-03   -1.26983808e-03    0.00000000e+00    0.00000000e+00    1.26983808e-03    1.26983808e-03    1.80000000e+02    1.80000000e+02   -5.79250331e+01   -5.79250331e+01
270      5.17091213e-05    1.25434588e+00    1.25434588e+00    0.00000000e+00    0.00000000e+00    1.25434588e+00    1.25434588e+00    0.00000000e+00    0.00000000e+00    1.96834618e+00    1.96834618e+00   -1.25424833e-03   -1.25424833e-03    0.00000000e+00    0.00000000e+00    1.25424833e-03    1.25424833e-03    1.80000000e+02    1.80000000e+02   -5.80323294e+01   -5.80323294e+01
