Index       TIME          {V(6,2)+0.1}     {V(15,10)+0.1}     {V(5,3)+1.5}   
108      4.87192752e-07    8.41824129e-02    1.11953644e-01    9.30394682e-01
109      4.92773300e-07    9.09685085e-02    1.06789960e-01    1.06547804e+00
110      4.98353848e-07    9.79319743e-02    1.01551213e-01    1.18894411e+00
111      5.03934396e-07    1.04936054e-01    9.62953176e-02    1.28835195e+00
112      5.08956889e-07    1.11160736e-01    9.15983788e-02    1.34888367e+00
113      5.13477132e-07    1.16613876e-01    8.74342820e-02    1.37599667e+00
114      5.17997376e-07    1.21852823e-01    8.33613549e-02    1.37638271e+00
115      5.22517620e-07    1.26810032e-01    7.94091483e-02    1.35155590e+00
116      5.27037863e-07    1.31421593e-01    7.56063373e-02    1.30465366e+00
117      5.31558107e-07    1.35628053e-01    7.19805127e-02    1.23981541e+00
118      5.36078351e-07    1.39375179e-01    6.85579816e-02    1.16159475e+00
119      5.40598594e-07    1.42614661e-01    6.53635759e-02    1.07452751e+00
120      5.45118838e-07    1.45304735e-01    6.24204723e-02    9.82836995e-01
121      5.49639082e-07    1.47410719e-01    5.97500244e-02    8.90287484e-01
122      5.54159325e-07    1.48905461e-01    5.73716074e-02    8.00119063e-01
123      5.58679569e-07    1.49769691e-01    5.53024777e-02    7.15064573e-01
124      5.63199813e-07    1.49992267e-01    5.35576478e-02    6.37394369e-01
125      5.67720056e-07    1.49570318e-01    5.21497771e-02    5.69001934e-01
126      5.72240300e-07    1.48509285e-01    5.10890804e-02    5.11488551e-01
127      5.76760544e-07    1.46822848e-01    5.03832535e-02    4.66265226e-01
128      5.81280787e-07    1.44532749e-01    5.00374174e-02    4.34634181e-01
129      5.85801031e-07    1.41668512e-01    5.00540814e-02    4.17866630e-01
130      5.90321275e-07    1.38267065e-01    5.04331245e-02    4.17237177e-01
131      5.94841518e-07    1.34372260e-01    5.11717966e-02    4.34024972e-01
132      5.99361762e-07    1.30034312e-01    5.22647384e-02    4.69436112e-01
133      6.03882006e-07    1.25309148e-01    5.37040200e-02    5.24452528e-01
134      6.08402250e-07    1.20257686e-01    5.54791989e-02    5.99568711e-01
135      6.12922493e-07    1.14945053e-01    5.75773954e-02    6.94448220e-01
136      6.17442737e-07    1.09439740e-01    5.99833861e-02    8.07520640e-01
137      6.21962981e-07    1.03812727e-01    6.26797146e-02    9.35638938e-01
138      6.26483224e-07    9.81365571e-02    6.56468179e-02    1.07391109e+00
139      6.31003468e-07    9.24844122e-02    6.88631682e-02    1.21586704e+00
140      6.35523712e-07    8.69291617e-02    7.23054297e-02    1.35400386e+00
141      6.40043955e-07    8.15424267e-02    7.59486272e-02    1.48066334e+00
142      6.44564199e-07    7.63936554e-02    7.97663277e-02    1.58900906e+00
143      6.49084443e-07    7.15492284e-02    8.37308323e-02    1.67385017e+00
144      6.53604686e-07    6.70716022e-02    8.78133767e-02    1.73207600e+00
145      6.58124930e-07    6.30185045e-02    9.19843402e-02    1.76266845e+00
146      6.62645174e-07    5.94421898e-02    9.62134609e-02    1.76637605e+00
147      6.67165417e-07    5.63887656e-02    1.00470054e-01    1.74525507e+00
148      6.71685661e-07    5.38975981e-02    1.04723238e-01    1.70221672e+00
149      6.76205905e-07    5.20008046e-02    1.08942152e-01    1.64068679e+00
150      6.80726148e-07    5.07228395e-02    1.13096187e-01    1.56436830e+00
151      6.85246392e-07    5.00801790e-02    1.17155203e-01    1.47710137e+00
152      6.89766636e-07    5.00811084e-02    1.21089751e-01    1.38276451e+00
153      6.94286879e-07    5.07256158e-02    1.24871284e-01    1.28521349e+00
154      7.03327367e-07    5.39039374e-02    1.31866866e-01    1.09689286e+00
155      7.11463805e-07    5.87975857e-02    1.37378842e-01    9.52038322e-01
156      7.18763860e-07    6.46569787e-02    1.41580736e-01    8.58852158e-01
157      7.24894246e-07    7.05033271e-02    1.44504988e-01    8.17253622e-01
158      7.30323993e-07    7.62698916e-02    1.46600366e-01    8.14127640e-01
159      7.35210765e-07    8.18402858e-02    1.48069724e-01    8.41475295e-01
160      7.39608861e-07    8.70900358e-02    1.49043952e-01    8.91755563e-01
161      7.44006956e-07    9.24973623e-02    1.49681305e-01    9.66247428e-01
162      7.48405051e-07    9.79962647e-02    1.49977405e-01    1.06344004e+00
163      7.52803146e-07    1.03519624e-01    1.49930220e-01    1.18031103e+00
164      7.57201241e-07    1.09000024e-01    1.49540072e-01    1.31237258e+00
165      7.61599337e-07    1.14370571e-01    1.48809642e-01    1.45398945e+00
166      7.65997432e-07    1.19565714e-01    1.47743946e-01    1.59890476e+00
167      7.67540148e-07    1.21334603e-01    1.47291998e-01    1.64926374e+00
168      7.70625579e-07    1.24773565e-01    1.46268553e-01    1.74815821e+00
169      7.76796441e-07    1.31185028e-01    1.43756280e-01    1.93056081e+00
170      7.82350217e-07    1.36319326e-01    1.40988495e-01    2.07054032e+00
171      7.87348615e-07    1.40338740e-01    1.38112804e-01    2.17199260e+00
172      7.92347014e-07    1.43722394e-01    1.34899039e-01    2.24802225e+00
173      7.97345412e-07    1.46416961e-01    1.31375705e-01    2.29800021e+00
174      8.02343811e-07    1.48379974e-01    1.27574057e-01    2.32221043e+00
175      8.07342209e-07    1.49580493e-01    1.23527816e-01    2.32150933e+00
176      8.12340608e-07    1.49999599e-01    1.19272874e-01    2.29714387e+00
177      8.17339006e-07    1.49630685e-01    1.14846974e-01    2.25071736e+00
178      8.22337404e-07    1.48479567e-01    1.10289376e-01    2.18427731e+00
179      8.27335803e-07    1.46564386e-01    1.05640507e-01    2.10046598e+00
180      8.32334201e-07    1.43915326e-01    1.00941604e-01    2.00268773e+00
181      8.37332600e-07    1.40574139e-01    9.62343492e-02    1.89523589e+00
182      8.42330998e-07    1.36593482e-01    9.15604970e-02    1.78335010e+00
183      8.44037583e-07    1.35098878e-01    8.99797956e-02    1.74525594e+00
184      8.47450754e-07    1.31918858e-01    8.68511218e-02    1.67042658e+00
185      8.50863924e-07    1.28504104e-01    8.37768552e-02    1.59967149e+00
186      8.54277094e-07    1.24879728e-01    8.07697167e-02    1.53528450e+00
187      8.57690265e-07    1.21072384e-01    7.78421489e-02    1.47955053e+00
188      8.61103435e-07    1.17110071e-01    7.50062657e-02    1.43465489e+00
189      8.64516605e-07    1.13021930e-01    7.22738013e-02    1.40254457e+00
190      8.67929775e-07    1.08838024e-01    6.96560620e-02    1.38481295e+00
191      8.71342946e-07    1.04589122e-01    6.71638796e-02    1.38255445e+00
192      8.74756116e-07    1.00306472e-01    6.48075661e-02    1.39627009e+00
193      8.78169286e-07    9.60215673e-02    6.25968715e-02    1.42578477e+00
194      8.81582457e-07    9.17659207e-02    6.05409431e-02    1.47024880e+00
195      8.84995627e-07    8.75708283e-02    5.86482880e-02    1.52817694e+00
196      8.88408797e-07    8.34671413e-02    5.69267376e-02    1.59757217e+00
