Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
138      1.38000000e+00    2.03511605e-06    6.57559073e-04    6.12761249e-01    6.48818533e-02
139      1.39000000e+00    2.06076686e-06    6.62580017e-04    6.13090892e-01    6.48399668e-02
140      1.40000000e+00    2.08642812e-06    6.67600684e-04    6.13416599e-01    6.47986323e-02
141      1.41000000e+00    2.11209958e-06    6.72621084e-04    6.13738459e-01    6.47578323e-02
142      1.42000000e+00    2.13778100e-06    6.77641225e-04    6.14056563e-01    6.47175504e-02
143      1.43000000e+00    2.16347216e-06    6.82661115e-04    6.14370996e-01    6.46777709e-02
144      1.44000000e+00    2.18917284e-06    6.87680761e-04    6.14681839e-01    6.46384786e-02
145      1.45000000e+00    2.21488283e-06    6.92700170e-04    6.14989174e-01    6.45996592e-02
146      1.46000000e+00    2.24060192e-06    6.97719351e-04    6.15293077e-01    6.45612989e-02
147      1.47000000e+00    2.26632991e-06    7.02738308e-04    6.15593623e-01    6.45233844e-02
148      1.48000000e+00    2.29206662e-06    7.07757048e-04    6.15890884e-01    6.44859033e-02
149      1.49000000e+00    2.31781186e-06    7.12775578e-04    6.16184931e-01    6.44488433e-02
150      1.50000000e+00    2.34356544e-06    7.17793904e-04    6.16475830e-01    6.44121929e-02
151      1.51000000e+00    2.36932719e-06    7.22812030e-04    6.16763649e-01    6.43759410e-02
152      1.52000000e+00    2.39509695e-06    7.27829962e-04    6.17048451e-01    6.43400768e-02
153      1.53000000e+00    2.42087454e-06    7.32847705e-04    6.17330297e-01    6.43045902e-02
154      1.54000000e+00    2.44665982e-06    7.37865265e-04    6.17609248e-01    6.42694705e-02
155      1.55000000e+00    2.47245263e-06    7.42882648e-04    6.17885360e-01    6.42347042e-02
156      1.56000000e+00    2.49825281e-06    7.47899857e-04    6.18158692e-01    6.42002870e-02
157      1.57000000e+00    2.52406022e-06    7.52916895e-04    6.18429298e-01    6.41662102e-02
158      1.58000000e+00    2.54987472e-06    7.57933767e-04    6.18697231e-01    6.41324654e-02
159      1.59000000e+00    2.57569617e-06    7.62950478e-04    6.18962542e-01    6.40990446e-02
160      1.60000000e+00    2.60152445e-06    7.67967030e-04    6.19225283e-01    6.40659400e-02
161      1.61000000e+00    2.62735942e-06    7.72983428e-04    6.19485500e-01    6.40331439e-02
162      1.62000000e+00    2.65320095e-06    7.77999675e-04    6.19743243e-01    6.40006493e-02
163      1.63000000e+00    2.67904892e-06    7.83015775e-04    6.19998556e-01    6.39684491e-02
164      1.64000000e+00    2.70490322e-06    7.88031732e-04    6.20251485e-01    6.39365352e-02
165      1.65000000e+00    2.73076373e-06    7.93047551e-04    6.20502072e-01    6.39048986e-02
166      1.66000000e+00    2.75663034e-06    7.98063232e-04    6.20750362e-01    6.38735368e-02
167      1.67000000e+00    2.78250293e-06    8.03078778e-04    6.20996395e-01    6.38424438e-02
168      1.68000000e+00    2.80838140e-06    8.08094193e-04    6.21240211e-01    6.38116139e-02
169      1.69000000e+00    2.83426565e-06    8.13109479e-04    6.21481850e-01    6.37810414e-02
170      1.70000000e+00    2.86015557e-06    8.18124640e-04    6.21721349e-01    6.37507207e-02
171      1.71000000e+00    2.88605107e-06    8.23139677e-04    6.21958745e-01    6.37206467e-02
172      1.72000000e+00    2.91195206e-06    8.28154593e-04    6.22194075e-01    6.36908143e-02
173      1.73000000e+00    2.93785842e-06    8.33169391e-04    6.22427374e-01    6.36612184e-02
174      1.74000000e+00    2.96377009e-06    8.38184073e-04    6.22658676e-01    6.36318543e-02
175      1.75000000e+00    2.98968696e-06    8.43198641e-04    6.22888015e-01    6.36027174e-02
176      1.76000000e+00    3.01560896e-06    8.48213098e-04    6.23115423e-01    6.35738032e-02
177      1.77000000e+00    3.04153599e-06    8.53227446e-04    6.23340933e-01    6.35451073e-02
178      1.78000000e+00    3.06746797e-06    8.58241687e-04    6.23564575e-01    6.35166255e-02
179      1.79000000e+00    3.09340483e-06    8.63255823e-04    6.23786379e-01    6.34883537e-02
180      1.80000000e+00    3.11934648e-06    8.68269856e-04    6.24006376e-01    6.34602880e-02
181      1.81000000e+00    3.14529285e-06    8.73283788e-04    6.24224594e-01    6.34324245e-02
182      1.82000000e+00    3.17124387e-06    8.78297620e-04    6.24441062e-01    6.34047596e-02
183      1.83000000e+00    3.19719945e-06    8.83311355e-04    6.24655806e-01    6.33772895e-02
184      1.84000000e+00    3.22315954e-06    8.88324995e-04    6.24868854e-01    6.33500107e-02
185      1.85000000e+00    3.24912405e-06    8.93338540e-04    6.25080233e-01    6.33229199e-02
186      1.86000000e+00    3.27509293e-06    8.98351993e-04    6.25289967e-01    6.32960138e-02
187      1.87000000e+00    3.30106610e-06    9.03365355e-04    6.25498081e-01    6.32692890e-02
188      1.88000000e+00    3.32704350e-06    9.08378629e-04    6.25704602e-01    6.32427426e-02
189      1.89000000e+00    3.35302506e-06    9.13391814e-04    6.25909552e-01    6.32163714e-02
190      1.90000000e+00    3.37901073e-06    9.18404914e-04    6.26112954e-01    6.31901725e-02
191      1.91000000e+00    3.40500044e-06    9.23417929e-04    6.26314832e-01    6.31641430e-02
192      1.92000000e+00    3.43099414e-06    9.28430860e-04    6.26515209e-01    6.31382801e-02
193      1.93000000e+00    3.45699176e-06    9.33443709e-04    6.26714105e-01    6.31125810e-02
194      1.94000000e+00    3.48299325e-06    9.38456478e-04    6.26911543e-01    6.30870433e-02
195      1.95000000e+00    3.50899856e-06    9.43469168e-04    6.27107544e-01    6.30616641e-02
196      1.96000000e+00    3.53505108e-06    9.48479924e-04    6.27285741e-01    6.30401514e-02
197      1.97000000e+00    3.56103589e-06    9.53493652e-04    6.27489471e-01    6.30126959e-02
198      1.98000000e+00    3.58704239e-06    9.58506534e-04    6.27685020e-01    6.29869311e-02
199      1.99000000e+00    3.61305886e-06    9.63519071e-04    6.27876811e-01    6.29618585e-02
200      2.00000000e+00    3.63912432e-06    9.68529589e-04    6.28050133e-01    6.29408230e-02
201      2.01000000e+00    3.66512373e-06    9.73543011e-04    6.28248354e-01    6.29139776e-02
202      2.02000000e+00    3.69114408e-06    9.78555615e-04    6.28438683e-01    6.28887701e-02
203      2.03000000e+00    3.71717423e-06    9.83567875e-04    6.28625315e-01    6.28642506e-02
204      2.04000000e+00    3.74325288e-06    9.88578127e-04    6.28793666e-01    6.28437452e-02
205      2.05000000e+00    3.76926658e-06    9.93591243e-04    6.28986498e-01    6.28175143e-02
206      2.06000000e+00    3.79530021e-06    9.98603577e-04    6.29171820e-01    6.27928464e-02
207      2.07000000e+00    3.82138605e-06    1.00361374e-03    6.29337457e-01    6.27725272e-02
208      2.08000000e+00    3.84740892e-06    1.00862668e-03    6.29526835e-01    6.27466427e-02
209      2.09000000e+00    3.87345165e-06    1.01363884e-03    6.29708729e-01    6.27223241e-02
210      2.10000000e+00    3.89954634e-06    1.01864883e-03    6.29871029e-01    6.27023492e-02
211      2.11000000e+00    3.92557896e-06    1.02366156e-03    6.30056732e-01    6.26768773e-02
212      2.12000000e+00    3.95163079e-06    1.02867354e-03    6.30235193e-01    6.26529246e-02
213      2.13000000e+00    3.97773410e-06    1.03368336e-03    6.30394243e-01    6.26332891e-02
214      2.14000000e+00    4.00377617e-06    1.03869589e-03    6.30576385e-01    6.26082192e-02
215      2.15000000e+00    4.02983678e-06    1.04370769e-03    6.30751532e-01    6.25846203e-02
216      2.16000000e+00    4.05594839e-06    1.04871734e-03    6.30907457e-01    6.25653105e-02
217      2.17000000e+00    4.08199956e-06    1.05372969e-03    6.31086167e-01    6.25406279e-02
218      2.18000000e+00    4.10811078e-06    1.05873948e-03    6.31242238e-01    6.25210303e-02
219      2.19000000e+00    4.13416480e-06    1.06375183e-03    6.31419869e-01    6.24963355e-02
220      2.20000000e+00    4.16028013e-06    1.06876158e-03    6.31574392e-01    6.24768446e-02
221      2.21000000e+00    4.18633927e-06    1.07377383e-03    6.31750094e-01    6.24523389e-02
222      2.22000000e+00    4.21245947e-06    1.07878349e-03    6.31902781e-01    6.24330273e-02
223      2.23000000e+00    4.23852407e-06    1.08379563e-03    6.32076427e-01    6.24087460e-02
224      2.24000000e+00    4.26464919e-06    1.08880519e-03    6.32227256e-01    6.23896242e-02
225      2.25000000e+00    4.29071921e-06    1.09381721e-03    6.32398859e-01    6.23655700e-02
226      2.26000000e+00    4.31684917e-06    1.09882668e-03    6.32547861e-01    6.23466364e-02
227      2.27000000e+00    4.34292451e-06    1.10383860e-03    6.32717461e-01    6.23228059e-02
228      2.28000000e+00    4.36905921e-06    1.10884797e-03    6.32864678e-01    6.23040563e-02
229      2.29000000e+00    4.39513974e-06    1.11385978e-03    6.33032318e-01    6.22804449e-02
230      2.30000000e+00    4.42127907e-06    1.11886906e-03    6.33177792e-01    6.22618751e-02
231      2.31000000e+00    4.44736468e-06    1.12388076e-03    6.33343515e-01    6.22384780e-02
232      2.32000000e+00    4.47350853e-06    1.12888996e-03    6.33487286e-01    6.22200837e-02
233      2.33000000e+00    4.49959911e-06    1.13390155e-03    6.33651135e-01    6.21968964e-02
234      2.34000000e+00    4.52574737e-06    1.13891067e-03    6.33793241e-01    6.21786697e-02
235      2.35000000e+00    4.55184282e-06    1.14392216e-03    6.33955256e-01    6.21556833e-02
236      2.36000000e+00    4.57799539e-06    1.14893119e-03    6.34095738e-01    6.21376239e-02
237      2.37000000e+00    4.60409560e-06    1.15394258e-03    6.34255960e-01    6.21148384e-02
238      2.38000000e+00    4.63025238e-06    1.15895153e-03    6.34394853e-01    6.20969427e-02
239      2.39000000e+00    4.65635724e-06    1.16396282e-03    6.34553321e-01    6.20743540e-02
240      2.40000000e+00    4.68251814e-06    1.16897169e-03    6.34690661e-01    6.20566183e-02
241      2.41000000e+00    4.70862756e-06    1.17398289e-03    6.34847411e-01    6.20342225e-02
242      2.42000000e+00    4.73479249e-06    1.17899168e-03    6.34983231e-01    6.20166433e-02
243      2.43000000e+00    4.76090637e-06    1.18400278e-03    6.35138300e-01    6.19944366e-02
244      2.44000000e+00    4.78707524e-06    1.18901149e-03    6.35272635e-01    6.19770105e-02
245      2.45000000e+00    4.81319348e-06    1.19402251e-03    6.35426057e-01    6.19549891e-02
246      2.46000000e+00    4.83936621e-06    1.19903114e-03    6.35558938e-01    6.19377128e-02
247      2.47000000e+00    4.86552923e-06    1.20404026e-03    6.35695481e-01    6.19194787e-02
248      2.48000000e+00    4.89164669e-06    1.20905145e-03    6.35849196e-01    6.18970915e-02
249      2.49000000e+00    4.91782183e-06    1.21406013e-03    6.35981171e-01    6.18797469e-02
250      2.50000000e+00    4.94398895e-06    1.21906920e-03    6.36116166e-01    6.18615963e-02
251      2.51000000e+00    4.97011159e-06    1.22408031e-03    6.36267930e-01    6.18393807e-02
252      2.52000000e+00    4.99629167e-06    1.22908890e-03    6.36398040e-01    6.18222024e-02
