Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
147      1.47000000e+00    2.31460016e-06    7.02173185e-04    5.97395741e-01    6.56536304e-02
148      1.48000000e+00    2.34033070e-06    7.07191967e-04    5.97695325e-01    6.56160667e-02
149      1.49000000e+00    2.36606965e-06    7.12210543e-04    5.97991743e-01    6.55789139e-02
150      1.50000000e+00    2.39181682e-06    7.17228920e-04    5.98285060e-01    6.55421608e-02
151      1.51000000e+00    2.41757205e-06    7.22247101e-04    5.98575339e-01    6.55057970e-02
152      1.52000000e+00    2.44333517e-06    7.27265094e-04    5.98862642e-01    6.54698123e-02
153      1.53000000e+00    2.46910603e-06    7.32282902e-04    5.99147027e-01    6.54341969e-02
154      1.54000000e+00    2.49488447e-06    7.37300529e-04    5.99428554e-01    6.53989414e-02
155      1.55000000e+00    2.52067035e-06    7.42317981e-04    5.99707278e-01    6.53640372e-02
156      1.56000000e+00    2.54646352e-06    7.47335265e-04    5.99983254e-01    6.53294691e-02
157      1.57000000e+00    2.57226384e-06    7.52352382e-04    6.00256534e-01    6.52952351e-02
158      1.58000000e+00    2.59807117e-06    7.57369337e-04    6.00527170e-01    6.52613268e-02
159      1.59000000e+00    2.62388538e-06    7.62386132e-04    6.00795213e-01    6.52277367e-02
160      1.60000000e+00    2.64970634e-06    7.67402771e-04    6.01060710e-01    6.51944571e-02
161      1.61000000e+00    2.67553393e-06    7.72419260e-04    6.01323710e-01    6.51614810e-02
162      1.62000000e+00    2.70136802e-06    7.77435599e-04    6.01584257e-01    6.51288013e-02
163      1.63000000e+00    2.72720850e-06    7.82451794e-04    6.01842397e-01    6.50964113e-02
164      1.64000000e+00    2.75305524e-06    7.87467848e-04    6.02098173e-01    6.50643046e-02
165      1.65000000e+00    2.77890815e-06    7.92483763e-04    6.02351629e-01    6.50324749e-02
166      1.66000000e+00    2.80476710e-06    7.97499542e-04    6.02602803e-01    6.50009162e-02
167      1.67000000e+00    2.83063199e-06    8.02515189e-04    6.02851738e-01    6.49696225e-02
168      1.68000000e+00    2.85650273e-06    8.07530706e-04    6.03098473e-01    6.49385880e-02
169      1.69000000e+00    2.88237919e-06    8.12546099e-04    6.03343044e-01    6.49078026e-02
170      1.70000000e+00    2.90826130e-06    8.17561367e-04    6.03585490e-01    6.48772660e-02
171      1.71000000e+00    2.93414895e-06    8.22576513e-04    6.03825846e-01    6.48469731e-02
172      1.72000000e+00    2.96004205e-06    8.27591541e-04    6.04064148e-01    6.48169190e-02
