Index        TIME          {V(2)+2.0}       {V(3)+2.0}       {V(4)+2.0}       {V(6)+2.0}       {V(7)+2.0}       {V(8)+2.0}       {V(13)+2.0}      {V(14)+2.0}      {V(17)+2.0}      {V(21)+2.0}      {V(22)+2.0}
32      2.28595434e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03510046e+00   2.27042279e+00   2.27042277e+00   2.65250642e+00   2.79710564e+00   2.60708005e+00   2.04958571e+00   2.04958571e+00   
33      2.34989471e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03570530e+00   2.27536572e+00   2.27536570e+00   2.67202482e+00   2.82028893e+00   2.62413502e+00   2.05091411e+00   2.05091411e+00   
34      2.47777545e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03686438e+00   2.28524889e+00   2.28524887e+00   2.71131741e+00   2.86656609e+00   2.65825377e+00   2.05357516e+00   2.05357516e+00   
35      2.57069679e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03767407e+00   2.29238613e+00   2.29238612e+00   2.73999510e+00   2.90014862e+00   2.68304938e+00   2.05550462e+00   2.05550462e+00   
36      2.66361813e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03845508e+00   2.29953900e+00   2.29953899e+00   2.76876007e+00   2.93374894e+00   2.70783136e+00   2.05743298e+00   2.05743298e+00   
37      2.75653947e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03920838e+00   2.30672597e+00   2.30672595e+00   2.79758363e+00   2.96738592e+00   2.73258244e+00   2.05936046e+00   2.05936046e+00   
38      2.84946081e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03993905e+00   2.31389580e+00   2.31389578e+00   2.82644426e+00   3.00105685e+00   2.75730309e+00   2.06128290e+00   2.06128290e+00   
39      2.94238215e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04063938e+00   2.32119904e+00   2.32119903e+00   2.85529915e+00   3.03476298e+00   2.78193867e+00   2.06320746e+00   2.06320746e+00   
40      3.02495574e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04124123e+00   2.32772623e+00   2.32772621e+00   2.88092324e+00   3.06474198e+00   2.80376498e+00   2.06491454e+00   2.06491454e+00   
41      3.10752934e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04182373e+00   2.33429409e+00   2.33429407e+00   2.90650700e+00   3.09474445e+00   2.82551189e+00   2.06665688e+00   2.06665688e+00   
42      3.19010294e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04238742e+00   2.34089786e+00   2.34089784e+00   2.93203041e+00   3.12476897e+00   2.84716623e+00   2.06849657e+00   2.06849657e+00   
43      3.27267654e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04293282e+00   2.34753308e+00   2.34753307e+00   2.95747341e+00   3.15481414e+00   2.86871463e+00   2.07042202e+00   2.07042202e+00   
44      3.43782373e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04397630e+00   2.36080175e+00   2.36080173e+00   3.00811484e+00   3.21496162e+00   2.91151068e+00   2.07436457e+00   2.07436457e+00   
45      3.60297093e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04493952e+00   2.37434012e+00   2.37434011e+00   3.05793492e+00   3.27516994e+00   2.95349397e+00   2.07837212e+00   2.07837212e+00   
46      3.76811812e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04583980e+00   2.38789353e+00   2.38789352e+00   3.10700465e+00   3.33523202e+00   2.99475458e+00   2.08239267e+00   2.08239267e+00   
47      3.93326532e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04668036e+00   2.40145887e+00   2.40145885e+00   3.15516905e+00   3.39486920e+00   3.03518519e+00   2.08640897e+00   2.08640897e+00   
48      4.26355971e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04817336e+00   2.42918512e+00   2.42918510e+00   3.24698979e+00   3.51247983e+00   3.11218781e+00   2.09439719e+00   2.09439719e+00   
49      4.56082466e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04934925e+00   2.45477501e+00   2.45477499e+00   3.32511634e+00   3.61615233e+00   3.17767848e+00   2.10149765e+00   2.10149765e+00   
50      4.85808961e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05037755e+00   2.48115447e+00   2.48115446e+00   3.39791704e+00   3.71731256e+00   3.23883550e+00   2.10849353e+00   2.10849353e+00   
51      5.45261951e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05200450e+00   2.53605192e+00   2.53605191e+00   3.51871211e+00   3.91070769e+00   3.34169067e+00   2.12218534e+00   2.12218534e+00   
52      5.93245559e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05300778e+00   2.58082646e+00   2.58082645e+00   3.59647103e+00   4.06285081e+00   3.40898858e+00   2.13300178e+00   2.13300178e+00   
53      6.41229168e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05376562e+00   2.62589763e+00   2.62589762e+00   3.65295699e+00   4.21732187e+00   3.45830211e+00   2.14360632e+00   2.14360632e+00   
54      6.89212776e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05431206e+00   2.67091994e+00   2.67091993e+00   3.68729717e+00   4.37361178e+00   3.48712498e+00   2.15396751e+00   2.15396751e+00   
55      7.85179993e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05491312e+00   2.75970995e+00   2.75970994e+00   3.69970823e+00   4.68559466e+00   3.48884702e+00   2.17407561e+00   2.17407561e+00   
56      8.49979784e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05498091e+00   2.81925311e+00   2.81925309e+00   3.64178598e+00   4.89153178e+00   3.42427830e+00   2.18693674e+00   2.18693674e+00   
57      9.08299596e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05487240e+00   2.87187229e+00   2.87187227e+00   3.55175880e+00   5.07045717e+00   3.33979087e+00   2.19801905e+00   2.19801904e+00   
58      9.66619407e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05463227e+00   2.92389569e+00   2.92389568e+00   3.44703811e+00   5.23941766e+00   3.24613150e+00   2.20863876e+00   2.20863876e+00   
59      1.00000000e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05444045e+00   2.95339879e+00   2.95339878e+00   3.39078592e+00   5.33260224e+00   3.19212876e+00   2.21454517e+00   2.21454517e+00   
60      1.03338059e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05123207e+00   2.93992929e+00   2.93992927e+00   3.27259002e+00   5.31462961e+00   3.07399824e+00   2.21533739e+00   2.21533739e+00   
61      1.03546688e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05103196e+00   2.93918258e+00   2.93918256e+00   3.26536791e+00   5.31346106e+00   3.06673681e+00   2.21538455e+00   2.21538455e+00   
62      1.03963945e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05063482e+00   2.93801430e+00   2.93801428e+00   3.25121481e+00   5.31112532e+00   3.05239834e+00   2.21547405e+00   2.21547405e+00   
63      1.04381203e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.05024079e+00   2.93712522e+00   2.93712520e+00   3.23735861e+00   5.30879209e+00   3.03825015e+00   2.21555889e+00   2.21555889e+00   
64      1.05215718e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04946489e+00   2.93618587e+00   2.93618586e+00   3.21075893e+00   5.30415399e+00   3.01067030e+00   2.21571036e+00   2.21571036e+00   
65      1.06884747e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04796034e+00   2.93631408e+00   2.93631406e+00   3.16173523e+00   5.29501421e+00   2.95830264e+00   2.21594238e+00   2.21594238e+00   
66      1.10222807e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04512899e+00   2.93989601e+00   2.93989600e+00   3.07841197e+00   5.27738958e+00   2.86413066e+00   2.21613826e+00   2.21613826e+00   
67      1.13560866e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.04246492e+00   2.94472526e+00   2.94472525e+00   3.00821553e+00   5.26044298e+00   2.78023342e+00   2.21608169e+00   2.21608169e+00   
68      1.16898925e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03995824e+00   2.94987309e+00   2.94987308e+00   2.94927479e+00   5.24427361e+00   2.70577985e+00   2.21579066e+00   2.21579066e+00   
69      1.23575044e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03528379e+00   2.95987611e+00   2.95987609e+00   2.85327330e+00   5.21377226e+00   2.57721425e+00   2.21471964e+00   2.21471964e+00   
70      1.29065657e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03198400e+00   2.96716174e+00   2.96716173e+00   2.80363806e+00   5.19211007e+00   2.49999507e+00   2.21307907e+00   2.21307907e+00   
71      1.33877880e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02933189e+00   2.97288893e+00   2.97288892e+00   2.77012256e+00   5.17463745e+00   2.44389450e+00   2.21132850e+00   2.21132850e+00   
72      1.38690103e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02689980e+00   2.97800920e+00   2.97800918e+00   2.74440753e+00   5.15856206e+00   2.39751806e+00   2.20931217e+00   2.20931217e+00   
73      1.43502326e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02466947e+00   2.98256372e+00   2.98256371e+00   2.72479003e+00   5.14375456e+00   2.35931474e+00   2.20707509e+00   2.20707509e+00   
74      1.53126772e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02062892e+00   2.99044203e+00   2.99044201e+00   2.69597052e+00   5.11672076e+00   2.29829638e+00   2.20219309e+00   2.20219309e+00   
75      1.58352293e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01878497e+00   2.99371435e+00   2.99371433e+00   2.68793040e+00   5.10417070e+00   2.27670748e+00   2.19920947e+00   2.19920947e+00   
76      1.63055261e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01726017e+00   2.99627138e+00   2.99627137e+00   2.68272532e+00   5.09365714e+00   2.26093972e+00   2.19640367e+00   2.19640367e+00   
77      1.67758230e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01585918e+00   2.99847365e+00   2.99847363e+00   2.67912632e+00   5.08385342e+00   2.24822684e+00   2.19349076e+00   2.19349076e+00   
78      1.72461198e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01457194e+00   3.00034496e+00   3.00034495e+00   2.67680098e+00   5.07469736e+00   2.23806299e+00   2.19048373e+00   2.19048373e+00   
79      1.81867135e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01223491e+00   3.00337185e+00   3.00337184e+00   2.67438287e+00   5.05773974e+00   2.22244462e+00   2.18428066e+00   2.18428066e+00   
80      1.86883575e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01118142e+00   3.00438825e+00   3.00438824e+00   2.67471180e+00   5.04980114e+00   2.21763942e+00   2.18082002e+00   2.18082001e+00   
81      1.91398372e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01030741e+00   3.00505601e+00   3.00505599e+00   2.67545938e+00   5.04308939e+00   2.21440340e+00   2.17765257e+00   2.17765257e+00   
82      1.95913169e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00950173e+00   3.00548667e+00   3.00548665e+00   2.67657327e+00   5.03678543e+00   2.21207430e+00   2.17444660e+00   2.17444660e+00   
83      2.00427965e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00875904e+00   3.00568959e+00   3.00568958e+00   2.67798504e+00   5.03086747e+00   2.21049856e+00   2.17121385e+00   2.17121385e+00   
84      2.09457559e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00740569e+00   3.00559004e+00   3.00559002e+00   2.68136231e+00   5.01987772e+00   2.20872094e+00   2.16471322e+00   2.16471322e+00   
85      2.13829700e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00684376e+00   3.00517410e+00   3.00517408e+00   2.68334294e+00   5.01516922e+00   2.20875940e+00   2.16155574e+00   2.16155574e+00   
86      2.17764627e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00637283e+00   3.00465136e+00   3.00465135e+00   2.68522255e+00   5.01117776e+00   2.20905314e+00   2.15871900e+00   2.15871900e+00   
87      2.21699554e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00593430e+00   3.00398549e+00   3.00398548e+00   2.68718166e+00   5.00742504e+00   2.20956052e+00   2.15589161e+00   2.15589160e+00   
88      2.25634481e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00552596e+00   3.00318154e+00   3.00318153e+00   2.68920545e+00   5.00390434e+00   2.21024211e+00   2.15307724e+00   2.15307724e+00   
89      2.29786225e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00512628e+00   3.00218550e+00   3.00218548e+00   2.69139716e+00   5.00044082e+00   2.21111524e+00   2.15012628e+00   2.15012628e+00   
90      2.33522794e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00479015e+00   3.00117384e+00   3.00117383e+00   2.69340680e+00   4.99752247e+00   2.21200044e+00   2.14748786e+00   2.14748786e+00   
91      2.37259363e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00447607e+00   3.00005162e+00   3.00005161e+00   2.69544442e+00   4.99479865e+00   2.21296273e+00   2.14486931e+00   2.14486931e+00   
92      2.40995932e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00418259e+00   2.99882350e+00   2.99882349e+00   2.69750216e+00   4.99226541e+00   2.21398266e+00   2.14227256e+00   2.14227256e+00   
93      2.48469070e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00363956e+00   2.99613422e+00   2.99613421e+00   2.70165518e+00   4.98763342e+00   2.21610686e+00   2.13713481e+00   2.13713481e+00   
94      2.54094961e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00329179e+00   2.99377696e+00   2.99377695e+00   2.70478302e+00   4.98478663e+00   2.21777168e+00   2.13335965e+00   2.13335965e+00   
95      2.59158263e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00300598e+00   2.99150009e+00   2.99150008e+00   2.70757766e+00   4.98254573e+00   2.21925520e+00   2.13001541e+00   2.13001541e+00   
96      2.64221565e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00274499e+00   2.98907774e+00   2.98907773e+00   2.71033970e+00   4.98061971e+00   2.22070261e+00   2.12672661e+00   2.12672661e+00   
97      2.69284867e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00250665e+00   2.98651921e+00   2.98651920e+00   2.71305819e+00   4.97900269e+00   2.22209611e+00   2.12349485e+00   2.12349485e+00   
98      2.79411471e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00207692e+00   2.98111144e+00   2.98111142e+00   2.71838238e+00   4.97647436e+00   2.22471415e+00   2.11716879e+00   2.11716879e+00   
99      2.85719972e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00185694e+00   2.97743948e+00   2.97743947e+00   2.72151676e+00   4.97566824e+00   2.22612683e+00   2.11338225e+00   2.11338225e+00   
100     2.91397623e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00167804e+00   2.97400782e+00   2.97400780e+00   2.72422620e+00   4.97530318e+00   2.22726709e+00   2.11005117e+00   2.11005117e+00   
101     2.97075274e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00151637e+00   2.97045880e+00   2.97045879e+00   2.72681136e+00   4.97529241e+00   2.22826728e+00   2.10679734e+00   2.10679734e+00   
102     3.02752925e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00137028e+00   2.96680140e+00   2.96680139e+00   2.72926030e+00   4.97563004e+00   2.22912037e+00   2.10362095e+00   2.10362095e+00   
103     3.14108227e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00110992e+00   2.95925977e+00   2.95925975e+00   2.73382272e+00   4.97710234e+00   2.23046772e+00   2.09744905e+00   2.09744905e+00   
104     3.21307509e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00097775e+00   2.95423829e+00   2.95423827e+00   2.73627230e+00   4.97892987e+00   2.23090247e+00   2.09374097e+00   2.09374097e+00   
105     3.27786863e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00087169e+00   2.94962157e+00   2.94962155e+00   2.73823240e+00   4.98099742e+00   2.23108184e+00   2.09050249e+00   2.09050249e+00   
106     3.34266217e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00077714e+00   2.94491658e+00   2.94491657e+00   2.73993290e+00   4.98348061e+00   2.23104852e+00   2.08736158e+00   2.08736158e+00   
107     3.40745571e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00069285e+00   2.94013188e+00   2.94013187e+00   2.74135966e+00   4.98637254e+00   2.23080289e+00   2.08431682e+00   2.08431682e+00   
108     3.53704280e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00054485e+00   2.93040140e+00   2.93040139e+00   2.74354461e+00   4.99309122e+00   2.22982191e+00   2.07844711e+00   2.07844711e+00   
109     3.62734528e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00046585e+00   2.92342873e+00   2.92342872e+00   2.74411244e+00   4.99899229e+00   2.22849559e+00   2.07464207e+00   2.07464207e+00   
110     3.70861751e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00040417e+00   2.91707933e+00   2.91707932e+00   2.74410175e+00   5.00490022e+00   2.22698792e+00   2.07135574e+00   2.07135573e+00   
111     3.78988974e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00035066e+00   2.91066638e+00   2.91066637e+00   2.74355192e+00   5.01139421e+00   2.22517579e+00   2.06820356e+00   2.06820356e+00   
112     3.87116198e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00030423e+00   2.90419964e+00   2.90419962e+00   2.74244795e+00   5.01846382e+00   2.22306986e+00   2.06518142e+00   2.06518142e+00   
113     4.03370644e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00022512e+00   2.89116880e+00   2.89116879e+00   2.73891328e+00   5.03391782e+00   2.21821602e+00   2.05942801e+00   2.05942801e+00   
114     4.16649123e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00018019e+00   2.88039177e+00   2.88039176e+00   2.73369154e+00   5.04875902e+00   2.21319076e+00   2.05520585e+00   2.05520585e+00   
115     4.28599754e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00014717e+00   2.87065807e+00   2.87065805e+00   2.72772236e+00   5.06326040e+00   2.20816891e+00   2.05164087e+00   2.05164087e+00   
116     4.40550386e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00012020e+00   2.86090572e+00   2.86090570e+00   2.72049832e+00   5.07888293e+00   2.20269327e+00   2.04829805e+00   2.04829805e+00   
117     4.52501017e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00009817e+00   2.85114902e+00   2.85114901e+00   2.71204710e+00   5.09560508e+00   2.19681008e+00   2.04516496e+00   2.04516496e+00   
118     4.76402279e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00006299e+00   2.83166559e+00   2.83166558e+00   2.69244418e+00   5.13156007e+00   2.18428864e+00   2.03935191e+00   2.03935190e+00   
119     4.96445985e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00004577e+00   2.81542730e+00   2.81542729e+00   2.67137064e+00   5.16612947e+00   2.17251751e+00   2.03522690e+00   2.03522690e+00   
120     5.14485320e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00003419e+00   2.80091631e+00   2.80091630e+00   2.65029716e+00   5.19954416e+00   2.16148863e+00   2.03186293e+00   2.03186293e+00   
121     5.32524655e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00002554e+00   2.78652640e+00   2.78652639e+00   2.62740825e+00   5.23522030e+00   2.15016940e+00   2.02881603e+00   2.02881603e+00   
122     5.50563991e-09   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00001908e+00   2.77227311e+00   2.77227310e+00   2.60319238e+00   5.27185635e+00   2.13875240e+00   2.02605727e+00   2.02605727e+00   
