Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
94       4.40310000e-06    3.66312849e-01    1.53896157e-03    3.64773887e-04    3.64773887e-04   -3.64773887e-04
95       4.45430000e-06    3.36194644e-01    1.54752854e-03    3.34647115e-04    3.34647115e-04   -3.34647115e-04
96       4.50550000e-06    3.05728540e-01    1.55531537e-03    3.04173225e-04    3.04173225e-04   -3.04173225e-04
97       4.55670000e-06    2.74946065e-01    1.56231400e-03    2.73383751e-04    2.73383751e-04   -2.73383751e-04
98       4.60790000e-06    2.43879071e-01    1.56851715e-03    2.42310554e-04    2.42310554e-04   -2.42310554e-04
99       4.65910000e-06    2.12559708e-01    1.57391838e-03    2.10985790e-04    2.10985790e-04   -2.10985790e-04
100      4.71030000e-06    1.81020385e-01    1.57851209e-03    1.79441873e-04    1.79441873e-04   -1.79441873e-04
101      4.76150000e-06    1.49293740e-01    1.58229351e-03    1.47711447e-04    1.47711447e-04   -1.47711447e-04
102      4.81270000e-06    1.17412604e-01    1.58525869e-03    1.15827345e-04    1.15827345e-04   -1.15827345e-04
103      4.86390000e-06    8.54099673e-02    1.58740455e-03    8.38225628e-05    8.38225628e-05   -8.38225628e-05
104      4.91510000e-06    5.33189474e-02    1.58872884e-03    5.17302185e-05    5.17302185e-05   -5.17302185e-05
105      4.96630000e-06    2.11727523e-02    1.58923018e-03    1.95835221e-05    1.95835221e-05   -1.95835221e-05
106      5.01750000e-06   -1.09953527e-02    1.58890802e-03   -1.25842607e-05   -1.25842607e-05    1.25842607e-05
107      5.06870000e-06   -4.31520796e-02    1.58776268e-03   -4.47398422e-05   -4.47398422e-05    4.47398422e-05
108      5.11990000e-06   -7.52641520e-02    1.58579532e-03   -7.68499474e-05   -7.68499474e-05    7.68499474e-05
109      5.17110000e-06   -1.07298340e-01    1.58300796e-03   -1.08881348e-04   -1.08881348e-04    1.08881348e-04
110      5.22230000e-06   -1.39221494e-01    1.57940346e-03   -1.40800898e-04   -1.40800898e-04    1.40800898e-04
111      5.27350000e-06   -1.71000580e-01    1.57498552e-03   -1.72575566e-04   -1.72575566e-04    1.72575566e-04
112      5.32470000e-06   -2.02602713e-01    1.56975871e-03   -2.04172471e-04   -2.04172471e-04    2.04172471e-04
113      5.37590000e-06   -2.33995189e-01    1.56372840e-03   -2.35558917e-04   -2.35558917e-04    2.35558917e-04
114      5.42710000e-06   -2.65145523e-01    1.55690082e-03   -2.66702424e-04   -2.66702424e-04    2.66702424e-04
115      5.47830000e-06   -2.96021482e-01    1.54928300e-03   -2.97570765e-04   -2.97570765e-04    2.97570765e-04
116      5.52950000e-06   -3.26591113e-01    1.54088283e-03   -3.28131996e-04   -3.28131996e-04    3.28131996e-04
117      5.58070000e-06   -3.56822784e-01    1.53170895e-03   -3.58354493e-04   -3.58354493e-04    3.58354493e-04
118      5.63190000e-06   -3.86685209e-01    1.52177085e-03   -3.88206980e-04   -3.88206980e-04    3.88206980e-04
119      5.68310000e-06   -4.16147487e-01    1.51107879e-03   -4.17658566e-04   -4.17658566e-04    4.17658566e-04
120      5.73430000e-06   -4.45179130e-01    1.49964382e-03   -4.46678774e-04   -4.46678774e-04    4.46678774e-04
121      5.78550000e-06   -4.73750095e-01    1.48747773e-03   -4.75237573e-04   -4.75237573e-04    4.75237573e-04
122      5.83670000e-06   -5.01830817e-01    1.47459312e-03   -5.03305410e-04   -5.03305410e-04    5.03305410e-04
123      5.88790000e-06   -5.29392238e-01    1.46100327e-03   -5.30853241e-04   -5.30853241e-04    5.30853241e-04
124      5.93910000e-06   -5.56405837e-01    1.44672225e-03   -5.57852559e-04   -5.57852559e-04    5.57852559e-04
125      5.99030000e-06   -5.82843659e-01    1.43176480e-03   -5.84275423e-04   -5.84275423e-04    5.84275423e-04
126      6.04150000e-06   -6.08678346e-01    1.41614638e-03   -6.10094492e-04   -6.10094492e-04    6.10094492e-04
127      6.09270000e-06   -6.33883165e-01    1.39988313e-03   -6.35283048e-04   -6.35283048e-04    6.35283048e-04
128      6.14390000e-06   -6.58432032e-01    1.38299187e-03   -6.59815024e-04   -6.59815024e-04    6.59815024e-04
