Index       TIME              V(1)              I(V1)      
206      2.79871900e-04   -9.53512887e-01    9.53512887e-02
207      2.80281500e-04   -9.45442408e-01    9.45442408e-02
208      2.80691100e-04   -9.36745760e-01    9.36745760e-02
209      2.81100700e-04   -9.27428705e-01    9.27428705e-02
210      2.81510300e-04   -9.17497412e-01    9.17497412e-02
211      2.81919900e-04   -9.06958459e-01    9.06958459e-02
212      2.82329500e-04   -8.95818827e-01    8.95818827e-02
213      2.82739100e-04   -8.84085893e-01    8.84085893e-02
214      2.83148700e-04   -8.71767427e-01    8.71767427e-02
215      2.83558300e-04   -8.58871588e-01    8.58871588e-02
216      2.83967900e-04   -8.45406918e-01    8.45406918e-02
217      2.84377500e-04   -8.31382333e-01    8.31382333e-02
218      2.84787100e-04   -8.16807123e-01    8.16807123e-02
219      2.85196700e-04   -8.01690940e-01    8.01690940e-02
220      2.85606300e-04   -7.86043797e-01    7.86043797e-02
221      2.86015900e-04   -7.69876055e-01    7.69876055e-02
222      2.86425500e-04   -7.53198423e-01    7.53198423e-02
223      2.86835100e-04   -7.36021947e-01    7.36021947e-02
224      2.87244700e-04   -7.18358003e-01    7.18358003e-02
225      2.87654300e-04   -7.00218289e-01    7.00218289e-02
226      2.88063900e-04   -6.81614820e-01    6.81614820e-02
227      2.88473500e-04   -6.62559916e-01    6.62559916e-02
228      2.88883100e-04   -6.43066198e-01    6.43066198e-02
229      2.89292700e-04   -6.23146576e-01    6.23146576e-02
230      2.89702300e-04   -6.02814244e-01    6.02814244e-02
231      2.90111900e-04   -5.82082666e-01    5.82082666e-02
232      2.90521500e-04   -5.60965575e-01    5.60965575e-02
233      2.90931100e-04   -5.39476955e-01    5.39476955e-02
234      2.91340700e-04   -5.17631039e-01    5.17631039e-02
235      2.91750300e-04   -4.95442295e-01    4.95442295e-02
236      2.92159900e-04   -4.72925419e-01    4.72925419e-02
237      2.92569500e-04   -4.50095324e-01    4.50095324e-02
238      2.92979100e-04   -4.26967130e-01    4.26967130e-02
239      2.93388700e-04   -4.03556155e-01    4.03556155e-02
240      2.93798300e-04   -3.79877905e-01    3.79877905e-02
241      2.94207900e-04   -3.55948060e-01    3.55948060e-02
242      2.94617500e-04   -3.31782471e-01    3.31782471e-02
243      2.95027100e-04   -3.07397142e-01    3.07397142e-02
244      2.95436700e-04   -2.82808223e-01    2.82808223e-02
245      2.95846300e-04   -2.58032000e-01    2.58032000e-02
246      2.96255900e-04   -2.33084883e-01    2.33084883e-02
247      2.96665500e-04   -2.07983392e-01    2.07983392e-02
248      2.97075100e-04   -1.82744154e-01    1.82744154e-02
249      2.97484700e-04   -1.57383884e-01    1.57383884e-02
250      2.97894300e-04   -1.31919379e-01    1.31919379e-02
251      2.98303900e-04   -1.06367503e-01    1.06367503e-02
252      2.98713500e-04   -8.07451804e-02    8.07451804e-03
253      2.99123100e-04   -5.50693797e-02    5.50693797e-03
254      2.99532700e-04   -2.93571065e-02    2.93571065e-03
255      2.99942300e-04   -3.62538998e-03    3.62538998e-04
256      3.00000000e-04    2.81792562e-15   -2.81792562e-16
End of Xyce(TM) Simulation
