Index       TIME              V(1)              I(V1)      
241      1.69233973e-04   -9.35087600e-01    9.35087600e-02
242      1.70122497e-04   -9.53406738e-01    9.53406738e-02
243      1.71011021e-04   -9.68755142e-01    9.68755142e-02
244      1.71899545e-04   -9.81084989e-01    9.81084989e-02
245      1.72788070e-04   -9.90357859e-01    9.90357859e-02
246      1.73676594e-04   -9.96544859e-01    9.96544859e-02
247      1.74565118e-04   -9.99626711e-01    9.99626711e-02
248      1.75453642e-04   -9.99593812e-01    9.99593812e-02
249      1.76342167e-04   -9.96446264e-01    9.96446264e-02
250      1.77230691e-04   -9.90193876e-01    9.90193876e-02
251      1.78119215e-04   -9.80856128e-01    9.80856128e-02
252      1.79007739e-04   -9.68462117e-01    9.68462117e-02
253      1.79896263e-04   -9.53050462e-01    9.53050462e-02
254      1.80784788e-04   -9.34669183e-01    9.34669183e-02
255      1.81673312e-04   -9.13375555e-01    9.13375555e-02
256      1.82561836e-04   -8.89235927e-01    8.89235927e-02
257      1.83450360e-04   -8.62325517e-01    8.62325517e-02
258      1.84338884e-04   -8.32728174e-01    8.32728174e-02
259      1.85227409e-04   -8.00536122e-01    8.00536122e-02
260      1.86115933e-04   -7.65849669e-01    7.65849669e-02
261      1.87004457e-04   -7.28776893e-01    7.28776893e-02
262      1.87892981e-04   -6.89433311e-01    6.89433311e-02
263      1.88781506e-04   -6.47941515e-01    6.47941515e-02
264      1.89670030e-04   -6.04430788e-01    6.04430788e-02
265      1.90558554e-04   -5.59036707e-01    5.59036707e-02
266      1.91447078e-04   -5.11900716e-01    5.11900716e-02
267      1.92335602e-04   -4.63169685e-01    4.63169685e-02
268      1.93224127e-04   -4.12995458e-01    4.12995458e-02
269      1.94112651e-04   -3.61534373e-01    3.61534373e-02
270      1.95001175e-04   -3.08946777e-01    3.08946777e-02
271      1.95889699e-04   -2.55396530e-01    2.55396530e-02
272      1.96778223e-04   -2.01050490e-01    2.01050490e-02
273      1.97666748e-04   -1.46077993e-01    1.46077993e-02
274      1.98555272e-04   -9.06503296e-02    9.06503296e-03
275      1.99443796e-04   -3.49402078e-02    3.49402078e-03
276      2.00000000e-04   -4.89859482e-16    1.39191442e-16
End of Xyce(TM) Simulation
