Index    FREQ    Re(V(1))    Im(V(1))    VR(1)    VI(1)    VM(1)    VP(1)    VDB(1)    Re(I(V1))    Im(I(V1))    IR(V1)    II(V1)    IM(V1)    IP(V1)    IDB(V1)    
46   -4.00000000e+004   -2.49631405e-004   -5.88662491e-004   -2.49631405e-004   -5.88662491e-004   6.39405479e-004   -1.97187511e+000   -6.38844729e+001   2.49779352e-007   5.88599752e-007   2.49779352e-007   5.88599752e-007   6.39405499e-007   1.16946622e+000   -1.23884473e+002   
47   -3.00000000e+004   -7.03464105e-002   5.17613672e-002   -7.03464105e-002   5.17613672e-002   8.73376013e-002   2.50723725e+000   -2.11759748e+001   7.03366537e-005   -5.17746272e-005   7.03366537e-005   -5.17746272e-005   8.73376028e-005   -6.34543902e-001   -8.11759746e+001   
48   -2.00000000e+004   -6.44570228e-004   -4.22634870e-004   -6.44570228e-004   -4.22634870e-004   7.70772996e-004   -2.56123150e+000   -6.22614702e+001   6.44623338e-007   4.22553870e-007   6.44623338e-007   4.22553870e-007   7.70773002e-007   5.80235492e-001   -1.22261470e+002   
49   -1.00000000e+004   -9.20403026e-002   2.85256883e-001   -9.20403026e-002   2.85256883e-001   2.99738063e-001   1.88290815e+000   -1.04651621e+001   9.20223794e-005   -2.85262666e-004   9.20223794e-005   -2.85262666e-004   2.99738064e-004   -1.25874733e+000   -7.04651621e+001   
50   0.00000000e-001   9.43061545e-001   0.00000000e-001   9.43061545e-001   0.00000000e-001   9.43061545e-001   0.00000000e-001   -5.09199283e-001   -9.43061545e-004   0.00000000e-001   -9.43061545e-004   0.00000000e-001   9.43061545e-004   3.14159265e+000   -6.05091993e+001   
51   1.00000000e+004   -9.20403026e-002   -2.85256883e-001   -9.20403026e-002   -2.85256883e-001   2.99738063e-001   -1.88290815e+000   -1.04651621e+001   9.20223794e-005   2.85262666e-004   9.20223794e-005   2.85262666e-004   2.99738064e-004   1.25874733e+000   -7.04651621e+001   
52   2.00000000e+004   -6.44570228e-004   4.22634870e-004   -6.44570228e-004   4.22634870e-004   7.70772996e-004   2.56123150e+000   -6.22614702e+001   6.44623338e-007   -4.22553870e-007   6.44623338e-007   -4.22553870e-007   7.70773002e-007   -5.80235492e-001   -1.22261470e+002   
53   3.00000000e+004   -7.03464105e-002   -5.17613672e-002   -7.03464105e-002   -5.17613672e-002   8.73376013e-002   -2.50723725e+000   -2.11759748e+001   7.03366537e-005   5.17746272e-005   7.03366537e-005   5.17746272e-005   8.73376028e-005   6.34543902e-001   -8.11759746e+001   
54   4.00000000e+004   -2.49631405e-004   5.88662491e-004   -2.49631405e-004   5.88662491e-004   6.39405479e-004   1.97187511e+000   -6.38844729e+001   2.49779352e-007   -5.88599752e-007   2.49779352e-007   -5.88599752e-007   6.39405499e-007   -1.16946622e+000   -1.23884473e+002   
55   5.00000000e+004   -3.89976137e-002   -3.79877955e-004   -3.89976137e-002   -3.79877955e-004   3.89994639e-002   -3.13185191e+000   -2.81788273e+001   3.89974944e-005   3.92129417e-007   3.89974944e-005   3.92129417e-007   3.89994658e-005   1.00549076e-002   -8.81788268e+001   
