Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
29       2.87128713e-05    1.42244366e+00    1.42244366e+00    0.00000000e+00    1.42244366e+00    0.00000000e+00    3.06070150e+00   -1.42244374e-03   -1.42244374e-03    0.00000000e+00    1.42244374e-03    1.80000000e+02   -5.69392980e+01    1.42244366e-03    1.42244366e-03    0.00000000e+00    1.42244366e-03    0.00000000e+00   -5.69392985e+01
30       2.97029703e-05    1.42244318e+00    1.42244318e+00    0.00000000e+00    1.42244318e+00    0.00000000e+00    3.06069856e+00   -1.42244308e-03   -1.42244308e-03    0.00000000e+00    1.42244308e-03    1.80000000e+02   -5.69393021e+01    1.42244318e-03    1.42244318e-03    0.00000000e+00    1.42244318e-03    0.00000000e+00   -5.69393014e+01
31       3.06930693e-05    1.42244384e+00    1.42244384e+00    0.00000000e+00    1.42244384e+00    0.00000000e+00    3.06070255e+00   -1.42244397e-03   -1.42244397e-03    0.00000000e+00    1.42244397e-03    1.80000000e+02   -5.69392966e+01    1.42244384e-03    1.42244384e-03    0.00000000e+00    1.42244384e-03    0.00000000e+00   -5.69392975e+01
32       3.16831683e-05    1.42244302e+00    1.42244302e+00    0.00000000e+00    1.42244302e+00    0.00000000e+00    3.06069758e+00   -1.42244286e-03   -1.42244286e-03    0.00000000e+00    1.42244286e-03    1.80000000e+02   -5.69393034e+01    1.42244302e-03    1.42244302e-03    0.00000000e+00    1.42244302e-03    0.00000000e+00   -5.69393024e+01
33       3.26732673e-05    1.42244399e+00    1.42244399e+00    0.00000000e+00    1.42244399e+00    0.00000000e+00    3.06070347e+00   -1.42244417e-03   -1.42244417e-03    0.00000000e+00    1.42244417e-03    1.80000000e+02   -5.69392954e+01    1.42244399e-03    1.42244399e-03    0.00000000e+00    1.42244399e-03    0.00000000e+00   -5.69392965e+01
34       3.36633663e-05    1.42244288e+00    1.42244288e+00    0.00000000e+00    1.42244288e+00    0.00000000e+00    3.06069670e+00   -1.42244267e-03   -1.42244267e-03    0.00000000e+00    1.42244267e-03    1.80000000e+02   -5.69393046e+01    1.42244288e-03    1.42244288e-03    0.00000000e+00    1.42244288e-03    0.00000000e+00   -5.69393033e+01
35       3.46534653e-05    1.42244413e+00    1.42244413e+00    0.00000000e+00    1.42244413e+00    0.00000000e+00    3.06070434e+00   -1.42244436e-03   -1.42244436e-03    0.00000000e+00    1.42244436e-03    1.80000000e+02   -5.69392942e+01    1.42244413e-03    1.42244413e-03    0.00000000e+00    1.42244413e-03    0.00000000e+00   -5.69392957e+01
36       3.56435644e-05    1.42244273e+00    1.42244273e+00    0.00000000e+00    1.42244273e+00    0.00000000e+00    3.06069583e+00   -1.42244247e-03   -1.42244247e-03    0.00000000e+00    1.42244247e-03    1.80000000e+02   -5.69393058e+01    1.42244273e-03    1.42244273e-03    0.00000000e+00    1.42244273e-03    0.00000000e+00   -5.69393042e+01
37       3.66336634e-05    1.42244427e+00    1.42244427e+00    0.00000000e+00    1.42244427e+00    0.00000000e+00    3.06070523e+00   -1.42244456e-03   -1.42244456e-03    0.00000000e+00    1.42244456e-03    1.80000000e+02   -5.69392930e+01    1.42244427e-03    1.42244427e-03    0.00000000e+00    1.42244427e-03    0.00000000e+00   -5.69392948e+01
38       3.76237624e-05    1.42244258e+00    1.42244258e+00    0.00000000e+00    1.42244258e+00    0.00000000e+00    3.06069489e+00   -1.42244227e-03   -1.42244227e-03    0.00000000e+00    1.42244227e-03    1.80000000e+02   -5.69393070e+01    1.42244258e-03    1.42244258e-03    0.00000000e+00    1.42244258e-03    0.00000000e+00   -5.69393051e+01
