Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
25       2.47524752e-05    1.39647168e+00    1.39647168e+00    0.00000000e+00    1.39647168e+00    0.00000000e+00    2.90064263e+00   -2.79294326e-03   -2.79294326e-03    0.00000000e+00    2.79294326e-03    1.80000000e+02   -5.10787577e+01    2.79294335e-03    2.79294335e-03    0.00000000e+00    2.79294335e-03    0.00000000e+00   -5.10787575e+01
26       2.57425743e-05    1.39647211e+00    1.39647211e+00    0.00000000e+00    1.39647211e+00    0.00000000e+00    2.90064530e+00   -2.79294425e-03   -2.79294425e-03    0.00000000e+00    2.79294425e-03    1.80000000e+02   -5.10787547e+01    2.79294421e-03    2.79294421e-03    0.00000000e+00    2.79294421e-03    0.00000000e+00   -5.10787548e+01
27       2.67326733e-05    1.39647195e+00    1.39647195e+00    0.00000000e+00    1.39647195e+00    0.00000000e+00    2.90064432e+00   -2.79294390e-03   -2.79294390e-03    0.00000000e+00    2.79294390e-03    1.80000000e+02   -5.10787558e+01    2.79294390e-03    2.79294390e-03    0.00000000e+00    2.79294390e-03    0.00000000e+00   -5.10787558e+01
28       2.77227723e-05    1.39647187e+00    1.39647187e+00    0.00000000e+00    1.39647187e+00    0.00000000e+00    2.90064382e+00   -2.79294370e-03   -2.79294370e-03    0.00000000e+00    2.79294370e-03    1.80000000e+02   -5.10787564e+01    2.79294373e-03    2.79294373e-03    0.00000000e+00    2.79294373e-03    0.00000000e+00   -5.10787563e+01
29       2.87128713e-05    1.39647216e+00    1.39647216e+00    0.00000000e+00    1.39647216e+00    0.00000000e+00    2.90064564e+00   -2.79294439e-03   -2.79294439e-03    0.00000000e+00    2.79294439e-03    1.80000000e+02   -5.10787542e+01    2.79294432e-03    2.79294432e-03    0.00000000e+00    2.79294432e-03    0.00000000e+00   -5.10787544e+01
30       2.97029703e-05    1.39647168e+00    1.39647168e+00    0.00000000e+00    1.39647168e+00    0.00000000e+00    2.90064263e+00   -2.79294325e-03   -2.79294325e-03    0.00000000e+00    2.79294325e-03    1.80000000e+02   -5.10787578e+01    2.79294335e-03    2.79294335e-03    0.00000000e+00    2.79294335e-03    0.00000000e+00   -5.10787575e+01
31       3.06930693e-05    1.39647233e+00    1.39647233e+00    0.00000000e+00    1.39647233e+00    0.00000000e+00    2.90064672e+00   -2.79294480e-03   -2.79294480e-03    0.00000000e+00    2.79294480e-03    1.80000000e+02   -5.10787530e+01    2.79294467e-03    2.79294467e-03    0.00000000e+00    2.79294467e-03    0.00000000e+00   -5.10787534e+01
32       3.16831683e-05    1.39647151e+00    1.39647151e+00    0.00000000e+00    1.39647151e+00    0.00000000e+00    2.90064162e+00   -2.79294287e-03   -2.79294287e-03    0.00000000e+00    2.79294287e-03    1.80000000e+02   -5.10787590e+01    2.79294303e-03    2.79294303e-03    0.00000000e+00    2.79294303e-03    0.00000000e+00   -5.10787585e+01
33       3.26732673e-05    1.39647249e+00    1.39647249e+00    0.00000000e+00    1.39647249e+00    0.00000000e+00    2.90064768e+00   -2.79294516e-03   -2.79294516e-03    0.00000000e+00    2.79294516e-03    1.80000000e+02   -5.10787518e+01    2.79294498e-03    2.79294498e-03    0.00000000e+00    2.79294498e-03    0.00000000e+00   -5.10787524e+01
34       3.36633663e-05    1.39647137e+00    1.39647137e+00    0.00000000e+00    1.39647137e+00    0.00000000e+00    2.90064070e+00   -2.79294252e-03   -2.79294252e-03    0.00000000e+00    2.79294252e-03    1.80000000e+02   -5.10787600e+01    2.79294273e-03    2.79294273e-03    0.00000000e+00    2.79294273e-03    0.00000000e+00   -5.10787594e+01
35       3.46534653e-05    1.39647263e+00    1.39647263e+00    0.00000000e+00    1.39647263e+00    0.00000000e+00    2.90064859e+00   -2.79294550e-03   -2.79294550e-03    0.00000000e+00    2.79294550e-03    1.80000000e+02   -5.10787508e+01    2.79294527e-03    2.79294527e-03    0.00000000e+00    2.79294527e-03    0.00000000e+00   -5.10787515e+01
36       3.56435644e-05    1.39647122e+00    1.39647122e+00    0.00000000e+00    1.39647122e+00    0.00000000e+00    2.90063979e+00   -2.79294218e-03   -2.79294218e-03    0.00000000e+00    2.79294218e-03    1.80000000e+02   -5.10787611e+01    2.79294244e-03    2.79294244e-03    0.00000000e+00    2.79294244e-03    0.00000000e+00   -5.10787603e+01
