Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
228      2.73730284e-06   -1.60773891e-02   -7.71799660e-01   -7.71799660e-01
229      2.74152199e-06   -1.61123519e-02   -7.71855817e-01   -7.71855817e-01
230      2.74574115e-06   -1.61333921e-02   -7.71889552e-01   -7.71889552e-01
231      2.74996030e-06   -1.61404947e-02   -7.71900931e-01   -7.71900931e-01
232      2.75417946e-06   -1.61336545e-02   -7.71889973e-01   -7.71889973e-01
233      2.75839861e-06   -1.61128764e-02   -7.71856658e-01   -7.71856658e-01
234      2.76261777e-06   -1.60781755e-02   -7.71800925e-01   -7.71800925e-01
235      2.76683692e-06   -1.60295768e-02   -7.71722667e-01   -7.71722667e-01
236      2.77105608e-06   -1.59671155e-02   -7.71621738e-01   -7.71621738e-01
237      2.77527524e-06   -1.58908369e-02   -7.71497945e-01   -7.71497945e-01
238      2.77949439e-06   -1.58007962e-02   -7.71351050e-01   -7.71351050e-01
239      2.78371355e-06   -1.56970585e-02   -7.71180768e-01   -7.71180768e-01
240      2.78793270e-06   -1.55796991e-02   -7.70986765e-01   -7.70986765e-01
241      2.79215186e-06   -1.54488031e-02   -7.70768653e-01   -7.70768653e-01
242      2.79637101e-06   -1.53044653e-02   -7.70525990e-01   -7.70525990e-01
243      2.80059017e-06   -1.51467907e-02   -7.70258276e-01   -7.70258276e-01
244      2.80480932e-06   -1.49758937e-02   -7.69964946e-01   -7.69964946e-01
245      2.80902848e-06   -1.47918986e-02   -7.69645369e-01   -7.69645369e-01
246      2.81324763e-06   -1.45949394e-02   -7.69298839e-01   -7.69298839e-01
247      2.81746679e-06   -1.43851596e-02   -7.68924571e-01   -7.68924571e-01
248      2.82168595e-06   -1.41627124e-02   -7.68521694e-01   -7.68521694e-01
249      2.82590510e-06   -1.39277603e-02   -7.68089239e-01   -7.68089239e-01
250      2.83012426e-06   -1.36804752e-02   -7.67626132e-01   -7.67626132e-01
251      2.83434341e-06   -1.34210386e-02   -7.67131182e-01   -7.67131182e-01
252      2.83856257e-06   -1.31496412e-02   -7.66603067e-01   -7.66603067e-01
253      2.84278172e-06   -1.28664827e-02   -7.66040318e-01   -7.66040318e-01
254      2.84700088e-06   -1.25717725e-02   -7.65441303e-01   -7.65441303e-01
255      2.85122003e-06   -1.22657286e-02   -7.64804203e-01   -7.64804203e-01
256      2.85543919e-06   -1.19485787e-02   -7.64126987e-01   -7.64126987e-01
257      2.85965835e-06   -1.16205593e-02   -7.63407384e-01   -7.63407384e-01
258      2.86387750e-06   -1.12819162e-02   -7.62642843e-01   -7.62642843e-01
259      2.86809666e-06   -1.09329044e-02   -7.61830495e-01   -7.61830495e-01
260      2.87231581e-06   -1.05737883e-02   -7.60967099e-01   -7.60967099e-01
261      2.87653497e-06   -1.02048416e-02   -7.60048976e-01   -7.60048976e-01
262      2.88075412e-06   -9.82634767e-03   -7.59071938e-01   -7.59071938e-01
263      2.88497328e-06   -9.43860004e-03   -7.58031187e-01   -7.58031187e-01
264      2.88919243e-06   -9.04190242e-03   -7.56921198e-01   -7.56921198e-01
265      2.89341159e-06   -8.63656949e-03   -7.55735570e-01   -7.55735570e-01
266      2.89763074e-06   -8.22292759e-03   -7.54466835e-01   -7.54466835e-01
267      2.90184990e-06   -7.80131576e-03   -7.53106212e-01   -7.53106212e-01
268      2.90606906e-06   -7.37208712e-03   -7.51643289e-01   -7.51643289e-01
269      2.91028821e-06   -6.93561080e-03   -7.50065594e-01   -7.50065594e-01
270      2.91450737e-06   -6.49227454e-03   -7.48358030e-01   -7.48358030e-01
271      2.91872652e-06   -6.04248845e-03   -7.46502087e-01   -7.46502087e-01
272      2.92294568e-06   -5.58669023e-03   -7.44474744e-01   -7.44474744e-01
273      2.92716483e-06   -5.12535282e-03   -7.42246896e-01   -7.42246896e-01
274      2.93138399e-06   -4.65899585e-03   -7.39781021e-01   -7.39781021e-01
275      2.93560314e-06   -4.18820309e-03   -7.37027642e-01   -7.37027642e-01
276      2.93982230e-06   -3.71365034e-03   -7.33919704e-01   -7.33919704e-01
277      2.94404145e-06   -3.23615170e-03   -7.30363266e-01   -7.30363266e-01
278      2.94826061e-06   -2.75674092e-03   -7.26221185e-01   -7.26221185e-01
279      2.95247977e-06   -2.27682439e-03   -7.21282476e-01   -7.21282476e-01
280      2.95669892e-06   -1.79849489e-03   -7.15199499e-01   -7.15199499e-01
281      2.96091808e-06   -1.32525351e-03   -7.07343543e-01   -7.07343543e-01
282      2.96471532e-06   -9.09964495e-04   -6.97561228e-01   -6.97561228e-01
283      2.96775759e-06   -5.91838479e-04   -6.86441001e-01   -6.86441001e-01
284      2.96928565e-06   -4.41455531e-04   -6.78862060e-01   -6.78862060e-01
285      2.97081371e-06   -3.01927440e-04   -6.69041432e-01   -6.69041432e-01
286      2.97200608e-06   -2.04721823e-04   -6.58997321e-01   -6.58997321e-01
287      2.97294755e-06   -1.38597965e-04   -6.48913353e-01   -6.48913353e-01
288      2.97371128e-06   -9.40664717e-05   -6.38894004e-01   -6.38894004e-01
289      2.97436571e-06   -6.35700576e-05   -6.28763942e-01   -6.28763942e-01
290      2.97495470e-06   -4.25087052e-05   -6.18360520e-01   -6.18360520e-01
291      2.97548479e-06   -2.84780853e-05   -6.08005175e-01   -6.08005175e-01
292      2.97601488e-06   -1.84866366e-05   -5.96835188e-01   -5.96835188e-01
293      2.97654498e-06   -1.17034403e-05   -5.85016889e-01   -5.85016889e-01
294      2.97707507e-06   -7.27365007e-06   -5.72721392e-01   -5.72721392e-01
295      2.97760516e-06   -4.46317037e-06   -5.60095664e-01   -5.60095664e-01
296      2.97813525e-06   -2.71555634e-06   -5.47251140e-01   -5.47251140e-01
297      2.97919543e-06   -9.90915699e-07   -5.21189890e-01   -5.21189890e-01
298      2.98025561e-06   -3.58226129e-07   -4.94887114e-01   -4.94887114e-01
299      2.98131579e-06   -1.28989354e-07   -4.68481684e-01   -4.68481684e-01
300      2.98343615e-06   -1.66403867e-08   -4.15540408e-01   -4.15540408e-01
301      2.98767688e-06   -2.74512961e-10   -3.09404339e-01   -3.09404339e-01
302      2.99191761e-06   -4.68301614e-12   -2.03045395e-01   -2.03045395e-01
303      2.99615833e-06   -1.69330186e-13   -9.65422507e-02   -9.65422507e-02
304      3.00000000e-06   -2.74860647e-21   -2.93859446e-15   -2.93859446e-15
End of Xyce(TM) Simulation
