Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
79   1.03520906e-005   1.42379427e+000   1.42379427e+000   0.00000000e-001   -1.42379251e-003   
80   1.04395062e-005   1.42365637e+000   1.42365637e+000   0.00000000e-001   -1.42365479e-003   
81   1.05269218e-005   1.42353275e+000   1.42353275e+000   0.00000000e-001   -1.42353134e-003   
82   1.06143374e-005   1.42342190e+000   1.42342190e+000   0.00000000e-001   -1.42342063e-003   
83   1.07017529e-005   1.42332246e+000   1.42332246e+000   0.00000000e-001   -1.42332132e-003   
84   1.07891685e-005   1.42323323e+000   1.42323323e+000   0.00000000e-001   -1.42323221e-003   
85   1.09639997e-005   1.42308780e+000   1.42308780e+000   0.00000000e-001   -1.42308697e-003   
86   1.11213478e-005   1.42297919e+000   1.42297919e+000   0.00000000e-001   -1.42297850e-003   
87   1.12786959e-005   1.42288899e+000   1.42288899e+000   0.00000000e-001   -1.42288842e-003   
88   1.14360439e-005   1.42281406e+000   1.42281406e+000   0.00000000e-001   -1.42281358e-003   
89   1.15933920e-005   1.42275178e+000   1.42275178e+000   0.00000000e-001   -1.42275138e-003   
90   1.17507401e-005   1.42270000e+000   1.42270000e+000   0.00000000e-001   -1.42269967e-003   
91   1.19080881e-005   1.42265695e+000   1.42265695e+000   0.00000000e-001   -1.42265667e-003   
92   1.22227842e-005   1.42259560e+000   1.42259560e+000   0.00000000e-001   -1.42259541e-003   
93   1.25374804e-005   1.42255191e+000   1.42255191e+000   0.00000000e-001   -1.42255177e-003   
94   1.28521765e-005   1.42252078e+000   1.42252078e+000   0.00000000e-001   -1.42252069e-003   
95   1.31668726e-005   1.42249860e+000   1.42249860e+000   0.00000000e-001   -1.42249853e-003   
96   1.37962649e-005   1.42247401e+000   1.42247401e+000   0.00000000e-001   -1.42247397e-003   
97   1.44256572e-005   1.42246039e+000   1.42246039e+000   0.00000000e-001   -1.42246037e-003   
98   1.50550494e-005   1.42245285e+000   1.42245285e+000   0.00000000e-001   -1.42245284e-003   
