Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
60       6.77696418e-06    1.08664918e+00    1.08664918e+00    0.00000000e+00    1.08664918e+00    0.00000000e+00    7.21787127e-01   -2.17339466e-03   -2.17339466e-03    0.00000000e+00    2.17339466e-03    1.80000000e+02   -5.32572281e+01    2.17329836e-03    2.17329836e-03    0.00000000e+00    2.17329836e-03    0.00000000e+00   -5.32576130e+01
61       6.98868799e-06    1.10705385e+00    1.10705385e+00    0.00000000e+00    1.10705385e+00    0.00000000e+00    8.83374931e-01   -2.21420407e-03   -2.21420407e-03    0.00000000e+00    2.21420407e-03    1.80000000e+02   -5.30956471e+01    2.21410770e-03    2.21410770e-03    0.00000000e+00    2.21410770e-03    0.00000000e+00   -5.30960252e+01
62       7.20041179e-06    1.12747280e+00    1.12747280e+00    0.00000000e+00    1.12747280e+00    0.00000000e+00    1.04212144e+00   -2.25504203e-03   -2.25504203e-03    0.00000000e+00    2.25504203e-03    1.80000000e+02   -5.29369072e+01    2.25494559e-03    2.25494559e-03    0.00000000e+00    2.25494559e-03    0.00000000e+00   -5.29372786e+01
63       7.41213560e-06    1.14790551e+00    1.14790551e+00    0.00000000e+00    1.14790551e+00    0.00000000e+00    1.19812284e+00   -2.29590753e-03   -2.29590753e-03    0.00000000e+00    2.29590753e-03    1.80000000e+02   -5.27809121e+01    2.29581103e-03    2.29581103e-03    0.00000000e+00    2.29581103e-03    0.00000000e+00   -5.27812772e+01
64       7.62385940e-06    1.16835152e+00    1.16835152e+00    0.00000000e+00    1.16835152e+00    0.00000000e+00    1.35147058e+00   -2.33679962e-03   -2.33679962e-03    0.00000000e+00    2.33679962e-03    1.80000000e+02   -5.26275706e+01    2.33670305e-03    2.33670305e-03    0.00000000e+00    2.33670305e-03    0.00000000e+00   -5.26279295e+01
65       7.83558321e-06    1.18881037e+00    1.18881037e+00    0.00000000e+00    1.18881037e+00    0.00000000e+00    1.50225168e+00   -2.37771737e-03   -2.37771737e-03    0.00000000e+00    2.37771737e-03    1.80000000e+02   -5.24767954e+01    2.37762074e-03    2.37762074e-03    0.00000000e+00    2.37762074e-03    0.00000000e+00   -5.24771484e+01
66       8.04730701e-06    1.20928161e+00    1.20928161e+00    0.00000000e+00    1.20928161e+00    0.00000000e+00    1.65054898e+00   -2.41865991e-03   -2.41865991e-03    0.00000000e+00    2.41865991e-03    1.80000000e+02   -5.23285039e+01    2.41856322e-03    2.41856322e-03    0.00000000e+00    2.41856322e-03    0.00000000e+00   -5.23288511e+01
67       8.25903082e-06    1.22976484e+00    1.22976484e+00    0.00000000e+00    1.22976484e+00    0.00000000e+00    1.79644146e+00   -2.45962643e-03   -2.45962643e-03    0.00000000e+00    2.45962643e-03    1.80000000e+02   -5.21826170e+01    2.45952969e-03    2.45952969e-03    0.00000000e+00    2.45952969e-03    0.00000000e+00   -5.21829586e+01
68       8.47075462e-06    1.25025966e+00    1.25025966e+00    0.00000000e+00    1.25025966e+00    0.00000000e+00    1.94000441e+00   -2.50061613e-03   -2.50061613e-03    0.00000000e+00    2.50061613e-03    1.80000000e+02   -5.20390594e+01    2.50051933e-03    2.50051933e-03    0.00000000e+00    2.50051933e-03    0.00000000e+00   -5.20393957e+01
69       8.68247843e-06    1.27076570e+00    1.27076570e+00    0.00000000e+00    1.27076570e+00    0.00000000e+00    2.08130969e+00   -2.54162826e-03   -2.54162826e-03    0.00000000e+00    2.54162826e-03    1.80000000e+02   -5.18977594e+01    2.54153140e-03    2.54153140e-03    0.00000000e+00    2.54153140e-03    0.00000000e+00   -5.18980904e+01
