Index       FREQ            Re(V(1))          Im(V(1))            VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)           Re(I(V1))         Im(I(V1))          IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)          Re(I(R1))         Im(I(R1))          IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
24      -2.60000000e+05   -2.21887380e-04   -2.08406369e-05   -2.21887380e-04   -2.08406369e-05    2.22863953e-04   -1.74634270e+02   -7.30392034e+01    4.43808805e-07    4.13187923e-08    4.43808805e-07    4.13187923e-08    4.45728054e-07    5.31892968e+00   -1.27018601e+02   -4.43774760e-07   -4.16812738e-08   -4.43774760e-07   -4.16812738e-08    4.45727906e-07   -1.74634270e+02   -1.27018604e+02
25      -2.50000000e+05   -1.62845432e-03    5.01697524e-05   -1.62845432e-03    5.01697524e-05    1.62922696e-03    1.78235378e+02   -5.57603682e+01    3.25682984e-06   -1.02897475e-07    3.25682984e-06   -1.02897475e-07    3.25845492e-06   -1.80962188e+00   -1.09739766e+02   -3.25690865e-06    1.00339505e-07   -3.25690865e-06    1.00339505e-07    3.25845392e-06    1.78235378e+02   -1.09739768e+02
26      -2.40000000e+05   -1.86007778e-04    8.42740587e-05   -1.86007778e-04    8.42740587e-05    2.04208253e-04    1.55626270e+02   -7.37985342e+01    3.71888475e-07   -1.68828611e-07    3.71888475e-07   -1.68828611e-07    4.08416622e-07   -2.44169300e+01   -1.27777932e+02   -3.72015557e-07    1.68548117e-07   -3.72015557e-07    1.68548117e-07    4.08416506e-07    1.55626270e+02   -1.27777934e+02
27      -2.30000000e+05   -1.23122812e-03    9.30556040e-04   -1.23122812e-03    9.30556040e-04    1.54332668e-03    1.42918195e+02   -5.62308427e+01    2.46111147e-06   -1.86289137e-06    2.46111147e-06   -1.86289137e-06    3.08665416e-06   -3.71232053e+01   -1.10210241e+02   -2.46245624e-06    1.86111208e-06   -2.46245624e-06    1.86111208e-06    3.08665335e-06    1.42918195e+02   -1.10210243e+02
28      -2.20000000e+05   -7.45715138e-05    9.69260224e-05   -7.45715138e-05    9.69260224e-05    1.22292945e-04    1.27573433e+02   -7.82519719e+01    1.49009047e-07   -1.93955125e-07    1.49009047e-07   -1.93955125e-07    2.44585949e-07   -5.24661673e+01   -1.32231370e+02   -1.49143028e-07    1.93852045e-07   -1.49143028e-07    1.93852045e-07    2.44585891e-07    1.27573433e+02   -1.32231372e+02
29      -2.10000000e+05   -2.20705618e-04    6.61129767e-04   -2.20705618e-04    6.61129767e-04    6.96996082e-04    1.08460608e+02   -6.31353933e+01    4.40538895e-07   -1.32255075e-06    4.40538895e-07   -1.32255075e-06    1.39399247e-06   -7.15771917e+01   -1.17114791e+02   -4.41411235e-07    1.32225953e-06   -4.41411235e-07    1.32225953e-06    1.39399216e-06    1.08460608e+02   -1.17114793e+02
30      -2.00000000e+05   -1.59951683e-05    8.45554069e-06   -1.59951683e-05    8.45554069e-06    1.80925835e-05    1.52137685e+02   -9.48499883e+01    3.19797111e-08   -1.69311815e-08    3.19797111e-08   -1.69311815e-08    3.61851742e-08   -2.78983153e+01   -1.48829387e+02   -3.19903367e-08    1.69110814e-08   -3.19903367e-08    1.69110814e-08    3.61851671e-08    1.52137685e+02   -1.48829388e+02
31      -1.90000000e+05   -3.13134046e-04   -8.07973606e-04   -3.13134046e-04   -8.07973606e-04    8.66530022e-04   -1.11184079e+02   -6.12443277e+01    6.27232655e-07    1.61557339e-06    6.27232655e-07    1.61557339e-06    1.73306035e-06    6.87817209e+01   -1.15223726e+02   -6.26268092e-07   -1.61594721e-06   -6.26268092e-07   -1.61594721e-06    1.73306004e-06   -1.11184079e+02   -1.15223728e+02
32      -1.80000000e+05   -6.70286376e-05   -7.26654047e-05   -6.70286376e-05   -7.26654047e-05    9.88589869e-05   -1.32689323e+02   -8.00996769e+01    1.34139458e-07    1.45255002e-07    1.34139458e-07    1.45255002e-07    1.97718005e-07    4.72782773e+01   -1.34079076e+02   -1.34057275e-07   -1.45330809e-07   -1.34057275e-07   -1.45330809e-07    1.97717974e-07   -1.32689323e+02   -1.34079077e+02
33      -1.70000000e+05   -2.30919319e-03   -1.56825560e-03   -2.30919319e-03   -1.56825560e-03    2.79137938e-03   -1.45818173e+02   -5.10836227e+01    4.62006150e-06    3.13404466e-06    4.62006150e-06    3.13404466e-06    5.58275955e-06    3.41512271e+01   -1.05063022e+02   -4.61838638e-06   -3.13651121e-06   -4.61838638e-06   -3.13651121e-06    5.58275875e-06   -1.45818173e+02   -1.05063023e+02
34      -1.60000000e+05   -1.56773323e-04   -5.13731472e-05   -1.56773323e-04   -5.13731472e-05    1.64975984e-04   -1.61856515e+02   -7.56515855e+01    3.13598293e-07    1.02588689e-07    3.13598293e-07    1.02588689e-07    3.29952009e-07    1.81146845e+01   -1.29630984e+02   -3.13546647e-07   -1.02746294e-07   -3.13546647e-07   -1.02746294e-07    3.29951967e-07   -1.61856515e+02   -1.29630986e+02
35      -1.50000000e+05   -4.39217709e-03    1.12960403e-04   -4.39217709e-03    1.12960403e-04    4.39362944e-03    1.78526761e+02   -4.71435315e+01    8.78424771e-06   -2.30060335e-07    8.78424771e-06   -2.30060335e-07    8.78725985e-06   -1.50023930e+00   -1.01122931e+02   -8.78435418e-06    2.25920806e-07   -8.78435418e-06    2.25920806e-07    8.78725887e-06    1.78526761e+02   -1.01122932e+02
36      -1.40000000e+05   -1.68009264e-04    5.59968020e-05   -1.68009264e-04    5.59968020e-05    1.77095326e-04    1.61566980e+02   -7.50358580e+01    3.35969270e-07   -1.12141393e-07    3.35969270e-07   -1.12141393e-07    3.54190687e-07   -1.84582195e+01   -1.29015257e+02   -3.36018527e-07    1.11993604e-07   -3.36018527e-07    1.11993604e-07    3.54190652e-07    1.61566980e+02   -1.29015258e+02
37      -1.30000000e+05   -3.73072291e-03    2.84009922e-03   -3.73072291e-03    2.84009922e-03    4.68875858e-03    1.42718955e+02   -4.65788426e+01    7.45912600e-06   -5.68324575e-06    7.45912600e-06   -5.68324575e-06    9.37751795e-06   -3.73044447e+01   -1.00558242e+02   -7.46144583e-06    5.68019845e-06   -7.46144583e-06    5.68019845e-06    9.37751717e-06    1.42718955e+02   -1.00558243e+02
38      -1.20000000e+05   -4.86022129e-05    1.38046452e-04   -4.86022129e-05    1.38046452e-04    1.46352308e-04    1.09395710e+02   -7.66920085e+01    9.71003413e-08   -2.76129550e-07    9.71003413e-08   -2.76129550e-07    2.92704637e-07   -7.06258897e+01   -1.30671408e+02   -9.72044259e-08    2.76092905e-07   -9.72044259e-08    2.76092905e-07    2.92704616e-07    1.09395710e+02   -1.30671409e+02
