TIME,V(1),V(2),I(V1)
7.88470000e-06,-9.70929093e-01,1.17006075e-03,1.94419831e-03
7.93590000e-06,-9.62727632e-01,1.12071171e-03,1.92769669e-03
7.98710000e-06,-9.53529927e-01,1.07183610e-03,1.90920353e-03
8.03830000e-06,-9.43345496e-01,1.02348441e-03,1.88873796e-03
8.08950000e-06,-9.32184879e-01,9.75706589e-04,1.86632117e-03
8.14070000e-06,-9.20059623e-01,9.28551995e-04,1.84197635e-03
8.19190000e-06,-9.06982277e-01,8.82069340e-04,1.81572869e-03
8.24310000e-06,-8.92966374e-01,8.36306643e-04,1.78760536e-03
8.29430000e-06,-8.78026417e-01,7.91311175e-04,1.75763546e-03
8.34550000e-06,-8.62177865e-01,7.47129416e-04,1.72584999e-03
8.39670000e-06,-8.45437120e-01,7.03807000e-04,1.69228185e-03
8.44790000e-06,-8.27821506e-01,6.61388676e-04,1.65696579e-03
8.49910000e-06,-8.09349250e-01,6.19918255e-04,1.61993834e-03
8.55030000e-06,-7.90039468e-01,5.79438567e-04,1.58123781e-03
8.60150000e-06,-7.69912143e-01,5.39991417e-04,1.54090427e-03
8.65270000e-06,-7.48988102e-01,5.01617544e-04,1.49897944e-03
8.70390000e-06,-7.27288997e-01,4.64356572e-04,1.45550671e-03
8.75510000e-06,-7.04837284e-01,4.28246977e-04,1.41053106e-03
8.80630000e-06,-6.81656196e-01,3.93326041e-04,1.36409904e-03
8.85750000e-06,-6.57769721e-01,3.59629819e-04,1.31625870e-03
8.90870000e-06,-6.33202576e-01,3.27193094e-04,1.26705954e-03
8.95990000e-06,-6.07980184e-01,2.96049351e-04,1.21655247e-03
9.01110000e-06,-5.82128647e-01,2.66230733e-04,1.16478975e-03
9.06230000e-06,-5.55674714e-01,2.37768014e-04,1.11182496e-03
9.11350000e-06,-5.28645762e-01,2.10690564e-04,1.05771290e-03
9.16470000e-06,-5.01069760e-01,1.85026319e-04,1.00250957e-03
9.21590000e-06,-4.72975243e-01,1.60801753e-04,9.46272090e-04
9.26710000e-06,-4.44391286e-01,1.38041852e-04,8.89058656e-04
9.31830000e-06,-4.15347466e-01,1.16770083e-04,8.30928473e-04
9.36950000e-06,-3.85873839e-01,9.70083756e-05,7.71941696e-04
9.42070000e-06,-3.56000905e-01,7.87770959e-05,7.12159364e-04
9.47190000e-06,-3.25759576e-01,6.20950263e-05,6.51643342e-04
9.52310000e-06,-2.95181146e-01,4.69793463e-05,5.90456251e-04
9.57430000e-06,-2.64297259e-01,3.34456142e-05,5.28661409e-04
9.62550000e-06,-2.33139873e-01,2.15077515e-05,4.66322762e-04
9.67670000e-06,-2.01741231e-01,1.11780281e-05,4.03504819e-04
9.72790000e-06,-1.70133825e-01,2.46705000e-06,3.40272584e-04
9.77910000e-06,-1.38350361e-01,-4.61625215e-06,2.76691490e-04
9.83030000e-06,-1.06423731e-01,-1.00646319e-05,2.12827333e-04
9.88150000e-06,-7.43869721e-02,-1.38725346e-05,1.48746199e-04
9.93270000e-06,-4.22732364e-02,-1.60361032e-05,8.45144006e-05
9.98390000e-06,-1.01157558e-02,-1.65531824e-05,2.01984053e-05
1.00000000e-05,-2.44929318e-16,-1.65529159e-05,-3.31058318e-08
TIME,V(1),V(2),I(V1)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-10,6.28318530e-05,3.14159249e-12,-6.28318499e-08
3.00000000e-10,1.88495558e-04,2.19911461e-11,-1.88495536e-07
7.00000000e-10,4.39822957e-04,1.09955716e-10,-4.39822847e-07
